,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2014-01-15,0.497,0.493,0.498,0.488,1328554,130998296.0,0.0,0.0,0.0,2.06
1,2014-01-16,0.494,0.496,0.497,0.494,397330,39379678.0,0.61,0.61,0.003,0.62
2,2014-01-17,0.497,0.494,0.497,0.493,169781,16786119.0,0.81,-0.4,-0.002,0.26
3,2014-01-20,0.492,0.491,0.494,0.491,139374,13745061.0,0.61,-0.61,-0.003,0.22
4,2014-01-21,0.491,0.492,0.498,0.485,218530,21520868.0,2.65,0.2,0.001,0.34
5,2014-01-22,0.492,0.49,0.494,0.487,258991,25372839.0,1.42,-0.41,-0.002,0.4
6,2014-01-23,0.493,0.494,0.495,0.489,115347,11384440.0,1.22,0.82,0.004,0.18
7,2014-01-24,0.492,0.495,0.497,0.49,134147,13247096.0,1.42,0.2,0.001,0.21
8,2014-01-27,0.49,0.485,0.49,0.485,28052,2722491.0,1.01,-2.02,-0.01,0.04
9,2014-01-28,0.485,0.482,0.485,0.48,43444,4183702.0,1.03,-0.62,-0.003,0.07
10,2014-01-29,0.485,0.489,0.49,0.485,41182,4011234.0,1.04,1.45,0.007,0.06
11,2014-01-30,0.483,0.484,0.484,0.481,22712,2189830.0,0.61,-1.02,-0.005,0.04
12,2014-02-07,0.482,0.487,0.487,0.481,29876,2895017.0,1.24,0.62,0.003,0.05
13,2014-02-10,0.487,0.485,0.49,0.485,79147,7710451.0,1.03,-0.41,-0.002,0.12
14,2014-02-11,0.483,0.488,0.49,0.483,214256,20870112.0,1.44,0.62,0.003,0.33
15,2014-02-12,0.489,0.494,0.495,0.488,103932,10224769.0,1.43,1.23,0.006,0.16
16,2014-02-13,0.49,0.494,0.496,0.49,59963,5930564.0,1.21,0.0,0.0,0.09
17,2014-02-14,0.498,0.499,0.5,0.497,93918,9351591.0,0.61,1.01,0.005,0.15
18,2014-02-17,0.5,0.501,0.502,0.5,93130,9321102.0,0.4,0.4,0.002,0.14
19,2014-02-18,0.5,0.5,0.501,0.5,68323,6833306.0,0.2,-0.2,-0.001,0.11
20,2014-02-19,0.5,0.502,0.502,0.5,119844,12005533.0,0.4,0.4,0.002,0.19
21,2014-02-20,0.5,0.5,0.501,0.498,32449,3240350.0,0.6,-0.4,-0.002,0.05
22,2014-02-21,0.501,0.502,0.503,0.501,74749,7510051.0,0.4,0.4,0.002,0.12
23,2014-02-24,0.502,0.503,0.503,0.501,37325,3745747.0,0.4,0.2,0.001,0.06
24,2014-02-25,0.505,0.507,0.507,0.505,124849,12615654.0,0.4,0.8,0.004,0.19
25,2014-02-26,0.505,0.508,0.508,0.505,72220,7318937.0,0.59,0.2,0.001,0.11
26,2014-02-27,0.508,0.508,0.508,0.506,27037,2738662.0,0.39,0.0,0.0,0.04
27,2014-02-28,0.51,0.512,0.513,0.508,43344,4422678.0,0.98,0.79,0.004,0.07
28,2014-03-03,0.513,0.513,0.515,0.51,30976,3176651.0,0.98,0.2,0.001,0.05
29,2014-03-04,0.511,0.511,0.512,0.508,47514,4842956.0,0.78,-0.39,-0.002,0.07
30,2014-03-05,0.52,0.516,0.52,0.514,43288,4457560.0,1.17,0.98,0.005,0.07
31,2014-03-06,0.515,0.517,0.517,0.514,35550,3662874.0,0.58,0.19,0.001,0.06
32,2014-03-07,0.52,0.517,0.52,0.515,36490,3770353.0,0.97,0.0,0.0,0.06
33,2014-03-10,0.517,0.516,0.518,0.515,35678,3682825.0,0.58,-0.19,-0.001,0.06
34,2014-03-11,0.515,0.52,0.52,0.515,44359,4586106.0,0.97,0.78,0.004,0.07
35,2014-03-12,0.516,0.515,0.518,0.514,43173,4449450.0,0.77,-0.96,-0.005,0.07
36,2014-03-13,0.516,0.517,0.518,0.514,63323,6522613.0,0.78,0.39,0.002,0.1
37,2014-03-14,0.512,0.509,0.512,0.509,37632,3843551.0,0.58,-1.55,-0.008,0.06
38,2014-03-17,0.509,0.511,0.512,0.509,27102,2764225.0,0.59,0.39,0.002,0.04
39,2014-03-18,0.515,0.517,0.517,0.514,25478,2626432.0,0.59,1.17,0.006,0.04
