,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-06-14,1.022,1.02,1.026,1.017,1672055,170815256.304,0.0,0.0,0.0,15.26
1,2023-06-15,1.03,1.03,1.033,1.028,882161,90894791.828,0.49,0.98,0.01,8.05
2,2023-06-16,1.036,1.039,1.041,1.036,739765,76855830.937,0.49,0.87,0.009,6.75
3,2023-06-19,1.035,1.037,1.039,1.034,458600,47536915.176,0.48,-0.19,-0.002,4.18
4,2023-06-20,1.037,1.038,1.039,1.036,545226,56580165.21,0.29,0.1,0.001,4.97
5,2023-06-21,1.042,1.041,1.043,1.04,377798,39358107.217,0.29,0.29,0.003,3.45
6,2023-06-26,1.034,1.036,1.037,1.032,312828,32367732.529,0.48,-0.48,-0.005,2.85
7,2023-06-27,1.024,1.026,1.026,1.02,280676,28738865.447,0.58,-0.97,-0.01,2.56
8,2023-06-28,1.037,1.042,1.043,1.036,269558,28032174.384,0.68,1.56,0.016,2.46
9,2023-06-29,1.048,1.048,1.051,1.047,248363,26056440.878,0.38,0.58,0.006,2.27
10,2023-06-30,1.05,1.05,1.051,1.048,169575,17789080.973,0.29,0.19,0.002,1.55
11,2023-07-03,1.065,1.067,1.067,1.063,341147,36307281.611,0.38,1.62,0.017,3.11
12,2023-07-04,1.065,1.061,1.065,1.06,143138,15214615.241,0.47,-0.56,-0.006,1.31
13,2023-07-05,1.061,1.06,1.063,1.058,108883,11556850.974,0.47,-0.09,-0.001,0.99
14,2023-07-06,1.061,1.058,1.064,1.057,285534,30268258.231,0.66,-0.19,-0.002,2.61
15,2023-07-07,1.052,1.054,1.055,1.052,294866,31065730.972,0.28,-0.38,-0.004,2.69
16,2023-07-10,1.051,1.045,1.051,1.044,285457,29854155.292,0.66,-0.85,-0.009,2.6
17,2023-07-11,1.048,1.051,1.051,1.047,210312,22055830.473,0.38,0.57,0.006,1.92
18,2023-07-12,1.052,1.053,1.054,1.05,167320,17597981.898,0.38,0.19,0.002,1.53
19,2023-07-13,1.062,1.067,1.067,1.062,228911,24362903.973,0.47,1.33,0.014,2.09
20,2023-07-14,1.078,1.075,1.08,1.074,238747,25689344.1,0.56,0.75,0.008,2.18
21,2023-07-17,1.075,1.079,1.079,1.073,183655,19769674.304,0.56,0.37,0.004,1.68
22,2023-07-18,1.085,1.09,1.09,1.085,158379,17222792.3,0.46,1.02,0.011,1.45
23,2023-07-19,1.1,1.105,1.105,1.099,792684,87308692.398,0.55,1.38,0.015,7.23
24,2023-07-20,1.096,1.09,1.096,1.089,392131,42825797.706,0.63,-1.36,-0.015,3.58
25,2023-07-21,1.069,1.074,1.074,1.067,391527,41894261.443,0.64,-1.47,-0.016,3.57
26,2023-07-24,1.07,1.072,1.073,1.069,378065,40509969.0,0.37,-0.19,-0.002,3.45
27,2023-07-25,1.069,1.069,1.069,1.065,300908,32102977.6,0.37,-0.28,-0.003,2.75
28,2023-07-26,1.072,1.073,1.074,1.072,185695,19920238.416,0.19,0.37,0.004,1.69
29,2023-07-27,1.072,1.082,1.083,1.072,253258,27240707.9,1.03,0.84,0.009,2.31
30,2023-07-28,1.071,1.075,1.076,1.071,550170,59043386.192,0.46,-0.65,-0.007,5.02
31,2023-07-31,1.086,1.083,1.088,1.082,331634,35957651.436,0.56,0.74,0.008,3.03
32,2023-08-01,1.086,1.088,1.09,1.086,208894,22748429.589,0.37,0.46,0.005,1.91
33,2023-08-02,1.085,1.077,1.085,1.077,335896,36296863.862,0.74,-1.01,-0.011,3.06
34,2023-08-03,1.062,1.06,1.065,1.056,356622,37900411.541,0.84,-1.58,-0.017,3.25
35,2023-08-04,1.063,1.066,1.067,1.062,360220,38326861.6,0.47,0.57,0.006,3.29
36,2023-08-07,1.058,1.055,1.058,1.054,338530,35745943.756,0.38,-1.03,-0.011,3.09
37,2023-08-08,1.058,1.059,1.061,1.057,216877,22982258.1,0.38,0.38,0.004,1.98
38,2023-08-09,1.055,1.058,1.058,1.054,193424,20430031.0,0.38,-0.09,-0.001,1.76
39,2023-08-10,1.046,1.046,1.049,1.044,156562,16368485.421,0.47,-1.13,-0.012,1.43
40,2023-08-11,1.048,1.046,1.048,1.043,117603,12293509.29,0.48,0.0,0.0,1.07
41,2023-08-14,1.04,1.037,1.04,1.035,208422,21604457.5,0.48,-0.86,-0.009,1.9
42,2023-08-15,1.049,1.054,1.057,1.049,253956,26780546.879,0.77,1.64,0.017,2.32
43,2023-08-16,1.044,1.046,1.046,1.042,287838,30059660.1,0.38,-0.76,-0.008,2.63
44,2023-08-17,1.031,1.036,1.037,1.03,374433,38688041.345,0.67,-0.96,-0.01,3.42
45,2023-08-18,1.022,1.017,1.023,1.017,193998,19776638.579,0.58,-1.83,-0.019,1.77
46,2023-08-21,1.016,1.016,1.021,1.015,309368,31466537.783,0.59,-0.1,-0.001,2.82
47,2023-08-22,1.027,1.032,1.032,1.027,394720,40635657.8,0.49,1.57,0.016,3.6
48,2023-08-23,1.031,1.035,1.036,1.03,123579,12772156.87,0.58,0.29,0.003,1.13
49,2023-08-24,1.055,1.063,1.063,1.055,260400,27592681.076,0.77,2.71,0.028,2.38
50,2023-08-25,1.031,1.02,1.031,1.019,365562,37448394.246,1.13,-4.05,-0.043,3.34
51,2023-08-28,1.026,1.034,1.035,1.026,229186,23625448.0,0.88,1.37,0.014,2.09
52,2023-08-29,1.042,1.043,1.043,1.04,165739,17265054.615,0.29,0.87,0.009,1.51
53,2023-08-30,1.063,1.062,1.065,1.062,196467,20893833.2,0.29,1.82,0.019,1.79
54,2023-08-31,1.067,1.069,1.072,1.066,257229,27506242.5,0.56,0.66,0.007,2.35
55,2023-09-01,1.069,1.068,1.076,1.066,270436,28958605.802,0.94,-0.09,-0.001,2.47
56,2023-09-04,1.067,1.072,1.072,1.067,243181,25997591.7,0.47,0.37,0.004,2.22
57,2023-09-05,1.072,1.068,1.072,1.068,184937,19770533.4,0.37,-0.37,-0.004,1.69
58,2023-09-06,1.069,1.07,1.073,1.068,248871,26643764.226,0.47,0.19,0.002,2.27
59,2023-09-07,1.063,1.061,1.064,1.059,184469,19582812.059,0.47,-0.84,-0.009,1.68
60,2023-09-08,1.057,1.064,1.064,1.055,252465,26744015.4,0.85,0.28,0.003,2.3
61,2023-09-11,1.063,1.061,1.063,1.056,266757,28271922.0,0.66,-0.28,-0.003,2.43
62,2023-09-12,1.069,1.071,1.071,1.067,128807,13768977.07,0.38,0.94,0.01,1.18
63,2023-09-13,1.06,1.056,1.061,1.054,211700,22373256.557,0.65,-1.4,-0.015,1.93
64,2023-09-14,1.059,1.066,1.066,1.059,209396,22265306.0,0.66,0.95,0.01,1.91
65,2023-09-15,1.07,1.07,1.072,1.068,286955,30705831.44,0.38,0.38,0.004,2.62
66,2023-09-18,1.052,1.051,1.053,1.049,203189,21350617.0,0.37,-1.78,-0.019,1.85
