,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-08-08,0.981,0.987,0.99,0.978,722566,71054666.719,0.0,0.0,0.0,1.35
1,2023-08-09,0.979,0.976,0.979,0.972,738370,71957311.444,0.71,-1.11,-0.011,1.38
2,2023-08-10,0.964,0.959,0.964,0.957,498014,47741771.094,0.72,-1.74,-0.017,0.93
3,2023-08-11,0.959,0.961,0.965,0.958,347488,33392389.657,0.73,0.21,0.002,0.65
4,2023-08-14,0.947,0.947,0.949,0.942,323494,30569822.621,0.73,-1.46,-0.014,0.6
5,2023-08-15,0.966,0.979,0.98,0.966,591561,57752558.095,1.48,3.38,0.032,1.1
6,2023-08-16,0.965,0.968,0.968,0.962,273841,26456019.529,0.61,-1.12,-0.011,0.51
7,2023-08-17,0.955,0.959,0.959,0.951,283999,27127093.552,0.83,-0.93,-0.009,0.53
8,2023-08-18,0.946,0.946,0.95,0.944,302697,28635733.265,0.63,-1.36,-0.013,0.56
9,2023-08-21,0.947,0.95,0.951,0.947,176446,16736855.409,0.42,0.42,0.004,0.33
10,2023-08-22,0.972,0.976,0.977,0.967,642513,62474160.724,1.05,2.74,0.026,1.2
11,2023-08-23,0.971,0.972,0.972,0.966,457450,44344954.668,0.61,-0.41,-0.004,0.85
12,2023-08-24,0.998,1.003,1.004,0.998,916034,91667960.354,0.62,3.19,0.031,1.71
13,2023-08-25,0.966,0.96,0.966,0.956,722565,69355554.894,1.0,-4.29,-0.043,1.35
14,2023-08-28,0.96,0.968,0.969,0.959,635021,61206360.678,1.04,0.83,0.008,1.18
15,2023-08-29,0.973,0.97,0.973,0.968,505208,49030956.269,0.52,0.21,0.002,0.94
16,2023-08-30,0.994,0.995,0.999,0.994,597622,59474714.807,0.52,2.58,0.025,1.11
17,2023-08-31,1.0,0.995,1.001,0.995,476139,47501975.644,0.6,0.0,0.0,0.89
18,2023-09-01,0.997,0.996,0.998,0.994,333410,33233129.354,0.4,0.1,0.001,0.62
19,2023-09-04,0.996,1.002,1.002,0.995,412662,41245258.875,0.7,0.6,0.006,0.77
20,2023-09-05,1.0,1.002,1.002,0.998,194724,19470268.62,0.4,0.0,0.0,0.36
21,2023-09-06,1.006,1.005,1.008,1.003,394577,39674621.392,0.5,0.3,0.003,0.74
22,2023-09-07,0.996,0.992,0.999,0.992,284273,28288441.161,0.7,-1.29,-0.013,0.53
23,2023-09-08,0.988,1.0,1.0,0.984,312482,31020802.009,1.61,0.81,0.008,0.58
24,2023-09-11,0.995,0.991,0.995,0.987,454560,45039200.041,0.8,-0.9,-0.009,0.85
25,2023-09-12,0.997,0.997,0.998,0.992,444484,44258093.599,0.61,0.61,0.006,0.83
26,2023-09-13,0.986,0.985,0.986,0.983,416705,41017445.218,0.3,-1.2,-0.012,0.78
27,2023-09-14,0.988,0.995,0.996,0.988,259046,25703560.574,0.81,1.02,0.01,0.48
28,2023-09-15,1.0,0.996,1.0,0.995,274254,27337800.796,0.5,0.1,0.001,0.51
29,2023-09-18,0.973,0.976,0.977,0.973,327985,31978879.25,0.4,-2.01,-0.02,0.61
30,2023-09-19,0.975,0.975,0.976,0.974,151279,14750934.78,0.2,-0.1,-0.001,0.28
31,2023-09-20,0.973,0.973,0.974,0.972,134849,13117991.403,0.21,-0.21,-0.002,0.25
32,2023-09-21,0.948,0.952,0.952,0.946,382432,36301085.413,0.62,-2.16,-0.021,0.71
33,2023-09-22,0.933,0.941,0.941,0.931,522447,48886012.009,1.05,-1.16,-0.011,0.97
34,2023-09-25,0.939,0.941,0.941,0.938,186674,17538066.838,0.32,0.0,0.0,0.35
35,2023-09-26,0.939,0.933,0.941,0.932,345363,32328043.819,0.96,-0.85,-0.008,0.64
36,2023-09-27,0.922,0.927,0.928,0.922,174187,16130183.75,0.64,-0.64,-0.006,0.32
37,2023-09-28,0.931,0.934,0.934,0.927,207997,19369231.579,0.76,0.76,0.007,0.39
38,2023-10-09,0.956,0.959,0.963,0.953,570255,54610364.072,1.07,2.68,0.025,1.06
39,2023-10-10,0.97,0.972,0.972,0.97,212474,20638587.162,0.21,1.36,0.013,0.4
40,2023-10-11,0.976,0.977,0.977,0.974,202786,19784900.554,0.31,0.51,0.005,0.38
41,2023-10-12,0.987,0.995,0.995,0.986,268024,26573174.946,0.92,1.84,0.018,0.5
42,2023-10-13,0.99,0.988,0.991,0.986,150497,14881969.832,0.5,-0.7,-0.007,0.28
43,2023-10-16,0.973,0.975,0.976,0.971,194809,18978343.639,0.51,-1.32,-0.013,0.36
44,2023-10-17,0.985,0.98,0.985,0.98,183950,18062261.182,0.51,0.51,0.005,0.34
45,2023-10-18,0.973,0.971,0.975,0.97,177739,17273881.482,0.51,-0.92,-0.009,0.33
46,2023-10-19,0.961,0.954,0.962,0.954,470805,45040968.293,0.82,-1.75,-0.017,0.88
47,2023-10-20,0.946,0.95,0.951,0.942,217472,20628872.236,0.94,-0.42,-0.004,0.41
48,2023-10-23,0.939,0.943,0.943,0.938,106961,10068649.3,0.53,-0.74,-0.007,0.2
49,2023-10-24,0.948,0.956,0.958,0.943,319920,30350638.505,1.59,1.38,0.013,0.6
50,2023-10-25,0.954,0.952,0.959,0.947,305736,29120020.275,1.26,-0.42,-0.004,0.57
51,2023-10-26,0.921,0.915,0.923,0.911,908251,83170850.884,1.26,-3.89,-0.037,1.69
52,2023-10-27,0.905,0.912,0.913,0.905,1059301,96329259.675,0.87,-0.33,-0.003,1.98
53,2023-10-30,0.912,0.915,0.915,0.909,489191,44587127.728,0.66,0.33,0.003,0.91
54,2023-10-31,0.916,0.913,0.916,0.909,423138,38565911.936,0.77,-0.22,-0.002,0.79
55,2023-11-01,0.914,0.915,0.915,0.911,502709,45895838.1,0.44,0.22,0.002,0.94
56,2023-11-02,0.933,0.938,0.942,0.931,1399833,131081493.44,1.2,2.51,0.023,2.61
57,2023-11-03,0.946,0.941,0.947,0.94,845470,79668650.441,0.75,0.32,0.003,1.58
58,2023-11-06,0.954,0.959,0.96,0.954,476053,45536596.625,0.64,1.91,0.018,0.89
59,2023-11-07,0.962,0.96,0.963,0.959,493351,47413130.086,0.42,0.1,0.001,0.92
