,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-08-16,0.97,0.972,0.98,0.97,305105,29665324.131,0.0,0.0,0.0,16.05
1,2023-08-17,0.966,0.975,0.976,0.963,91231,8822777.464,1.34,0.31,0.003,4.8
2,2023-08-18,0.972,0.963,0.975,0.961,70907,6879303.268,1.44,-1.23,-0.012,3.73
3,2023-08-21,0.958,0.949,0.962,0.949,111569,10668791.27,1.35,-1.45,-0.014,5.87
4,2023-08-22,0.948,0.957,0.961,0.945,101882,9705887.797,1.69,0.84,0.008,5.36
5,2023-08-23,0.955,0.946,0.959,0.942,27174,2582050.91,1.78,-1.15,-0.011,1.43
6,2023-08-24,0.955,0.951,0.965,0.945,50232,4773620.994,2.11,0.53,0.005,2.64
7,2023-08-25,0.951,0.951,0.955,0.943,50368,4765705.232,1.26,0.0,0.0,2.65
8,2023-08-28,0.995,0.961,0.998,0.957,148493,14564543.093,4.31,1.05,0.01,7.81
9,2023-08-29,0.961,0.967,0.972,0.96,63397,6115907.18,1.25,0.62,0.006,3.33
10,2023-08-30,0.967,0.963,0.97,0.959,42912,4132669.228,1.14,-0.41,-0.004,2.26
11,2023-08-31,0.963,0.959,0.963,0.955,54198,5193605.972,0.83,-0.42,-0.004,2.85
12,2023-09-01,0.959,0.965,0.968,0.959,61525,5926161.755,0.94,0.63,0.006,3.24
13,2023-09-04,0.968,0.98,0.981,0.968,106578,10399130.54,1.35,1.55,0.015,5.61
14,2023-09-05,0.978,0.972,0.978,0.971,37505,3652463.925,0.71,-0.82,-0.008,1.97
15,2023-09-06,0.974,0.972,0.974,0.956,13219,1282220.982,1.85,0.0,0.0,0.7
16,2023-09-07,0.972,0.961,0.972,0.961,22918,2213275.406,1.13,-1.13,-0.011,1.21
17,2023-09-08,0.961,0.956,0.961,0.951,25503,2434893.279,1.04,-0.52,-0.005,1.34
18,2023-09-11,0.954,0.96,0.965,0.952,18415,1766862.761,1.36,0.42,0.004,0.97
19,2023-09-12,0.96,0.96,0.963,0.958,10639,1021239.29,0.52,0.0,0.0,0.56
20,2023-09-13,0.962,0.96,0.962,0.955,17033,1632269.14,0.73,0.0,0.0,0.9
21,2023-09-14,0.953,0.958,0.961,0.953,23236,2221156.471,0.83,-0.21,-0.002,1.22
22,2023-09-15,0.958,0.952,0.961,0.95,17918,1709720.986,1.15,-0.63,-0.006,0.94
23,2023-09-18,0.951,0.957,0.957,0.951,50222,4788837.307,0.63,0.53,0.005,2.64
24,2023-09-19,0.954,0.956,0.957,0.95,21332,2031973.947,0.73,-0.1,-0.001,1.12
25,2023-09-20,0.953,0.954,0.956,0.951,11584,1103842.928,0.52,-0.21,-0.002,0.61
26,2023-09-21,0.95,0.944,0.954,0.944,33379,3166288.23,1.05,-1.05,-0.01,1.76
27,2023-09-22,0.943,0.959,0.96,0.943,48933,4658864.207,1.8,1.59,0.015,2.57
28,2023-09-25,0.958,0.955,0.958,0.952,23719,2265428.524,0.63,-0.42,-0.004,1.25
29,2023-09-26,0.953,0.949,0.955,0.947,27665,2627224.616,0.84,-0.63,-0.006,1.46
30,2023-09-27,0.948,0.95,0.954,0.946,29712,2820118.562,0.84,0.11,0.001,1.56
31,2023-09-28,0.95,0.948,0.95,0.944,18999,1798405.146,0.63,-0.21,-0.002,1.0
32,2023-10-09,0.948,0.944,0.948,0.934,31523,2964876.0,1.48,-0.42,-0.004,1.66
33,2023-10-10,0.946,0.937,0.947,0.935,19263,1813232.1,1.27,-0.74,-0.007,1.01
34,2023-10-11,0.937,0.936,0.939,0.935,22719,2129103.848,0.43,-0.11,-0.001,1.19
35,2023-10-12,0.944,0.945,0.948,0.94,43390,4091509.7,0.85,0.96,0.009,2.28
36,2023-10-13,0.939,0.938,0.941,0.936,22778,2136340.6,0.53,-0.74,-0.007,1.2
37,2023-10-16,0.936,0.931,0.937,0.929,28950,2697496.97,0.85,-0.75,-0.007,1.52
38,2023-10-17,0.934,0.933,0.935,0.928,17597,1639619.592,0.75,0.21,0.002,0.93
39,2023-10-18,0.93,0.931,0.936,0.929,14259,1329188.663,0.75,-0.21,-0.002,0.75
40,2023-10-19,0.931,0.907,0.931,0.904,40958,3737708.682,2.9,-2.58,-0.024,2.15
41,2023-10-20,0.907,0.901,0.908,0.9,49430,4462449.615,0.88,-0.66,-0.006,2.6
