,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-11-15,0.962,0.974,0.976,0.962,1747992,169656337.471,0.0,0.0,0.0,245.07
1,2023-11-16,0.974,0.973,0.976,0.971,209507,20381036.839,0.51,-0.1,-0.001,29.37
2,2023-11-17,0.951,0.948,0.953,0.947,109984,10431264.256,0.62,-2.57,-0.025,15.42
3,2023-11-20,0.967,0.97,0.972,0.963,116528,11304845.74,0.95,2.32,0.022,16.34
4,2023-11-21,0.97,0.964,0.971,0.964,97114,9404077.003,0.72,-0.62,-0.006,13.62
5,2023-11-22,0.959,0.957,0.962,0.956,78961,7564113.702,0.62,-0.73,-0.007,11.07
6,2023-11-23,0.955,0.954,0.957,0.95,39535,3772016.766,0.73,-0.31,-0.003,5.54
7,2023-11-24,0.956,0.957,0.957,0.954,72113,6891633.484,0.31,0.31,0.003,10.11
8,2023-11-27,0.957,0.957,0.961,0.957,62322,5979500.252,0.42,0.0,0.0,8.74
9,2023-11-28,0.951,0.953,0.954,0.951,149397,14225740.552,0.31,-0.42,-0.004,20.95
10,2023-11-29,0.952,0.951,0.955,0.949,36918,3508529.348,0.63,-0.21,-0.002,5.18
11,2023-11-30,0.948,0.947,0.948,0.942,102008,9633420.816,0.63,-0.42,-0.004,14.3
12,2023-12-01,0.949,0.953,0.954,0.949,100113,9533436.205,0.53,0.63,0.006,14.04
13,2023-12-04,0.958,0.955,0.958,0.955,63943,6118602.924,0.31,0.21,0.002,8.96
14,2023-12-05,0.953,0.945,0.953,0.943,45448,4293099.34,1.05,-1.05,-0.01,6.37
15,2023-12-06,0.934,0.933,0.934,0.927,59265,5517917.74,0.74,-1.27,-0.012,8.31
16,2023-12-07,0.911,0.908,0.911,0.906,70794,6426308.602,0.54,-2.68,-0.025,9.93
17,2023-12-08,0.908,0.913,0.913,0.904,84655,7690163.347,0.99,0.55,0.005,11.87
18,2023-12-11,0.915,0.927,0.928,0.915,85629,7898481.205,1.42,1.53,0.014,12.01
19,2023-12-12,0.922,0.922,0.922,0.918,37965,3497056.673,0.43,-0.54,-0.005,5.32
20,2023-12-13,0.9,0.898,0.904,0.896,88696,7983355.0,0.87,-2.6,-0.024,12.44
21,2023-12-14,0.915,0.916,0.917,0.914,79697,7298231.194,0.33,2.0,0.018,11.17
22,2023-12-15,0.942,0.95,0.95,0.942,99743,9440744.194,0.87,3.71,0.034,13.98
23,2023-12-18,0.95,0.954,0.954,0.943,71520,6777622.716,1.16,0.42,0.004,10.03
24,2023-12-19,0.958,0.955,0.959,0.954,122715,11726931.924,0.52,0.1,0.001,17.2
25,2023-12-20,0.964,0.967,0.967,0.964,78119,7540027.251,0.31,1.26,0.012,10.95
26,2023-12-21,0.95,0.964,0.964,0.948,93372,8921326.199,1.65,-0.31,-0.003,13.09
27,2023-12-22,0.969,0.968,0.969,0.962,92520,8950543.6,0.73,0.41,0.004,12.97
28,2023-12-25,0.966,0.962,0.968,0.962,46623,4492858.906,0.62,-0.62,-0.006,6.54
29,2023-12-26,0.962,0.967,0.968,0.962,46902,4528754.227,0.62,0.52,0.005,6.58
30,2023-12-27,0.977,0.987,0.987,0.976,112555,11056358.537,1.14,2.07,0.02,15.78
31,2023-12-28,0.983,0.976,0.983,0.974,70541,6897583.907,0.91,-1.11,-0.011,9.89
32,2023-12-29,0.959,0.958,0.959,0.954,64503,6173423.057,0.51,-1.84,-0.018,9.04
33,2024-01-02,0.961,0.962,0.963,0.951,92980,8916243.458,1.25,0.42,0.004,13.04
34,2024-01-03,0.961,0.958,0.962,0.957,44116,4234777.618,0.52,-0.42,-0.004,6.19
35,2024-01-04,0.968,0.974,0.975,0.968,93207,9058022.871,0.73,1.67,0.016,13.07
36,2024-01-05,0.954,0.955,0.965,0.949,114293,10897629.7,1.64,-1.95,-0.019,16.02
37,2024-01-08,0.959,0.946,0.959,0.943,101187,9618749.8,1.68,-0.94,-0.009,14.19
38,2024-01-09,0.939,0.946,0.946,0.939,66834,6314361.7,0.74,0.0,0.0,9.37
39,2024-01-10,0.944,0.94,0.945,0.931,35696,3351909.314,1.48,-0.63,-0.006,5.0
40,2024-01-11,0.926,0.932,0.932,0.926,75656,7025702.4,0.64,-0.85,-0.008,10.61
41,2024-01-12,0.932,0.932,0.936,0.929,138502,12891657.706,0.75,0.0,0.0,19.42
42,2024-01-15,0.932,0.94,0.94,0.932,81193,7611505.4,0.86,0.86,0.008,11.38
43,2024-01-16,0.934,0.938,0.94,0.934,94239,8833778.83,0.64,-0.21,-0.002,13.21
44,2024-01-17,0.914,0.909,0.93,0.906,263153,23954859.916,2.56,-3.09,-0.029,36.89
45,2024-01-18,0.9,0.902,0.909,0.897,83108,7473782.942,1.32,-0.77,-0.007,11.65
46,2024-01-19,0.899,0.9,0.903,0.897,56192,5052362.448,0.67,-0.22,-0.002,7.88
47,2024-01-22,0.899,0.9,0.9,0.896,70658,6342522.694,0.44,0.0,0.0,9.91
48,2024-01-23,0.904,0.907,0.91,0.903,199057,18029889.0,0.78,0.78,0.007,27.91
49,2024-01-24,0.907,0.905,0.907,0.903,108781,9833616.1,0.44,-0.22,-0.002,15.25
50,2024-01-25,0.917,0.916,0.918,0.911,100287,9154455.369,0.77,1.22,0.011,14.06
51,2024-01-26,0.928,0.932,0.936,0.924,236590,22048295.529,1.31,1.75,0.016,33.17
