,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-08-31,1.007,1.004,1.009,1.002,1533405,154122669.817,0.0,0.0,0.0,381.84
1,2023-09-01,1.004,1.006,1.01,1.004,196505,19787371.556,0.6,0.2,0.002,48.93
2,2023-09-04,1.011,1.038,1.042,1.011,506769,52311740.787,3.08,3.18,0.032,126.19
3,2023-09-05,1.032,1.032,1.037,1.029,248161,25649541.418,0.77,-0.58,-0.006,61.8
4,2023-09-06,1.032,1.036,1.041,1.026,406799,42063264.164,1.45,0.39,0.004,101.3
5,2023-09-07,1.037,1.033,1.04,1.032,265536,27483479.953,0.77,-0.29,-0.003,66.12
6,2023-09-08,1.033,1.03,1.034,1.022,68821,7068296.271,1.16,-0.29,-0.003,17.14
7,2023-09-11,1.035,1.028,1.035,1.021,153540,15822426.386,1.36,-0.19,-0.002,38.23
8,2023-09-12,1.026,1.029,1.032,1.022,225703,23182142.794,0.97,0.1,0.001,56.2
9,2023-09-13,1.034,1.026,1.034,1.023,143000,14660045.751,1.07,-0.29,-0.003,35.61
10,2023-09-14,1.026,1.038,1.041,1.025,136111,14064256.127,1.56,1.17,0.012,33.89
11,2023-09-15,1.06,1.041,1.06,1.039,283330,29657332.589,2.02,0.29,0.003,70.55
12,2023-09-18,1.029,1.033,1.035,1.025,81636,8412630.06,0.96,-0.77,-0.008,20.33
13,2023-09-19,1.049,1.046,1.049,1.03,138845,14433416.258,1.84,1.26,0.013,34.57
14,2023-09-20,1.046,1.042,1.047,1.04,171572,17913475.632,0.67,-0.38,-0.004,42.72
15,2023-09-21,1.035,1.032,1.046,1.032,196971,20445626.77,1.34,-0.96,-0.01,49.05
16,2023-09-22,1.032,1.045,1.045,1.027,223698,23191893.021,1.74,1.26,0.013,55.7
17,2023-09-25,1.044,1.036,1.048,1.036,194865,20242795.007,1.15,-0.86,-0.009,48.52
18,2023-09-26,1.047,1.024,1.047,1.022,178516,18382778.6,2.41,-1.16,-0.012,44.45
19,2023-09-27,1.025,1.029,1.033,1.025,185862,19127610.317,0.78,0.49,0.005,46.28
20,2023-09-28,1.031,1.026,1.031,1.023,179245,18385196.616,0.78,-0.29,-0.003,44.64
21,2023-10-09,1.035,1.018,1.035,1.005,170251,17225160.4,2.92,-0.78,-0.008,42.4
22,2023-10-10,1.028,1.021,1.038,1.018,221212,22620557.0,1.96,0.29,0.003,55.09
23,2023-10-11,1.031,1.029,1.031,1.025,192251,19754438.081,0.59,0.78,0.008,47.87
24,2023-10-12,1.046,1.051,1.053,1.041,192511,20169547.714,1.17,2.14,0.022,47.94
25,2023-10-13,1.051,1.037,1.051,1.037,141423,14702600.22,1.33,-1.33,-0.014,35.22
26,2023-10-16,1.04,1.03,1.042,1.03,204196,21151715.6,1.16,-0.68,-0.007,50.85
27,2023-10-17,1.032,1.043,1.059,1.032,137757,14319880.115,2.62,1.26,0.013,34.3
28,2023-10-18,1.053,1.036,1.053,1.036,144679,15054401.7,1.63,-0.67,-0.007,36.03
29,2023-10-19,1.035,1.017,1.035,1.016,106379,10870485.0,1.83,-1.83,-0.019,26.49
30,2023-10-20,1.006,1.009,1.024,1.006,250410,25396678.645,1.77,-0.79,-0.008,62.36
31,2023-10-23,1.009,0.998,1.009,0.998,126965,12730880.7,1.09,-1.09,-0.011,31.62
32,2023-10-24,1.011,1.005,1.011,0.999,240415,24135523.9,1.2,0.7,0.007,59.87
33,2023-10-25,1.015,1.006,1.024,1.006,264101,26751415.416,1.79,0.1,0.001,65.77
34,2023-10-26,1.006,1.001,1.015,0.971,214548,21605537.5,4.37,-0.5,-0.005,53.43
35,2023-10-27,1.006,1.021,1.03,1.006,341947,34917210.4,2.4,2.0,0.02,85.15
36,2023-10-30,1.021,1.009,1.021,1.004,356022,35867622.827,1.67,-1.18,-0.012,88.66
37,2023-10-31,1.007,1.003,1.008,0.997,96392,9678577.0,1.09,-0.59,-0.006,24.0
38,2023-11-01,1.003,1.01,1.012,1.003,343166,34586338.6,0.9,0.7,0.007,85.45
39,2023-11-02,1.017,1.011,1.026,1.01,74836,7589297.4,1.58,0.1,0.001,18.64
40,2023-11-03,1.012,1.024,1.026,1.012,235987,24142692.62,1.38,1.29,0.013,58.76
41,2023-11-06,1.114,1.017,1.114,1.016,428315,43718847.037,9.57,-0.68,-0.007,106.66
42,2023-11-07,0.995,1.006,1.018,0.995,220349,22206902.428,2.26,-1.08,-0.011,54.87
43,2023-11-08,1.005,0.996,1.008,0.996,192816,19259897.2,1.19,-0.99,-0.01,48.01
44,2023-11-09,0.996,0.999,1.001,0.995,209626,20927580.0,0.6,0.3,0.003,52.2
45,2023-11-10,0.997,0.991,0.997,0.988,187787,18595710.8,0.9,-0.8,-0.008,46.76
46,2023-11-13,0.992,0.995,0.995,0.986,172136,17050122.3,0.91,0.4,0.004,42.86
47,2023-11-14,0.996,1.004,1.007,0.996,245101,24607739.6,1.11,0.9,0.009,61.03
48,2023-11-15,1.009,1.023,1.026,1.009,227959,23234449.254,1.69,1.89,0.019,56.77
49,2023-11-16,1.024,1.02,1.026,1.015,332398,33909780.8,1.08,-0.29,-0.003,82.77
50,2023-11-17,1.015,1.005,1.015,1.002,334653,33667490.9,1.27,-1.47,-0.015,83.33
51,2023-11-20,1.006,1.008,1.013,1.005,146616,14796147.712,0.8,0.3,0.003,36.51
52,2023-11-21,1.009,1.006,1.022,1.006,156022,15818722.437,1.59,-0.2,-0.002,38.85
53,2023-11-22,1.006,1.0,1.008,1.0,139604,14028237.6,0.8,-0.6,-0.006,34.76
54,2023-11-23,1.003,1.009,1.01,0.997,113351,11381521.6,1.3,0.9,0.009,28.23
55,2023-11-24,1.009,1.004,1.009,1.003,68628,6895915.008,0.59,-0.5,-0.005,17.09
56,2023-11-27,1.004,0.997,1.007,0.993,124858,12451238.514,1.39,-0.7,-0.007,31.09
57,2023-11-28,0.996,0.995,0.999,0.993,185789,18480062.4,0.6,-0.2,-0.002,46.26
58,2023-11-29,0.992,0.976,0.992,0.974,291732,28611759.4,1.81,-1.91,-0.019,72.65
59,2023-11-30,0.978,0.988,0.989,0.977,144366,14192869.9,1.23,1.23,0.012,35.95
60,2023-12-01,0.982,0.983,0.988,0.98,124366,12232464.4,0.81,-0.51,-0.005,30.97
61,2023-12-04,0.983,0.976,0.985,0.975,132099,12918260.7,1.02,-0.71,-0.007,32.89
62,2023-12-05,0.971,0.955,0.971,0.955,134316,12899215.589,1.64,-2.15,-0.021,33.45
63,2023-12-06,0.956,0.964,0.969,0.956,259266,24983238.4,1.36,0.94,0.009,64.56
64,2023-12-07,0.961,0.957,0.961,0.949,237600,22671124.5,1.24,-0.73,-0.007,59.17
65,2023-12-08,0.967,0.964,0.967,0.954,203576,19456246.7,1.36,0.73,0.007,50.69
66,2023-12-11,0.951,0.951,0.96,0.939,152412,14405986.0,2.18,-1.35,-0.013,37.95
67,2023-12-12,0.945,0.966,0.966,0.945,188053,18078630.2,2.21,1.58,0.015,46.83
68,2023-12-13,0.955,0.95,0.968,0.95,188473,17983824.4,1.86,-1.66,-0.016,46.93
69,2023-12-14,0.964,0.951,0.964,0.946,173422,16467418.9,1.89,0.11,0.001,43.19
70,2023-12-15,0.946,0.963,0.974,0.946,212083,20495780.7,2.94,1.26,0.012,52.81
71,2023-12-18,0.956,0.958,0.963,0.956,155257,14883001.3,0.73,-0.52,-0.005,38.66
72,2023-12-19,0.974,0.957,0.974,0.953,270738,25943255.6,2.19,-0.1,-0.001,67.42
73,2023-12-20,0.974,0.952,0.974,0.952,311332,29793916.4,2.3,-0.52,-0.005,77.53
74,2023-12-21,0.954,0.961,0.964,0.95,145203,13915908.1,1.47,0.95,0.009,36.16
75,2023-12-22,0.96,0.963,0.972,0.959,170560,16470576.8,1.35,0.21,0.002,42.47
76,2023-12-25,0.962,0.958,0.966,0.958,65427,6286730.4,0.83,-0.52,-0.005,16.29
77,2023-12-26,0.96,0.956,0.96,0.956,29042,2778744.2,0.42,-0.21,-0.002,7.23
78,2023-12-27,0.956,0.975,0.975,0.956,94518,9135101.4,1.99,1.99,0.019,23.54
79,2023-12-28,0.975,0.987,0.987,0.975,85950,8446783.405,1.23,1.23,0.012,21.4
80,2023-12-29,0.98,0.983,0.986,0.98,55693,5479139.585,0.61,-0.41,-0.004,13.87
81,2024-01-02,0.983,0.98,0.989,0.977,45354,4447369.8,1.22,-0.31,-0.003,11.29
82,2024-01-03,0.981,0.984,0.986,0.98,22794,2240835.4,0.61,0.41,0.004,5.68
83,2024-01-04,0.974,0.991,0.993,0.974,43163,4272341.6,1.93,0.71,0.007,10.75
84,2024-01-05,0.992,0.996,1.006,0.988,49694,4955338.8,1.82,0.5,0.005,12.37
85,2024-01-08,0.997,0.98,0.997,0.975,41953,4122671.777,2.21,-1.61,-0.016,10.45
86,2024-01-09,0.979,0.987,0.989,0.976,109865,10812221.4,1.33,0.71,0.007,27.36
87,2024-01-10,0.978,0.975,0.988,0.975,112811,11057991.1,1.32,-1.22,-0.012,28.09
88,2024-01-11,0.975,0.977,0.983,0.974,71819,7033929.3,0.92,0.21,0.002,17.88
89,2024-01-12,0.982,0.978,0.982,0.973,71177,6960598.9,0.92,0.1,0.001,17.72
90,2024-01-15,0.976,0.979,0.982,0.974,50659,4953664.9,0.82,0.1,0.001,12.61
91,2024-01-16,0.984,0.972,0.984,0.971,91941,8952993.5,1.33,-0.72,-0.007,22.89
92,2024-01-17,0.966,0.942,0.99,0.942,131254,12451933.2,4.94,-3.09,-0.03,32.68
93,2024-01-18,0.941,0.952,0.953,0.882,180918,17058475.0,7.54,1.06,0.01,45.05
94,2024-01-19,0.945,0.942,0.993,0.928,187713,17735797.0,6.83,-1.05,-0.01,46.74
95,2024-01-22,0.942,0.924,0.947,0.919,45759,4247682.7,2.97,-1.91,-0.018,11.39
96,2024-01-23,0.928,0.938,0.949,0.928,100036,9428288.5,2.27,1.52,0.014,24.91
97,2024-01-24,0.943,0.963,0.993,0.943,206603,19766810.1,5.33,2.67,0.025,51.45
98,2024-01-25,0.985,1.012,1.015,0.963,564872,56450388.3,5.4,5.09,0.049,140.66
99,2024-01-26,1.038,1.014,1.05,1.01,1748730,179203375.232,3.95,0.2,0.002,435.46
