,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-09-18,0.985,0.995,0.996,0.981,1106505,109690866.166,0.0,0.0,0.0,152.39
1,2023-09-19,0.989,0.983,0.991,0.981,312482,30792424.147,1.01,-1.21,-0.012,43.04
2,2023-09-20,0.981,0.975,0.985,0.972,342579,33546152.417,1.32,-0.81,-0.008,47.18
3,2023-09-21,0.973,0.967,0.976,0.965,325298,31607688.673,1.13,-0.82,-0.008,44.8
4,2023-09-22,0.966,0.987,0.988,0.963,336912,32912468.202,2.59,2.07,0.02,46.4
5,2023-09-25,0.986,0.985,0.99,0.983,148431,14629106.356,0.71,-0.2,-0.002,20.44
6,2023-09-26,0.985,0.983,0.988,0.981,263974,25999024.638,0.71,-0.2,-0.002,36.36
7,2023-09-27,0.978,0.985,0.992,0.978,295674,29216395.272,1.42,0.2,0.002,40.72
8,2023-09-28,0.966,1.0,1.002,0.966,584384,58282609.083,3.65,1.52,0.015,80.48
9,2023-10-09,0.995,0.999,0.999,0.94,411651,40987894.002,5.9,-0.1,-0.001,56.69
10,2023-10-10,0.999,0.998,1.002,0.996,321144,32073294.293,0.6,-0.1,-0.001,44.23
11,2023-10-11,0.995,1.0,1.004,0.993,355340,35549999.026,1.1,0.2,0.002,48.94
12,2023-10-12,1.003,1.005,1.005,0.998,371055,37193634.839,0.7,0.5,0.005,51.1
13,2023-10-13,1.002,1.0,1.002,0.998,269114,26914256.579,0.4,-0.5,-0.005,37.06
14,2023-10-16,0.999,0.996,0.999,0.992,321818,32063148.985,0.7,-0.4,-0.004,44.32
15,2023-10-17,0.996,0.992,0.996,0.986,232865,23040587.188,1.0,-0.4,-0.004,32.07
16,2023-10-18,0.99,0.974,0.99,0.972,289454,28265356.833,1.81,-1.81,-0.018,39.87
17,2023-10-19,0.97,0.964,0.981,0.963,279668,27159365.076,1.85,-1.03,-0.01,38.52
18,2023-10-20,0.959,0.952,0.966,0.951,242821,23310019.1,1.56,-1.24,-0.012,33.44
19,2023-10-23,0.94,0.926,0.947,0.923,294128,27541496.762,2.52,-2.73,-0.026,40.51
20,2023-10-24,0.926,0.951,0.952,0.926,280989,26470905.29,2.81,2.7,0.025,38.7
21,2023-10-25,0.96,0.967,0.969,0.959,291817,28193098.229,1.05,1.68,0.016,40.19
22,2023-10-26,0.965,0.973,0.974,0.958,394960,38005301.106,1.65,0.62,0.006,54.4
23,2023-10-27,0.969,0.984,0.987,0.965,335257,32658100.272,2.26,1.13,0.011,46.17
24,2023-10-30,0.98,0.995,0.997,0.98,263277,26070782.232,1.73,1.12,0.011,36.26
25,2023-10-31,0.994,0.993,0.999,0.987,301264,29913848.454,1.21,-0.2,-0.002,41.49
26,2023-11-01,0.993,0.995,0.997,0.989,360235,35805242.318,0.81,0.2,0.002,49.61
27,2023-11-02,0.99,0.984,0.999,0.984,311082,30792887.251,1.51,-1.11,-0.011,42.84
28,2023-11-03,0.979,0.995,0.998,0.979,190487,18952699.953,1.93,1.12,0.011,26.23
29,2023-11-06,0.998,1.019,1.019,0.998,535207,54124635.354,2.11,2.41,0.024,73.71
30,2023-11-07,1.019,1.031,1.033,1.016,480974,49224782.984,1.67,1.18,0.012,66.24
31,2023-11-08,1.031,1.035,1.039,1.027,339702,35073273.952,1.16,0.39,0.004,46.79
32,2023-11-09,1.035,1.028,1.038,1.023,262629,27028639.444,1.45,-0.68,-0.007,36.17
33,2023-11-10,1.023,1.024,1.026,1.017,255420,26089678.8,0.88,-0.39,-0.004,35.18
34,2023-11-13,1.024,1.037,1.037,1.024,305533,31519830.765,1.27,1.27,0.013,42.08
35,2023-11-14,1.04,1.043,1.045,1.032,280601,29154738.631,1.25,0.58,0.006,38.65
36,2023-11-15,1.049,1.051,1.053,1.044,265906,27889661.281,0.86,0.77,0.008,36.62
37,2023-11-16,1.044,1.046,1.053,1.044,281979,29580882.068,0.86,-0.48,-0.005,38.84
38,2023-11-17,1.046,1.057,1.057,1.042,347853,36468287.06,1.43,1.05,0.011,47.91
39,2023-11-20,1.055,1.07,1.07,1.054,322170,34188014.458,1.51,1.23,0.013,44.37
40,2023-11-21,1.072,1.062,1.073,1.059,334530,35626790.237,1.31,-0.75,-0.008,46.07
41,2023-11-22,1.061,1.05,1.063,1.049,279346,29501156.766,1.32,-1.13,-0.012,38.47
42,2023-11-23,1.049,1.06,1.06,1.044,310826,32724456.941,1.52,0.95,0.01,42.81
43,2023-11-24,1.064,1.046,1.064,1.041,351755,36836002.534,2.17,-1.32,-0.014,48.45
44,2023-11-27,1.046,1.046,1.048,1.036,360064,37532897.8,1.15,0.0,0.0,49.59
45,2023-11-28,1.045,1.052,1.052,1.038,332606,34860753.1,1.34,0.57,0.006,45.81
46,2023-11-29,1.057,1.046,1.057,1.044,301246,31589310.8,1.24,-0.57,-0.006,41.49
47,2023-11-30,1.045,1.041,1.048,1.03,401761,41714943.7,1.72,-0.48,-0.005,55.33
48,2023-12-01,1.039,1.052,1.054,1.029,377816,39427288.4,2.4,1.06,0.011,52.03
49,2023-12-04,1.05,1.052,1.057,1.05,335553,35341126.905,0.67,0.0,0.0,46.21
50,2023-12-05,1.052,1.03,1.052,0.97,335384,34901866.341,7.79,-2.09,-0.022,46.19
51,2023-12-06,1.032,1.038,1.045,1.029,312002,32372444.136,1.55,0.78,0.008,42.97
52,2023-12-07,1.032,1.035,1.039,1.03,311422,32169142.2,0.87,-0.29,-0.003,42.89
53,2023-12-08,1.036,1.022,1.037,1.022,236347,24321174.8,1.45,-1.26,-0.013,32.55
54,2023-12-11,1.017,1.035,1.036,1.014,348445,35656197.9,2.15,1.27,0.013,47.99
55,2023-12-12,1.035,1.04,1.04,1.032,271889,28154410.7,0.77,0.48,0.005,37.45
56,2023-12-13,1.036,1.035,1.045,1.034,292869,30451399.535,1.06,-0.48,-0.005,40.34
57,2023-12-14,1.042,1.03,1.043,1.03,314228,32568780.0,1.26,-0.48,-0.005,43.28
58,2023-12-15,1.028,1.025,1.034,1.021,303172,31131303.9,1.26,-0.49,-0.005,41.75
59,2023-12-18,1.02,1.013,1.025,1.01,290616,29555192.036,1.46,-1.17,-0.012,40.03
60,2023-12-19,1.012,1.014,1.015,1.006,327728,33126126.0,0.89,0.1,0.001,45.14
61,2023-12-20,1.02,1.002,1.02,1.0,318538,32223706.6,1.97,-1.18,-0.012,43.87
62,2023-12-21,0.99,1.011,1.012,0.984,360016,35782709.8,2.79,0.9,0.009,49.58
63,2023-12-22,1.006,0.991,1.007,0.987,324380,32464539.4,1.98,-1.98,-0.02,44.68
64,2023-12-25,0.991,0.988,0.993,0.979,315218,31025387.9,1.41,-0.3,-0.003,43.41
65,2023-12-26,0.982,0.974,0.983,0.97,268868,26271646.9,1.32,-1.42,-0.014,37.03
66,2023-12-27,0.974,0.979,0.981,0.968,349883,34066223.7,1.33,0.51,0.005,48.19
67,2023-12-28,0.976,0.998,1.0,0.971,336057,33333747.8,2.96,1.94,0.019,46.28
68,2023-12-29,0.998,1.018,1.019,0.998,365336,36993504.6,2.1,2.0,0.02,50.32
69,2024-01-02,1.021,1.017,1.023,1.015,275564,28095514.1,0.79,-0.1,-0.001,37.95
70,2024-01-03,1.006,1.01,1.019,1.004,303365,30631659.426,1.47,-0.69,-0.007,41.78
71,2024-01-04,1.005,1.008,1.009,1.003,291911,29378934.8,0.59,-0.2,-0.002,40.2
72,2024-01-05,1.008,0.99,1.011,0.984,344048,34416143.5,2.68,-1.79,-0.018,47.38
73,2024-01-08,0.985,0.969,0.988,0.968,341294,33422315.4,2.02,-2.12,-0.021,47.0
74,2024-01-09,0.969,0.975,0.986,0.966,271283,26507351.9,2.06,0.62,0.006,37.36
75,2024-01-10,0.97,0.964,0.977,0.957,300888,29013425.1,2.05,-1.13,-0.011,41.44
76,2024-01-11,0.964,0.984,0.987,0.964,340226,33122486.1,2.39,2.07,0.02,46.86
77,2024-01-12,0.981,0.972,0.988,0.972,304193,29864937.1,1.63,-1.22,-0.012,41.9
78,2024-01-15,0.972,0.971,0.977,0.965,320163,31115375.5,1.23,-0.1,-0.001,44.09
79,2024-01-16,0.966,0.966,0.969,0.951,346331,33335036.0,1.85,-0.51,-0.005,47.7
80,2024-01-17,0.962,0.944,0.963,0.942,319533,30578358.4,2.17,-2.28,-0.022,44.01
81,2024-01-18,0.939,0.935,0.939,0.907,307533,28379730.4,3.39,-0.95,-0.009,42.36
82,2024-01-19,0.923,0.92,0.936,0.919,303516,28115486.2,1.82,-1.6,-0.015,41.8
83,2024-01-22,0.919,0.863,0.919,0.855,315382,28202776.1,6.96,-6.2,-0.057,43.44
