,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-10-31,1.02,1.015,1.022,1.006,2479766,251298879.66,0.0,0.0,0.0,187.73
1,2023-11-01,1.014,1.014,1.016,1.006,653682,66179504.352,0.99,-0.1,-0.001,49.49
2,2023-11-02,1.014,1.006,1.017,1.004,368762,37285446.485,1.28,-0.79,-0.008,27.92
3,2023-11-03,1.005,1.022,1.026,1.005,368879,37598852.069,2.09,1.59,0.016,27.93
4,2023-11-06,1.026,1.055,1.055,1.026,168751,17603023.057,2.84,3.23,0.033,12.78
5,2023-11-07,1.054,1.055,1.06,1.041,67529,7107175.196,1.8,0.0,0.0,5.11
6,2023-11-08,1.055,1.065,1.067,1.054,68669,7271390.589,1.23,0.95,0.01,5.2
7,2023-11-09,1.066,1.063,1.067,1.053,103784,11008783.649,1.31,-0.19,-0.002,7.86
8,2023-11-10,1.065,1.049,1.065,1.007,63583,6653117.731,5.46,-1.32,-0.014,4.81
9,2023-11-13,1.056,1.058,1.059,1.052,129147,13630290.074,0.67,0.86,0.009,9.78
10,2023-11-14,1.057,1.061,1.065,1.057,60225,6391033.308,0.76,0.28,0.003,4.56
11,2023-11-15,1.063,1.068,1.072,1.063,139212,14862058.494,0.85,0.66,0.007,10.54
12,2023-11-16,1.064,1.053,1.064,1.053,135679,14363170.54,1.03,-1.4,-0.015,10.27
13,2023-11-17,1.053,1.064,1.064,1.051,82860,8759152.884,1.23,1.04,0.011,6.27
14,2023-11-20,1.064,1.071,1.071,1.058,100541,10711091.512,1.22,0.66,0.007,7.61
15,2023-11-21,1.071,1.061,1.075,1.058,93598,9991828.691,1.59,-0.93,-0.01,7.09
16,2023-11-22,1.059,1.044,1.059,1.044,122014,12846459.899,1.41,-1.6,-0.017,9.24
17,2023-11-23,1.05,1.056,1.056,1.044,62711,6580747.1,1.15,1.15,0.012,4.75
18,2023-11-24,1.05,1.043,1.05,1.039,20523,2140955.9,1.04,-1.23,-0.013,1.55
19,2023-11-27,1.043,1.037,1.043,1.033,70394,7300733.742,0.96,-0.58,-0.006,5.33
20,2023-11-28,1.014,1.048,1.122,1.014,58394,6064977.616,10.41,1.06,0.011,4.42
21,2023-11-29,1.075,1.037,1.075,1.035,44207,4602838.128,3.82,-1.05,-0.011,3.35
22,2023-11-30,1.037,1.034,1.038,1.025,73348,7568691.997,1.25,-0.29,-0.003,5.55
23,2023-12-01,1.033,1.042,1.046,1.031,196328,20293466.7,1.45,0.77,0.008,14.86
24,2023-12-04,1.045,1.04,1.046,1.039,88318,9197659.8,0.67,-0.19,-0.002,6.69
25,2023-12-05,1.033,1.018,1.034,1.017,175791,18049801.424,1.63,-2.12,-0.022,13.31
26,2023-12-06,1.018,1.027,1.034,1.017,180360,18486231.4,1.67,0.88,0.009,13.65
27,2023-12-07,1.026,1.025,1.029,1.02,183218,18742498.0,0.88,-0.19,-0.002,13.87
28,2023-12-08,1.065,1.026,1.065,1.02,176269,18093599.4,4.39,0.1,0.001,13.34
29,2023-12-11,1.016,1.04,1.04,1.014,118912,12225746.11,2.53,1.36,0.014,9.0
30,2023-12-12,1.029,1.038,1.04,1.029,112903,11700758.578,1.06,-0.19,-0.002,8.55
31,2023-12-13,1.031,1.028,1.037,1.027,158303,16351175.6,0.96,-0.96,-0.01,11.98
32,2023-12-14,1.032,1.018,1.035,1.016,157164,16126767.312,1.85,-0.97,-0.01,11.9
33,2023-12-15,1.02,1.01,1.022,1.007,202991,20602892.0,1.47,-0.79,-0.008,15.37
34,2023-12-18,1.009,0.993,1.009,0.991,145658,14554122.62,1.78,-1.68,-0.017,11.03
35,2023-12-19,0.991,1.001,1.003,0.99,156377,15589468.94,1.31,0.81,0.008,11.84
36,2023-12-20,1.0,0.988,1.002,0.988,185903,18475644.0,1.4,-1.3,-0.013,14.07
37,2023-12-21,0.985,0.997,0.999,0.976,353955,35167876.248,2.33,0.91,0.009,26.8
38,2023-12-22,0.997,0.984,0.999,0.98,218827,21678940.828,1.91,-1.3,-0.013,16.57
39,2023-12-25,0.983,0.985,0.988,0.978,175362,17226087.6,1.02,0.1,0.001,13.28
40,2023-12-26,0.976,0.972,0.979,0.967,275919,26854668.1,1.22,-1.32,-0.013,20.89
41,2023-12-27,0.964,0.975,0.977,0.964,154994,15031052.1,1.34,0.31,0.003,11.73
42,2023-12-28,0.966,1.005,1.006,0.966,239026,23841023.0,4.1,3.08,0.03,18.1
43,2023-12-29,0.995,1.014,1.015,0.991,325672,32912683.597,2.39,0.9,0.009,24.65
44,2024-01-02,1.004,1.006,1.013,1.004,136886,13810434.7,0.89,-0.79,-0.008,10.36
45,2024-01-03,1.0,0.995,1.005,0.989,294951,29327027.9,1.59,-1.09,-0.011,22.33
46,2024-01-04,0.988,0.984,0.99,0.979,255099,25091147.9,1.11,-1.11,-0.011,19.31
47,2024-01-05,0.982,0.968,0.987,0.96,246693,24043953.584,2.74,-1.63,-0.016,18.68
48,2024-01-08,0.962,0.947,0.966,0.946,198237,18907132.482,2.07,-2.17,-0.021,15.01
49,2024-01-09,0.95,0.949,0.96,0.943,403765,38341742.1,1.8,0.21,0.002,30.57
50,2024-01-10,0.94,0.941,0.954,0.934,267591,25269495.0,2.11,-0.84,-0.008,20.26
51,2024-01-11,0.944,0.962,0.965,0.944,271881,25985388.0,2.23,2.23,0.021,20.58
52,2024-01-12,0.951,0.953,0.974,0.951,310334,29712202.8,2.39,-0.94,-0.009,23.49
53,2024-01-15,0.944,0.945,0.954,0.94,231231,21909886.0,1.47,-0.84,-0.008,17.51
54,2024-01-16,0.94,0.945,0.946,0.931,343389,32277026.1,1.59,0.0,0.0,26.0
55,2024-01-17,0.936,0.921,0.94,0.92,266276,24786941.0,2.12,-2.54,-0.024,20.16
56,2024-01-18,0.915,0.925,0.93,0.898,428633,38889520.914,3.47,0.43,0.004,32.45
57,2024-01-19,0.925,0.916,0.93,0.914,330940,30401095.046,1.73,-0.97,-0.009,25.05
58,2024-01-22,0.91,0.872,0.91,0.865,293552,26258199.9,4.91,-4.8,-0.044,22.22
59,2024-01-23,0.865,0.88,0.884,0.863,243021,21286990.5,2.41,0.92,0.008,18.4
60,2024-01-24,0.875,0.886,0.887,0.856,366969,31930883.0,3.52,0.68,0.006,27.78
61,2024-01-25,0.886,0.909,0.909,0.879,275139,24758667.256,3.39,2.6,0.023,20.83
62,2024-01-26,0.904,0.895,0.912,0.894,289165,26155113.0,1.98,-1.54,-0.014,21.89
