,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-11,1.007,1.004,1.015,0.995,2876394,289360640.546,0.0,0.0,0.0,251.51
1,2024-01-12,0.995,0.981,1.003,0.981,428293,42358849.614,2.19,-2.29,-0.023,37.45
2,2024-01-15,0.981,0.982,0.997,0.978,506314,50024738.022,1.94,0.1,0.001,44.27
3,2024-01-16,0.983,0.971,0.988,0.965,492259,48102125.574,2.34,-1.12,-0.011,43.04
4,2024-01-17,0.972,0.924,0.972,0.921,405797,38489347.335,5.25,-4.84,-0.047,35.48
5,2024-01-18,0.923,0.951,0.952,0.923,253793,23765164.699,3.14,2.92,0.027,22.19
6,2024-01-19,0.946,0.901,0.969,0.9,1161565,108126869.738,7.26,-5.26,-0.05,101.57
7,2024-01-22,0.907,0.864,0.91,0.862,519032,46030594.158,5.33,-4.11,-0.037,45.38
8,2024-01-23,0.864,0.888,0.903,0.864,190431,16881303.656,4.51,2.78,0.024,16.65
9,2024-01-24,0.899,0.896,0.905,0.875,177625,15835658.868,3.38,0.9,0.008,15.53
10,2024-01-25,0.91,0.916,0.917,0.897,263451,23942884.805,2.23,2.23,0.02,23.04
11,2024-01-26,0.917,0.852,0.939,0.825,832006,73623547.969,12.45,-6.99,-0.064,72.75
