,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-07-08,1.028,0.998,1.034,0.998,2639219,268839358.771,0.0,0.0,0.0,45.75
1,2022-07-11,0.995,0.978,0.995,0.966,267352,26140251.536,2.91,-2.0,-0.02,4.63
2,2022-07-12,0.978,0.975,1.0,0.97,215245,21125075.371,3.07,-0.31,-0.003,3.73
3,2022-07-13,0.976,0.99,0.999,0.958,415667,40952242.021,4.21,1.54,0.015,7.21
4,2022-07-14,0.991,1.025,1.036,0.988,957533,97614865.499,4.85,3.54,0.035,16.6
5,2022-07-15,1.024,1.016,1.035,1.012,407624,41921564.791,2.24,-0.88,-0.009,7.07
6,2022-07-18,1.019,1.019,1.024,0.996,293950,29776291.627,2.76,0.3,0.003,5.1
7,2022-07-19,1.02,0.992,1.022,0.992,292980,29242070.57,2.94,-2.65,-0.027,5.08
8,2022-07-20,0.998,1.0,1.006,0.99,211182,21085626.136,1.61,0.81,0.008,3.66
9,2022-07-21,1.001,0.992,1.008,0.991,185478,18543660.688,1.7,-0.8,-0.008,3.22
10,2022-07-22,0.992,1.003,1.018,0.992,303928,30555366.805,2.62,1.11,0.011,5.27
11,2022-07-25,1.005,0.975,1.005,0.972,274999,26987116.987,3.29,-2.79,-0.028,4.77
12,2022-07-26,0.975,0.991,0.999,0.968,245746,24195512.392,3.18,1.64,0.016,4.26
13,2022-07-27,0.99,1.024,1.025,0.988,433397,43920503.648,3.73,3.33,0.033,7.51
14,2022-07-28,1.024,1.022,1.04,1.015,334610,34462513.081,2.44,-0.2,-0.002,5.8
15,2022-07-29,1.022,1.022,1.041,1.017,307924,31793577.813,2.35,0.0,0.0,5.34
16,2022-08-01,1.021,1.024,1.027,0.997,211439,21454256.439,2.94,0.2,0.002,3.67
17,2022-08-02,1.024,1.011,1.024,0.995,258351,26055279.004,2.83,-1.27,-0.013,4.48
18,2022-08-03,1.011,0.975,1.022,0.967,347469,34544468.191,5.44,-3.56,-0.036,6.02
19,2022-08-04,0.976,0.973,0.989,0.961,342556,33270741.902,2.87,-0.21,-0.002,5.94
20,2022-08-05,0.984,0.977,0.984,0.96,325359,31523651.7,2.47,0.41,0.004,5.64
21,2022-08-08,0.977,0.986,0.986,0.954,213034,20786535.485,3.28,0.92,0.009,3.69
22,2022-08-09,0.987,1.014,1.028,0.98,332934,33822638.432,4.87,2.84,0.028,5.77
23,2022-08-10,1.011,1.019,1.028,1.006,272415,27709744.793,2.17,0.49,0.005,4.72
24,2022-08-11,1.02,1.022,1.029,1.002,234534,23783578.637,2.65,0.29,0.003,4.07
25,2022-08-12,1.022,1.006,1.023,1.004,272215,27464216.256,1.86,-1.57,-0.016,4.72
26,2022-08-15,1.005,1.042,1.046,1.004,433467,45082840.4,4.17,3.58,0.036,7.51
27,2022-08-16,1.042,1.056,1.069,1.041,278637,29521069.627,2.69,1.34,0.014,4.83
