,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-27,0.966,0.922,0.966,0.922,1283688,120476552.0,0.0,0.0,0.0,122.74
1,2022-01-28,0.922,0.92,0.936,0.915,197075,18278365.0,2.28,-0.22,-0.002,18.84
2,2022-02-07,0.93,0.912,0.934,0.91,107706,9900048.0,2.61,-0.87,-0.008,10.3
3,2022-02-08,0.911,0.92,0.92,0.9,283188,25698504.0,2.19,0.88,0.008,27.08
4,2022-02-09,0.921,0.943,0.944,0.92,484388,45359099.0,2.61,2.5,0.023,46.31
5,2022-02-10,0.943,0.933,0.943,0.93,142933,13363208.0,1.38,-1.06,-0.01,13.67
6,2022-02-11,0.932,0.919,0.937,0.916,107499,9964140.0,2.25,-1.5,-0.014,10.28
7,2022-02-14,0.9,0.91,0.92,0.898,144035,13158498.0,2.39,-0.98,-0.009,13.77
8,2022-02-15,0.938,0.919,0.938,0.911,197286,18042490.0,2.97,0.99,0.009,18.86
9,2022-02-16,0.918,0.92,0.932,0.917,130053,11981366.0,1.63,0.11,0.001,12.43
10,2022-02-17,0.909,0.912,0.921,0.909,145407,13313942.0,1.3,-0.87,-0.008,13.9
11,2022-02-18,0.912,0.926,0.927,0.912,172884,15940368.0,1.64,1.54,0.014,16.53
12,2022-02-21,0.937,0.956,0.957,0.937,258578,24576354.0,2.16,3.24,0.03,24.72
13,2022-02-22,0.956,0.944,0.956,0.938,132072,12441737.0,1.88,-1.26,-0.012,12.63
14,2022-02-23,0.947,0.962,0.966,0.945,211304,20237283.0,2.22,1.91,0.018,20.2
15,2022-02-24,0.961,0.933,0.962,0.918,207316,19504268.0,4.57,-3.01,-0.029,19.82
16,2022-02-25,0.94,0.936,0.946,0.934,90182,8472254.0,1.29,0.32,0.003,8.62
17,2022-02-28,0.947,0.938,0.947,0.927,132793,12402135.0,2.14,0.21,0.002,12.7
18,2022-03-01,0.942,0.943,0.945,0.937,144520,13611699.0,0.85,0.53,0.005,13.82
19,2022-03-02,0.942,0.941,0.943,0.934,146251,13738915.0,0.95,-0.21,-0.002,13.98
20,2022-03-03,0.943,0.927,0.943,0.925,93827,8742404.0,1.91,-1.49,-0.014,8.97
