,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-08-05,0.996,1.018,1.018,0.995,1599192,160111338.484,0.0,0.0,0.0,636.09
1,2022-08-08,1.017,1.024,1.025,1.01,234728,23911135.232,1.47,0.59,0.006,93.36
2,2022-08-09,1.018,1.03,1.032,1.01,179533,18399984.627,2.15,0.59,0.006,71.41
3,2022-08-10,1.017,1.023,1.034,1.017,107702,11068476.201,1.65,-0.68,-0.007,42.84
4,2022-08-11,1.025,1.038,1.045,1.017,102437,10571478.867,2.74,1.47,0.015,40.75
5,2022-08-12,1.032,1.034,1.042,1.028,84679,8778802.0,1.35,-0.39,-0.004,33.68
6,2022-08-15,1.034,1.037,1.041,1.033,20381,2111778.784,0.77,0.29,0.003,8.11
7,2022-08-16,1.032,1.036,1.041,1.032,55419,5743634.235,0.87,-0.1,-0.001,22.04
8,2022-08-17,1.036,1.034,1.036,1.023,35078,3608021.608,1.25,-0.19,-0.002,13.95
9,2022-08-18,1.028,1.028,1.033,1.026,8301,853526.371,0.68,-0.58,-0.006,3.3
10,2022-08-19,1.022,1.013,1.027,1.013,19445,1981833.487,1.36,-1.46,-0.015,7.73
11,2022-08-22,1.0,1.033,1.033,1.0,50731,5155942.284,3.26,1.97,0.02,20.18
12,2022-08-23,1.045,1.028,1.045,1.023,4705,483126.127,2.13,-0.48,-0.005,1.87
13,2022-08-24,1.028,1.002,1.028,1.0,18071,1826939.975,2.72,-2.53,-0.026,7.19
14,2022-08-25,1.02,1.004,1.02,0.99,22918,2288024.894,2.99,0.2,0.002,9.12
15,2022-08-26,1.003,0.998,1.011,0.994,5259,530408.904,1.69,-0.6,-0.006,2.09
16,2022-08-29,0.997,0.996,1.019,0.985,20680,2048329.958,3.41,-0.2,-0.002,8.23
17,2022-08-30,0.988,0.989,0.993,0.983,13230,1305932.453,1.0,-0.7,-0.007,5.26
18,2022-08-31,0.988,0.968,0.988,0.966,17357,1687956.213,2.22,-2.12,-0.021,6.9
19,2022-09-01,0.974,0.966,0.975,0.962,18896,1838107.856,1.34,-0.21,-0.002,7.52
20,2022-09-02,0.966,0.968,0.972,0.96,13690,1323124.042,1.24,0.21,0.002,5.45
21,2022-09-05,0.968,0.966,0.996,0.961,2551,247486.424,3.62,-0.21,-0.002,1.01
22,2022-09-06,0.967,0.982,0.982,0.967,22018,2150971.436,1.55,1.66,0.016,8.76
23,2022-09-07,0.979,0.983,0.987,0.979,7846,772436.543,0.81,0.1,0.001,3.12
24,2022-09-08,0.982,0.977,0.982,0.976,5839,572200.9,0.61,-0.61,-0.006,2.32
25,2022-09-09,0.978,0.984,0.984,0.975,20165,1975586.077,0.92,0.72,0.007,8.02
26,2022-09-13,0.987,0.985,0.991,0.984,1897,187463.987,0.71,0.1,0.001,0.75
27,2022-09-14,0.985,0.981,0.985,0.974,1078,105376.588,1.12,-0.41,-0.004,0.43
28,2022-09-15,0.98,0.962,0.984,0.953,13977,1348992.002,3.16,-1.94,-0.019,5.56
29,2022-09-16,0.962,0.944,0.962,0.941,10202,970670.4,2.18,-1.87,-0.018,4.06
30,2022-09-19,0.928,0.936,0.989,0.926,4257,401116.465,6.67,-0.85,-0.008,1.69
31,2022-09-20,0.964,0.943,0.964,0.938,12016,1134876.157,2.78,0.75,0.007,4.78
32,2022-09-21,0.943,0.942,0.943,0.911,2335,218627.62,3.39,-0.11,-0.001,0.93
33,2022-09-22,0.94,0.942,0.951,0.94,59305,5605152.577,1.17,0.0,0.0,23.59
34,2022-09-23,0.94,0.94,0.961,0.921,11148,1045814.95,4.25,-0.21,-0.002,4.43
35,2022-09-26,0.94,0.92,0.94,0.917,2964,274750.3,2.45,-2.13,-0.02,1.18
36,2022-09-27,0.924,0.939,0.939,0.92,5956,551595.179,2.07,2.07,0.019,2.37
37,2022-09-28,0.921,0.914,0.928,0.913,3760,345214.23,1.6,-2.66,-0.025,1.5
38,2022-09-29,0.946,0.919,0.958,0.915,713,66017.4,4.7,0.55,0.005,0.28
39,2022-09-30,0.919,0.911,0.919,0.91,8800,802113.911,0.98,-0.87,-0.008,3.5
40,2022-10-10,0.911,0.897,0.913,0.891,6824,616043.031,2.41,-1.54,-0.014,2.71
41,2022-10-11,0.897,0.901,0.905,0.888,3228,290066.251,1.9,0.45,0.004,1.28
42,2022-10-12,0.9,0.923,0.924,0.89,1184,107214.276,3.77,2.44,0.022,0.47
43,2022-10-13,0.929,0.928,0.94,0.924,4462,413917.5,1.73,0.54,0.005,1.77
44,2022-10-14,0.947,0.948,0.949,0.937,13172,1244568.844,1.29,2.16,0.02,5.24
45,2022-10-17,0.948,0.956,0.957,0.946,7575,719942.456,1.16,0.84,0.008,3.01
46,2022-10-18,0.957,0.96,0.965,0.954,6403,614440.439,1.15,0.42,0.004,2.55
47,2022-10-19,0.96,0.949,0.96,0.948,3290,314722.9,1.25,-1.15,-0.011,1.31
48,2022-10-20,0.946,0.951,0.968,0.94,990,93791.446,2.95,0.21,0.002,0.39
49,2022-10-21,0.951,0.95,0.954,0.942,408,38770.6,1.26,-0.11,-0.001,0.16
50,2022-10-24,0.95,0.945,0.958,0.94,2869,272536.396,1.89,-0.53,-0.005,1.14
51,2022-10-25,0.935,0.939,0.945,0.928,7504,704134.793,1.8,-0.63,-0.006,2.98
52,2022-10-26,0.945,0.957,0.965,0.945,7258,696593.9,2.13,1.92,0.018,2.89
53,2022-10-27,0.948,0.955,0.966,0.948,2623,250901.527,1.88,-0.21,-0.002,1.04
54,2022-10-28,0.948,0.925,0.961,0.92,10305,963296.589,4.29,-3.14,-0.03,4.1
55,2022-10-31,0.91,0.929,0.935,0.89,607,56043.31,4.86,0.43,0.004,0.24
56,2022-11-01,0.932,0.948,0.948,0.928,1062,99878.492,2.15,2.05,0.019,0.42
57,2022-11-02,0.949,0.953,0.958,0.948,4753,452782.703,1.05,0.53,0.005,1.89
58,2022-11-03,0.956,0.956,0.96,0.953,2450,234497.332,0.73,0.31,0.003,0.97
59,2022-11-04,0.956,0.981,0.983,0.956,11188,1087889.951,2.82,2.62,0.025,4.45
60,2022-11-07,0.982,0.981,0.986,0.976,4140,406402.48,1.02,0.0,0.0,1.65
61,2022-11-08,0.979,0.981,0.981,0.977,1640,160380.693,0.41,0.0,0.0,0.65
62,2022-11-09,0.978,0.98,0.989,0.978,1989,195723.264,1.12,-0.1,-0.001,0.79
63,2022-11-10,0.974,0.968,0.978,0.967,263558,25584953.902,1.12,-1.22,-0.012,104.83
64,2022-11-11,1.008,0.974,1.008,0.97,17954,1755064.821,3.93,0.62,0.006,7.14
65,2022-11-14,0.98,0.97,0.99,0.966,20872,2041111.11,2.46,-0.41,-0.004,8.3
66,2022-11-15,0.965,0.983,0.984,0.963,3427,335217.783,2.16,1.34,0.013,1.36
67,2022-11-16,0.983,0.979,0.989,0.977,10118,993948.843,1.22,-0.41,-0.004,4.02
68,2022-11-17,0.973,0.98,0.98,0.968,4678,454236.0,1.23,0.1,0.001,1.86
69,2022-11-18,0.983,0.976,0.984,0.975,6618,647979.394,0.92,-0.41,-0.004,2.63
70,2022-11-21,0.968,0.977,0.978,0.964,1066,103807.8,1.43,0.1,0.001,0.42
71,2022-11-22,0.973,0.967,0.976,0.963,1655,159897.531,1.33,-1.02,-0.01,0.66
72,2022-11-23,0.989,0.965,0.989,0.958,16111,1555680.7,3.21,-0.21,-0.002,6.41
73,2022-11-24,0.972,0.968,0.972,0.968,1408,136332.053,0.41,0.31,0.003,0.56
74,2022-11-25,0.966,0.965,0.968,0.962,4955,477565.966,0.62,-0.31,-0.003,1.97
75,2022-11-28,0.968,0.958,0.968,0.95,22671,2159642.167,1.87,-0.73,-0.007,9.02
76,2022-11-29,0.958,0.97,0.973,0.95,13639,1311608.1,2.4,1.25,0.012,5.43
77,2022-11-30,0.973,0.964,0.973,0.963,17217,1670029.923,1.03,-0.62,-0.006,6.85
78,2022-12-01,0.972,0.98,0.982,0.965,14836,1451830.6,1.76,1.66,0.016,5.9
79,2022-12-02,0.981,0.973,0.981,0.973,8851,864035.919,0.82,-0.71,-0.007,3.52
80,2022-12-05,0.972,0.98,0.982,0.972,8063,786250.776,1.03,0.72,0.007,3.21
81,2022-12-06,0.978,0.978,0.982,0.973,3825,374545.6,0.92,-0.2,-0.002,1.52
82,2022-12-07,0.972,0.981,0.985,0.972,19906,1952584.764,1.33,0.31,0.003,7.92
83,2022-12-08,0.981,0.973,0.981,0.973,6616,645676.1,0.82,-0.82,-0.008,2.63
84,2022-12-09,0.975,0.976,0.978,0.973,17093,1667289.5,0.51,0.31,0.003,6.8
85,2022-12-12,0.976,0.973,0.976,0.968,5153,500456.58,0.82,-0.31,-0.003,2.05
86,2022-12-13,0.967,0.964,0.967,0.962,4524,436695.924,0.51,-0.92,-0.009,1.8
87,2022-12-14,0.965,0.957,0.967,0.957,8759,844255.88,1.04,-0.73,-0.007,3.48
88,2022-12-15,0.955,0.959,0.96,0.955,4008,383869.512,0.52,0.21,0.002,1.59
89,2022-12-16,0.95,0.948,0.952,0.944,8152,773955.85,0.83,-1.15,-0.011,3.24
90,2022-12-19,0.948,0.93,0.949,0.93,5332,504225.366,2.0,-1.9,-0.018,2.12
91,2022-12-20,0.936,0.921,0.936,0.92,13116,1219381.0,1.72,-0.97,-0.009,5.22
92,2022-12-21,0.923,0.913,0.923,0.91,11105,1021881.4,1.41,-0.87,-0.008,4.42
93,2022-12-22,0.913,0.9,0.917,0.899,26026,2357125.5,1.97,-1.42,-0.013,10.35
94,2022-12-23,0.895,0.898,0.901,0.892,6773,607861.0,1.0,-0.22,-0.002,2.69
95,2022-12-26,0.9,0.913,0.913,0.9,15877,1443613.7,1.45,1.67,0.015,6.32
96,2022-12-27,0.919,0.924,0.926,0.913,4695,431132.3,1.42,1.2,0.011,1.87
97,2022-12-28,0.922,0.919,0.926,0.919,8619,794041.4,0.76,-0.54,-0.005,3.43
98,2022-12-29,0.926,0.926,0.926,0.923,123,11374.123,0.33,0.76,0.007,0.05
