,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-11-01,0.96,0.993,0.993,0.959,2569143,250777417.316,0.0,0.0,0.0,731.66
1,2022-11-02,0.986,1.005,1.007,0.986,4101883,410443230.921,2.11,1.21,0.012,1168.17
2,2022-11-03,0.998,0.997,1.002,0.99,581251,57893420.379,1.19,-0.8,-0.008,165.53
3,2022-11-04,0.997,1.032,1.032,0.995,2687328,273363423.127,3.71,3.51,0.035,765.32
4,2022-11-07,1.029,1.034,1.038,1.025,1109616,114581057.896,1.26,0.19,0.002,316.01
5,2022-11-08,1.034,1.031,1.037,1.022,543823,55954766.974,1.45,-0.29,-0.003,154.87
6,2022-11-09,1.031,1.019,1.032,1.015,430259,43929661.335,1.65,-1.16,-0.012,122.53
7,2022-11-10,1.016,1.008,1.016,1.001,242671,24420979.34,1.47,-1.08,-0.011,69.11
8,2022-11-11,1.026,1.04,1.05,1.025,698715,72307327.81,2.48,3.17,0.032,198.99
9,2022-11-14,1.04,1.039,1.056,1.035,284179,29711887.575,2.02,-0.1,-0.001,80.93
10,2022-11-15,1.039,1.059,1.061,1.034,420976,44196844.757,2.6,1.92,0.02,119.89
11,2022-11-16,1.059,1.051,1.061,1.049,152011,16015481.271,1.13,-0.76,-0.008,43.29
12,2022-11-17,1.05,1.044,1.05,1.033,181450,18844723.684,1.62,-0.67,-0.007,51.68
13,2022-11-18,1.044,1.043,1.052,1.042,207293,21710869.773,0.96,-0.1,-0.001,59.03
14,2022-11-21,1.038,1.034,1.038,1.024,108756,11183820.628,1.34,-0.86,-0.009,30.97
15,2022-11-22,1.035,1.033,1.044,1.028,77170,8000864.058,1.55,-0.1,-0.001,21.98
16,2022-11-23,1.032,1.035,1.04,1.028,91701,9480848.322,1.16,0.19,0.002,26.12
17,2022-11-24,1.033,1.03,1.042,1.028,63130,6511725.016,1.35,-0.48,-0.005,17.98
18,2022-11-25,1.03,1.034,1.038,1.025,65827,6801396.516,1.26,0.39,0.004,18.75
19,2022-11-28,1.025,1.021,1.032,1.006,115983,11764646.74,2.51,-1.26,-0.013,33.03
20,2022-11-29,1.023,1.052,1.056,1.023,197382,20696428.642,3.23,3.04,0.031,56.21
21,2022-11-30,1.051,1.05,1.056,1.047,135948,14285404.321,0.86,-0.19,-0.002,38.72
22,2022-12-01,1.052,1.065,1.077,1.052,158530,16941258.168,2.38,1.43,0.015,45.15
23,2022-12-02,1.064,1.058,1.066,1.058,50467,5354495.398,0.75,-0.66,-0.007,14.37
24,2022-12-05,1.068,1.074,1.074,1.065,88791,9512555.179,0.85,1.51,0.016,25.29
25,2022-12-06,1.073,1.079,1.085,1.071,66245,7152992.175,1.3,0.47,0.005,18.87
26,2022-12-07,1.079,1.079,1.091,1.075,216081,23366164.094,1.48,0.0,0.0,61.54
27,2022-12-08,1.077,1.081,1.083,1.076,127794,13802537.497,0.65,0.19,0.002,36.39
28,2022-12-09,1.083,1.092,1.094,1.078,127607,13808562.817,1.48,1.02,0.011,36.34
29,2022-12-12,1.087,1.081,1.09,1.08,73196,7945655.042,0.92,-1.01,-0.011,20.85
30,2022-12-13,1.082,1.077,1.083,1.075,43492,4695182.813,0.74,-0.37,-0.004,12.39
31,2022-12-14,1.078,1.08,1.084,1.074,54874,5921624.462,0.93,0.28,0.003,15.63
32,2022-12-15,1.082,1.079,1.084,1.073,102017,10998524.107,1.02,-0.09,-0.001,29.05
33,2022-12-16,1.076,1.08,1.083,1.074,93972,10140863.643,0.83,0.09,0.001,26.76
34,2022-12-19,1.081,1.065,1.086,1.062,38455,4140119.98,2.22,-1.39,-0.015,10.95
35,2022-12-20,1.065,1.05,1.065,1.044,57757,6067745.406,1.97,-1.41,-0.015,16.45
36,2022-12-21,1.049,1.046,1.053,1.045,36112,3785830.9,0.76,-0.38,-0.004,10.28
37,2022-12-22,1.046,1.049,1.06,1.046,40932,4313824.6,1.34,0.29,0.003,11.66
38,2022-12-23,1.046,1.048,1.053,1.043,58489,6138433.643,0.95,-0.1,-0.001,16.66
39,2022-12-26,1.05,1.052,1.054,1.049,63303,6660055.4,0.48,0.38,0.004,18.03
40,2022-12-27,1.056,1.061,1.064,1.055,106228,11261929.918,0.86,0.86,0.009,30.25
41,2022-12-28,1.058,1.057,1.061,1.054,67471,7134519.818,0.66,-0.38,-0.004,19.21
42,2022-12-29,1.053,1.053,1.058,1.048,104515,11002912.237,0.95,-0.38,-0.004,29.76
43,2022-12-30,1.06,1.058,1.063,1.058,35637,3774752.5,0.47,0.47,0.005,10.15
44,2023-01-03,1.057,1.062,1.064,1.044,97242,10252780.344,1.89,0.38,0.004,27.69
45,2023-01-04,1.061,1.062,1.067,1.058,33494,3557122.38,0.85,0.0,0.0,9.54
46,2023-01-05,1.07,1.084,1.086,1.07,76678,8302574.794,1.51,2.07,0.022,21.84
47,2023-01-06,1.087,1.09,1.096,1.086,72014,7854707.659,0.92,0.55,0.006,20.51
48,2023-01-09,1.095,1.098,1.101,1.095,72588,7968701.17,0.55,0.73,0.008,20.67
49,2023-01-10,1.097,1.1,1.103,1.095,49686,5464025.315,0.73,0.18,0.002,14.15
50,2023-01-11,1.1,1.101,1.11,1.099,40508,4474106.63,1.0,0.09,0.001,11.54
51,2023-01-12,1.105,1.102,1.108,1.099,30241,3339327.913,0.82,0.09,0.001,8.61
52,2023-01-13,1.108,1.115,1.115,1.106,120784,13400692.226,0.82,1.18,0.013,34.4
53,2023-01-16,1.119,1.134,1.145,1.119,72134,8198726.273,2.33,1.7,0.019,20.54
54,2023-01-17,1.138,1.134,1.139,1.133,21297,2419463.714,0.53,0.0,0.0,6.07
55,2023-01-18,1.134,1.135,1.139,1.133,65161,7396866.635,0.53,0.09,0.001,18.56
56,2023-01-19,1.132,1.143,1.143,1.13,38657,4383455.45,1.15,0.7,0.008,11.01
57,2023-01-20,1.148,1.153,1.155,1.147,56389,6496427.1,0.7,0.87,0.01,16.06
58,2023-01-30,1.154,1.159,1.178,1.154,53970,6299723.899,2.08,0.52,0.006,15.37
59,2023-01-31,1.159,1.147,1.162,1.146,45856,5293645.2,1.38,-1.04,-0.012,13.06
60,2023-02-01,1.147,1.158,1.158,1.145,25661,2953970.974,1.13,0.96,0.011,7.31
61,2023-02-02,1.157,1.156,1.16,1.151,33086,3825095.4,0.78,-0.17,-0.002,9.42
62,2023-02-03,1.145,1.142,1.148,1.132,34805,3965227.918,1.38,-1.21,-0.014,9.91
