,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-10-12,0.95,0.987,0.988,0.942,3575812,343465292.059,0.0,0.0,0.0,108.56
1,2022-10-13,0.982,0.988,0.998,0.975,2529320,251093628.878,2.33,0.1,0.001,76.79
2,2022-10-14,0.994,1.009,1.009,0.99,4969870,497874031.436,1.92,2.13,0.021,150.88
3,2022-10-17,1.003,1.028,1.028,0.999,2246999,229087133.403,2.87,1.88,0.019,68.22
4,2022-10-18,1.028,1.018,1.034,1.016,509424,52123967.348,1.75,-0.97,-0.01,15.47
5,2022-10-19,1.017,1.011,1.026,1.011,531070,54114836.98,1.47,-0.69,-0.007,16.12
6,2022-10-20,1.005,1.03,1.045,1.001,586151,60232399.55,4.35,1.88,0.019,17.79
7,2022-10-21,1.03,1.03,1.037,1.013,263172,27016764.19,2.33,0.0,0.0,7.99
8,2022-10-24,1.035,1.03,1.057,1.024,379117,39473871.449,3.2,0.0,0.0,11.51
9,2022-10-25,1.026,1.01,1.029,1.002,171202,17376062.184,2.62,-1.94,-0.02,5.2
10,2022-10-26,1.006,1.039,1.047,1.006,410227,42596481.413,4.06,2.87,0.029,12.45
11,2022-10-27,1.035,1.046,1.062,1.035,457047,48035733.642,2.6,0.67,0.007,13.88
12,2022-10-28,1.046,1.024,1.055,1.019,232553,24131159.359,3.44,-2.1,-0.022,7.06
13,2022-10-31,1.015,1.046,1.054,1.01,232247,24193000.131,4.3,2.15,0.022,7.05
14,2022-11-01,1.047,1.058,1.065,1.037,227897,23943910.726,2.68,1.15,0.012,6.92
15,2022-11-02,1.058,1.07,1.072,1.052,352120,37503046.813,1.89,1.13,0.012,10.69
16,2022-11-03,1.069,1.069,1.077,1.059,202215,21644064.31,1.68,-0.09,-0.001,6.14
17,2022-11-04,1.068,1.094,1.098,1.068,276593,30124236.026,2.81,2.34,0.025,8.4
18,2022-11-07,1.094,1.086,1.104,1.081,247784,26967434.572,2.1,-0.73,-0.008,7.52
19,2022-11-08,1.086,1.081,1.086,1.072,213383,22976348.125,1.29,-0.46,-0.005,6.48
20,2022-11-09,1.081,1.07,1.085,1.067,179626,19282046.157,1.67,-1.02,-0.011,5.45
21,2022-11-10,1.064,1.054,1.072,1.049,199065,21083109.034,2.15,-1.5,-0.016,6.04
22,2022-11-11,1.085,1.075,1.093,1.07,219978,23843075.061,2.18,1.99,0.021,6.68
23,2022-11-14,1.075,1.08,1.093,1.071,163957,17752720.706,2.05,0.47,0.005,4.98
24,2022-11-15,1.08,1.127,1.129,1.079,268969,30018167.417,4.63,4.35,0.047,8.17
25,2022-11-16,1.125,1.112,1.131,1.108,165553,18464895.43,2.04,-1.33,-0.015,5.03
26,2022-11-17,1.122,1.13,1.131,1.092,282560,31287791.728,3.51,1.62,0.018,8.58
27,2022-11-18,1.128,1.113,1.141,1.111,194995,22045593.581,2.65,-1.5,-0.017,5.92
