,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-01,0.993,0.987,0.993,0.978,993205,97927240.152,0.0,0.0,0.0,113.89
1,2023-12-04,0.98,0.981,0.988,0.98,137058,13479616.031,0.81,-0.61,-0.006,15.72
2,2023-12-05,0.98,0.96,0.981,0.96,116364,11310628.484,2.14,-2.14,-0.021,13.34
3,2023-12-06,0.96,0.965,0.97,0.958,62080,5993191.543,1.25,0.52,0.005,7.12
4,2023-12-07,0.961,0.961,0.963,0.954,143894,13791477.705,0.93,-0.41,-0.004,16.5
5,2023-12-08,0.961,0.965,0.967,0.961,83157,8026691.589,0.62,0.42,0.004,9.54
6,2023-12-11,0.956,0.971,0.973,0.95,68803,6575881.354,2.38,0.62,0.006,7.89
7,2023-12-12,0.968,0.973,0.973,0.968,31625,3069672.156,0.51,0.21,0.002,3.63
8,2023-12-13,0.965,0.956,0.965,0.956,36366,3491701.5,0.92,-1.75,-0.017,4.17
9,2023-12-14,0.964,0.953,0.965,0.951,81523,7804193.775,1.46,-0.31,-0.003,9.35
10,2023-12-15,0.953,0.95,0.964,0.949,90354,8624628.896,1.57,-0.31,-0.003,10.36
11,2023-12-18,0.944,0.946,0.951,0.944,21103,2002978.397,0.74,-0.42,-0.004,2.42
12,2023-12-19,0.943,0.947,0.951,0.943,62849,5947909.544,0.85,0.11,0.001,7.21
13,2023-12-20,0.949,0.939,0.95,0.939,54472,5150213.4,1.16,-0.84,-0.008,6.25
14,2023-12-21,0.941,0.951,0.954,0.93,109700,10377903.949,2.56,1.28,0.012,12.58
15,2023-12-22,0.95,0.955,0.96,0.947,36796,3513443.942,1.37,0.42,0.004,4.22
16,2023-12-25,0.954,0.955,0.955,0.952,53279,5084616.735,0.31,0.0,0.0,6.11
17,2023-12-26,0.952,0.949,0.952,0.947,27721,2632136.532,0.52,-0.63,-0.006,3.18
18,2023-12-27,0.949,0.954,0.954,0.945,29983,2851501.351,0.95,0.53,0.005,3.44
19,2023-12-28,0.958,0.975,0.977,0.958,38524,3730587.757,1.99,2.2,0.021,4.42
20,2023-12-29,0.969,0.981,0.981,0.969,47390,4635083.695,1.23,0.62,0.006,5.43
21,2024-01-02,0.98,0.968,0.98,0.966,10703,1038333.203,1.43,-1.33,-0.013,1.23
22,2024-01-03,0.968,0.965,0.969,0.958,46011,4427824.66,1.14,-0.31,-0.003,5.28
23,2024-01-04,0.96,0.954,0.96,0.949,9219,880323.165,1.14,-1.14,-0.011,1.06
24,2024-01-05,0.96,0.948,0.96,0.945,16495,1583288.7,1.57,-0.63,-0.006,1.89
25,2024-01-08,0.95,0.938,0.95,0.938,93301,8796259.217,1.27,-1.05,-0.01,10.7
26,2024-01-09,0.939,0.94,0.943,0.936,47838,4496243.2,0.75,0.21,0.002,5.49
27,2024-01-10,0.935,0.936,0.947,0.935,38621,3635662.49,1.28,-0.43,-0.004,4.43
28,2024-01-11,0.934,0.942,0.946,0.934,26914,2519303.486,1.28,0.64,0.006,3.09
29,2024-01-12,0.937,0.939,0.946,0.937,25160,2366936.569,0.96,-0.32,-0.003,2.89
30,2024-01-15,0.935,0.937,0.943,0.935,39159,3671112.411,0.85,-0.21,-0.002,4.49
31,2024-01-16,0.935,0.941,0.941,0.932,41656,3901061.0,0.96,0.43,0.004,4.78
32,2024-01-17,0.935,0.92,0.935,0.92,58995,5478639.6,1.59,-2.23,-0.021,6.76
33,2024-01-18,0.914,0.937,0.937,0.906,83366,7660452.628,3.37,1.85,0.017,9.56
34,2024-01-19,0.928,0.936,0.939,0.923,78008,7295354.215,1.71,-0.11,-0.001,8.95
35,2024-01-22,0.927,0.924,0.939,0.915,43073,4005417.413,2.56,-1.28,-0.012,4.94
36,2024-01-23,0.918,0.928,0.931,0.916,26698,2469512.7,1.62,0.43,0.004,3.06
37,2024-01-24,0.931,0.936,0.938,0.914,53175,4925717.2,2.59,0.86,0.008,6.1
38,2024-01-25,0.93,0.954,0.956,0.93,31421,2982213.2,2.78,1.92,0.018,3.6
39,2024-01-26,0.951,0.953,0.956,0.948,64151,6101654.715,0.84,-0.1,-0.001,7.36
