,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-10-26,1.01,1.015,1.016,0.988,9826459,986523872.582,0.0,0.0,0.0,210.86
1,2022-10-27,1.012,1.006,1.038,1.002,1799437,183596968.409,3.55,-0.89,-0.009,38.61
2,2022-10-28,1.001,0.955,1.001,0.945,1049881,101970564.353,5.57,-5.07,-0.051,22.53
3,2022-10-31,0.95,0.962,0.971,0.94,804360,77144842.791,3.25,0.73,0.007,17.26
4,2022-11-01,0.962,0.99,0.99,0.961,727804,71145973.859,3.01,2.91,0.028,15.62
5,2022-11-02,0.991,1.006,1.012,0.982,870110,87077191.739,3.03,1.62,0.016,18.67
6,2022-11-03,1.001,1.01,1.015,0.994,567497,57259820.962,2.09,0.4,0.004,12.18
7,2022-11-04,1.01,1.036,1.037,1.007,659420,67704899.346,2.97,2.57,0.026,14.15
8,2022-11-07,1.036,1.025,1.041,1.02,433493,44671619.284,2.03,-1.06,-0.011,9.3
9,2022-11-08,1.025,1.012,1.029,1.007,509564,51585669.502,2.15,-1.27,-0.013,10.93
10,2022-11-09,1.011,1.014,1.023,1.007,299491,30415123.963,1.58,0.2,0.002,6.43
11,2022-11-10,1.007,0.99,1.011,0.987,434537,43316314.473,2.37,-2.37,-0.024,9.32
12,2022-11-11,1.03,1.005,1.03,1.001,546733,55386770.808,2.93,1.52,0.015,11.73
13,2022-11-14,1.007,0.982,1.007,0.97,820381,80914945.649,3.68,-2.29,-0.023,17.6
14,2022-11-15,0.976,1.02,1.02,0.976,717643,72313701.936,4.48,3.87,0.038,15.4
15,2022-11-16,1.019,1.003,1.02,1.003,320036,32355976.825,1.67,-1.67,-0.017,6.87
16,2022-11-17,0.994,1.003,1.004,0.988,379154,37694342.9,1.6,0.0,0.0,8.14
17,2022-11-18,0.996,1.003,1.022,0.996,424171,42871213.371,2.59,0.0,0.0,9.1
18,2022-11-21,1.0,1.017,1.018,0.991,413359,41703715.568,2.69,1.4,0.014,8.87
19,2022-11-22,1.019,0.993,1.019,0.99,422241,42294385.5,2.85,-2.36,-0.024,9.06
20,2022-11-23,0.991,0.986,0.992,0.967,399195,39122814.7,2.52,-0.7,-0.007,8.57
21,2022-11-24,0.986,0.982,0.997,0.982,320696,31748224.045,1.52,-0.41,-0.004,6.88
22,2022-11-25,0.982,0.968,0.982,0.965,447902,43454604.634,1.73,-1.43,-0.014,9.61
23,2022-11-28,0.954,0.953,0.957,0.945,364701,34682769.5,1.24,-1.55,-0.015,7.83
24,2022-11-29,0.954,0.966,0.968,0.954,350207,33720913.3,1.47,1.36,0.013,7.51
25,2022-11-30,0.968,0.961,0.973,0.96,317352,30654265.833,1.35,-0.52,-0.005,6.81
26,2022-12-01,0.968,0.976,0.987,0.968,440149,43173067.276,1.98,1.56,0.015,9.44
27,2022-12-02,0.976,0.985,0.992,0.972,387147,38149144.487,2.05,0.92,0.009,8.31
28,2022-12-05,0.984,0.981,0.989,0.973,310216,30411087.73,1.62,-0.41,-0.004,6.66
29,2022-12-06,0.982,0.982,0.991,0.972,329398,32414735.765,1.94,0.1,0.001,7.07
30,2022-12-07,0.982,0.979,0.99,0.974,320286,31439216.0,1.63,-0.31,-0.003,6.87
31,2022-12-08,0.976,0.968,0.983,0.968,266534,25923827.792,1.53,-1.12,-0.011,5.72
32,2022-12-09,0.969,0.97,0.975,0.962,280822,27245819.05,1.34,0.21,0.002,6.03
33,2022-12-12,0.97,0.974,0.979,0.958,276388,26857905.941,2.16,0.41,0.004,5.93
34,2022-12-13,0.972,0.958,0.974,0.954,327711,31497716.258,2.05,-1.64,-0.016,7.03
