,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-12-02,1.012,1.013,1.016,1.002,8333466,842395742.436,0.0,0.0,0.0,320.09
1,2022-12-05,1.015,1.007,1.017,0.999,2045995,205890518.802,1.78,-0.59,-0.006,78.59
2,2022-12-06,1.002,1.011,1.016,1.0,2274825,229295654.849,1.59,0.4,0.004,87.38
3,2022-12-07,1.008,1.018,1.023,1.004,2055652,209022427.179,1.88,0.69,0.007,78.96
4,2022-12-08,1.012,1.017,1.022,1.01,1283143,130487961.387,1.18,-0.1,-0.001,49.29
5,2022-12-09,1.014,1.017,1.018,1.004,1273050,128975886.19,1.38,0.0,0.0,48.9
6,2022-12-12,1.015,1.011,1.018,1.009,1060095,107434993.715,0.88,-0.59,-0.006,40.72
7,2022-12-13,1.011,1.007,1.012,1.001,871746,87750561.784,1.09,-0.4,-0.004,33.48
8,2022-12-14,1.005,1.004,1.015,0.999,678833,68050702.031,1.59,-0.3,-0.003,26.07
9,2022-12-15,1.003,1.015,1.015,1.0,759207,76494870.698,1.49,1.1,0.011,29.16
10,2022-12-16,1.015,1.003,1.015,0.997,421374,42217969.797,1.77,-1.18,-0.012,16.19
11,2022-12-19,1.002,0.994,1.009,0.99,440701,44103937.342,1.89,-0.9,-0.009,16.93
12,2022-12-20,0.993,0.982,0.993,0.979,465876,45901181.564,1.41,-1.21,-0.012,17.89
13,2022-12-21,0.985,0.979,0.985,0.974,350717,34323082.254,1.12,-0.31,-0.003,13.47
14,2022-12-22,0.98,0.973,0.987,0.971,289542,28357628.736,1.63,-0.61,-0.006,11.12
15,2022-12-23,0.968,0.97,0.976,0.963,274478,26597506.534,1.34,-0.31,-0.003,10.54
16,2022-12-26,0.968,0.992,0.993,0.968,311488,30727887.442,2.58,2.27,0.022,11.96
17,2022-12-27,0.992,1.003,1.005,0.991,321533,32044129.765,1.41,1.11,0.011,12.35
18,2022-12-28,1.002,0.997,1.002,0.991,260678,25953651.877,1.1,-0.6,-0.006,10.01
19,2022-12-29,0.996,1.003,1.007,0.994,351682,35210901.385,1.3,0.6,0.006,13.51
20,2022-12-30,1.003,1.001,1.01,1.0,315070,31694623.419,1.0,-0.2,-0.002,12.1
21,2023-01-03,1.0,1.005,1.006,0.986,319131,31713440.944,2.0,0.4,0.004,12.26
22,2023-01-04,1.005,0.992,1.005,0.988,198162,19715620.37,1.69,-1.29,-0.013,7.61
23,2023-01-05,0.992,1.016,1.019,0.992,478820,48464360.891,2.72,2.42,0.024,18.39
24,2023-01-06,1.013,1.027,1.032,1.01,533688,54700263.624,2.17,1.08,0.011,20.5
25,2023-01-09,1.026,1.031,1.042,1.026,502417,52081501.466,1.56,0.39,0.004,19.3
26,2023-01-10,1.031,1.045,1.048,1.03,448628,46615301.43,1.75,1.36,0.014,17.23
27,2023-01-11,1.045,1.031,1.047,1.03,236787,24572164.107,1.63,-1.34,-0.014,9.1
28,2023-01-12,1.033,1.039,1.049,1.033,313566,32671165.211,1.55,0.78,0.008,12.04
29,2023-01-13,1.039,1.048,1.048,1.038,217423,22683754.561,0.96,0.87,0.009,8.35
30,2023-01-16,1.048,1.065,1.078,1.048,339665,36264756.066,2.86,1.62,0.017,13.05
31,2023-01-17,1.065,1.071,1.077,1.065,259388,27805935.044,1.13,0.56,0.006,9.96
