,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-11-30,0.996,0.994,1.001,0.987,2925922,291428350.013,0.0,0.0,0.0,109.41
1,2022-12-01,0.998,1.007,1.011,0.998,4731898,476547746.44,1.31,1.31,0.013,176.93
2,2022-12-02,1.005,1.009,1.017,1.001,1573715,159252616.648,1.59,0.2,0.002,58.84
3,2022-12-05,1.009,1.01,1.016,1.006,1100596,111361180.926,0.99,0.1,0.001,41.15
4,2022-12-06,1.01,1.013,1.016,1.002,1194841,120855560.623,1.39,0.3,0.003,44.68
5,2022-12-07,1.01,1.012,1.018,1.008,918499,93165209.119,0.99,-0.1,-0.001,34.34
6,2022-12-08,1.009,1.007,1.014,1.005,684874,69113198.836,0.89,-0.49,-0.005,25.61
7,2022-12-09,1.007,1.006,1.011,1.001,802217,80825235.865,0.99,-0.1,-0.001,30.0
8,2022-12-12,1.006,1.002,1.007,0.998,635650,63684051.826,0.89,-0.4,-0.004,23.77
9,2022-12-13,1.002,0.993,1.002,0.991,463497,46095497.18,1.1,-0.9,-0.009,17.33
10,2022-12-14,0.993,0.984,0.997,0.982,498817,49319259.758,1.51,-0.91,-0.009,18.65
11,2022-12-15,0.984,0.991,0.994,0.984,358291,35395890.319,1.02,0.71,0.007,13.4
12,2022-12-16,0.988,0.979,0.989,0.975,394335,38580043.533,1.41,-1.21,-0.012,14.74
13,2022-12-19,0.978,0.962,0.98,0.957,575292,55574701.85,2.35,-1.74,-0.017,21.51
14,2022-12-20,0.962,0.953,0.963,0.951,597116,57049290.701,1.25,-0.94,-0.009,22.33
15,2022-12-21,0.953,0.946,0.955,0.939,445884,42196066.841,1.68,-0.73,-0.007,16.67
16,2022-12-22,0.946,0.931,0.948,0.928,501043,47164883.776,2.11,-1.59,-0.015,18.73
17,2022-12-23,0.93,0.926,0.934,0.921,428014,39732812.71,1.4,-0.54,-0.005,16.0
18,2022-12-26,0.926,0.946,0.947,0.926,358025,33684660.912,2.27,2.16,0.02,13.39
19,2022-12-27,0.946,0.96,0.961,0.946,608434,57988026.131,1.59,1.48,0.014,22.75
20,2022-12-28,0.96,0.953,0.96,0.95,350021,33355175.094,1.04,-0.73,-0.007,13.09
21,2022-12-29,0.952,0.955,0.961,0.949,312381,29844537.759,1.26,0.21,0.002,11.68
22,2022-12-30,0.955,0.957,0.961,0.954,237172,22688734.713,0.73,0.21,0.002,8.87
23,2023-01-03,0.957,0.975,0.98,0.954,422950,41027403.035,2.72,1.88,0.018,15.81
24,2023-01-04,0.975,0.978,0.98,0.971,363944,35525858.702,0.92,0.31,0.003,13.61
25,2023-01-05,0.978,0.988,0.991,0.978,513437,50647727.818,1.33,1.02,0.01,19.2
