,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-01-03,0.99,0.992,0.998,0.98,23767048,2354515297.966,0.0,0.0,0.0,99.47
1,2023-01-04,0.992,0.986,0.996,0.983,6992719,692335768.356,1.31,-0.6,-0.006,29.27
2,2023-01-05,0.99,1.018,1.018,0.99,18327420,1841186846.522,2.84,3.25,0.032,76.71
3,2023-01-06,1.014,1.031,1.041,1.014,8641363,888898327.405,2.65,1.28,0.013,36.17
4,2023-01-09,1.035,1.038,1.048,1.033,5149199,535294762.762,1.45,0.68,0.007,21.55
5,2023-01-10,1.037,1.055,1.058,1.036,3461740,362338952.741,2.12,1.64,0.017,14.49
6,2023-01-11,1.057,1.043,1.06,1.041,2206836,231685270.092,1.8,-1.14,-0.012,9.24
7,2023-01-12,1.044,1.049,1.059,1.044,1964578,206542355.08,1.44,0.58,0.006,8.22
8,2023-01-13,1.056,1.061,1.061,1.049,2881071,303917609.87,1.14,1.14,0.012,12.06
9,2023-01-16,1.049,1.082,1.094,1.049,2770386,299482449.213,4.24,1.98,0.021,11.59
10,2023-01-17,1.078,1.086,1.091,1.077,1640607,178188082.319,1.29,0.37,0.004,6.87
11,2023-01-18,1.086,1.083,1.09,1.08,2332779,253144719.645,0.92,-0.28,-0.003,9.76
12,2023-01-19,1.081,1.093,1.093,1.078,1934432,210273906.642,1.39,0.92,0.01,8.1
13,2023-01-20,1.097,1.102,1.104,1.094,1972426,216863945.004,0.91,0.82,0.009,8.26
14,2023-01-30,1.137,1.115,1.143,1.114,2784160,313074578.251,2.63,1.18,0.013,11.65
15,2023-01-31,1.115,1.099,1.117,1.096,1639761,181725390.175,1.88,-1.43,-0.016,6.86
16,2023-02-01,1.1,1.114,1.114,1.097,1981658,218952712.417,1.55,1.36,0.015,8.29
17,2023-02-02,1.12,1.107,1.121,1.105,1858731,206607503.147,1.44,-0.63,-0.007,7.78
18,2023-02-03,1.102,1.093,1.107,1.083,1998365,218370220.269,2.17,-1.26,-0.014,8.36
19,2023-02-06,1.09,1.078,1.09,1.069,2365394,254525140.796,1.92,-1.37,-0.015,9.9
20,2023-02-07,1.078,1.076,1.084,1.069,2239406,240833492.214,1.39,-0.19,-0.002,9.37
21,2023-02-08,1.076,1.072,1.082,1.07,2798261,301337703.467,1.12,-0.37,-0.004,11.71
22,2023-02-09,1.072,1.088,1.089,1.066,2600360,281213381.537,2.15,1.49,0.016,10.88
23,2023-02-10,1.087,1.08,1.088,1.072,2536661,273922914.925,1.47,-0.74,-0.008,10.62
24,2023-02-13,1.08,1.087,1.09,1.072,2366245,256598481.625,1.67,0.65,0.007,9.9
25,2023-02-14,1.089,1.084,1.092,1.078,2616591,282824534.789,1.29,-0.28,-0.003,10.95
26,2023-02-15,1.084,1.072,1.089,1.071,2759527,297028522.527,1.66,-1.11,-0.012,11.55
27,2023-02-16,1.072,1.059,1.081,1.051,2128213,227937384.482,2.8,-1.21,-0.013,8.91
28,2023-02-17,1.059,1.032,1.061,1.03,2471894,258160104.96,2.93,-2.55,-0.027,10.35
29,2023-02-20,1.023,1.043,1.044,1.019,2153723,221688687.423,2.42,1.07,0.011,9.01
30,2023-02-21,1.042,1.037,1.043,1.03,2365110,245387206.676,1.25,-0.58,-0.006,9.9
31,2023-02-22,1.033,1.029,1.037,1.024,2005124,206559827.095,1.25,-0.77,-0.008,8.39
32,2023-02-23,1.029,1.033,1.037,1.028,2462080,254054695.44,0.87,0.39,0.004,10.3
33,2023-02-24,1.034,1.018,1.035,1.014,2438700,248960065.39,2.03,-1.45,-0.015,10.21
34,2023-02-27,1.013,1.009,1.019,1.005,3143470,317843003.36,1.38,-0.88,-0.009,13.16
35,2023-02-28,1.016,1.017,1.02,1.007,3142157,318463134.747,1.29,0.79,0.008,13.15
36,2023-03-01,1.014,1.022,1.025,1.009,3042859,309950457.44,1.57,0.49,0.005,12.74
37,2023-03-02,1.02,1.012,1.022,1.007,2817357,285557910.795,1.47,-0.98,-0.01,11.79
38,2023-03-03,1.014,1.013,1.018,1.005,2753565,278443656.582,1.28,0.1,0.001,11.52
39,2023-03-06,1.015,1.016,1.018,0.997,2903441,292518813.146,2.07,0.3,0.003,12.15
40,2023-03-07,1.015,0.999,1.017,0.998,3086007,311178857.505,1.87,-1.67,-0.017,12.92
41,2023-03-08,0.999,0.992,1.002,0.989,4107877,408271551.882,1.3,-0.7,-0.007,17.19
42,2023-03-09,0.995,0.993,1.0,0.989,3730444,370823588.293,1.11,0.1,0.001,15.61
43,2023-03-10,0.99,0.994,1.002,0.984,2693491,267210792.683,1.81,0.1,0.001,11.27
44,2023-03-13,0.995,0.986,0.996,0.981,2232678,220114317.84,1.51,-0.8,-0.008,9.34
45,2023-03-14,0.982,0.976,0.984,0.96,2306381,224186090.139,2.43,-1.01,-0.01,9.65
46,2023-03-15,0.978,0.974,0.99,0.972,2366083,231727399.249,1.84,-0.2,-0.002,9.9
47,2023-03-16,0.969,0.96,0.972,0.958,2723221,262930981.698,1.44,-1.44,-0.014,11.4
48,2023-03-17,0.965,0.953,0.967,0.95,2933318,280784215.049,1.77,-0.73,-0.007,12.28
49,2023-03-20,0.954,0.954,0.964,0.944,2743639,261608618.184,2.1,0.1,0.001,11.48
50,2023-03-21,0.961,0.975,0.975,0.956,3111980,300337539.175,1.99,2.2,0.021,13.02
51,2023-03-22,0.975,0.972,0.984,0.967,2963037,288874668.47,1.74,-0.31,-0.003,12.4
52,2023-03-23,0.971,0.977,0.978,0.966,2814160,273930578.666,1.23,0.51,0.005,11.78
53,2023-03-24,0.977,0.985,0.985,0.972,2915168,285344498.191,1.33,0.82,0.008,12.2
54,2023-03-27,0.982,0.989,0.99,0.976,3372389,332265870.386,1.42,0.41,0.004,14.11
55,2023-03-28,0.989,0.976,0.989,0.975,2747289,269294100.328,1.42,-1.31,-0.013,11.5
56,2023-03-29,0.976,0.983,0.984,0.976,2595968,254673546.858,0.82,0.72,0.007,10.86
57,2023-03-30,0.98,0.985,0.986,0.975,2940560,288432616.456,1.12,0.2,0.002,12.31
58,2023-03-31,0.986,0.986,0.993,0.984,3820662,377720472.562,0.91,0.1,0.001,15.99
59,2023-04-03,0.986,1.002,1.004,0.986,3745855,372875312.71,1.83,1.62,0.016,15.68
60,2023-04-04,1.001,0.99,1.001,0.982,4255739,419988465.492,1.9,-1.2,-0.012,17.81
61,2023-04-06,0.987,0.987,0.988,0.978,4996536,491039178.777,1.01,-0.3,-0.003,20.91
62,2023-04-07,0.985,0.996,1.002,0.985,4513223,449728267.606,1.72,0.91,0.009,18.89
63,2023-04-10,1.0,1.002,1.006,0.995,2701958,270626111.925,1.1,0.6,0.006,11.31
64,2023-04-11,1.0,0.999,1.013,0.995,2136947,214415557.921,1.8,-0.3,-0.003,8.94
65,2023-04-12,0.999,0.994,1.0,0.989,2208642,219532710.346,1.1,-0.5,-0.005,9.24
66,2023-04-13,0.992,0.986,0.992,0.984,2036854,201145540.436,0.8,-0.8,-0.008,8.52
67,2023-04-14,0.985,0.995,0.998,0.985,2171492,215627940.901,1.32,0.91,0.009,9.09
68,2023-04-17,0.995,1.001,1.004,0.992,1593252,159155837.498,1.21,0.6,0.006,6.67
69,2023-04-18,1.0,0.999,1.008,0.996,1765667,176631879.108,1.2,-0.2,-0.002,7.39
70,2023-04-19,0.997,0.991,0.997,0.989,1919092,190499487.397,0.8,-0.8,-0.008,8.03
71,2023-04-20,0.991,0.972,0.991,0.97,1914376,186909994.9,2.12,-1.92,-0.019,8.01
72,2023-04-21,0.973,0.958,0.979,0.955,2391658,231803492.213,2.47,-1.44,-0.014,10.01
73,2023-04-24,0.957,0.937,0.957,0.93,3242227,304764957.616,2.82,-2.19,-0.021,13.57
74,2023-04-25,0.939,0.915,0.94,0.909,3904954,358865325.326,3.31,-2.35,-0.022,16.34
75,2023-04-26,0.915,0.939,0.943,0.909,4882574,454563136.025,3.72,2.62,0.024,20.44
76,2023-04-27,0.937,0.943,0.947,0.932,2504076,235551501.1,1.6,0.43,0.004,10.48
77,2023-04-28,0.945,0.947,0.953,0.939,2083058,196677274.7,1.48,0.42,0.004,8.72
78,2023-05-04,0.944,0.933,0.946,0.932,3088313,289535298.877,1.48,-1.48,-0.014,12.93
79,2023-05-05,0.93,0.927,0.933,0.92,2273960,210766337.525,1.39,-0.64,-0.006,9.52
80,2023-05-08,0.926,0.931,0.931,0.918,2246599,207951926.429,1.4,0.43,0.004,9.4
81,2023-05-09,0.93,0.92,0.932,0.918,3450242,319182381.104,1.5,-1.18,-0.011,14.44
82,2023-05-10,0.919,0.931,0.935,0.909,4659110,429784865.9,2.83,1.2,0.011,19.5
83,2023-05-11,0.93,0.945,0.949,0.927,2239370,210613778.17,2.36,1.5,0.014,9.37
84,2023-05-12,0.941,0.93,0.947,0.93,1874977,175798814.376,1.8,-1.59,-0.015,7.85
85,2023-05-15,0.931,0.948,0.95,0.931,3134534,295575226.59,2.04,1.94,0.018,13.12
86,2023-05-16,0.954,0.95,0.955,0.945,2382857,226291415.7,1.05,0.21,0.002,9.97
87,2023-05-17,0.949,0.948,0.953,0.942,2233124,211262271.8,1.16,-0.21,-0.002,9.35
88,2023-05-18,0.948,0.937,0.949,0.93,2330941,218588054.426,2.0,-1.16,-0.011,9.76
89,2023-05-19,0.933,0.938,0.942,0.93,2162859,202630420.13,1.28,0.11,0.001,9.05
90,2023-05-22,0.938,0.938,0.944,0.932,2357255,220967499.017,1.28,0.0,0.0,9.87
91,2023-05-23,0.938,0.93,0.94,0.926,1820056,170082563.535,1.49,-0.85,-0.008,7.62
92,2023-05-24,0.925,0.925,0.934,0.922,1936165,179492705.6,1.29,-0.54,-0.005,8.1
93,2023-05-25,0.923,0.924,0.929,0.918,2457606,226931080.838,1.19,-0.11,-0.001,10.29
94,2023-05-26,0.924,0.914,0.924,0.907,3153224,288210336.912,1.84,-1.08,-0.01,13.2
95,2023-05-29,0.914,0.9,0.916,0.897,2561971,231193550.1,2.08,-1.53,-0.014,10.72
96,2023-05-30,0.899,0.904,0.908,0.891,2485048,223454543.3,1.89,0.44,0.004,10.4
97,2023-05-31,0.904,0.895,0.904,0.89,2416494,216447224.594,1.55,-1.0,-0.009,10.11
98,2023-06-01,0.894,0.9,0.907,0.89,2391265,215789912.902,1.9,0.56,0.005,10.01
99,2023-06-02,0.902,0.911,0.915,0.901,2580496,234773202.44,1.56,1.22,0.011,10.8
100,2023-06-05,0.913,0.895,0.913,0.893,2721725,243885383.59,2.2,-1.76,-0.016,11.39
101,2023-06-06,0.895,0.884,0.895,0.882,2376142,211055928.674,1.45,-1.23,-0.011,9.94
