,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-07-06,1.027,1.007,1.027,1.003,2207238,223747175.093,0.0,0.0,0.0,3580.87
1,2023-07-07,1.005,1.008,1.016,0.995,227071,22810301.482,2.09,0.1,0.001,368.38
2,2023-07-10,1.008,1.013,1.027,1.008,167726,17134071.398,1.88,0.5,0.005,272.11
3,2023-07-11,1.013,1.022,1.022,1.007,63809,6492838.705,1.48,0.89,0.009,103.52
4,2023-07-12,1.021,1.018,1.027,1.018,93558,9574386.8,0.88,-0.39,-0.004,151.78
5,2023-07-13,1.023,1.038,1.044,1.023,106194,11036203.551,2.06,1.96,0.02,172.28
6,2023-07-14,1.032,1.033,1.045,1.032,24920,2584758.124,1.25,-0.48,-0.005,40.43
7,2023-07-17,1.028,1.02,1.028,1.003,8267,840417.203,2.42,-1.26,-0.013,13.41
8,2023-07-18,1.02,1.027,1.028,1.016,18958,1933412.329,1.18,0.69,0.007,30.76
9,2023-07-19,1.026,1.027,1.03,1.022,14352,1472435.852,0.78,0.0,0.0,23.28
10,2023-07-20,1.031,1.031,1.044,1.029,20367,2109356.202,1.46,0.39,0.004,33.04
11,2023-07-21,1.028,1.021,1.028,1.016,9532,974865.715,1.16,-0.97,-0.01,15.46
12,2023-07-24,1.018,1.008,1.018,1.006,3268,330643.682,1.18,-1.27,-0.013,5.3
13,2023-07-25,1.018,1.037,1.037,1.018,10921,1128350.255,1.88,2.88,0.029,17.72
14,2023-07-26,1.037,1.034,1.039,1.034,3592,372574.89,0.48,-0.29,-0.003,5.83
15,2023-07-27,1.034,1.028,1.037,1.028,6836,706938.5,0.87,-0.58,-0.006,11.09
16,2023-07-28,1.023,1.037,1.037,1.018,1017,104200.865,1.85,0.88,0.009,1.65
17,2023-07-31,1.038,1.046,1.059,1.038,6376,669971.971,2.03,0.87,0.009,10.34
18,2023-08-01,1.056,1.051,1.058,1.045,2299,241570.602,1.24,0.48,0.005,3.73
19,2023-08-02,1.051,1.04,1.051,1.038,1788,186275.91,1.24,-1.05,-0.011,2.9
20,2023-08-03,1.037,1.037,1.037,1.034,1680,174054.7,0.29,-0.29,-0.003,2.73
21,2023-08-04,1.04,1.046,1.053,1.04,782,81755.827,1.25,0.87,0.009,1.27
22,2023-08-07,1.042,1.041,1.045,1.041,442,46176.7,0.38,-0.48,-0.005,0.72
23,2023-08-08,1.038,1.049,1.055,1.038,1297,135763.838,1.63,0.77,0.008,2.1
24,2023-08-09,1.048,1.04,1.048,1.038,4475,465165.94,0.95,-0.86,-0.009,7.26
25,2023-08-10,1.041,1.042,1.044,1.035,10755,1116645.536,0.87,0.19,0.002,17.45
26,2023-08-11,1.04,1.019,1.04,1.018,5665,580108.568,2.11,-2.21,-0.023,9.19
27,2023-08-14,1.02,1.011,1.02,1.005,19889,2005591.5,1.47,-0.79,-0.008,32.27
28,2023-08-15,1.008,1.012,1.012,1.002,36771,3701131.9,0.99,0.1,0.001,59.65
29,2023-08-16,1.006,1.0,1.006,1.0,12560,1260447.0,0.59,-1.19,-0.012,20.38
30,2023-08-17,0.998,1.003,1.003,0.988,2606,260212.8,1.5,0.3,0.003,4.23
31,2023-08-18,1.004,0.985,1.004,0.985,9521,951821.8,1.89,-1.79,-0.018,15.45
32,2023-08-21,0.987,0.979,0.99,0.979,4905,483504.0,1.12,-0.61,-0.006,7.96
33,2023-08-22,0.987,0.989,0.989,0.973,17535,1728197.808,1.63,1.02,0.01,28.45
34,2023-08-23,0.98,0.962,0.98,0.962,5380,525353.9,1.82,-2.73,-0.027,8.73
35,2023-08-24,0.971,0.986,0.996,0.971,7331,723884.452,2.6,2.49,0.024,11.89
36,2023-08-25,0.995,0.967,0.995,0.965,15413,1492384.0,3.04,-1.93,-0.019,25.0
37,2023-08-28,0.976,0.971,1.003,0.968,16312,1601434.764,3.62,0.41,0.004,26.46
38,2023-08-29,0.981,0.979,0.985,0.971,3325,323885.592,1.44,0.82,0.008,5.4
39,2023-08-30,0.988,0.984,0.995,0.982,16663,1649976.076,1.33,0.51,0.005,27.03
40,2023-08-31,0.984,0.972,0.984,0.969,7382,720083.576,1.52,-1.22,-0.012,11.98
41,2023-09-01,0.98,0.992,0.995,0.979,3540,351395.0,1.65,2.06,0.02,5.74
42,2023-09-04,1.001,1.018,1.024,1.001,10863,1103400.888,2.32,2.62,0.026,17.62
43,2023-09-05,1.01,1.007,1.011,1.003,23255,2340422.775,0.79,-1.08,-0.011,37.73
44,2023-09-06,0.999,1.006,1.008,0.999,52731,5292054.0,0.89,-0.1,-0.001,85.55
45,2023-09-07,0.999,0.993,0.999,0.989,1825,181989.3,0.99,-1.29,-0.013,2.96
46,2023-09-08,0.974,0.985,0.993,0.974,14981,1481962.6,1.91,-0.81,-0.008,24.3
47,2023-09-11,0.984,0.997,1.004,0.984,40946,4083460.625,2.03,1.22,0.012,66.43
48,2023-09-12,1.002,0.997,1.01,0.997,43966,4410870.125,1.3,0.0,0.0,71.33
49,2023-09-13,0.996,0.987,0.998,0.987,9270,922066.2,1.1,-1.0,-0.01,15.04
50,2023-09-14,0.996,0.999,1.004,0.994,20463,2042513.1,1.01,1.22,0.012,33.2
51,2023-09-15,1.001,0.999,1.009,0.997,9984,1003089.776,1.2,0.0,0.0,16.2
52,2023-09-18,0.99,1.003,1.003,0.99,720,71912.3,1.3,0.4,0.004,1.17
53,2023-09-19,0.995,0.995,0.996,0.995,710,70691.2,0.1,-0.8,-0.008,1.15
54,2023-09-20,0.992,0.988,0.992,0.988,171,16933.5,0.4,-0.7,-0.007,0.28
55,2023-09-21,0.983,0.98,0.983,0.979,1639,160674.7,0.4,-0.81,-0.008,2.66
56,2023-09-22,0.972,0.978,0.98,0.967,18071,1760635.9,1.33,-0.2,-0.002,29.32
57,2023-09-25,0.978,0.972,0.978,0.971,973,94727.4,0.72,-0.61,-0.006,1.58
58,2023-09-26,0.97,0.964,0.97,0.964,2560,247267.6,0.62,-0.82,-0.008,4.15
59,2023-09-27,0.963,0.965,0.972,0.962,1747,168504.5,1.04,0.1,0.001,2.83
60,2023-09-28,0.965,0.96,0.965,0.959,4113,395495.8,0.62,-0.52,-0.005,6.67
61,2023-10-09,0.951,0.958,0.958,0.945,2326,220575.2,1.35,-0.21,-0.002,3.77
62,2023-10-10,0.967,0.96,0.968,0.96,2635,253340.9,0.84,0.21,0.002,4.27
63,2023-10-11,0.96,0.95,0.96,0.95,8874,846326.3,1.04,-1.04,-0.01,14.4
64,2023-10-12,0.959,0.977,0.979,0.959,7233,698579.592,2.11,2.84,0.027,11.73
65,2023-10-13,0.968,0.959,0.968,0.956,672,64660.9,1.23,-1.84,-0.018,1.09
66,2023-10-16,0.959,0.95,0.959,0.95,1412,134822.0,0.94,-0.94,-0.009,2.29
67,2023-10-17,0.95,0.948,0.95,0.945,5996,568984.4,0.53,-0.21,-0.002,9.73
68,2023-10-18,0.944,0.935,0.945,0.935,5758,543026.5,1.05,-1.37,-0.013,9.34
69,2023-10-19,0.931,0.927,0.932,0.927,10464,972786.3,0.53,-0.86,-0.008,16.98
70,2023-10-20,0.929,0.928,0.937,0.925,17080,1594774.1,1.29,0.11,0.001,27.71
71,2023-10-23,0.919,0.904,0.919,0.895,10027,906775.766,2.59,-2.59,-0.024,16.27
72,2023-10-24,0.913,0.913,0.917,0.904,10705,973875.208,1.44,1.0,0.009,17.37
73,2023-10-25,0.922,0.923,0.93,0.917,3894,361073.4,1.42,1.1,0.01,6.32
74,2023-10-26,0.923,0.924,0.924,0.912,5553,507669.4,1.3,0.11,0.001,9.01
75,2023-10-27,0.928,0.937,0.939,0.928,20857,1949507.96,1.19,1.41,0.013,33.84
76,2023-10-30,0.943,0.946,0.95,0.941,10549,996642.3,0.96,0.96,0.009,17.11
77,2023-10-31,0.937,0.942,0.942,0.935,1828,171737.274,0.74,-0.42,-0.004,2.97
78,2023-11-01,0.938,0.936,0.938,0.933,280,26207.6,0.53,-0.64,-0.006,0.45
79,2023-11-02,0.942,0.926,0.942,0.926,367,34213.0,1.71,-1.07,-0.01,0.6
80,2023-11-03,0.928,0.928,0.93,0.928,339,31519.9,0.22,0.22,0.002,0.55
81,2023-11-06,0.933,0.93,0.933,0.928,10256,954338.9,0.54,0.22,0.002,16.64
82,2023-11-07,0.923,0.93,0.932,0.921,1283,118361.8,1.18,0.0,0.0,2.08
83,2023-11-08,0.88,0.924,0.936,0.88,1739,160805.2,6.02,-0.65,-0.006,2.82
84,2023-11-09,0.932,0.922,0.932,0.92,1425,131244.5,1.3,-0.22,-0.002,2.31
85,2023-11-10,0.916,0.919,0.919,0.916,369,33868.0,0.33,-0.33,-0.003,0.6
86,2023-11-13,0.919,0.921,0.921,0.917,3439,315616.1,0.44,0.22,0.002,5.58
87,2023-11-14,0.921,0.92,0.921,0.919,2652,244192.2,0.22,-0.11,-0.001,4.3
88,2023-11-15,0.92,0.939,0.942,0.92,11848,1112338.522,2.39,2.07,0.019,19.22
89,2023-11-16,0.937,0.924,0.937,0.924,3800,352097.8,1.38,-1.6,-0.015,6.16
90,2023-11-17,0.923,0.933,0.933,0.922,3506,324924.5,1.19,0.97,0.009,5.69
91,2023-11-20,0.929,0.928,0.929,0.921,1000,92608.4,0.86,-0.54,-0.005,1.62
92,2023-11-21,0.96,0.931,0.96,0.92,5625,525390.162,4.31,0.32,0.003,9.13
93,2023-11-22,0.925,0.916,0.925,0.914,1941,178946.6,1.18,-1.61,-0.015,3.15
94,2023-11-23,0.916,0.914,0.916,0.908,312,28376.5,0.87,-0.22,-0.002,0.51
95,2023-11-24,0.916,0.905,0.916,0.904,881,79989.2,1.31,-0.98,-0.009,1.43
96,2023-11-27,0.909,0.899,0.909,0.895,2196,198888.196,1.55,-0.66,-0.006,3.56
97,2023-11-28,0.895,0.901,0.901,0.892,199,17826.2,1.0,0.22,0.002,0.32
98,2023-11-29,0.903,0.903,0.907,0.901,20440,1847383.44,0.67,0.22,0.002,33.16
99,2023-11-30,0.905,0.898,0.905,0.893,7642,684266.9,1.33,-0.55,-0.005,12.4
100,2023-12-01,0.915,0.901,0.915,0.891,1578,140710.1,2.67,0.33,0.003,2.56
101,2023-12-04,0.902,0.91,0.922,0.902,1538,140366.5,2.22,1.0,0.009,2.5
102,2023-12-05,0.838,0.89,0.921,0.838,5299,476035.7,9.12,-2.2,-0.02,8.6
103,2023-12-06,0.89,0.912,0.918,0.89,607,55300.6,3.15,2.47,0.022,0.98
104,2023-12-07,0.903,0.905,0.911,0.899,498,45168.0,1.32,-0.77,-0.007,0.81
105,2023-12-08,0.856,0.901,0.914,0.856,5397,486032.8,6.41,-0.44,-0.004,8.76
106,2023-12-11,0.951,0.89,0.951,0.877,3261,287639.9,8.21,-1.22,-0.011,5.29
107,2023-12-12,0.885,0.885,0.887,0.883,1807,159923.7,0.45,-0.56,-0.005,2.93
108,2023-12-13,0.885,0.868,0.885,0.868,2031,177322.269,1.92,-1.92,-0.017,3.29
109,2023-12-14,0.876,0.872,0.888,0.872,6202,542105.0,1.84,0.46,0.004,10.06
110,2023-12-15,0.88,0.879,0.889,0.876,11108,978596.2,1.49,0.8,0.007,18.02
111,2023-12-18,0.922,0.865,0.922,0.864,3511,304163.8,6.6,-1.59,-0.014,5.7
112,2023-12-19,0.861,0.862,0.866,0.859,2410,208037.1,0.81,-0.35,-0.003,3.91
113,2023-12-20,0.87,0.867,0.87,0.866,4894,424200.8,0.46,0.58,0.005,7.94
114,2023-12-21,0.87,0.871,0.872,0.859,2543,221117.9,1.5,0.46,0.004,4.13
115,2023-12-22,0.866,0.884,0.89,0.864,5337,468673.284,2.99,1.49,0.013,8.66
116,2023-12-25,0.884,0.888,0.888,0.883,643,57029.524,0.57,0.45,0.004,1.04
