,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-20,0.984,0.965,0.992,0.95,440475,43191116.0,0.0,0.0,0.0,51.59
1,2021-12-21,0.969,0.976,0.978,0.967,490923,47787301.0,1.14,1.14,0.011,57.49
2,2021-12-22,0.988,0.979,0.988,0.976,109991,10774627.0,1.23,0.31,0.003,12.88
3,2021-12-23,0.979,0.982,0.987,0.979,108663,10695871.0,0.82,0.31,0.003,12.73
4,2021-12-24,0.982,0.976,0.987,0.973,115604,11303626.0,1.43,-0.61,-0.006,13.54
5,2021-12-27,0.974,0.977,0.983,0.972,109525,10696145.0,1.13,0.1,0.001,12.83
6,2021-12-28,0.979,0.987,0.988,0.977,79437,7802408.0,1.13,1.02,0.01,9.3
7,2021-12-29,0.989,0.975,0.989,0.97,28240,2755457.0,1.93,-1.22,-0.012,3.31
8,2021-12-30,0.972,0.982,0.985,0.971,165803,16268933.0,1.44,0.72,0.007,19.42
9,2021-12-31,0.985,0.982,0.985,0.978,124847,12265631.0,0.71,0.0,0.0,14.62
10,2022-01-04,0.984,0.977,0.986,0.967,77463,7530459.0,1.93,-0.51,-0.005,9.07
11,2022-01-05,0.976,0.963,0.976,0.958,24656,2380845.0,1.84,-1.43,-0.014,2.89
12,2022-01-06,0.958,0.953,0.96,0.944,68564,6529740.0,1.66,-1.04,-0.01,8.03
13,2022-01-07,0.956,0.95,0.957,0.95,32961,3138146.0,0.73,-0.31,-0.003,3.86
14,2022-01-10,0.946,0.952,0.954,0.939,131990,12533699.0,1.58,0.21,0.002,15.46
15,2022-01-11,0.95,0.939,0.953,0.939,118067,11149751.0,1.47,-1.37,-0.013,13.83
16,2022-01-12,0.939,0.951,0.954,0.939,69960,6654596.0,1.6,1.28,0.012,8.19
17,2022-01-13,0.952,0.933,0.952,0.932,39356,3694887.0,2.1,-1.89,-0.018,4.61
18,2022-01-14,0.927,0.933,0.938,0.927,111019,10365788.0,1.18,0.0,0.0,13.0
19,2022-01-17,0.934,0.948,0.948,0.934,72199,6816481.0,1.5,1.61,0.015,8.46
20,2022-01-18,0.948,0.951,0.955,0.946,122972,11672984.0,0.95,0.32,0.003,14.4
21,2022-01-19,0.951,0.939,0.953,0.932,83527,7879028.0,2.21,-1.26,-0.012,9.78
22,2022-01-20,0.94,0.944,0.949,0.94,20692,1955107.0,0.96,0.53,0.005,2.42
23,2022-01-21,0.944,0.933,0.944,0.93,47705,4471039.0,1.48,-1.17,-0.011,5.59
24,2022-01-24,0.93,0.938,0.942,0.928,27734,2594546.0,1.5,0.54,0.005,3.25
25,2022-01-25,0.936,0.918,0.938,0.918,19625,1828115.0,2.13,-2.13,-0.02,2.3
26,2022-01-26,0.926,0.924,0.927,0.912,20525,1891875.0,1.63,0.65,0.006,2.4
27,2022-01-27,0.921,0.901,0.923,0.901,33046,3008420.0,2.38,-2.49,-0.023,3.87
28,2022-01-28,0.91,0.901,0.911,0.892,34071,3081636.0,2.11,0.0,0.0,3.99
29,2022-02-07,0.897,0.905,0.92,0.897,11100,1009589.0,2.55,0.44,0.004,1.3
30,2022-02-08,0.898,0.887,0.898,0.87,77816,6854185.0,3.09,-1.99,-0.018,9.11
31,2022-02-09,0.88,0.902,0.902,0.88,22104,1972560.0,2.48,1.69,0.015,2.59
32,2022-02-10,0.898,0.891,0.898,0.885,25058,2224762.0,1.44,-1.22,-0.011,2.93
33,2022-02-11,0.883,0.878,0.893,0.877,66032,5860362.0,1.8,-1.46,-0.013,7.73
34,2022-02-14,0.878,0.869,0.879,0.865,54787,4774634.0,1.59,-1.03,-0.009,6.42
35,2022-02-15,0.871,0.886,0.886,0.871,80798,7065643.0,1.73,1.96,0.017,9.46
36,2022-02-16,0.89,0.888,0.893,0.886,9333,830125.0,0.79,0.23,0.002,1.09
37,2022-02-17,0.887,0.892,0.896,0.886,22274,1982936.0,1.13,0.45,0.004,2.61
38,2022-02-18,0.889,0.894,0.894,0.885,12329,1094404.0,1.01,0.22,0.002,1.44
