,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-16,1.015,0.966,1.015,0.962,599889,58466204.0,0.0,0.0,0.0,13.29
1,2021-08-17,0.967,0.946,0.978,0.932,247296,23669745.0,4.76,-2.07,-0.02,5.48
2,2021-08-18,0.945,0.95,0.966,0.94,227850,21721570.0,2.75,0.42,0.004,5.05
3,2021-08-19,0.95,0.954,0.966,0.925,219460,20819310.0,4.32,0.42,0.004,4.86
4,2021-08-20,0.955,0.971,0.98,0.933,268429,25716965.0,4.93,1.78,0.017,5.95
5,2021-08-23,0.969,1.011,1.018,0.966,823130,82406373.0,5.36,4.12,0.04,18.24
6,2021-08-24,1.01,1.028,1.052,1.002,582816,60291452.0,4.95,1.68,0.017,12.92
7,2021-08-25,1.029,1.051,1.055,1.024,420491,43802814.0,3.02,2.24,0.023,9.32
8,2021-08-26,1.051,1.067,1.081,1.039,404823,42950833.0,4.0,1.52,0.016,8.97
9,2021-08-27,1.061,1.088,1.096,1.054,398965,43095295.0,3.94,1.97,0.021,8.84
10,2021-08-30,1.095,1.118,1.13,1.083,442526,49004680.0,4.32,2.76,0.03,9.81
11,2021-08-31,1.118,1.17,1.17,1.097,444746,50182960.0,6.53,4.65,0.052,9.86
12,2021-09-01,1.173,1.093,1.199,1.09,807876,91961149.0,9.32,-6.58,-0.077,17.9
13,2021-09-02,1.062,1.13,1.141,1.062,504948,56178225.0,7.23,3.39,0.037,11.19
14,2021-09-03,1.113,1.089,1.145,1.07,473549,52061814.0,6.64,-3.63,-0.041,10.49
15,2021-09-06,1.075,1.088,1.094,1.04,406467,43338821.0,4.96,-0.09,-0.001,9.01
16,2021-09-07,1.085,1.132,1.138,1.073,468370,52138686.0,5.97,4.04,0.044,10.38
17,2021-09-08,1.125,1.134,1.155,1.12,409327,46648431.0,3.09,0.18,0.002,9.07
18,2021-09-09,1.134,1.158,1.16,1.125,408696,46742161.0,3.09,2.12,0.024,9.06
19,2021-09-10,1.158,1.176,1.18,1.147,402314,46985665.0,2.85,1.55,0.018,8.92
20,2021-09-13,1.177,1.183,1.201,1.157,350972,41488975.0,3.74,0.6,0.007,7.78
21,2021-09-14,1.173,1.177,1.201,1.142,347518,40937387.0,4.99,-0.51,-0.006,7.7
22,2021-09-15,1.177,1.175,1.18,1.156,180699,21130321.0,2.04,-0.17,-0.002,4.0
23,2021-09-16,1.172,1.119,1.187,1.118,253671,29042929.0,5.87,-4.77,-0.056,5.62
24,2021-09-17,1.124,1.093,1.133,1.055,304637,33314121.0,6.97,-2.32,-0.026,6.75
25,2021-09-22,1.065,1.096,1.102,1.065,187088,20433928.0,3.39,0.27,0.003,4.15
26,2021-09-23,1.097,1.103,1.12,1.09,238223,26346731.0,2.74,0.64,0.007,5.28
27,2021-09-24,1.128,1.084,1.142,1.079,391752,43393148.0,5.71,-1.72,-0.019,8.68
28,2021-09-27,1.07,0.991,1.075,0.985,714771,71934178.0,8.3,-8.58,-0.093,15.84
29,2021-09-28,0.991,0.99,0.998,0.968,428205,42037150.0,3.03,-0.1,-0.001,9.49
30,2021-09-29,0.984,0.942,0.987,0.938,421518,40288697.0,4.95,-4.85,-0.048,9.34
31,2021-09-30,0.945,0.972,0.974,0.945,336590,32497171.0,3.08,3.18,0.03,7.46
32,2021-10-08,0.986,0.959,0.993,0.953,348695,33684156.0,4.12,-1.34,-0.013,7.73
33,2021-10-11,0.959,0.955,0.966,0.924,346507,32708277.0,4.38,-0.42,-0.004,7.68
34,2021-10-12,0.949,0.919,0.959,0.902,495510,45739301.0,5.97,-3.77,-0.036,10.98
35,2021-10-13,0.92,0.941,0.946,0.918,484159,45022633.0,3.05,2.39,0.022,10.73
36,2021-10-14,0.937,0.943,0.952,0.926,414807,39035923.0,2.76,0.21,0.002,9.19
37,2021-10-15,0.944,0.953,0.958,0.933,494803,46843939.0,2.65,1.06,0.01,10.97
38,2021-10-18,0.956,0.97,0.97,0.942,517214,49467297.0,2.94,1.78,0.017,11.46
39,2021-10-19,0.97,0.971,0.975,0.95,345453,33257602.0,2.58,0.1,0.001,7.66
40,2021-10-20,0.96,0.985,0.995,0.95,477671,46749897.0,4.63,1.44,0.014,10.59
41,2021-10-21,0.989,1.007,1.021,0.981,535387,53739600.0,4.06,2.23,0.022,11.86
42,2021-10-22,0.995,0.98,1.01,0.979,431277,42832947.0,3.08,-2.68,-0.027,9.56
43,2021-10-25,0.98,1.011,1.015,0.971,402773,40135872.0,4.49,3.16,0.031,8.93
44,2021-10-26,1.016,1.029,1.039,1.007,431069,44259507.0,3.17,1.78,0.018,9.55
