,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-20,0.981,0.998,1.0,0.973,774819,76822903.0,0.0,0.0,0.0,64.67
1,2021-07-21,0.998,1.031,1.033,0.998,1601410,163413729.0,3.51,3.31,0.033,133.66
2,2021-07-22,1.04,1.04,1.048,1.025,694544,71956366.0,2.23,0.87,0.009,57.97
3,2021-07-23,1.04,1.033,1.056,1.026,604300,62906810.0,2.88,-0.67,-0.007,50.44
4,2021-07-26,1.025,1.01,1.039,0.988,304567,30962210.0,4.94,-2.23,-0.023,25.42
5,2021-07-27,1.01,0.974,1.032,0.973,391210,39545962.0,5.84,-3.56,-0.036,32.65
6,2021-07-28,0.97,0.975,0.99,0.94,235776,22883706.0,5.13,0.1,0.001,19.68
7,2021-07-29,1.0,1.019,1.023,0.988,361502,36388319.0,3.59,4.51,0.044,30.17
8,2021-07-30,1.018,1.02,1.039,1.009,391507,40162149.0,2.94,0.1,0.001,32.68
9,2021-08-02,1.025,1.05,1.064,1.021,481046,50304714.0,4.22,2.94,0.03,40.15
10,2021-08-03,1.05,1.021,1.054,1.016,240186,24611421.0,3.62,-2.76,-0.029,20.05
11,2021-08-04,1.021,1.083,1.085,1.021,684935,72706277.0,6.27,6.07,0.062,57.17
12,2021-08-05,1.081,1.079,1.086,1.063,167899,18065456.0,2.12,-0.37,-0.004,14.01
13,2021-08-06,1.089,1.085,1.112,1.075,274792,30125868.0,3.43,0.56,0.006,22.94
14,2021-08-09,1.079,1.052,1.079,1.033,225419,23508951.0,4.24,-3.04,-0.033,18.81
15,2021-08-10,1.051,1.037,1.056,1.02,328270,34024044.0,3.42,-1.43,-0.015,27.4
16,2021-08-11,1.036,1.045,1.052,1.028,174178,18150388.0,2.31,0.77,0.008,14.54
17,2021-08-12,1.045,1.047,1.054,1.032,211828,22119774.0,2.11,0.19,0.002,17.68
18,2021-08-13,1.045,1.035,1.07,1.03,241662,25377679.0,3.82,-1.15,-0.012,20.17
19,2021-08-16,1.03,1.005,1.03,0.991,349683,35025391.0,3.77,-2.9,-0.03,29.19
20,2021-08-17,1.0,0.982,1.006,0.976,255280,25250150.0,2.99,-2.29,-0.023,21.31
21,2021-08-18,0.985,0.983,0.997,0.974,203226,19931502.0,2.34,0.1,0.001,16.96
22,2021-08-19,0.983,1.011,1.022,0.979,248816,25005862.0,4.37,2.85,0.028,20.77
23,2021-08-20,1.006,0.998,1.012,0.986,205345,20381213.0,2.57,-1.29,-0.013,17.14
24,2021-08-23,1.002,1.025,1.029,0.991,199763,20352399.0,3.81,2.71,0.027,16.67
25,2021-08-24,1.022,1.04,1.052,1.022,330200,34361332.0,2.93,1.46,0.015,27.56
26,2021-08-25,1.052,1.035,1.052,1.021,282436,29123282.0,2.98,-0.48,-0.005,23.57
27,2021-08-26,1.035,1.017,1.052,1.015,171773,17595776.0,3.57,-1.74,-0.018,14.34
28,2021-08-27,1.015,1.026,1.032,1.01,183882,18784259.0,2.16,0.88,0.009,15.35
29,2021-08-30,1.027,1.036,1.054,1.022,285745,29702726.0,3.12,0.97,0.01,23.85
30,2021-08-31,1.043,1.017,1.043,1.007,261880,26662633.0,3.47,-1.83,-0.019,21.86
31,2021-09-01,1.032,0.993,1.032,0.973,316585,31451084.0,5.8,-2.36,-0.024,26.42
32,2021-09-02,0.993,0.988,0.997,0.984,194842,19327384.0,1.31,-0.5,-0.005,16.26
33,2021-09-03,0.987,0.96,0.992,0.953,275287,26682958.0,3.95,-2.83,-0.028,22.98
34,2021-09-06,0.973,1.002,1.002,0.96,304620,29951032.0,4.38,4.38,0.042,25.42
35,2021-09-07,1.006,1.023,1.025,0.997,298424,30283542.0,2.79,2.1,0.021,24.91
36,2021-09-08,1.026,1.005,1.026,1.001,196568,19874474.0,2.44,-1.76,-0.018,16.41
37,2021-09-09,1.014,1.014,1.024,0.997,279306,28214641.0,2.69,0.9,0.009,23.31
38,2021-09-10,1.015,1.013,1.017,1.0,273009,27544222.0,1.68,-0.1,-0.001,22.79
39,2021-09-13,1.013,1.005,1.02,0.999,213641,21487547.0,2.07,-0.79,-0.008,17.83
40,2021-09-14,1.004,1.023,1.042,0.999,391775,40258531.0,4.28,1.79,0.018,32.7
41,2021-09-15,1.022,1.021,1.029,1.012,226539,23165192.0,1.66,-0.2,-0.002,18.91
42,2021-09-16,1.025,0.99,1.025,0.986,361881,36060003.0,3.82,-3.04,-0.031,30.2
43,2021-09-17,0.985,0.994,0.998,0.973,274222,27127659.0,2.53,0.4,0.004,22.89
44,2021-09-22,0.989,0.982,0.989,0.977,267169,26228702.0,1.21,-1.21,-0.012,22.3
45,2021-09-23,0.993,0.984,0.997,0.982,303267,30009201.0,1.53,0.2,0.002,25.31
46,2021-09-24,0.979,0.989,1.007,0.973,324126,31864419.0,3.46,0.51,0.005,27.05
47,2021-09-27,0.989,0.987,1.006,0.97,405052,40045244.0,3.64,-0.2,-0.002,33.81
48,2021-09-28,0.981,0.967,0.988,0.965,351966,34447704.0,2.33,-2.03,-0.02,29.38
49,2021-09-29,0.96,0.952,0.965,0.948,332071,31803269.0,1.76,-1.55,-0.015,27.72
50,2021-09-30,0.956,0.983,0.984,0.954,741797,71982832.0,3.15,3.26,0.031,61.91
51,2021-10-08,0.987,0.977,1.001,0.971,395954,38992513.0,3.05,-0.61,-0.006,33.05
52,2021-10-11,0.972,0.981,0.993,0.967,347301,34070769.0,2.66,0.41,0.004,28.99
53,2021-10-12,0.981,0.957,0.981,0.951,375924,36343871.0,3.06,-2.45,-0.024,31.38
54,2021-10-13,0.967,0.993,0.994,0.959,315676,30834707.0,3.66,3.76,0.036,26.35
55,2021-10-14,0.984,1.002,1.005,0.984,260655,26045568.0,2.11,0.91,0.009,21.76
56,2021-10-15,1.005,1.032,1.036,0.992,382352,38797324.0,4.39,2.99,0.03,31.91
57,2021-10-18,1.033,1.043,1.044,1.024,270205,27947509.0,1.94,1.07,0.011,22.55
58,2021-10-19,1.048,1.048,1.06,1.044,270319,28362663.0,1.53,0.48,0.005,22.56
59,2021-10-20,1.048,1.057,1.068,1.048,271955,28842624.0,1.91,0.86,0.009,22.7
60,2021-10-21,1.066,1.048,1.066,1.04,282116,29599610.0,2.46,-0.85,-0.009,23.55
61,2021-10-22,1.045,1.051,1.063,1.045,354434,37343626.0,1.72,0.29,0.003,29.58
62,2021-10-25,1.051,1.077,1.08,1.051,340608,36301247.0,2.76,2.47,0.026,28.43
63,2021-10-26,1.09,1.081,1.104,1.078,325904,35632197.0,2.41,0.37,0.004,27.2
64,2021-10-27,1.073,1.093,1.1,1.073,201044,21917974.0,2.5,1.11,0.012,16.78
65,2021-10-28,1.093,1.085,1.11,1.081,275022,30191333.0,2.65,-0.73,-0.008,22.95
66,2021-10-29,1.092,1.106,1.106,1.069,208305,22691912.0,3.41,1.94,0.021,17.39
67,2021-11-01,1.102,1.098,1.114,1.085,179469,19756301.0,2.62,-0.72,-0.008,14.98
68,2021-11-02,1.098,1.11,1.124,1.098,259712,28946897.0,2.37,1.09,0.012,21.68
69,2021-11-03,1.109,1.093,1.11,1.081,231702,25315131.0,2.61,-1.53,-0.017,19.34
70,2021-11-04,1.099,1.119,1.123,1.099,254791,28430464.0,2.2,2.38,0.026,21.27
71,2021-11-05,1.113,1.109,1.134,1.109,271978,30548419.0,2.23,-0.89,-0.01,22.7
72,2021-11-08,1.121,1.137,1.144,1.109,319378,36065638.0,3.16,2.52,0.028,26.66
73,2021-11-09,1.136,1.144,1.147,1.136,284123,32443030.0,0.97,0.62,0.007,23.71
74,2021-11-10,1.138,1.124,1.138,1.104,296065,33072558.0,2.97,-1.75,-0.02,24.71
75,2021-11-11,1.129,1.127,1.133,1.121,271674,30587272.0,1.07,0.27,0.003,22.67
76,2021-11-12,1.128,1.126,1.134,1.117,265912,29858782.0,1.51,-0.09,-0.001,22.19
77,2021-11-15,1.12,1.097,1.129,1.091,254597,28100656.0,3.37,-2.58,-0.029,21.25
78,2021-11-16,1.097,1.089,1.1,1.087,290174,31740532.0,1.19,-0.73,-0.008,24.22
79,2021-11-17,1.097,1.096,1.103,1.092,257758,28257023.0,1.01,0.64,0.007,21.51
80,2021-11-18,1.098,1.092,1.103,1.083,295045,32185548.0,1.82,-0.36,-0.004,24.63
81,2021-11-19,1.101,1.103,1.103,1.091,492043,53985920.0,1.1,1.01,0.011,41.07
82,2021-11-22,1.104,1.162,1.164,1.104,455880,52214547.0,5.44,5.35,0.059,38.05
83,2021-11-23,1.162,1.155,1.162,1.145,273164,31496894.0,1.46,-0.6,-0.007,22.8
84,2021-11-24,1.15,1.139,1.16,1.137,263610,30280089.0,1.99,-1.39,-0.016,22.0
85,2021-11-25,1.139,1.136,1.142,1.13,221213,25163001.0,1.05,-0.26,-0.003,18.46
86,2021-11-26,1.133,1.147,1.154,1.131,284865,32655831.0,2.02,0.97,0.011,23.78
87,2021-11-29,1.142,1.164,1.165,1.126,265214,30650002.0,3.4,1.48,0.017,22.14
88,2021-11-30,1.16,1.158,1.169,1.151,319625,37044071.0,1.55,-0.52,-0.006,26.68
89,2021-12-01,1.156,1.15,1.164,1.143,332867,38445356.0,1.81,-0.69,-0.008,27.78
90,2021-12-02,1.142,1.164,1.169,1.142,332766,38612455.0,2.35,1.22,0.014,27.77
91,2021-12-03,1.166,1.164,1.168,1.154,289588,33648714.0,1.2,0.0,0.0,24.17
92,2021-12-06,1.159,1.134,1.162,1.134,238424,27386612.0,2.41,-2.58,-0.03,19.9
93,2021-12-07,1.148,1.104,1.148,1.093,292862,32521962.0,4.85,-2.65,-0.03,24.44
94,2021-12-08,1.118,1.131,1.133,1.109,269460,30321114.0,2.17,2.45,0.027,22.49
95,2021-12-09,1.132,1.133,1.135,1.125,277143,31327144.0,0.88,0.18,0.002,23.13
96,2021-12-10,1.118,1.142,1.142,1.118,276968,31348754.0,2.12,0.79,0.009,23.12
97,2021-12-13,1.143,1.139,1.143,1.127,292662,33230826.0,1.4,-0.26,-0.003,24.43
98,2021-12-14,1.134,1.125,1.134,1.12,217748,24501647.0,1.23,-1.23,-0.014,18.17
99,2021-12-15,1.122,1.114,1.131,1.113,208470,23395865.0,1.6,-0.98,-0.011,17.4
100,2021-12-16,1.11,1.116,1.121,1.108,325894,36204267.0,1.17,0.18,0.002,27.2
101,2021-12-17,1.115,1.093,1.115,1.092,335557,36915358.0,2.06,-2.06,-0.023,28.01
102,2021-12-20,1.101,1.053,1.101,1.052,346120,37386216.0,4.48,-3.66,-0.04,28.89
103,2021-12-21,1.055,1.063,1.066,1.05,341474,36131034.0,1.52,0.95,0.01,28.5
104,2021-12-22,1.079,1.081,1.084,1.07,325645,35182363.0,1.32,1.69,0.018,27.18
105,2021-12-23,1.081,1.087,1.094,1.079,348963,37932650.0,1.39,0.56,0.006,29.13
106,2021-12-24,1.087,1.052,1.092,1.042,366725,38736226.0,4.6,-3.22,-0.035,30.61
107,2021-12-27,1.051,1.05,1.063,1.047,349966,36975488.0,1.52,-0.19,-0.002,29.21
108,2021-12-28,1.055,1.066,1.066,1.049,348241,36698188.0,1.62,1.52,0.016,29.07
109,2021-12-29,1.067,1.054,1.067,1.047,353301,37222402.0,1.88,-1.13,-0.012,29.49
110,2021-12-30,1.053,1.06,1.066,1.049,330336,35038696.0,1.61,0.57,0.006,27.57
111,2021-12-31,1.06,1.062,1.073,1.058,343243,36502610.0,1.42,0.19,0.002,28.65
112,2022-01-04,1.069,1.049,1.084,1.04,353129,37258610.0,4.14,-1.22,-0.013,29.47
113,2022-01-05,1.049,1.005,1.049,0.997,386126,39304456.0,4.96,-4.19,-0.044,32.23
114,2022-01-06,0.985,0.993,0.998,0.98,339514,33667441.0,1.79,-1.19,-0.012,28.34
115,2022-01-07,0.992,0.982,1.004,0.976,398415,39341284.0,2.82,-1.11,-0.011,33.25
116,2022-01-10,0.982,0.987,0.996,0.964,360804,35343796.0,3.26,0.51,0.005,30.11
117,2022-01-11,0.991,0.972,0.996,0.97,397713,39096325.0,2.63,-1.52,-0.015,33.19
118,2022-01-12,0.982,1.009,1.01,0.982,391147,39050120.0,2.88,3.81,0.037,32.65
119,2022-01-13,1.011,0.993,1.013,0.987,381867,38158550.0,2.58,-1.59,-0.016,31.87
120,2022-01-14,0.994,1.006,1.012,0.982,357359,35683436.0,3.02,1.31,0.013,29.83
121,2022-01-17,1.006,1.034,1.038,1.006,304181,31171330.0,3.18,2.78,0.028,25.39
122,2022-01-18,1.035,1.03,1.039,1.022,340342,35026197.0,1.64,-0.39,-0.004,28.41
123,2022-01-19,1.015,0.999,1.031,0.988,367505,37026356.0,4.17,-3.01,-0.031,30.67
124,2022-01-20,1.0,0.997,1.007,0.994,318635,31864112.0,1.3,-0.2,-0.002,26.59
125,2022-01-21,0.994,0.988,1.003,0.981,346728,34432981.0,2.21,-0.9,-0.009,28.94
126,2022-01-24,0.982,1.007,1.011,0.979,297804,29555084.0,3.24,1.92,0.019,24.86
127,2022-01-25,1.005,0.983,1.011,0.982,223585,22288554.0,2.88,-2.38,-0.024,18.66
128,2022-01-26,0.988,0.994,1.0,0.976,314554,31126204.0,2.44,1.12,0.011,26.25
129,2022-01-27,0.994,0.96,0.994,0.96,349694,34165779.0,3.42,-3.42,-0.034,29.19
130,2022-01-28,0.965,0.952,0.985,0.937,301980,28838185.0,5.0,-0.83,-0.008,25.2
131,2022-02-07,0.957,0.956,0.987,0.953,268295,25942315.0,3.57,0.42,0.004,22.39
132,2022-02-08,0.956,0.918,0.956,0.897,338928,31054235.0,6.17,-3.97,-0.038,28.29
133,2022-02-09,0.915,0.928,0.931,0.903,304413,27926459.0,3.05,1.09,0.01,25.41
134,2022-02-10,0.93,0.908,0.932,0.898,346526,31405883.0,3.66,-2.16,-0.02,28.92
135,2022-02-11,0.908,0.886,0.914,0.884,354355,31795257.0,3.3,-2.42,-0.022,29.58
136,2022-02-14,0.888,0.896,0.908,0.878,308725,27647637.0,3.39,1.13,0.01,25.77
137,2022-02-15,0.902,0.93,0.93,0.901,319119,29250124.0,3.24,3.79,0.034,26.63
138,2022-02-16,0.933,0.931,0.943,0.927,281778,26368329.0,1.72,0.11,0.001,23.52
139,2022-02-17,0.931,0.948,0.957,0.925,304604,28715207.0,3.44,1.83,0.017,25.42
140,2022-02-18,0.94,0.937,0.942,0.933,277970,26013041.0,0.95,-1.16,-0.011,23.2
141,2022-02-21,0.937,0.927,0.94,0.923,270488,25126915.0,1.81,-1.07,-0.01,22.58
142,2022-02-22,0.923,0.923,0.923,0.908,298018,27273139.0,1.62,-0.43,-0.004,24.87
143,2022-02-23,0.923,0.956,0.957,0.923,218358,20675238.0,3.68,3.58,0.033,18.22
144,2022-02-24,0.959,0.941,0.96,0.929,313193,29662869.0,3.24,-1.57,-0.015,26.14
145,2022-02-25,0.942,0.957,0.969,0.942,295977,28419701.0,2.87,1.7,0.016,24.7
146,2022-02-28,0.957,0.961,0.966,0.952,277996,26647975.0,1.46,0.42,0.004,23.2
