,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-14,2.028,2.044,2.06,2.018,2184103,222590920.0,0.0,0.0,0.0,65.25
1,2021-07-15,2.044,2.05,2.054,2.04,782068,80062625.0,0.68,0.29,0.006,23.37
2,2021-07-16,2.048,2.05,2.064,2.042,499126,51253690.0,1.07,0.0,0.0,14.91
3,2021-07-19,2.04,2.018,2.05,2.012,387092,39104534.0,1.85,-1.56,-0.032,11.56
4,2021-07-20,2.018,1.988,2.026,1.984,297870,29846615.0,2.08,-1.49,-0.03,8.9
5,2021-07-21,1.986,1.986,2.002,1.976,178254,17707414.0,1.31,-0.1,-0.002,5.33
6,2021-07-22,1.99,2.0,2.012,1.982,147023,14731259.0,1.51,0.7,0.014,4.39
7,2021-07-23,2.0,1.968,2.002,1.964,159949,15800064.0,1.9,-1.6,-0.032,4.78
8,2021-07-26,1.954,1.85,1.954,1.84,214586,20049281.0,5.79,-6.0,-0.118,6.41
9,2021-07-27,1.852,1.698,1.852,1.698,367577,32456138.0,8.32,-8.22,-0.152,10.98
10,2021-07-28,1.698,1.726,1.748,1.68,422786,36082417.0,4.0,1.65,0.028,12.63
11,2021-07-29,1.792,1.844,1.864,1.792,355354,32590850.0,4.17,6.84,0.118,10.62
12,2021-07-30,1.836,1.8,1.836,1.78,269641,24281853.0,3.04,-2.39,-0.044,8.06
13,2021-08-02,1.8,1.816,1.83,1.784,238543,21562838.0,2.56,0.89,0.016,7.13
14,2021-08-03,1.82,1.822,1.828,1.78,286400,25843218.0,2.64,0.33,0.006,8.56
15,2021-08-04,1.824,1.866,1.878,1.814,238878,22171812.0,3.51,2.41,0.044,7.14
16,2021-08-05,1.878,1.83,1.886,1.828,265726,24762111.0,3.11,-1.93,-0.036,7.94
17,2021-08-06,1.84,1.818,1.84,1.812,216332,19692613.0,1.53,-0.66,-0.012,6.46
18,2021-08-09,1.806,1.808,1.824,1.782,307796,27824499.0,2.31,-0.55,-0.01,9.2
19,2021-08-10,1.81,1.85,1.854,1.81,202047,18536525.0,2.43,2.32,0.042,6.04
20,2021-08-11,1.86,1.844,1.868,1.84,231965,21506872.0,1.51,-0.32,-0.006,6.93
21,2021-08-12,1.846,1.81,1.846,1.808,165175,15065800.0,2.06,-1.84,-0.034,4.93
22,2021-08-13,1.81,1.774,1.81,1.77,230591,20604132.0,2.21,-1.99,-0.036,6.89
23,2021-08-16,1.764,1.732,1.784,1.728,201339,17546144.0,3.16,-2.37,-0.042,6.02
24,2021-08-17,1.734,1.664,1.742,1.66,409669,34682210.0,4.73,-3.93,-0.068,12.24
25,2021-08-18,1.696,1.678,1.696,1.666,259214,21785990.0,1.8,0.84,0.014,7.74
26,2021-08-19,1.688,1.65,1.694,1.65,223906,18676568.0,2.62,-1.67,-0.028,6.69
27,2021-08-20,1.656,1.594,1.656,1.558,541262,43017065.0,5.94,-3.39,-0.056,16.17
28,2021-08-23,1.602,1.622,1.644,1.602,299255,24401450.0,2.63,1.76,0.028,8.94
29,2021-08-24,1.642,1.708,1.714,1.642,380719,32205541.0,4.44,5.3,0.086,11.37
30,2021-08-25,1.75,1.718,1.774,1.718,434186,37765004.0,3.28,0.59,0.01,12.97
31,2021-08-26,1.732,1.688,1.738,1.684,332790,28386436.0,3.14,-1.75,-0.03,9.94
32,2021-08-27,1.686,1.682,1.722,1.682,281809,23992043.0,2.37,-0.36,-0.006,8.42
33,2021-08-30,1.694,1.704,1.714,1.682,199613,16983446.0,1.9,1.31,0.022,5.96
34,2021-08-31,1.702,1.74,1.742,1.688,310373,26657942.0,3.17,2.11,0.036,9.27
35,2021-09-01,1.754,1.774,1.788,1.754,345483,30666818.0,1.95,1.95,0.034,10.32
36,2021-09-02,1.784,1.786,1.818,1.78,157821,14181619.0,2.14,0.68,0.012,4.72
37,2021-09-03,1.786,1.764,1.79,1.76,161381,14296929.0,1.68,-1.23,-0.022,4.82
38,2021-09-06,1.774,1.788,1.788,1.758,233609,20757746.0,1.7,1.36,0.024,6.98
39,2021-09-07,1.8,1.812,1.824,1.798,152601,13845827.0,1.45,1.34,0.024,4.56
40,2021-09-08,1.812,1.808,1.84,1.806,227782,20721015.0,1.88,-0.22,-0.004,6.81
41,2021-09-09,1.798,1.754,1.798,1.754,291339,25815007.0,2.43,-2.99,-0.054,8.7
42,2021-09-10,1.748,1.77,1.782,1.746,230391,20431703.0,2.05,0.91,0.016,6.88
43,2021-09-13,1.744,1.726,1.78,1.722,247952,21557671.0,3.28,-2.49,-0.044,7.41
44,2021-09-14,1.728,1.71,1.742,1.708,342926,29642358.0,1.97,-0.93,-0.016,10.25
45,2021-09-15,1.71,1.686,1.714,1.68,352318,29949048.0,1.99,-1.4,-0.024,10.53
46,2021-09-16,1.7,1.658,1.7,1.65,217973,18188215.0,2.97,-1.66,-0.028,6.51
47,2021-09-17,1.658,1.712,1.72,1.658,346813,29558647.0,3.74,3.26,0.054,10.36
48,2021-09-22,1.69,1.694,1.702,1.68,29037,2461132.0,1.29,-1.05,-0.018,0.87
49,2021-09-23,1.696,1.686,1.72,1.676,193072,16376292.0,2.6,-0.47,-0.008,5.77
50,2021-09-24,1.698,1.672,1.7,1.668,316169,26653134.0,1.9,-0.83,-0.014,9.45
51,2021-09-27,1.68,1.664,1.694,1.66,392487,32936632.0,2.03,-0.48,-0.008,11.73
52,2021-09-28,1.664,1.694,1.7,1.664,326902,27571582.0,2.16,1.8,0.03,9.77
53,2021-09-29,1.68,1.676,1.68,1.66,241923,20173285.0,1.18,-1.06,-0.018,7.23
54,2021-09-30,1.668,1.67,1.676,1.658,137098,11406156.0,1.07,-0.36,-0.006,4.1
55,2021-10-08,1.714,1.668,1.72,1.66,181486,15222997.0,3.59,-0.12,-0.002,5.42
56,2021-10-11,1.672,1.696,1.716,1.672,254449,21655177.0,2.64,1.68,0.028,7.6
57,2021-10-12,1.694,1.668,1.694,1.664,192412,16155692.0,1.77,-1.65,-0.028,5.75
58,2021-10-13,1.67,1.682,1.682,1.664,15706,1317018.0,1.08,0.84,0.014,0.47
59,2021-10-14,1.68,1.686,1.69,1.674,33101,2788961.0,0.95,0.24,0.004,0.99
60,2021-10-15,1.694,1.684,1.694,1.666,287813,24160622.0,1.66,-0.12,-0.002,8.6
61,2021-10-18,1.684,1.682,1.694,1.678,234841,19786230.0,0.95,-0.12,-0.002,7.02
62,2021-10-19,1.694,1.744,1.746,1.694,219179,18954072.0,3.09,3.69,0.062,6.55
63,2021-10-20,1.75,1.774,1.79,1.75,274233,24333362.0,2.29,1.72,0.03,8.19
64,2021-10-21,1.776,1.746,1.782,1.742,201869,17841780.0,2.25,-1.58,-0.028,6.03
65,2021-10-22,1.75,1.766,1.778,1.75,119480,10537963.0,1.6,1.15,0.02,3.57
66,2021-10-25,1.754,1.772,1.78,1.754,124026,10984201.0,1.47,0.34,0.006,3.71
67,2021-10-26,1.752,1.75,1.782,1.748,151246,13348379.0,1.92,-1.24,-0.022,4.52
68,2021-10-27,1.716,1.708,1.73,1.704,154495,13220077.0,1.49,-2.4,-0.042,4.62
69,2021-10-28,1.708,1.71,1.734,1.704,116750,10041474.0,1.76,0.12,0.002,3.49
70,2021-10-29,1.692,1.698,1.71,1.69,185391,15765947.0,1.17,-0.7,-0.012,5.54
71,2021-11-01,1.696,1.68,1.704,1.67,247694,20817403.0,2.0,-1.06,-0.018,7.4
72,2021-11-02,1.706,1.674,1.718,1.672,258167,21880959.0,2.74,-0.36,-0.006,7.71
