,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-11-24,0.992,0.994,0.999,0.981,1175231,116151821.0,0.0,0.0,0.0,241.03
1,2021-11-25,0.99,0.985,1.001,0.984,112007,11066228.0,1.71,-0.91,-0.009,22.97
2,2021-11-26,0.986,0.971,0.986,0.966,242010,23524137.0,2.03,-1.42,-0.014,49.63
3,2021-11-29,0.964,0.949,0.966,0.943,168928,16139061.0,2.37,-2.27,-0.022,34.65
4,2021-11-30,0.948,0.942,0.955,0.94,106805,10086242.0,1.58,-0.74,-0.007,21.9
5,2021-12-01,0.947,0.957,0.957,0.947,53491,5100695.0,1.06,1.59,0.015,10.97
6,2021-12-02,0.955,0.949,0.955,0.945,28267,2691684.0,1.04,-0.84,-0.008,5.8
7,2021-12-03,0.949,0.95,0.95,0.948,7752,735734.0,0.21,0.11,0.001,1.59
8,2021-12-06,0.945,0.938,0.95,0.937,16223,1533245.0,1.37,-1.26,-0.012,3.33
9,2021-12-07,0.938,0.945,0.945,0.932,43139,4039669.0,1.39,0.75,0.007,8.85
10,2021-12-08,0.944,0.965,0.972,0.944,57490,5517168.0,2.96,2.12,0.02,11.79
11,2021-12-09,0.965,0.984,0.988,0.965,63572,6215935.0,2.38,1.97,0.019,13.04
12,2021-12-10,0.983,0.971,0.983,0.971,42717,4180849.0,1.22,-1.32,-0.013,8.76
13,2021-12-13,0.983,0.989,0.996,0.975,128112,12671806.0,2.16,1.85,0.018,26.27
14,2021-12-14,0.99,0.977,0.99,0.973,43995,4303041.0,1.72,-1.21,-0.012,9.02
15,2021-12-15,0.963,0.97,0.984,0.963,34554,3366652.0,2.15,-0.72,-0.007,7.09
16,2021-12-16,0.961,0.971,0.979,0.957,58751,5655445.0,2.27,0.1,0.001,12.05
17,2021-12-17,0.963,0.955,0.963,0.951,39005,3737625.0,1.24,-1.65,-0.016,8.0
18,2021-12-20,0.959,0.934,0.959,0.932,21683,2062204.0,2.83,-2.2,-0.021,4.45
19,2021-12-21,0.93,0.945,0.945,0.93,12695,1189638.0,1.61,1.18,0.011,2.6
20,2021-12-22,0.947,0.959,0.967,0.947,19038,1824762.0,2.12,1.48,0.014,3.9
21,2021-12-23,0.947,0.955,0.965,0.947,18468,1771906.0,1.88,-0.42,-0.004,3.79
22,2021-12-24,0.955,0.956,0.96,0.954,20460,1959931.0,0.63,0.1,0.001,4.2
23,2021-12-27,0.951,0.952,0.952,0.949,2929,278152.0,0.31,-0.42,-0.004,0.6
24,2021-12-28,0.952,0.952,0.954,0.943,3625,342936.0,1.16,0.0,0.0,0.74
25,2021-12-29,0.946,0.933,0.946,0.932,16823,1574431.0,1.47,-2.0,-0.019,3.45
26,2021-12-30,0.939,0.945,0.946,0.939,5183,488760.0,0.75,1.29,0.012,1.06
27,2021-12-31,0.963,0.957,0.965,0.95,22954,2202393.0,1.59,1.27,0.012,4.71
28,2022-01-04,0.957,0.975,0.978,0.956,60689,5882038.0,2.3,1.88,0.018,12.45
29,2022-01-05,0.971,0.954,0.971,0.954,15977,1535813.0,1.74,-2.15,-0.021,3.28
30,2022-01-06,0.946,0.937,0.955,0.933,17929,1683109.0,2.31,-1.78,-0.017,3.68
31,2022-01-07,0.955,0.944,0.955,0.944,12946,1231712.0,1.17,0.75,0.007,2.66
32,2022-01-10,0.943,0.959,0.964,0.94,15308,1460912.0,2.54,1.59,0.015,3.14
33,2022-01-11,0.964,0.955,0.971,0.948,34726,3331773.0,2.4,-0.42,-0.004,7.12
34,2022-01-12,0.999,0.976,0.999,0.908,43739,4261093.0,9.53,2.2,0.021,8.97
35,2022-01-13,0.981,0.964,0.981,0.961,37894,3675249.0,2.05,-1.23,-0.012,7.77
36,2022-01-14,0.955,0.955,0.961,0.939,29046,2765584.0,2.28,-0.93,-0.009,5.96
37,2022-01-17,0.961,0.961,0.97,0.954,26373,2535207.0,1.68,0.63,0.006,5.41
38,2022-01-18,0.971,0.957,0.975,0.956,23711,2287054.0,1.98,-0.42,-0.004,4.86
39,2022-01-19,0.964,0.952,0.967,0.946,33507,3201817.0,2.19,-0.52,-0.005,6.87
40,2022-01-20,0.936,0.963,0.965,0.936,35353,3373291.0,3.05,1.16,0.011,7.25
41,2022-01-21,0.96,0.962,0.973,0.96,19557,1894827.0,1.35,-0.1,-0.001,4.01
42,2022-01-24,0.956,0.953,0.956,0.945,12349,1172885.0,1.14,-0.94,-0.009,2.53
43,2022-01-25,0.942,0.912,0.945,0.912,17895,1664182.0,3.46,-4.3,-0.041,3.67
44,2022-01-26,0.912,0.918,0.924,0.908,14342,1318496.0,1.75,0.66,0.006,2.94
45,2022-01-27,0.908,0.884,0.911,0.883,7502,672542.0,3.05,-3.7,-0.034,1.54
46,2022-01-28,0.884,0.886,0.911,0.881,10334,919266.0,3.39,0.23,0.002,2.12
47,2022-02-07,0.904,0.901,0.906,0.9,3992,359888.0,0.68,1.69,0.015,0.82
48,2022-02-08,0.901,0.905,0.905,0.893,1919,172789.0,1.33,0.44,0.004,0.39
49,2022-02-09,0.909,0.92,0.922,0.909,4802,439647.0,1.44,1.66,0.015,0.98
50,2022-02-10,0.922,0.916,0.922,0.913,4411,404207.0,0.98,-0.43,-0.004,0.9
51,2022-02-11,0.919,0.906,0.92,0.906,5642,516111.0,1.53,-1.09,-0.01,1.16
52,2022-02-14,0.896,0.899,0.904,0.896,2296,207095.0,0.88,-0.77,-0.007,0.47
53,2022-02-15,0.868,0.901,0.903,0.868,1869,165441.0,3.89,0.22,0.002,0.38
54,2022-02-16,0.902,0.91,0.911,0.902,2689,244550.0,1.0,1.0,0.009,0.55
55,2022-02-17,0.907,0.909,0.914,0.907,4896,445324.0,0.77,-0.11,-0.001,1.0
56,2022-02-18,0.909,0.907,0.914,0.907,2043,186082.0,0.77,-0.22,-0.002,0.42
57,2022-02-21,0.894,0.889,0.897,0.885,5137,458438.0,1.32,-1.98,-0.018,1.05
58,2022-02-22,0.866,0.859,0.871,0.853,10576,909641.0,2.02,-3.37,-0.03,2.17
59,2022-02-23,0.864,0.874,0.875,0.86,1956,169396.0,1.75,1.75,0.015,0.4
60,2022-02-24,0.86,0.841,0.863,0.831,7059,597555.0,3.66,-3.78,-0.033,1.45
