,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-03-14,0.992,0.975,1.004,0.975,1589433,158080123.0,0.0,0.0,0.0,9.6
1,2022-03-15,0.978,0.978,1.012,0.96,722735,71933916.0,5.33,0.31,0.003,4.37
2,2022-03-16,0.978,1.025,1.031,0.965,674472,68305590.0,6.75,4.81,0.047,4.07
3,2022-03-17,1.043,1.045,1.069,1.026,334864,35331429.0,4.2,1.95,0.02,2.02
4,2022-03-18,1.036,1.035,1.042,1.016,211626,21691843.0,2.49,-0.96,-0.01,1.28
5,2022-03-21,1.04,1.043,1.063,1.025,158697,16655620.0,3.67,0.77,0.008,0.96
6,2022-03-22,1.044,1.029,1.048,1.025,68314,7067690.0,2.21,-1.34,-0.014,0.41
7,2022-03-23,1.038,1.028,1.06,1.012,61494,6364753.0,4.66,-0.1,-0.001,0.37
8,2022-03-24,1.036,1.017,1.036,1.001,71224,7224066.0,3.4,-1.07,-0.011,0.43
9,2022-03-25,1.018,0.987,1.021,0.984,54508,5444395.0,3.64,-2.95,-0.03,0.33
10,2022-03-28,1.017,0.96,1.017,0.955,58910,5688606.0,6.28,-2.74,-0.027,0.36
11,2022-03-29,0.963,0.968,0.983,0.963,98074,9512212.0,2.08,0.83,0.008,0.59
12,2022-03-30,0.979,1.014,1.019,0.978,119530,11987484.0,4.24,4.75,0.046,0.72
13,2022-03-31,1.004,0.98,1.013,0.979,48752,4817042.0,3.35,-3.35,-0.034,0.29
14,2022-04-01,0.976,0.985,0.999,0.974,23870,2350779.0,2.55,0.51,0.005,0.14
15,2022-04-06,0.985,0.959,1.018,0.954,45127,4326794.0,6.5,-2.64,-0.026,0.27
16,2022-04-07,0.959,0.946,0.962,0.941,23475,2229019.0,2.19,-1.36,-0.013,0.14
17,2022-04-08,0.943,0.937,0.958,0.929,21727,2046747.0,3.07,-0.95,-0.009,0.13
18,2022-04-11,0.94,0.904,0.94,0.88,48443,4326121.0,6.4,-3.52,-0.033,0.29
19,2022-04-12,0.94,0.893,0.94,0.86,27154,2408047.0,8.85,-1.22,-0.011,0.16
20,2022-04-13,0.88,0.877,0.895,0.875,26227,2315286.0,2.24,-1.79,-0.016,0.16
21,2022-04-14,0.9,0.863,0.91,0.857,22597,1958564.0,6.04,-1.6,-0.014,0.14
22,2022-04-15,0.863,0.86,0.863,0.83,22007,1847966.0,3.82,-0.35,-0.003,0.13
23,2022-04-18,0.88,0.869,0.88,0.831,37570,3196120.0,5.7,1.05,0.009,0.23
24,2022-04-19,0.869,0.863,0.898,0.86,42210,3668846.0,4.37,-0.69,-0.006,0.25
25,2022-04-20,0.886,0.822,0.886,0.818,69865,5812865.0,7.88,-4.75,-0.041,0.42
26,2022-04-21,0.822,0.793,0.826,0.788,37981,3090473.0,4.62,-3.53,-0.029,0.23
27,2022-04-22,0.793,0.783,0.795,0.782,13656,1075555.0,1.64,-1.26,-0.01,0.08
28,2022-04-25,0.794,0.731,0.794,0.725,66014,4915436.0,8.81,-6.64,-0.052,0.4
29,2022-04-26,0.728,0.703,0.73,0.702,20958,1509155.0,3.83,-3.83,-0.028,0.13
30,2022-04-27,0.683,0.773,0.773,0.683,69241,5190851.0,12.8,9.96,0.07,0.42
31,2022-04-28,0.768,0.765,0.781,0.729,97426,7422604.0,6.73,-1.03,-0.008,0.59
32,2022-04-29,0.778,0.788,0.8,0.753,53143,4161513.0,6.14,3.01,0.023,0.32
33,2022-05-05,0.791,0.79,0.8,0.77,54606,4319256.0,3.81,0.25,0.002,0.33
34,2022-05-06,0.777,0.781,0.791,0.762,19059,1493719.0,3.67,-1.14,-0.009,0.12
35,2022-05-09,0.781,0.779,0.811,0.765,10615,828667.0,5.89,-0.26,-0.002,0.06
36,2022-05-10,0.76,0.808,0.811,0.751,56287,4520472.0,7.7,3.72,0.029,0.34
37,2022-05-11,0.808,0.853,0.875,0.794,62334,5312040.0,10.02,5.57,0.045,0.38
38,2022-05-12,0.85,0.851,0.856,0.815,25535,2166149.0,4.81,-0.23,-0.002,0.15
39,2022-05-13,0.855,0.853,0.863,0.845,38626,3288339.0,2.12,0.24,0.002,0.23
40,2022-05-16,0.859,0.854,0.88,0.851,21235,1829800.0,3.4,0.12,0.001,0.13
41,2022-05-17,0.854,0.881,0.885,0.849,20771,1807696.0,4.22,3.16,0.027,0.13
42,2022-05-18,0.882,0.889,0.9,0.88,29528,2626754.0,2.27,0.91,0.008,0.18
43,2022-05-19,0.885,0.898,0.906,0.875,69707,6168071.0,3.49,1.01,0.009,0.42
44,2022-05-20,0.91,0.916,0.922,0.898,39425,3581672.0,2.67,2.0,0.018,0.24
45,2022-05-23,0.916,0.912,0.916,0.895,17492,1590025.0,2.29,-0.44,-0.004,0.11
46,2022-05-24,0.89,0.874,0.927,0.872,25242,2257136.0,6.03,-4.17,-0.038,0.15
47,2022-05-25,0.874,0.878,0.879,0.856,17982,1560934.0,2.63,0.46,0.004,0.11
48,2022-05-26,0.874,0.869,0.881,0.852,38838,3355977.0,3.3,-1.03,-0.009,0.23
49,2022-05-27,0.897,0.871,0.897,0.865,11071,974947.0,3.68,0.23,0.002,0.07
50,2022-05-30,0.878,0.883,0.884,0.871,8436,743156.0,1.49,1.38,0.012,0.05
51,2022-05-31,0.885,0.902,0.902,0.87,28967,2570124.0,3.62,2.15,0.019,0.17
52,2022-06-01,0.881,0.916,0.928,0.881,34040,3123354.0,5.21,1.55,0.014,0.21
53,2022-06-02,0.916,0.948,0.952,0.916,61200,5799564.0,3.93,3.49,0.032,0.37
54,2022-06-06,0.945,1.005,1.006,0.945,89309,8856124.0,6.43,6.01,0.057,0.54
55,2022-06-07,1.005,0.994,1.01,0.982,34615,3453447.0,2.79,-1.09,-0.011,0.21
56,2022-06-08,0.994,1.0,1.01,0.972,44931,4457874.0,3.82,0.6,0.006,0.27
57,2022-06-09,0.985,0.976,0.996,0.969,32172,3150664.0,2.7,-2.4,-0.024,0.19
58,2022-06-10,0.975,1.0,1.01,0.969,68877,6889757.0,4.2,2.46,0.024,0.42
59,2022-06-13,1.001,1.035,1.041,1.0,75761,7787998.0,4.1,3.5,0.035,0.46
60,2022-06-14,1.013,1.043,1.043,0.998,55909,5670371.0,4.35,0.77,0.008,0.34
61,2022-06-15,1.043,1.024,1.06,1.011,63848,6572908.0,4.7,-1.82,-0.019,0.39
62,2022-06-16,1.02,1.026,1.044,1.02,70212,7257938.0,2.34,0.2,0.002,0.42
63,2022-06-17,1.0,1.103,1.129,1.0,122101,13022661.0,12.57,7.5,0.077,0.74
64,2022-06-20,1.11,1.108,1.181,1.085,110376,12253621.0,8.7,0.45,0.005,0.67
65,2022-06-21,1.104,1.097,1.107,1.075,63474,6939177.0,2.89,-0.99,-0.011,0.38
66,2022-06-22,1.095,1.104,1.125,1.093,98856,10968731.0,2.92,0.64,0.007,0.6
67,2022-06-23,1.106,1.15,1.15,1.095,107621,12095440.0,4.98,4.17,0.046,0.65
68,2022-06-24,1.153,1.169,1.171,1.121,58376,6766849.0,4.35,1.65,0.019,0.35
69,2022-06-27,1.169,1.165,1.184,1.16,62422,7309798.0,2.05,-0.34,-0.004,0.38
70,2022-06-28,1.165,1.182,1.224,1.151,47465,5556385.0,6.27,1.46,0.017,0.29
71,2022-06-29,1.18,1.123,1.18,1.123,84152,9665938.0,4.82,-4.99,-0.059,0.51
72,2022-06-30,1.087,1.143,1.173,1.087,30700,3496416.0,7.66,1.78,0.02,0.19
73,2022-07-01,1.143,1.14,1.152,1.135,46564,5323189.0,1.49,-0.26,-0.003,0.28
74,2022-07-04,1.118,1.17,1.173,1.118,88452,10261247.0,4.82,2.63,0.03,0.53
75,2022-07-05,1.168,1.162,1.193,1.145,30176,3535304.0,4.1,-0.68,-0.008,0.18
76,2022-07-06,1.158,1.157,1.181,1.146,37576,4377467.0,3.01,-0.43,-0.005,0.23
77,2022-07-07,1.162,1.221,1.235,1.162,137696,16534439.0,6.31,5.53,0.064,0.83
78,2022-07-08,1.225,1.178,1.234,1.176,188586,22601594.221,4.75,-3.52,-0.043,1.14
79,2022-07-11,1.17,1.146,1.172,1.13,87310,10017298.362,3.57,-2.72,-0.032,0.53
80,2022-07-12,1.149,1.124,1.156,1.116,112234,12727660.001,3.49,-1.92,-0.022,0.68
81,2022-07-13,1.119,1.149,1.16,1.102,118602,13438124.623,5.16,2.22,0.025,0.72
82,2022-07-14,1.175,1.212,1.216,1.129,197139,23513811.178,7.57,5.48,0.063,1.19
83,2022-07-15,1.2,1.188,1.216,1.186,131455,15832130.72,2.48,-1.98,-0.024,0.79
84,2022-07-18,1.19,1.2,1.237,1.171,129174,15476166.787,5.56,1.01,0.012,0.78
85,2022-07-19,1.19,1.179,1.207,1.177,63385,7549989.8,2.5,-1.75,-0.021,0.38
86,2022-07-20,1.175,1.172,1.188,1.17,75181,8846464.708,1.53,-0.59,-0.007,0.45
87,2022-07-21,1.168,1.16,1.19,1.137,59984,7016401.363,4.52,-1.02,-0.012,0.36
88,2022-07-22,1.167,1.153,1.203,1.139,79991,9254598.19,5.52,-0.6,-0.007,0.48
89,2022-07-25,1.146,1.137,1.153,1.131,74833,8529835.272,1.91,-1.39,-0.016,0.45
