,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-03-31,0.963,0.953,0.974,0.952,251818,24255895.0,0.0,0.0,0.0,20.0
1,2020-04-01,0.95,0.949,0.973,0.943,130747,12592703.0,3.15,-0.42,-0.004,10.39
2,2020-04-02,0.946,0.988,0.988,0.941,119446,11592705.0,4.95,4.11,0.039,9.49
3,2020-04-03,0.965,0.971,0.986,0.965,48346,4708855.0,2.13,-1.72,-0.017,3.84
4,2020-04-07,0.981,1.01,1.012,0.981,288925,29080266.0,3.19,4.02,0.039,22.95
5,2020-04-08,1.003,1.017,1.023,1.003,261098,26537300.0,1.98,0.69,0.007,20.74
6,2020-04-09,1.017,1.028,1.032,1.017,287216,29509757.0,1.47,1.08,0.011,22.81
7,2020-04-10,1.027,0.989,1.027,0.985,157868,15759080.0,4.09,-3.79,-0.039,12.54
8,2020-04-13,0.981,0.978,0.987,0.97,102011,9983413.0,1.72,-1.11,-0.011,8.1
9,2020-04-14,0.988,1.002,1.003,0.984,120578,12009413.0,1.94,2.45,0.024,9.58
10,2020-04-15,1.003,0.997,1.009,0.995,145647,14607464.0,1.4,-0.5,-0.005,11.57
11,2020-04-16,0.994,1.012,1.015,0.99,165874,16679849.0,2.51,1.5,0.015,13.18
12,2020-04-17,1.014,1.015,1.028,1.013,382053,39060102.0,1.48,0.3,0.003,30.35
13,2020-04-20,1.015,1.034,1.035,1.012,234416,24140255.0,2.27,1.87,0.019,18.62
14,2020-04-21,1.025,1.024,1.029,1.011,71207,7282956.0,1.74,-0.97,-0.01,5.66
15,2020-04-22,1.014,1.032,1.033,1.014,118281,12167536.0,1.86,0.78,0.008,9.39
16,2020-04-23,1.03,1.017,1.032,1.017,136284,13975713.0,1.45,-1.45,-0.015,10.82
17,2020-04-24,1.012,0.997,1.021,0.992,122519,12372738.0,2.85,-1.97,-0.02,9.73
18,2020-04-27,1.007,0.992,1.009,0.985,157919,15700969.0,2.41,-0.5,-0.005,12.54
19,2020-04-28,0.993,0.974,0.993,0.939,146654,14229034.0,5.44,-1.81,-0.018,11.65
20,2020-04-29,0.984,0.974,0.984,0.964,70038,6862726.0,2.05,0.0,0.0,5.56
21,2020-04-30,0.975,1.009,1.015,0.975,172289,17337774.0,4.11,3.59,0.035,13.68
22,2020-05-06,1.001,1.034,1.036,1.001,194811,19921240.0,3.47,2.48,0.025,15.47
23,2020-05-07,1.025,1.025,1.041,1.025,136999,14126938.0,1.55,-0.87,-0.009,10.88
24,2020-05-08,1.027,1.04,1.049,1.026,197642,20616785.0,2.24,1.46,0.015,15.7
25,2020-05-11,1.04,1.039,1.052,1.032,159060,16621657.0,1.92,-0.1,-0.001,12.63
26,2020-05-12,1.039,1.041,1.041,1.024,160791,16676483.0,1.64,0.19,0.002,12.77
27,2020-05-13,1.039,1.053,1.055,1.038,213159,22364270.0,1.63,1.15,0.012,16.93
28,2020-05-14,1.05,1.047,1.055,1.044,143412,15023509.0,1.04,-0.57,-0.006,11.39
29,2020-05-15,1.047,1.048,1.06,1.046,192136,20188721.0,1.34,0.1,0.001,15.26
30,2020-05-18,1.048,1.037,1.053,1.035,176978,18529000.0,1.72,-1.05,-0.011,14.06
31,2020-05-19,1.037,1.059,1.059,1.037,168190,17697379.0,2.12,2.12,0.022,13.36
32,2020-05-20,1.058,1.045,1.059,1.041,225083,23620781.0,1.7,-1.32,-0.014,17.88
33,2020-05-21,1.045,1.025,1.049,1.022,223004,22956395.0,2.58,-1.91,-0.02,17.71
34,2020-05-22,1.026,1.004,1.028,0.996,136389,13763875.0,3.12,-2.05,-0.021,10.83
35,2020-05-25,1.002,0.997,1.006,0.992,42008,4181198.0,1.39,-0.7,-0.007,3.34
36,2020-05-26,1.003,1.024,1.026,1.002,55985,5683510.0,2.41,2.71,0.027,4.45
37,2020-05-27,1.017,1.007,1.025,1.006,116805,11878914.0,1.86,-1.66,-0.017,9.28
38,2020-05-28,1.008,1.004,1.013,0.986,147816,14730066.0,2.68,-0.3,-0.003,11.74
39,2020-05-29,0.999,1.015,1.022,0.999,91173,9245715.0,2.29,1.1,0.011,7.24
