,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-03-20,0.324,0.316,0.327,0.31,1361739,129957409.0,0.0,0.0,0.0,4.71
1,2020-03-23,0.302,0.29,0.307,0.289,989990,88038171.0,5.7,-8.23,-0.026,3.43
2,2020-03-24,0.299,0.3,0.304,0.29,1011627,90405496.0,4.83,3.45,0.01,3.5
3,2020-03-25,0.31,0.315,0.318,0.309,840491,79233433.0,3.0,5.0,0.015,2.91
4,2020-03-26,0.313,0.31,0.314,0.309,386151,36109856.0,1.59,-1.59,-0.005,1.34
5,2020-03-27,0.315,0.31,0.317,0.309,369405,34645393.0,2.58,0.0,0.0,1.28
6,2020-03-30,0.307,0.304,0.308,0.297,395115,35716088.0,3.55,-1.94,-0.006,1.37
7,2020-03-31,0.306,0.307,0.31,0.305,360143,33237296.0,1.64,0.99,0.003,1.25
8,2020-04-01,0.313,0.313,0.321,0.309,657171,62332272.0,3.91,1.95,0.006,2.27
9,2020-04-02,0.313,0.322,0.323,0.31,511220,48735556.0,4.15,2.88,0.009,1.77
10,2020-04-03,0.323,0.319,0.324,0.317,414771,39914261.0,2.17,-0.93,-0.003,1.44
11,2020-04-07,0.325,0.329,0.33,0.325,645668,63397882.0,1.57,3.13,0.01,2.23
12,2020-04-08,0.328,0.326,0.329,0.324,326272,31923833.0,1.52,-0.91,-0.003,1.13
13,2020-04-09,0.326,0.324,0.329,0.323,269855,26276243.0,1.84,-0.61,-0.002,0.93
14,2020-04-10,0.326,0.316,0.326,0.315,341408,32773012.0,3.4,-2.47,-0.008,1.18
15,2020-04-13,0.31,0.309,0.315,0.307,219059,20353657.0,2.53,-2.22,-0.007,0.76
16,2020-04-14,0.312,0.326,0.326,0.312,722993,69917095.0,4.53,5.5,0.017,2.5
17,2020-04-15,0.329,0.327,0.335,0.327,934104,92812198.0,2.45,0.31,0.001,3.23
18,2020-04-16,0.327,0.329,0.331,0.323,407558,40155118.0,2.45,0.61,0.002,1.41
19,2020-04-17,0.332,0.331,0.337,0.33,1354043,136060057.0,2.13,0.61,0.002,4.69
20,2020-04-20,0.329,0.332,0.334,0.329,218861,21722847.0,1.51,0.3,0.001,0.76
21,2020-04-21,0.332,0.326,0.332,0.321,412917,40281945.0,3.31,-1.81,-0.006,1.43
22,2020-04-22,0.321,0.327,0.328,0.32,263534,25643277.0,2.45,0.31,0.001,0.91
23,2020-04-23,0.328,0.323,0.33,0.323,223110,21791910.0,2.14,-1.22,-0.004,0.77
24,2020-04-24,0.323,0.324,0.332,0.322,439223,43189521.0,3.1,0.31,0.001,1.52
25,2020-04-27,0.324,0.324,0.328,0.322,333472,32576204.0,1.85,0.0,0.0,1.15
26,2020-04-28,0.326,0.325,0.328,0.315,349248,33739715.0,4.01,0.31,0.001,1.21
27,2020-04-29,0.322,0.325,0.328,0.322,332985,32545550.0,1.85,0.0,0.0,1.15
28,2020-04-30,0.327,0.341,0.343,0.327,3245030,330658480.0,4.92,4.92,0.016,11.23
29,2020-05-06,0.34,0.348,0.349,0.337,1490796,154096136.0,3.52,2.05,0.007,5.16
30,2020-05-07,0.349,0.347,0.349,0.345,1230691,128204952.0,1.15,-0.29,-0.001,4.26
31,2020-05-08,0.348,0.35,0.354,0.346,1129462,118458328.0,2.31,0.86,0.003,3.91
32,2020-05-11,0.351,0.346,0.353,0.344,622509,64840600.0,2.57,-1.14,-0.004,2.15
33,2020-05-12,0.345,0.347,0.348,0.342,577715,59911058.0,1.73,0.29,0.001,2.0
34,2020-05-13,0.346,0.349,0.351,0.345,749813,78489874.0,1.73,0.58,0.002,2.59
35,2020-05-14,0.349,0.345,0.349,0.344,437274,45380757.0,1.43,-1.15,-0.004,1.51
36,2020-05-15,0.346,0.351,0.354,0.344,916619,96306888.0,2.9,1.74,0.006,3.17
37,2020-05-18,0.349,0.343,0.349,0.341,428507,44363388.0,2.28,-2.28,-0.008,1.48
38,2020-05-19,0.346,0.347,0.35,0.345,446848,46551509.0,1.46,1.17,0.004,1.55
39,2020-05-20,0.353,0.356,0.365,0.353,2115130,229733807.0,3.46,2.59,0.009,7.32
40,2020-05-21,0.359,0.346,0.36,0.346,463184,48672124.0,3.93,-2.81,-0.01,1.6
41,2020-05-22,0.345,0.336,0.347,0.334,406209,41282326.0,3.76,-2.89,-0.01,1.41
42,2020-05-25,0.335,0.334,0.336,0.331,339320,33898070.0,1.49,-0.6,-0.002,1.17
43,2020-05-26,0.336,0.348,0.348,0.336,557923,57398798.0,3.59,4.19,0.014,1.93
44,2020-05-27,0.348,0.349,0.356,0.348,644558,68155823.0,2.3,0.29,0.001,2.23
45,2020-05-28,0.35,0.347,0.35,0.342,341869,35495983.0,2.29,-0.57,-0.002,1.18
46,2020-05-29,0.349,0.352,0.355,0.349,492611,52031441.0,1.73,1.44,0.005,1.7
47,2020-06-01,0.356,0.364,0.367,0.356,1084663,118104675.0,3.13,3.41,0.012,3.75
48,2020-06-02,0.368,0.364,0.37,0.362,516932,56611301.0,2.2,0.0,0.0,1.79
49,2020-06-03,0.364,0.364,0.368,0.361,528055,57824316.0,1.92,0.0,0.0,1.83
50,2020-06-04,0.365,0.372,0.375,0.364,798242,89104353.0,3.02,2.2,0.008,2.76
51,2020-06-05,0.372,0.373,0.373,0.368,468989,52097954.0,1.34,0.27,0.001,1.62
52,2020-06-08,0.376,0.375,0.379,0.374,439665,49696249.0,1.34,0.54,0.002,1.52
53,2020-06-09,0.379,0.379,0.381,0.377,420516,47885594.0,1.07,1.07,0.004,1.46
54,2020-06-10,0.382,0.382,0.382,0.379,504942,57727930.0,0.79,0.79,0.003,1.75
55,2020-06-11,0.387,0.382,0.394,0.38,606330,70611571.0,3.66,0.0,0.0,2.1
56,2020-06-12,0.373,0.376,0.378,0.369,485204,54740615.0,2.36,-1.57,-0.006,1.68
57,2020-06-15,0.373,0.376,0.383,0.37,533342,60179892.0,3.46,0.0,0.0,1.85
58,2020-06-16,0.379,0.386,0.387,0.379,563241,64781009.0,2.13,2.66,0.01,1.95
59,2020-06-17,0.39,0.38,0.39,0.377,365925,41805656.0,3.37,-1.55,-0.006,1.27
60,2020-06-18,0.38,0.383,0.384,0.377,315686,36145386.0,1.84,0.79,0.003,1.09
61,2020-06-19,0.383,0.398,0.399,0.383,641092,76036811.0,4.18,3.92,0.015,2.22
62,2020-06-22,0.399,0.403,0.407,0.399,491740,59501174.0,2.01,1.26,0.005,1.7
63,2020-06-23,0.402,0.405,0.405,0.399,364402,43961772.0,1.49,0.5,0.002,1.26
64,2020-06-24,0.405,0.403,0.407,0.401,285246,34531734.0,1.48,-0.49,-0.002,0.99
65,2020-06-29,0.4,0.4,0.404,0.398,329781,39611240.0,1.49,-0.74,-0.003,1.14
66,2020-06-30,0.405,0.406,0.408,0.402,375265,45673291.0,1.5,1.5,0.006,1.3
67,2020-07-01,0.41,0.407,0.416,0.402,402238,49475416.0,3.45,0.25,0.001,1.39
68,2020-07-02,0.407,0.406,0.41,0.402,341849,41642152.0,1.97,-0.25,-0.001,1.18
69,2020-07-03,0.41,0.414,0.414,0.407,366142,45175256.0,1.72,1.97,0.008,1.27
70,2020-07-06,0.413,0.432,0.445,0.413,541970,69085514.0,7.73,4.35,0.018,1.88
71,2020-07-07,0.465,0.453,0.465,0.44,760955,104018624.0,5.79,4.86,0.021,2.63
72,2020-07-08,0.453,0.458,0.459,0.444,535880,72892653.0,3.31,1.1,0.005,1.85
73,2020-07-09,0.458,0.467,0.47,0.454,528261,73238980.0,3.49,1.97,0.009,1.83
74,2020-07-10,0.467,0.465,0.47,0.46,510540,71304167.0,2.14,-0.43,-0.002,1.77
75,2020-07-13,0.468,0.493,0.493,0.468,557302,80570884.0,5.38,6.02,0.028,1.93
76,2020-07-14,0.492,0.473,0.492,0.462,1165768,165861210.0,6.09,-4.06,-0.02,4.03
77,2020-07-15,0.473,0.462,0.478,0.454,635278,88505231.0,5.07,-2.33,-0.011,2.2
78,2020-07-16,0.463,0.443,0.476,0.441,944346,130040161.0,7.58,-4.11,-0.019,3.27
79,2020-07-17,0.443,0.447,0.455,0.439,677943,90754261.0,3.61,0.9,0.004,2.35
80,2020-07-20,0.461,0.457,0.461,0.442,573448,77744620.0,4.25,2.24,0.01,1.98
81,2020-07-21,0.463,0.458,0.465,0.454,467755,64388918.0,2.41,0.22,0.001,1.62
82,2020-07-22,0.459,0.46,0.466,0.452,475468,65630097.0,3.06,0.44,0.002,1.65
83,2020-07-23,0.459,0.46,0.462,0.446,457998,62693667.0,3.48,0.0,0.0,1.58
84,2020-07-24,0.455,0.43,0.458,0.426,610619,80759463.0,6.96,-6.52,-0.03,2.11
85,2020-07-27,0.43,0.425,0.433,0.419,323807,41271437.0,3.26,-1.16,-0.005,1.12
86,2020-07-28,0.435,0.436,0.44,0.43,373541,48954034.0,2.35,2.59,0.011,1.29
87,2020-07-29,0.433,0.448,0.449,0.432,334049,44282206.0,3.9,2.75,0.012,1.16
88,2020-07-30,0.45,0.445,0.454,0.443,537578,72105777.0,2.46,-0.67,-0.003,1.86
89,2020-07-31,0.446,0.455,0.458,0.445,384118,52163588.0,2.92,2.25,0.01,1.33
90,2020-08-03,0.455,0.466,0.467,0.455,328916,45599226.0,2.64,2.42,0.011,1.14
91,2020-08-04,0.47,0.467,0.475,0.465,393200,55418502.0,2.15,0.21,0.001,1.36
92,2020-08-05,0.467,0.468,0.469,0.459,291813,40688956.0,2.14,0.21,0.001,1.01
93,2020-08-06,0.468,0.469,0.472,0.463,328687,46103847.0,1.92,0.21,0.001,1.14
94,2020-08-07,0.468,0.463,0.472,0.455,349810,48728640.0,3.62,-1.28,-0.006,1.21
95,2020-08-10,0.465,0.459,0.465,0.453,282062,38833742.0,2.59,-0.86,-0.004,0.98
96,2020-08-11,0.459,0.456,0.468,0.455,331065,46079057.0,2.83,-0.65,-0.003,1.15
97,2020-08-12,0.456,0.458,0.461,0.443,435695,59028601.0,3.95,0.44,0.002,1.51
98,2020-08-13,0.464,0.458,0.467,0.456,335207,46196389.0,2.4,0.0,0.0,1.16
99,2020-08-14,0.455,0.464,0.464,0.454,425032,58658489.0,2.18,1.31,0.006,1.47
100,2020-08-17,0.465,0.465,0.466,0.457,325146,45091466.0,1.94,0.22,0.001,1.13
101,2020-08-18,0.467,0.465,0.471,0.463,284731,39867038.0,1.72,0.0,0.0,0.99
102,2020-08-19,0.463,0.455,0.465,0.455,496468,68313921.0,2.15,-2.15,-0.01,1.72
103,2020-08-20,0.452,0.444,0.455,0.444,263770,35508480.0,2.42,-2.42,-0.011,0.91
104,2020-08-21,0.45,0.449,0.454,0.445,210226,28362461.0,2.03,1.13,0.005,0.73
105,2020-08-24,0.452,0.459,0.461,0.446,357898,48478274.0,3.34,2.23,0.01,1.24
106,2020-08-25,0.459,0.457,0.463,0.455,199252,27393359.0,1.74,-0.44,-0.002,0.69
107,2020-08-26,0.457,0.445,0.459,0.443,363699,49046024.0,3.5,-2.63,-0.012,1.26
108,2020-08-27,0.449,0.453,0.455,0.446,255494,34585370.0,2.02,1.8,0.008,0.88
109,2020-08-28,0.452,0.456,0.457,0.448,290891,39364497.0,1.99,0.66,0.003,1.01
110,2020-08-31,0.457,0.451,0.46,0.45,276554,37711079.0,2.19,-1.1,-0.005,0.96
111,2020-09-01,0.451,0.469,0.47,0.451,636968,88726807.0,4.21,3.99,0.018,2.2
112,2020-09-02,0.469,0.469,0.471,0.462,344080,48191335.0,1.92,0.0,0.0,1.19
113,2020-09-03,0.467,0.462,0.469,0.461,222712,30991854.0,1.71,-1.49,-0.007,0.77
114,2020-09-04,0.45,0.458,0.459,0.45,216233,29440582.0,1.95,-0.87,-0.004,0.75
115,2020-09-07,0.458,0.447,0.462,0.445,275926,37543251.0,3.71,-2.4,-0.011,0.95
116,2020-09-08,0.447,0.443,0.448,0.439,208985,27810384.0,2.01,-0.89,-0.004,0.72
117,2020-09-09,0.436,0.426,0.436,0.423,374151,48221697.0,2.93,-3.84,-0.017,1.29
118,2020-09-10,0.431,0.423,0.434,0.42,261251,33592538.0,3.29,-0.7,-0.003,0.9
119,2020-09-11,0.421,0.431,0.432,0.42,268021,34351838.0,2.84,1.89,0.008,0.93
120,2020-09-14,0.434,0.442,0.447,0.433,287008,38095738.0,3.25,2.55,0.011,0.99
121,2020-09-15,0.446,0.454,0.457,0.446,368899,50047679.0,2.49,2.71,0.012,1.28
122,2020-09-16,0.455,0.457,0.459,0.452,280765,38366858.0,1.54,0.66,0.003,0.97
123,2020-09-17,0.457,0.468,0.472,0.455,375718,52188227.0,3.72,2.41,0.011,1.3
124,2020-09-18,0.466,0.471,0.473,0.465,339883,47902681.0,1.71,0.64,0.003,1.18
125,2020-09-21,0.474,0.467,0.481,0.466,303187,43072333.0,3.18,-0.85,-0.004,1.05
