,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-05-25,0.657,0.642,0.658,0.637,420531,40675941.0,0.0,0.0,0.0,0.57
1,2020-05-26,0.642,0.661,0.663,0.642,259624,25613672.0,3.27,2.96,0.019,0.35
2,2020-05-27,0.662,0.643,0.662,0.639,361617,35038708.0,3.48,-2.72,-0.018,0.49
3,2020-05-28,0.643,0.637,0.646,0.623,357705,33936739.0,3.58,-0.93,-0.006,0.48
4,2020-05-29,0.633,0.634,0.641,0.627,146765,13992009.0,2.2,-0.47,-0.003,0.2
5,2020-06-01,0.639,0.669,0.673,0.639,767344,76275877.0,5.36,5.52,0.035,1.04
6,2020-06-02,0.673,0.673,0.679,0.666,510181,51500793.0,1.94,0.6,0.004,0.69
7,2020-06-03,0.677,0.675,0.692,0.664,678738,69288114.0,4.16,0.3,0.002,0.92
8,2020-06-04,0.675,0.67,0.68,0.668,192474,19415476.0,1.78,-0.74,-0.005,0.26
9,2020-06-05,0.671,0.684,0.691,0.671,622109,63773217.0,2.99,2.09,0.014,0.84
10,2020-06-08,0.685,0.677,0.692,0.675,339369,34848666.0,2.49,-1.02,-0.007,0.46
11,2020-06-09,0.677,0.681,0.683,0.668,265676,27027324.0,2.22,0.59,0.004,0.36
12,2020-06-10,0.681,0.675,0.681,0.668,238379,24051941.0,1.91,-0.88,-0.006,0.32
13,2020-06-11,0.675,0.67,0.683,0.667,359241,36261391.0,2.37,-0.74,-0.005,0.49
14,2020-06-12,0.661,0.667,0.669,0.651,360690,35722101.0,2.69,-0.45,-0.003,0.49
15,2020-06-15,0.66,0.65,0.666,0.649,298491,29260686.0,2.55,-2.55,-0.017,0.4
16,2020-06-16,0.655,0.655,0.66,0.651,246782,24221127.0,1.38,0.77,0.005,0.33
17,2020-06-17,0.657,0.649,0.657,0.643,356595,34605677.0,2.14,-0.92,-0.006,0.48
18,2020-06-18,0.65,0.663,0.664,0.645,424319,41850088.0,2.93,2.16,0.014,0.57
19,2020-06-19,0.662,0.674,0.679,0.659,444011,44681004.0,3.02,1.66,0.011,0.6
20,2020-06-22,0.677,0.703,0.706,0.677,979120,102298611.0,4.3,4.3,0.029,1.32
21,2020-06-23,0.707,0.703,0.707,0.691,282014,29593219.0,2.28,0.0,0.0,0.38
22,2020-06-24,0.704,0.715,0.721,0.703,361715,38671305.0,2.56,1.71,0.012,0.49
23,2020-06-29,0.713,0.703,0.716,0.697,334388,35322362.0,2.66,-1.68,-0.012,0.45
24,2020-06-30,0.706,0.717,0.721,0.706,320109,34283823.0,2.13,1.99,0.014,0.43
25,2020-07-01,0.718,0.727,0.741,0.711,374460,40883077.0,4.18,1.39,0.01,0.51
26,2020-07-02,0.727,0.746,0.753,0.723,392559,43773746.0,4.13,2.61,0.019,0.53
27,2020-07-03,0.747,0.75,0.754,0.732,320036,35720270.0,2.95,0.54,0.004,0.43
28,2020-07-06,0.754,0.825,0.825,0.754,584567,70493991.0,9.47,10.0,0.075,0.79
29,2020-07-07,0.899,0.832,0.9,0.832,1299116,168981953.0,8.24,0.85,0.007,1.76
30,2020-07-08,0.829,0.852,0.853,0.805,938942,117430321.0,5.77,2.4,0.02,1.27
31,2020-07-09,0.841,0.88,0.885,0.841,794842,103912618.0,5.16,3.29,0.028,1.07
32,2020-07-10,0.873,0.889,0.899,0.859,712475,94515656.0,4.55,1.02,0.009,0.96
33,2020-07-13,0.889,0.935,0.937,0.882,611695,83004748.0,6.19,5.17,0.046,0.83
34,2020-07-14,0.922,0.915,0.933,0.883,1103856,150376416.0,5.35,-2.14,-0.02,1.49
35,2020-07-15,0.915,0.862,0.92,0.859,1142902,150681605.0,6.67,-5.79,-0.053,1.55
36,2020-07-16,0.861,0.787,0.863,0.785,1047028,128411672.0,9.05,-8.7,-0.075,1.42
37,2020-07-17,0.786,0.777,0.797,0.763,726854,85102120.0,4.32,-1.27,-0.01,0.98
38,2020-07-20,0.781,0.812,0.812,0.775,612447,73041434.0,4.76,4.5,0.035,0.83
39,2020-07-21,0.813,0.809,0.824,0.793,499308,60807681.0,3.82,-0.37,-0.003,0.68
40,2020-07-22,0.809,0.815,0.833,0.805,576660,70943307.0,3.46,0.74,0.006,0.78
41,2020-07-23,0.812,0.812,0.812,0.785,616508,74126619.0,3.31,-0.37,-0.003,0.83
42,2020-07-24,0.805,0.767,0.813,0.759,621937,73107504.0,6.65,-5.54,-0.045,0.84
43,2020-07-27,0.767,0.765,0.782,0.755,404322,46721574.0,3.52,-0.26,-0.002,0.55
44,2020-07-28,0.773,0.764,0.779,0.754,348933,40091593.0,3.27,-0.13,-0.001,0.47
45,2020-07-29,0.765,0.803,0.803,0.761,631779,74545331.0,5.5,5.1,0.039,0.85
46,2020-07-30,0.805,0.798,0.811,0.793,453681,54468846.0,2.24,-0.62,-0.005,0.61
47,2020-07-31,0.799,0.819,0.82,0.797,547658,66632797.0,2.88,2.63,0.021,0.74
48,2020-08-03,0.827,0.849,0.85,0.827,484975,61091133.0,2.81,3.66,0.03,0.66
49,2020-08-04,0.847,0.825,0.85,0.821,508380,63608510.0,3.42,-2.83,-0.024,0.69
50,2020-08-05,0.885,0.842,0.892,0.836,1038511,133142936.0,6.79,2.06,0.017,1.4
51,2020-08-06,0.835,0.841,0.849,0.82,697134,87398558.0,3.44,-0.12,-0.001,0.94
52,2020-08-07,0.833,0.815,0.835,0.793,899803,109471173.0,4.99,-3.09,-0.026,1.22
53,2020-08-10,0.799,0.814,0.825,0.799,389871,47402371.0,3.19,-0.12,-0.001,0.53
54,2020-08-11,0.807,0.794,0.818,0.793,364021,44102165.0,3.07,-2.46,-0.02,0.49
55,2020-08-12,0.789,0.797,0.798,0.765,625207,73022849.0,4.16,0.38,0.003,0.85
