,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-07-17,0.486,0.493,0.506,0.485,863532,87819534.0,0.0,0.0,0.0,4.82
1,2020-07-20,0.495,0.498,0.504,0.483,351042,35707020.0,4.26,1.01,0.005,1.96
2,2020-07-21,0.498,0.507,0.509,0.497,560023,58255433.0,2.41,1.81,0.009,3.12
3,2020-07-22,0.506,0.514,0.522,0.502,371143,39433084.0,3.94,1.38,0.007,2.07
4,2020-07-23,0.513,0.52,0.52,0.501,311298,32935812.0,3.7,1.17,0.006,1.74
5,2020-07-24,0.518,0.488,0.518,0.485,379835,38950041.0,6.35,-6.15,-0.032,2.12
6,2020-07-27,0.493,0.488,0.498,0.486,295222,29976446.0,2.46,0.0,0.0,1.65
7,2020-07-28,0.493,0.496,0.498,0.488,188632,19175563.0,2.05,1.64,0.008,1.05
8,2020-07-29,0.495,0.517,0.517,0.494,300920,31524011.0,4.64,4.23,0.021,1.68
9,2020-07-30,0.516,0.511,0.52,0.509,200959,21311133.0,2.13,-1.16,-0.006,1.12
10,2020-07-31,0.511,0.522,0.525,0.506,379594,40681466.0,3.72,2.15,0.011,2.12
11,2020-08-03,0.519,0.536,0.536,0.519,240084,26201833.0,3.26,2.68,0.014,1.34
12,2020-08-04,0.534,0.528,0.54,0.523,155729,17024254.0,3.17,-1.49,-0.008,0.87
13,2020-08-05,0.532,0.533,0.537,0.521,130837,14300473.0,3.03,0.95,0.005,0.73
14,2020-08-06,0.53,0.524,0.534,0.515,123762,13322806.0,3.56,-1.69,-0.009,0.69
15,2020-08-07,0.52,0.512,0.528,0.503,111890,11791481.0,4.77,-2.29,-0.012,0.62
16,2020-08-10,0.508,0.508,0.512,0.499,85867,8937351.0,2.54,-0.78,-0.004,0.48
17,2020-08-11,0.51,0.501,0.517,0.5,82565,8666797.0,3.35,-1.38,-0.007,0.46
18,2020-08-12,0.5,0.491,0.502,0.48,298068,29915847.0,4.39,-2.0,-0.01,1.66
19,2020-08-13,0.49,0.487,0.496,0.485,114056,11508326.0,2.24,-0.81,-0.004,0.64
20,2020-08-14,0.487,0.497,0.498,0.486,189278,19200782.0,2.46,2.05,0.01,1.06
21,2020-08-17,0.498,0.502,0.502,0.493,148202,15219138.0,1.81,1.01,0.005,0.83
22,2020-08-18,0.503,0.502,0.507,0.5,79410,8230199.0,1.39,0.0,0.0,0.44
23,2020-08-19,0.504,0.486,0.504,0.485,193953,19602001.0,3.78,-3.19,-0.016,1.08
24,2020-08-20,0.485,0.481,0.489,0.48,281010,27906411.0,1.85,-1.03,-0.005,1.57
25,2020-08-21,0.481,0.491,0.493,0.481,638613,64409065.0,2.49,2.08,0.01,3.56
26,2020-08-24,0.495,0.502,0.505,0.483,714231,72873225.0,4.48,2.24,0.011,3.99
27,2020-08-25,0.502,0.505,0.514,0.5,562976,58725363.0,2.79,0.6,0.003,3.14
28,2020-08-26,0.505,0.497,0.51,0.495,193656,20060356.0,2.97,-1.58,-0.008,1.08
29,2020-08-27,0.497,0.505,0.508,0.496,159139,16496906.0,2.41,1.61,0.008,0.89
30,2020-08-28,0.503,0.517,0.518,0.502,214845,22648105.0,3.17,2.38,0.012,1.2
