,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-10-29,0.99,1.003,1.011,0.971,207217,20781076.0,0.0,0.0,0.0,70.2
1,2020-10-30,1.008,1.0,1.012,0.989,209074,21085031.0,2.29,-0.3,-0.003,70.82
2,2020-11-02,0.992,1.012,1.016,0.99,269629,27271688.0,2.6,1.2,0.012,91.34
3,2020-11-03,1.012,1.022,1.025,1.001,364092,37105099.0,2.37,0.99,0.01,123.34
4,2020-11-04,1.022,1.027,1.032,1.013,64767,6611471.0,1.86,0.49,0.005,21.94
5,2020-11-05,1.03,1.032,1.04,1.02,128828,13312817.0,1.95,0.49,0.005,43.64
6,2020-11-06,1.036,1.016,1.036,1.01,16877,1724185.0,2.52,-1.55,-0.016,5.72
7,2020-11-09,1.036,1.047,1.055,1.02,87598,9152866.0,3.44,3.05,0.031,29.67
8,2020-11-10,1.047,1.035,1.047,1.028,21084,2182383.0,1.81,-1.15,-0.012,7.14
9,2020-11-11,1.035,1.002,1.054,1.001,38506,3906688.0,5.12,-3.19,-0.033,13.04
10,2020-11-12,1.004,1.005,1.019,1.002,8806,887101.0,1.7,0.3,0.003,2.98
11,2020-11-13,1.002,1.009,1.013,0.999,6495,652916.0,1.39,0.4,0.004,2.2
12,2020-11-16,1.009,1.007,1.013,1.0,10737,1079699.0,1.29,-0.2,-0.002,3.64
13,2020-11-17,1.007,0.989,1.007,0.983,20336,2016927.0,2.38,-1.79,-0.018,6.89
14,2020-11-18,0.989,0.989,0.996,0.978,13600,1339030.0,1.82,0.0,0.0,4.61
15,2020-11-19,0.988,0.987,0.988,0.972,6829,670705.0,1.62,-0.2,-0.002,2.31
16,2020-11-20,0.987,0.993,0.996,0.987,5048,501371.0,0.91,0.61,0.006,1.71
17,2020-11-23,0.993,1.001,1.008,0.99,20527,2056193.0,1.81,0.81,0.008,6.95
18,2020-11-24,1.001,0.996,1.002,0.993,4461,443716.0,0.9,-0.5,-0.005,1.51
19,2020-11-25,0.996,0.98,0.996,0.978,10086,990773.0,1.81,-1.61,-0.016,3.42
20,2020-11-26,0.98,0.974,0.98,0.968,10909,1060278.0,1.22,-0.61,-0.006,3.7
21,2020-11-27,0.974,0.974,0.98,0.968,11657,1133566.0,1.23,0.0,0.0,3.95
22,2020-11-30,0.983,0.976,0.987,0.968,14465,1415156.0,1.95,0.21,0.002,4.9
23,2020-12-01,0.977,1.004,1.008,0.976,39341,3929759.0,3.28,2.87,0.028,13.33
24,2020-12-02,1.004,0.998,1.007,0.992,4437,442294.0,1.49,-0.6,-0.006,1.5
25,2020-12-03,0.998,1.008,1.012,0.995,21463,2165132.0,1.7,1.0,0.01,7.27
26,2020-12-04,1.009,1.015,1.019,1.005,42352,4297320.0,1.39,0.69,0.007,14.35
27,2020-12-07,1.015,1.011,1.021,1.006,21768,2209809.0,1.48,-0.39,-0.004,7.37
28,2020-12-08,1.011,1.02,1.026,1.011,26493,2707133.0,1.48,0.89,0.009,8.97
29,2020-12-09,1.021,1.004,1.023,1.003,15556,1580327.0,1.96,-1.57,-0.016,5.27
30,2020-12-10,1.004,1.01,1.016,1.0,7821,789223.0,1.59,0.6,0.006,2.65
31,2020-12-11,1.015,1.001,1.015,0.992,6300,632472.0,2.28,-0.89,-0.009,2.13
32,2020-12-14,1.001,1.018,1.018,1.0,6990,704765.0,1.8,1.7,0.017,2.37
33,2020-12-15,1.018,1.027,1.038,1.012,46308,4739678.0,2.55,0.88,0.009,15.69
34,2020-12-16,1.027,1.03,1.036,1.021,48409,4980752.0,1.46,0.29,0.003,16.4
35,2020-12-17,1.03,1.037,1.038,1.022,34398,3556896.0,1.55,0.68,0.007,11.65
36,2020-12-18,1.037,1.035,1.045,1.031,49819,5172914.0,1.35,-0.19,-0.002,16.88
37,2020-12-21,1.035,1.076,1.078,1.035,137910,14676963.0,4.15,3.96,0.041,46.72
38,2020-12-22,1.075,1.051,1.075,1.051,17181,1829793.0,2.23,-2.32,-0.025,5.82
39,2020-12-23,1.065,1.057,1.066,1.047,12996,1371910.0,1.81,0.57,0.006,4.4
40,2020-12-24,1.052,1.053,1.062,1.045,4490,471381.0,1.61,-0.38,-0.004,1.52
41,2020-12-25,1.053,1.055,1.08,1.039,13103,1382861.0,3.89,0.19,0.002,4.44
42,2020-12-28,1.055,1.058,1.063,1.051,12329,1303501.0,1.14,0.28,0.003,4.18
43,2020-12-29,1.058,1.052,1.058,1.04,7771,814485.0,1.7,-0.57,-0.006,2.63
44,2020-12-30,1.057,1.077,1.098,1.057,32760,3525249.0,3.9,2.38,0.025,11.1
45,2020-12-31,1.077,1.105,1.105,1.077,23419,2566952.0,2.6,2.6,0.028,7.93
46,2021-01-04,1.105,1.136,1.146,1.098,38575,4377756.0,4.34,2.81,0.031,13.07
47,2021-01-05,1.136,1.149,1.149,1.122,23776,2707799.0,2.38,1.14,0.013,8.05
48,2021-01-06,1.149,1.154,1.166,1.133,13887,1588869.0,2.87,0.44,0.005,4.7
49,2021-01-07,1.155,1.176,1.199,1.142,74138,8550372.0,4.94,1.91,0.022,25.11
50,2021-01-08,1.171,1.164,1.186,1.155,19946,2321473.0,2.64,-1.02,-0.012,6.76
51,2021-01-11,1.169,1.163,1.174,1.141,17429,2029380.0,2.84,-0.09,-0.001,5.9
52,2021-01-12,1.163,1.175,1.176,1.133,12234,1426276.0,3.7,1.03,0.012,4.14
53,2021-01-13,1.174,1.157,1.188,1.152,4248,496763.0,3.06,-1.53,-0.018,1.44
54,2021-01-14,1.157,1.147,1.163,1.141,18253,2111024.0,1.9,-0.86,-0.01,6.18
55,2021-01-15,1.148,1.15,1.16,1.122,13981,1593641.0,3.31,0.26,0.003,4.74
56,2021-01-18,1.148,1.174,1.33,1.13,14585,1726687.0,17.39,2.09,0.024,4.94
57,2021-01-19,1.174,1.146,1.181,1.141,8515,987306.0,3.41,-2.39,-0.028,2.88
58,2021-01-20,1.147,1.185,1.199,1.147,11620,1366416.0,4.54,3.4,0.039,3.94
59,2021-01-21,1.186,1.211,1.228,1.186,10528,1273097.0,3.54,2.19,0.026,3.57
60,2021-01-22,1.225,1.244,1.252,1.211,10471,1290818.0,3.39,2.73,0.033,3.55
61,2021-01-25,1.244,1.245,1.27,1.23,17924,2249897.0,3.22,0.08,0.001,6.07
62,2021-01-26,1.244,1.22,1.244,1.209,23064,2805167.0,2.81,-2.01,-0.025,7.81
63,2021-01-27,1.214,1.215,1.234,1.18,9959,1204251.0,4.43,-0.41,-0.005,3.37
64,2021-01-28,1.211,1.186,1.211,1.186,11726,1398553.0,2.06,-2.39,-0.029,3.97
65,2021-01-29,1.186,1.18,1.194,1.146,3863,453239.0,4.05,-0.51,-0.006,1.31
66,2021-02-01,1.158,1.174,1.181,1.158,3756,441249.0,1.95,-0.51,-0.006,1.27
67,2021-02-02,1.174,1.199,1.199,1.161,10860,1295130.0,3.24,2.13,0.025,3.68
68,2021-02-03,1.199,1.195,1.21,1.178,5948,714621.0,2.67,-0.33,-0.004,2.01
69,2021-02-04,1.185,1.188,1.199,1.166,6367,744928.0,2.76,-0.59,-0.007,2.16
70,2021-02-05,1.198,1.196,1.218,1.185,24106,2908377.0,2.78,0.67,0.008,8.17
71,2021-02-08,1.196,1.213,1.216,1.179,15429,1859292.0,3.09,1.42,0.017,5.23
72,2021-02-09,1.212,1.231,1.235,1.212,7363,902230.0,1.9,1.48,0.018,2.49
73,2021-02-10,1.231,1.266,1.267,1.23,8449,1061385.0,3.01,2.84,0.035,2.86
74,2021-02-18,1.267,1.237,1.3,1.233,24434,3085169.0,5.29,-2.29,-0.029,8.28
75,2021-02-19,1.237,1.234,1.237,1.188,18967,2303643.0,3.96,-0.24,-0.003,6.43
76,2021-02-22,1.232,1.18,1.232,1.18,8172,971594.0,4.21,-4.38,-0.054,2.77
77,2021-02-23,1.178,1.156,1.178,1.155,5826,678446.0,1.95,-2.03,-0.024,1.97
78,2021-02-24,1.155,1.133,1.19,1.1,6243,707036.0,7.79,-1.99,-0.023,2.11
79,2021-02-25,1.132,1.116,1.132,1.102,7469,835969.0,2.65,-1.5,-0.017,2.53
80,2021-02-26,1.08,1.121,1.132,1.055,2320,253304.0,6.9,0.45,0.005,0.79
81,2021-03-01,1.121,1.12,1.13,1.108,2937,328553.0,1.96,-0.09,-0.001,0.99
82,2021-03-02,1.119,1.111,1.158,1.11,2268,253561.0,4.29,-0.8,-0.009,0.77
83,2021-03-03,1.111,1.116,1.136,1.1,872,97103.0,3.24,0.45,0.005,0.3
84,2021-03-04,1.111,1.085,1.111,1.061,8381,900635.0,4.48,-2.78,-0.031,2.84
85,2021-03-05,1.035,1.091,1.109,1.035,2192,233169.0,6.82,0.55,0.006,0.74
