,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-10-23,1.004,1.006,1.013,0.999,1007184,101272537.0,0.0,0.0,0.0,209.99
1,2020-10-26,1.007,1.005,1.009,0.997,205175,20561794.0,1.19,-0.1,-0.001,42.78
2,2020-10-27,1.004,1.003,1.004,0.996,246658,24654042.0,0.8,-0.2,-0.002,51.43
3,2020-10-28,1.002,1.003,1.004,0.996,200456,20063667.0,0.8,0.0,0.0,41.79
4,2020-10-29,0.999,0.999,1.003,0.986,293163,29082468.0,1.69,-0.4,-0.004,61.12
5,2020-10-30,0.991,0.981,0.998,0.974,342862,33892851.0,2.4,-1.8,-0.018,71.48
6,2020-11-02,0.983,0.992,0.993,0.982,191324,18906733.0,1.12,1.12,0.011,39.89
7,2020-11-03,0.995,1.007,1.01,0.995,295713,29767731.0,1.51,1.51,0.015,61.65
8,2020-11-04,1.007,1.01,1.012,0.993,500064,50312636.0,1.89,0.3,0.003,104.26
9,2020-11-05,1.02,1.031,1.042,1.02,769648,79078972.0,2.18,2.08,0.021,160.47
10,2020-11-06,1.035,1.035,1.035,1.025,391957,40354963.0,0.97,0.39,0.004,81.72
11,2020-11-09,1.046,1.047,1.055,1.04,382454,39945200.0,1.45,1.16,0.012,79.74
12,2020-11-10,1.048,1.036,1.051,1.029,347573,36075799.0,2.1,-1.05,-0.011,72.47
13,2020-11-11,1.035,1.037,1.038,1.032,135450,14020162.0,0.58,0.1,0.001,28.24
14,2020-11-12,1.04,1.04,1.048,1.037,138109,14377676.0,1.06,0.29,0.003,28.79
15,2020-11-13,1.04,1.034,1.047,1.028,178704,18458327.0,1.83,-0.58,-0.006,37.26
16,2020-11-16,1.04,1.031,1.044,1.028,137274,14158255.0,1.55,-0.29,-0.003,28.62
17,2020-11-17,1.032,1.029,1.035,1.025,99947,10289042.0,0.97,-0.19,-0.002,20.84
18,2020-11-18,1.028,1.027,1.033,1.025,127133,13075932.0,0.78,-0.19,-0.002,26.51
19,2020-11-19,1.027,1.026,1.028,1.022,83905,8600201.0,0.58,-0.1,-0.001,17.49
20,2020-11-20,1.028,1.025,1.029,1.025,115481,11859029.0,0.39,-0.1,-0.001,24.08
21,2020-11-23,1.026,1.034,1.035,1.026,113671,11731030.0,0.88,0.88,0.009,23.7
22,2020-11-24,1.034,1.033,1.035,1.03,43724,4517871.0,0.48,-0.1,-0.001,9.12
23,2020-11-25,1.034,1.03,1.043,1.029,101930,10576801.0,1.36,-0.29,-0.003,21.25
24,2020-11-26,1.03,1.037,1.038,1.03,116397,12028567.0,0.78,0.68,0.007,24.27
25,2020-11-27,1.038,1.051,1.051,1.038,135762,14143546.0,1.25,1.35,0.014,28.31
26,2020-11-30,1.051,1.032,1.058,1.032,118162,12374002.0,2.47,-1.81,-0.019,24.64
