,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-29,1.025,1.037,1.051,1.025,1353771,141046172.0,0.0,0.0,0.0,91.16
1,2021-03-30,1.033,1.054,1.067,1.033,333192,35086007.0,3.28,1.64,0.017,22.44
2,2021-03-31,1.054,1.047,1.056,1.038,168026,17607264.0,1.71,-0.66,-0.007,11.31
3,2021-04-01,1.045,1.066,1.068,1.045,198532,21078747.0,2.2,1.81,0.019,13.37
4,2021-04-02,1.067,1.067,1.079,1.061,131120,14085278.0,1.69,0.09,0.001,8.83
5,2021-04-06,1.067,1.056,1.07,1.053,73976,7824407.0,1.59,-1.03,-0.011,4.98
6,2021-04-07,1.056,1.054,1.06,1.041,45629,4789989.0,1.8,-0.19,-0.002,3.07
7,2021-04-08,1.054,1.073,1.077,1.051,126210,13430259.0,2.47,1.8,0.019,8.5
8,2021-04-09,1.073,1.052,1.073,1.05,49750,5243250.0,2.14,-1.96,-0.021,3.35
9,2021-04-12,1.056,1.03,1.061,1.026,30937,3203582.0,3.33,-2.09,-0.022,2.08
10,2021-04-13,1.03,1.036,1.046,1.03,22618,2353612.0,1.55,0.58,0.006,1.52
11,2021-04-14,1.03,1.04,1.048,1.028,12495,1297270.0,1.93,0.39,0.004,0.84
12,2021-04-15,1.037,1.037,1.044,1.025,18527,1913957.0,1.83,-0.29,-0.003,1.25
13,2021-04-16,1.035,1.037,1.041,1.023,43847,4528933.0,1.74,0.0,0.0,2.95
14,2021-04-19,1.025,1.065,1.065,1.025,66689,7041898.0,3.86,2.7,0.028,4.49
15,2021-04-20,1.065,1.068,1.078,1.045,71307,7634040.0,3.1,0.28,0.003,4.8
16,2021-04-21,1.06,1.089,1.09,1.06,82959,8968723.0,2.81,1.97,0.021,5.59
17,2021-04-22,1.089,1.093,1.098,1.083,62942,6889135.0,1.38,0.37,0.004,4.24
18,2021-04-23,1.093,1.111,1.113,1.093,78017,8631939.0,1.83,1.65,0.018,5.25
19,2021-04-26,1.112,1.11,1.151,1.11,84522,9586533.0,3.69,-0.09,-0.001,5.69
20,2021-04-27,1.102,1.142,1.143,1.102,38681,4375184.0,3.69,2.88,0.032,2.6
