,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-05-25,1.006,1.03,1.031,1.006,2084199,212710432.0,0.0,0.0,0.0,174.05
1,2021-05-26,1.028,1.021,1.028,1.017,197164,20146825.0,1.07,-0.87,-0.009,16.47
2,2021-05-27,1.022,1.031,1.034,1.014,158387,16276477.0,1.96,0.98,0.01,13.23
3,2021-05-28,1.03,1.036,1.049,1.03,238988,24870707.0,1.84,0.48,0.005,19.96
4,2021-05-31,1.036,1.058,1.058,1.036,155087,16317432.0,2.12,2.12,0.022,12.95
5,2021-06-01,1.059,1.058,1.059,1.041,109319,11516101.0,1.7,0.0,0.0,9.13
6,2021-06-02,1.057,1.039,1.059,1.035,115640,12107283.0,2.27,-1.8,-0.019,9.66
7,2021-06-03,1.039,1.029,1.044,1.028,110456,11445130.0,1.54,-0.96,-0.01,9.22
8,2021-06-04,1.029,1.044,1.053,1.027,125497,13077386.0,2.53,1.46,0.015,10.48
9,2021-06-07,1.044,1.045,1.046,1.034,122919,12762821.0,1.15,0.1,0.001,10.26
10,2021-06-08,1.045,1.04,1.058,1.034,176928,18501985.0,2.3,-0.48,-0.005,14.78
11,2021-06-09,1.04,1.038,1.043,1.033,105916,10994572.0,0.96,-0.19,-0.002,8.85
12,2021-06-10,1.042,1.063,1.067,1.042,184384,19536706.0,2.41,2.41,0.025,15.4
13,2021-06-11,1.063,1.067,1.074,1.06,154255,16449087.0,1.32,0.38,0.004,12.88
14,2021-06-15,1.069,1.061,1.071,1.055,93445,9945185.0,1.5,-0.56,-0.006,7.8
15,2021-06-16,1.06,1.024,1.06,1.022,176642,18353259.0,3.58,-3.49,-0.037,14.75
16,2021-06-17,1.023,1.044,1.046,1.023,149082,15501946.0,2.25,1.95,0.02,12.45
17,2021-06-18,1.047,1.06,1.065,1.047,141636,14985933.0,1.72,1.53,0.016,11.83
18,2021-06-21,1.056,1.073,1.077,1.053,175728,18754750.0,2.26,1.23,0.013,14.67
19,2021-06-22,1.075,1.075,1.078,1.058,151472,16157309.0,1.86,0.19,0.002,12.65
20,2021-06-23,1.075,1.088,1.095,1.073,150538,16326261.0,2.05,1.21,0.013,12.57
21,2021-06-24,1.09,1.075,1.09,1.072,126820,13683775.0,1.65,-1.19,-0.013,10.59
22,2021-06-25,1.079,1.089,1.093,1.076,165520,17892555.0,1.58,1.3,0.014,13.82
23,2021-06-28,1.089,1.107,1.112,1.089,155300,17149940.0,2.11,1.65,0.018,12.97
24,2021-06-29,1.114,1.105,1.119,1.102,140816,15626767.0,1.54,-0.18,-0.002,11.76
25,2021-06-30,1.105,1.127,1.13,1.103,124559,13893460.0,2.44,1.99,0.022,10.4
26,2021-07-01,1.13,1.115,1.133,1.114,124640,14033793.0,1.69,-1.06,-0.012,10.41
27,2021-07-02,1.106,1.085,1.106,1.083,147597,16200287.0,2.06,-2.69,-0.03,12.33
28,2021-07-05,1.08,1.097,1.103,1.08,109656,12004590.0,2.12,1.11,0.012,9.16
29,2021-07-06,1.1,1.082,1.104,1.068,83712,9076508.0,3.28,-1.37,-0.015,6.99
30,2021-07-07,1.077,1.113,1.117,1.073,103507,11360335.0,4.07,2.87,0.031,8.64
31,2021-07-08,1.118,1.125,1.136,1.118,115976,13069440.0,1.62,1.08,0.012,9.69
32,2021-07-09,1.124,1.12,1.126,1.099,85044,9456628.0,2.4,-0.44,-0.005,7.1
33,2021-07-12,1.12,1.159,1.162,1.12,109842,12640869.0,3.75,3.48,0.039,9.17
34,2021-07-13,1.159,1.153,1.166,1.143,72253,8361594.0,1.98,-0.52,-0.006,6.03
35,2021-07-14,1.153,1.142,1.158,1.138,73385,8437545.0,1.73,-0.95,-0.011,6.13
36,2021-07-15,1.139,1.151,1.151,1.129,48045,5470619.0,1.93,0.79,0.009,4.01
37,2021-07-16,1.151,1.127,1.151,1.126,25559,2897559.0,2.17,-2.09,-0.024,2.13
38,2021-07-19,1.125,1.127,1.137,1.12,36711,4140237.0,1.51,0.0,0.0,3.07
39,2021-07-20,1.125,1.135,1.138,1.12,15426,1742385.0,1.6,0.71,0.008,1.29
40,2021-07-21,1.142,1.167,1.17,1.14,34266,3976153.0,2.64,2.82,0.032,2.86
41,2021-07-22,1.165,1.167,1.171,1.157,21297,2478718.0,1.2,0.0,0.0,1.78
42,2021-07-23,1.167,1.15,1.168,1.147,30070,3478660.0,1.8,-1.46,-0.017,2.51
