,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-02-01,0.961,1.0,1.004,0.96,382775,37985797.0,0.0,0.0,0.0,5.53
1,2021-02-02,1.009,1.006,1.013,1.0,553895,55826721.0,1.3,0.6,0.006,8.0
2,2021-02-03,1.004,0.995,1.009,0.993,441916,44267400.0,1.59,-1.09,-0.011,6.38
3,2021-02-04,0.995,0.976,0.995,0.955,405765,39307565.0,4.02,-1.91,-0.019,5.86
4,2021-02-05,0.978,0.969,0.985,0.967,214445,20940639.0,1.84,-0.72,-0.007,3.1
5,2021-02-08,0.968,0.973,0.98,0.962,203079,19726416.0,1.86,0.41,0.004,2.93
6,2021-02-09,0.971,0.986,0.99,0.971,208532,20452165.0,1.95,1.34,0.013,3.01
7,2021-02-10,0.987,1.009,1.011,0.987,602659,60589995.0,2.43,2.33,0.023,8.7
8,2021-02-18,1.035,1.024,1.055,1.018,978623,101057466.0,3.67,1.49,0.015,14.13
9,2021-02-19,1.02,1.031,1.032,1.001,350315,35538888.0,3.03,0.68,0.007,5.06
10,2021-02-22,1.03,0.992,1.04,0.991,319162,32260533.0,4.75,-3.78,-0.039,4.61
11,2021-02-23,0.989,0.985,0.994,0.971,186825,18363850.0,2.32,-0.71,-0.007,2.7
12,2021-02-24,0.989,0.947,0.989,0.935,359091,34480730.0,5.48,-3.86,-0.038,5.19
13,2021-02-25,0.95,0.941,0.964,0.939,156758,14860422.0,2.64,-0.63,-0.006,2.26
14,2021-02-26,0.919,0.907,0.919,0.903,213923,19464728.0,1.7,-3.61,-0.034,3.09
15,2021-03-01,0.929,0.93,0.931,0.919,121516,11248018.0,1.32,2.54,0.023,1.76
16,2021-03-02,0.938,0.929,0.946,0.919,134708,12598881.0,2.9,-0.11,-0.001,1.95
17,2021-03-03,0.927,0.935,0.935,0.916,75583,7000702.0,2.05,0.65,0.006,1.09
18,2021-03-04,0.921,0.902,0.921,0.9,171309,15545476.0,2.25,-3.53,-0.033,2.47
19,2021-03-05,0.897,0.898,0.906,0.872,109777,9782538.0,3.77,-0.44,-0.004,1.59
20,2021-03-08,0.899,0.855,0.902,0.855,194771,17018497.0,5.23,-4.79,-0.043,2.81
21,2021-03-09,0.854,0.831,0.858,0.813,208429,17393325.0,5.26,-2.81,-0.024,3.01
22,2021-03-10,0.848,0.84,0.865,0.838,115329,9806005.0,3.25,1.08,0.009,1.67
23,2021-03-11,0.849,0.862,0.869,0.841,121669,10459436.0,3.33,2.62,0.022,1.76
24,2021-03-12,0.87,0.862,0.88,0.857,72359,6262186.0,2.67,0.0,0.0,1.05
25,2021-03-15,0.86,0.836,0.86,0.827,115220,9688066.0,3.83,-3.02,-0.026,1.66
26,2021-03-16,0.84,0.85,0.858,0.84,80981,6881079.0,2.15,1.67,0.014,1.17
27,2021-03-17,0.85,0.853,0.859,0.838,107600,9145380.0,2.47,0.35,0.003,1.55
28,2021-03-18,0.854,0.869,0.87,0.854,101924,8822871.0,1.88,1.88,0.016,1.47
29,2021-03-19,0.85,0.848,0.853,0.832,125376,10604552.0,2.42,-2.42,-0.021,1.81
30,2021-03-22,0.84,0.855,0.86,0.84,80440,6858881.0,2.36,0.83,0.007,1.16
31,2021-03-23,0.855,0.837,0.857,0.832,133870,11306135.0,2.92,-2.11,-0.018,1.93
32,2021-03-24,0.838,0.826,0.844,0.822,112768,9353265.0,2.63,-1.31,-0.011,1.63
33,2021-03-25,0.813,0.824,0.83,0.805,107674,8777448.0,3.03,-0.24,-0.002,1.56
34,2021-03-26,0.829,0.845,0.852,0.829,146444,12333737.0,2.79,2.55,0.021,2.12
35,2021-03-29,0.854,0.83,0.854,0.827,108039,9045435.0,3.2,-1.78,-0.015,1.56
36,2021-03-30,0.831,0.845,0.846,0.831,103709,8723404.0,1.81,1.81,0.015,1.5
37,2021-03-31,0.851,0.846,0.858,0.841,62078,5268196.0,2.01,0.12,0.001,0.9
