,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-01,1.031,1.01,1.038,1.009,526375,53878920.0,0.0,0.0,0.0,83.82
1,2021-07-02,1.01,1.0,1.01,0.994,95286,9521305.0,1.58,-0.99,-0.01,15.17
2,2021-07-05,0.999,1.004,1.008,0.992,49737,4967914.0,1.6,0.4,0.004,7.92
3,2021-07-06,1.003,1.0,1.014,0.987,88235,8826858.0,2.69,-0.4,-0.004,14.05
4,2021-07-07,1.0,1.01,1.015,0.985,149852,15125150.0,3.0,1.0,0.01,23.86
5,2021-07-08,1.005,1.022,1.03,1.002,256972,26276151.0,2.77,1.19,0.012,40.92
6,2021-07-09,1.025,1.016,1.025,0.995,105449,10610733.0,2.94,-0.59,-0.006,16.79
7,2021-07-12,1.018,1.039,1.044,1.018,250474,25916831.0,2.56,2.26,0.023,39.88
8,2021-07-13,1.039,1.03,1.039,1.022,102191,10522726.0,1.64,-0.87,-0.009,16.27
9,2021-07-14,1.021,1.003,1.022,1.0,121824,12269287.0,2.14,-2.62,-0.027,19.4
10,2021-07-15,0.999,0.997,1.003,0.975,137789,13625439.0,2.79,-0.6,-0.006,21.94
11,2021-07-16,0.995,0.987,0.999,0.985,73660,7300247.0,1.4,-1.0,-0.01,11.73
12,2021-07-19,0.98,0.988,0.992,0.975,91414,9007076.0,1.72,0.1,0.001,14.56
13,2021-07-20,0.988,0.998,0.998,0.978,66217,6551492.0,2.02,1.01,0.01,10.54
14,2021-07-21,0.998,1.01,1.017,0.998,135452,13677195.0,1.9,1.2,0.012,21.57
15,2021-07-22,1.015,1.007,1.015,0.998,122065,12272245.0,1.68,-0.3,-0.003,19.44
16,2021-07-23,1.003,0.997,1.008,0.993,93925,9379733.0,1.49,-0.99,-0.01,14.96
17,2021-07-26,0.998,0.972,0.998,0.959,79392,7764636.0,3.91,-2.51,-0.025,12.64
18,2021-07-27,0.977,0.963,0.988,0.961,87377,8557913.0,2.78,-0.93,-0.009,13.91
19,2021-07-28,0.963,0.942,0.963,0.924,74615,7033856.0,4.05,-2.18,-0.021,11.88
20,2021-07-29,0.945,0.97,0.971,0.945,39204,3774366.0,2.76,2.97,0.028,6.24
21,2021-07-30,0.96,0.981,0.99,0.96,96763,9467586.0,3.09,1.13,0.011,15.41
22,2021-08-02,0.98,1.007,1.009,0.98,110959,11077705.0,2.96,2.65,0.026,17.67
23,2021-08-03,1.009,0.995,1.02,0.994,117952,11897511.0,2.58,-1.19,-0.012,18.78
