,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2006-09-05,0.88,0.872,0.881,0.869,806320,80159278.604,0.0,0.0,0.0,55.62
1,2006-09-06,0.873,0.867,0.873,0.864,463357,45758690.57,1.03,-0.57,-0.005,31.96
2,2006-09-07,0.867,0.862,0.868,0.86,289932,28505841.049,0.92,-0.58,-0.005,20.0
3,2006-09-08,0.86,0.866,0.869,0.859,284018,27939810.86,1.16,0.46,0.004,19.59
4,2006-09-11,0.865,0.866,0.868,0.858,169371,16655646.997,1.15,0.0,0.0,11.68
5,2006-09-12,0.866,0.871,0.873,0.865,208582,20641728.5,0.92,0.58,0.005,14.39
6,2006-09-13,0.871,0.867,0.875,0.867,169228,16785250.936,0.92,-0.46,-0.004,11.67
7,2006-09-14,0.866,0.859,0.866,0.856,135405,13253209.227,1.15,-0.92,-0.008,9.34
8,2006-09-15,0.859,0.867,0.868,0.859,268055,26393371.535,1.05,0.93,0.008,18.49
9,2006-09-18,0.868,0.874,0.875,0.867,335521,33266634.011,0.92,0.81,0.007,23.15
10,2006-09-19,0.872,0.877,0.879,0.872,347849,34676572.003,0.8,0.34,0.003,24.0
11,2006-09-20,0.876,0.878,0.882,0.873,345645,34511749.478,1.03,0.11,0.001,23.84
12,2006-09-21,0.878,0.888,0.89,0.877,568113,57111988.081,1.48,1.14,0.01,39.19
13,2006-09-22,0.888,0.894,0.898,0.887,547648,55448565.879,1.24,0.68,0.006,37.78
14,2006-09-25,0.891,0.893,0.904,0.889,361716,36759873.034,1.68,-0.11,-0.001,24.95
15,2006-09-26,0.897,0.882,0.897,0.882,155541,15689789.556,1.68,-1.23,-0.011,10.73
16,2006-09-27,0.882,0.88,0.885,0.877,105986,10594674.601,0.91,-0.23,-0.002,7.31
17,2006-09-28,0.881,0.892,0.896,0.881,236427,23896958.381,1.7,1.36,0.012,16.31
18,2006-09-29,0.892,0.901,0.904,0.892,667900,68150596.462,1.35,1.01,0.009,46.07
19,2006-10-09,0.902,0.915,0.916,0.902,637619,65646592.56,1.55,1.55,0.014,43.99
20,2006-10-10,0.917,0.916,0.922,0.909,382481,39652619.634,1.42,0.11,0.001,26.39
21,2006-10-11,0.917,0.926,0.926,0.913,458814,47686113.214,1.42,1.09,0.01,31.65
22,2006-10-12,0.927,0.91,0.928,0.91,179304,18601606.889,1.94,-1.73,-0.016,12.37
23,2006-10-13,0.91,0.907,0.911,0.904,115564,11869639.623,0.77,-0.33,-0.003,7.97
24,2006-10-16,0.908,0.899,0.908,0.896,135221,13821323.874,1.32,-0.88,-0.008,9.33
25,2006-10-17,0.898,0.893,0.898,0.893,157028,15941766.708,0.56,-0.67,-0.006,10.83
26,2006-10-18,0.892,0.9,0.902,0.892,144124,14673061.655,1.12,0.78,0.007,9.94
27,2006-10-19,0.9,0.908,0.91,0.9,318336,32698825.873,1.11,0.89,0.008,21.96
28,2006-10-20,0.907,0.902,0.91,0.902,192894,19812633.404,0.88,-0.66,-0.006,13.31
29,2006-10-23,0.902,0.88,0.902,0.877,328037,33083502.787,2.77,-2.44,-0.022,22.63
30,2006-10-24,0.881,0.895,0.895,0.881,228449,23015739.519,1.59,1.7,0.015,15.76
31,2006-10-25,0.894,0.893,0.903,0.888,259970,26412919.4,1.68,-0.22,-0.002,17.93
32,2006-10-26,0.894,0.888,0.896,0.887,120973,12218306.3,1.01,-0.56,-0.005,8.35
