,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-07-13,0.238,0.24,0.247,0.226,529344,49614505.0,0.0,0.0,0.0,0.28
1,2015-07-14,0.243,0.242,0.244,0.238,286423,27593315.0,2.5,0.83,0.002,0.15
2,2015-07-15,0.241,0.241,0.245,0.24,164838,15926968.0,2.07,-0.41,-0.001,0.09
3,2015-07-16,0.241,0.242,0.243,0.24,109387,10564361.0,1.24,0.41,0.001,0.06
4,2015-07-17,0.242,0.247,0.25,0.242,64956,6379479.0,3.31,2.07,0.005,0.03
5,2015-07-20,0.247,0.248,0.249,0.245,56197,5570725.0,1.62,0.4,0.001,0.03
6,2015-07-21,0.247,0.249,0.249,0.247,162175,16113324.0,0.81,0.4,0.001,0.09
7,2015-07-22,0.248,0.251,0.251,0.248,158205,15801523.0,1.2,0.8,0.002,0.08
8,2015-07-23,0.251,0.252,0.252,0.25,233149,23390138.0,0.8,0.4,0.001,0.12
9,2015-07-24,0.25,0.252,0.253,0.25,80400,8096419.0,1.19,0.0,0.0,0.04
10,2015-07-27,0.25,0.248,0.25,0.246,136624,13597617.0,1.59,-1.59,-0.004,0.07
11,2015-07-28,0.248,0.245,0.248,0.238,16708,1630480.0,4.03,-1.21,-0.003,0.01
12,2015-07-29,0.245,0.247,0.248,0.245,29211,2889097.0,1.22,0.82,0.002,0.02
13,2015-07-30,0.248,0.247,0.248,0.247,5740,569071.0,0.4,0.0,0.0,0.0
14,2015-07-31,0.247,0.246,0.25,0.246,19369,1915272.0,1.62,-0.4,-0.001,0.01
15,2015-08-03,0.249,0.248,0.249,0.245,54627,5406127.0,1.63,0.81,0.002,0.03
16,2015-08-04,0.247,0.247,0.248,0.247,4801,474500.0,0.4,-0.4,-0.001,0.0
17,2015-08-05,0.247,0.247,0.248,0.246,12214,1207690.0,0.81,0.0,0.0,0.01
18,2015-08-06,0.247,0.248,0.249,0.247,5978,591900.0,0.81,0.4,0.001,0.0
19,2015-08-07,0.246,0.245,0.247,0.245,11569,1133828.0,0.81,-1.21,-0.003,0.01
20,2015-08-10,0.245,0.244,0.245,0.243,10425,1016154.0,0.82,-0.41,-0.001,0.01
21,2015-08-11,0.246,0.251,0.253,0.246,59323,5902757.0,2.87,2.87,0.007,0.03
22,2015-08-12,0.249,0.248,0.253,0.247,45510,4530558.0,2.39,-1.2,-0.003,0.02
23,2015-08-13,0.249,0.25,0.253,0.249,50850,5100234.0,1.61,0.81,0.002,0.03
24,2015-08-14,0.248,0.25,0.253,0.248,32417,3245488.0,2.0,0.0,0.0,0.02
25,2015-08-17,0.25,0.248,0.25,0.248,6375,633380.0,0.8,-0.8,-0.002,0.0
26,2015-08-18,0.249,0.25,0.251,0.249,22365,2236998.0,0.81,0.81,0.002,0.01
27,2015-08-19,0.249,0.249,0.249,0.247,6056,601262.0,0.8,-0.4,-0.001,0.0
28,2015-08-20,0.247,0.247,0.247,0.245,17570,1731559.0,0.8,-0.8,-0.002,0.01
29,2015-08-21,0.242,0.236,0.242,0.236,17352,1649536.0,2.43,-4.45,-0.011,0.01
30,2015-08-24,0.225,0.216,0.228,0.214,28200,2484567.0,5.93,-8.47,-0.02,0.01
