,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-07-06,0.858,0.764,0.929,0.763,435610,33940801.0,0.0,0.0,0.0,149.84
1,2015-07-07,0.741,0.7,0.772,0.689,230983,16724589.0,10.86,-8.38,-0.064,79.45
2,2015-07-08,0.635,0.63,0.685,0.63,139040,8782750.0,7.86,-10.0,-0.07,47.83
3,2015-07-09,0.568,0.693,0.693,0.568,149083,9773304.0,19.84,10.0,0.063,51.28
4,2015-07-10,0.75,0.762,0.762,0.695,60799,4593726.0,9.67,9.96,0.069,20.91
5,2015-07-13,0.8,0.838,0.838,0.781,72771,5946452.0,7.48,9.97,0.076,25.03
6,2015-07-14,0.838,0.85,0.872,0.827,155088,13258598.0,5.37,1.43,0.012,53.35
7,2015-07-15,0.84,0.798,0.84,0.77,148954,12157400.0,8.24,-6.12,-0.052,51.24
8,2015-07-16,0.798,0.83,0.835,0.751,51289,4171826.0,10.53,4.01,0.032,17.64
9,2015-07-17,0.83,0.863,0.891,0.802,71788,6154157.0,10.72,3.98,0.033,24.69
10,2015-07-20,0.863,0.866,0.873,0.839,51452,4446476.0,3.94,0.35,0.003,17.7
11,2015-07-21,0.843,0.864,0.868,0.843,55020,4741579.0,2.89,-0.23,-0.002,18.93
12,2015-07-22,0.864,0.885,0.888,0.84,57243,4974685.0,5.56,2.43,0.021,19.69
13,2015-07-23,0.885,0.91,0.91,0.87,42549,3797293.0,4.52,2.82,0.025,14.64
14,2015-07-24,0.892,0.893,0.945,0.88,36937,3383675.0,7.14,-1.87,-0.017,12.71
15,2015-07-27,0.87,0.811,0.906,0.81,19077,1612668.0,10.75,-9.18,-0.082,6.56
16,2015-07-28,0.8,0.801,0.82,0.766,48055,3780573.0,6.66,-1.23,-0.01,16.53
17,2015-07-29,0.8,0.834,0.838,0.8,31405,2563239.0,4.74,4.12,0.033,10.8
18,2015-07-30,0.834,0.825,0.858,0.802,11262,942592.0,6.71,-1.08,-0.009,3.87
19,2015-07-31,0.82,0.796,0.823,0.79,10317,826818.0,4.0,-3.52,-0.029,3.55
20,2015-08-03,0.781,0.769,0.792,0.766,4936,384120.0,3.27,-3.39,-0.027,1.7
21,2015-08-04,0.769,0.82,0.843,0.769,9839,791556.0,9.62,6.63,0.051,3.38
22,2015-08-05,0.8,0.825,0.835,0.8,14755,1211979.0,4.27,0.61,0.005,5.08
23,2015-08-06,0.815,0.811,0.815,0.8,4028,324603.0,1.82,-1.7,-0.014,1.39
24,2015-08-07,0.825,0.828,0.83,0.808,15060,1236488.0,2.71,2.1,0.017,5.18
25,2015-08-10,0.843,0.868,0.87,0.827,33482,2875459.0,5.19,4.83,0.04,11.52
26,2015-08-11,0.856,0.888,0.9,0.856,22501,1976803.0,5.07,2.3,0.02,7.74
27,2015-08-12,0.87,0.881,0.893,0.87,11264,995498.0,2.59,-0.79,-0.007,3.87
28,2015-08-13,0.876,0.877,0.892,0.865,14152,1244976.0,3.06,-0.45,-0.004,4.87
29,2015-08-14,0.882,0.905,0.915,0.87,35759,3226951.0,5.13,3.19,0.028,12.3
30,2015-08-17,0.896,0.905,0.905,0.87,15319,1367808.0,3.87,0.0,0.0,5.27
31,2015-08-18,0.895,0.85,0.899,0.825,10617,925637.0,8.18,-6.08,-0.055,3.65
32,2015-08-19,0.815,0.861,0.862,0.815,14045,1160822.0,5.53,1.29,0.011,4.83
33,2015-08-20,0.809,0.848,0.864,0.806,10769,892572.0,6.74,-1.51,-0.013,3.7
34,2015-08-21,0.843,0.8,0.843,0.788,6444,523769.0,6.49,-5.66,-0.048,2.22
35,2015-08-24,0.797,0.72,0.797,0.72,10736,784449.0,9.63,-10.0,-0.08,3.69
36,2015-08-25,0.72,0.648,0.72,0.648,15033,994512.0,10.0,-10.0,-0.072,5.17
37,2015-08-26,0.65,0.64,0.7,0.63,20844,1355732.0,10.8,-1.23,-0.008,7.17
