,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-07-15,0.283,0.286,0.286,0.282,2009544,207349169.0,0.0,0.0,0.0,1.67
1,2019-07-16,0.285,0.286,0.286,0.285,241831,25137121.0,0.35,0.0,0.0,0.2
2,2019-07-17,0.285,0.286,0.288,0.285,239589,24971969.0,1.05,0.0,0.0,0.2
3,2019-07-18,0.285,0.281,0.285,0.281,111007,11418408.0,1.4,-1.75,-0.005,0.09
4,2019-07-19,0.283,0.284,0.286,0.283,155230,16090301.0,1.07,1.07,0.003,0.13
5,2019-07-22,0.285,0.28,0.285,0.279,125397,12850975.0,2.11,-1.41,-0.004,0.1
6,2019-07-23,0.28,0.283,0.283,0.28,94008,9638724.0,1.07,1.07,0.003,0.08
7,2019-07-24,0.283,0.286,0.287,0.283,86182,8957908.0,1.41,1.06,0.003,0.07
8,2019-07-25,0.286,0.287,0.287,0.285,96637,10061284.0,0.7,0.35,0.001,0.08
9,2019-07-26,0.285,0.287,0.288,0.284,27219,2837072.0,1.39,0.0,0.0,0.02
10,2019-07-29,0.287,0.287,0.287,0.286,68036,7094336.0,0.35,0.0,0.0,0.06
11,2019-07-30,0.287,0.29,0.291,0.287,80270,8476848.0,1.39,1.05,0.003,0.07
12,2019-07-31,0.29,0.288,0.29,0.287,42724,4475742.0,1.03,-0.69,-0.002,0.04
13,2019-08-01,0.287,0.289,0.289,0.286,129987,13631583.0,1.04,0.35,0.001,0.11
14,2019-08-02,0.284,0.286,0.286,0.282,96699,10006613.0,1.38,-1.04,-0.003,0.08
15,2019-08-05,0.286,0.283,0.287,0.282,51976,5384096.0,1.75,-1.05,-0.003,0.04
16,2019-08-06,0.28,0.279,0.281,0.274,108047,10898509.0,2.47,-1.41,-0.004,0.09
17,2019-08-07,0.282,0.278,0.282,0.278,187366,19104593.0,1.43,-0.36,-0.001,0.16
18,2019-08-08,0.278,0.284,0.284,0.278,286928,29503488.0,2.16,2.16,0.006,0.24
19,2019-08-09,0.284,0.281,0.287,0.281,216313,22384858.0,2.11,-1.06,-0.003,0.18
20,2019-08-12,0.283,0.286,0.286,0.281,228741,23600547.0,1.78,1.78,0.005,0.19
21,2019-08-13,0.286,0.284,0.286,0.283,163735,16977454.0,1.05,-0.7,-0.002,0.14
22,2019-08-14,0.285,0.287,0.288,0.285,110303,11518332.0,1.06,1.06,0.003,0.09
23,2019-08-15,0.284,0.288,0.288,0.282,66946,6985044.0,2.09,0.35,0.001,0.06
24,2019-08-16,0.288,0.293,0.295,0.288,158682,16880890.0,2.43,1.74,0.005,0.13
25,2019-08-19,0.296,0.302,0.302,0.294,119005,12877696.0,2.73,3.07,0.009,0.1
26,2019-08-20,0.302,0.299,0.302,0.298,83146,9058857.0,1.32,-0.99,-0.003,0.07
27,2019-08-21,0.299,0.298,0.3,0.297,43810,4765513.0,1.0,-0.33,-0.001,0.04
28,2019-08-22,0.298,0.299,0.3,0.297,69466,7537889.0,1.01,0.34,0.001,0.06
29,2019-08-23,0.3,0.302,0.303,0.299,53675,5868835.0,1.34,1.0,0.003,0.04
30,2019-08-26,0.3,0.3,0.302,0.298,148074,16167884.0,1.32,-0.66,-0.002,0.12
31,2019-08-27,0.3,0.306,0.308,0.3,297241,33039247.0,2.67,2.0,0.006,0.25
32,2019-08-28,0.306,0.305,0.306,0.302,216917,23992225.0,1.31,-0.33,-0.001,0.18
33,2019-08-29,0.305,0.305,0.306,0.302,124640,13767011.0,1.31,0.0,0.0,0.1
34,2019-08-30,0.306,0.304,0.308,0.302,132401,14685377.0,1.97,-0.33,-0.001,0.11
35,2019-09-02,0.305,0.314,0.314,0.305,163463,18363742.0,2.96,3.29,0.01,0.14
36,2019-09-03,0.317,0.315,0.318,0.313,148545,16956381.0,1.59,0.32,0.001,0.12
37,2019-09-04,0.314,0.315,0.316,0.311,366624,41871039.0,1.59,0.0,0.0,0.3
38,2019-09-05,0.316,0.318,0.321,0.316,105616,12266815.0,1.59,0.95,0.003,0.09
39,2019-09-06,0.32,0.318,0.32,0.315,124869,14413865.0,1.57,0.0,0.0,0.1
40,2019-09-09,0.324,0.324,0.324,0.319,193815,22624616.0,1.57,1.89,0.006,0.16
41,2019-09-10,0.324,0.323,0.328,0.322,78963,9306004.0,1.85,-0.31,-0.001,0.07
42,2019-09-11,0.326,0.319,0.326,0.319,177553,20815308.0,2.17,-1.24,-0.004,0.15
43,2019-09-12,0.322,0.319,0.322,0.316,162367,18804066.0,1.88,0.0,0.0,0.13
44,2019-09-16,0.319,0.319,0.32,0.317,154868,17948725.0,0.94,0.0,0.0,0.13
45,2019-09-17,0.317,0.314,0.319,0.313,151784,17425939.0,1.88,-1.57,-0.005,0.13
46,2019-09-18,0.314,0.314,0.316,0.312,172188,19663132.0,1.27,0.0,0.0,0.14
47,2019-09-19,0.314,0.319,0.319,0.312,340753,39251106.0,2.23,1.59,0.005,0.28
48,2019-09-20,0.319,0.32,0.321,0.318,238742,27791959.0,0.94,0.31,0.001,0.2
49,2019-09-23,0.32,0.314,0.32,0.312,145222,16557451.0,2.5,-1.88,-0.006,0.12
50,2019-09-24,0.315,0.317,0.319,0.314,196593,22657643.0,1.59,0.96,0.003,0.16
51,2019-09-25,0.315,0.314,0.317,0.313,67584,7746984.0,1.26,-0.95,-0.003,0.06
52,2019-09-26,0.313,0.304,0.316,0.304,155299,17388953.0,3.82,-3.18,-0.01,0.13
53,2019-09-27,0.304,0.309,0.31,0.303,195069,21849448.0,2.3,1.64,0.005,0.16
54,2019-09-30,0.309,0.306,0.31,0.305,85441,9559879.0,1.62,-0.97,-0.003,0.07
55,2019-10-08,0.306,0.306,0.308,0.305,119701,13369595.0,0.98,0.0,0.0,0.1
56,2019-10-09,0.306,0.306,0.306,0.302,124660,13760885.0,1.31,0.0,0.0,0.1
57,2019-10-10,0.305,0.316,0.316,0.305,141570,16023819.0,3.59,3.27,0.01,0.12
58,2019-10-11,0.318,0.316,0.318,0.314,54738,6301124.0,1.27,0.0,0.0,0.05
59,2019-10-14,0.317,0.318,0.32,0.316,74632,8636800.0,1.27,0.63,0.002,0.06
60,2019-10-15,0.316,0.316,0.318,0.313,102983,11825641.0,1.57,-0.63,-0.002,0.09
61,2019-10-16,0.316,0.316,0.318,0.316,79464,9154494.0,0.63,0.0,0.0,0.07
62,2019-10-17,0.316,0.316,0.317,0.315,83985,9658627.0,0.63,0.0,0.0,0.07
63,2019-10-18,0.317,0.315,0.319,0.314,136213,15690704.0,1.58,-0.32,-0.001,0.11
