,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-10-31,4.915,4.899,4.958,4.896,374722,184746609.0,0.0,0.0,0.0,31.95
1,2019-11-01,4.889,4.95,4.958,4.851,436372,215101621.0,2.18,1.04,0.051,37.2
2,2019-11-04,4.96,4.976,5.006,4.96,307592,153408431.0,0.93,0.53,0.026,26.22
3,2019-11-05,4.976,5.011,5.03,4.962,207911,104016294.0,1.37,0.7,0.035,17.73
4,2019-11-06,5.009,4.97,5.018,4.944,182869,91274510.0,1.48,-0.82,-0.041,15.59
5,2019-11-07,4.961,4.992,5.013,4.961,332087,165842348.0,1.05,0.44,0.022,28.31
6,2019-11-08,5.015,4.993,5.043,4.983,360733,180832743.0,1.2,0.02,0.001,30.75
7,2019-11-11,4.959,4.881,4.959,4.874,134666,66159776.0,1.7,-2.24,-0.112,11.48
8,2019-11-12,4.878,4.88,4.886,4.823,149745,72685841.0,1.29,-0.02,-0.001,12.77
9,2019-11-13,4.871,4.878,4.88,4.848,144230,70183565.0,0.66,-0.04,-0.002,12.3
10,2019-11-14,4.868,4.905,4.921,4.868,110420,54016459.0,1.09,0.55,0.027,9.41
11,2019-11-15,4.925,4.873,4.935,4.872,159677,78163621.0,1.28,-0.65,-0.032,13.61
12,2019-11-18,4.872,4.883,4.897,4.854,156431,76348187.0,0.88,0.21,0.01,13.34
13,2019-11-19,4.878,4.972,4.973,4.878,199901,98845608.0,1.95,1.82,0.089,17.04
14,2019-11-20,4.963,4.951,4.991,4.944,151457,75242074.0,0.95,-0.42,-0.021,12.91
15,2019-11-21,4.948,4.948,4.968,4.92,87947,43451212.0,0.97,-0.06,-0.003,7.5
16,2019-11-22,4.948,4.902,5.024,4.872,191200,94821295.0,3.07,-0.93,-0.046,16.3
17,2019-11-25,4.902,4.9,4.913,4.856,151874,74270163.0,1.16,-0.04,-0.002,12.95
18,2019-11-26,4.9,4.907,4.928,4.888,144408,70862547.0,0.82,0.14,0.007,12.31
19,2019-11-27,4.888,4.914,4.947,4.884,160776,79085042.0,1.28,0.14,0.007,13.71
20,2019-11-28,4.898,4.897,4.927,4.887,138370,67894911.0,0.81,-0.35,-0.017,11.8
21,2019-11-29,4.927,4.895,4.927,4.855,158404,77488500.0,1.47,-0.04,-0.002,13.5
22,2019-12-02,4.895,4.909,4.933,4.888,136672,67087473.0,0.92,0.29,0.014,11.65
23,2019-12-03,4.889,4.926,4.926,4.868,111791,54654987.0,1.18,0.35,0.017,9.53
24,2019-12-04,4.916,4.926,4.934,4.9,131335,64600101.0,0.69,0.0,0.0,11.2
25,2019-12-05,4.926,4.964,4.981,4.924,137203,67982290.0,1.16,0.77,0.038,11.7
26,2019-12-06,4.964,5.009,5.013,4.958,149990,74701193.0,1.11,0.91,0.045,12.79
27,2019-12-09,5.01,5.023,5.036,5.003,232177,116576987.0,0.66,0.28,0.014,19.79
28,2019-12-10,5.01,5.05,5.055,5.0,200651,100925167.0,1.09,0.54,0.027,17.11
29,2019-12-11,5.05,5.035,5.053,5.014,181613,91435973.0,0.77,-0.3,-0.015,15.48
30,2019-12-12,5.03,5.024,5.052,5.017,207544,104562588.0,0.7,-0.22,-0.011,17.69
31,2019-12-13,5.041,5.078,5.084,5.04,275230,139251795.0,0.88,1.07,0.054,23.46
32,2019-12-16,5.089,5.15,5.157,5.068,567058,290164720.0,1.75,1.42,0.072,48.34
33,2019-12-17,5.149,5.217,5.24,5.14,398565,206844869.0,1.94,1.3,0.067,33.98
34,2019-12-18,5.218,5.215,5.254,5.205,322417,168566811.0,0.94,-0.04,-0.002,27.49
35,2019-12-19,5.22,5.231,5.247,5.203,505948,264059824.0,0.84,0.31,0.016,43.13
36,2019-12-20,5.231,5.184,5.253,5.177,388676,202910617.0,1.45,-0.9,-0.047,33.14
37,2019-12-23,5.183,5.078,5.183,5.073,286411,147039429.0,2.12,-2.04,-0.106,24.42
38,2019-12-24,5.08,5.153,5.157,5.08,197249,100826143.0,1.52,1.48,0.075,16.82
39,2019-12-25,5.17,5.175,5.189,5.142,309202,159809384.0,0.91,0.43,0.022,26.36
40,2019-12-26,5.165,5.203,5.203,5.16,176963,91730140.0,0.83,0.54,0.028,15.09
41,2019-12-27,5.207,5.18,5.248,5.174,328434,171353236.0,1.42,-0.44,-0.023,28.0
42,2019-12-30,5.18,5.238,5.244,5.117,295785,153496454.0,2.45,1.12,0.058,25.22
43,2019-12-31,5.24,5.268,5.276,5.22,309984,162896884.0,1.07,0.57,0.03,26.43
44,2020-01-02,5.274,5.348,5.368,5.274,364778,194836423.0,1.78,1.52,0.08,31.1
45,2020-01-03,5.344,5.37,5.388,5.344,305301,163754834.0,0.82,0.41,0.022,26.03
46,2020-01-06,5.36,5.43,5.477,5.351,407097,220903914.0,2.35,1.12,0.06,34.71
