,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-09-27,1.62,1.65,1.655,1.62,304687,50157905.0,0.0,0.0,0.0,0.74
1,2019-09-30,1.65,1.629,1.66,1.625,215884,35394415.0,2.12,-1.27,-0.021,0.52
2,2019-10-08,1.629,1.617,1.639,1.608,201787,32906113.0,1.9,-0.74,-0.012,0.49
3,2019-10-09,1.617,1.621,1.624,1.585,196072,31576927.0,2.41,0.25,0.004,0.48
4,2019-10-10,1.621,1.667,1.668,1.621,173798,28666182.0,2.9,2.84,0.046,0.42
5,2019-10-11,1.66,1.666,1.674,1.654,256460,42714264.0,1.2,-0.06,-0.001,0.62
6,2019-10-14,1.672,1.678,1.691,1.672,364555,61351190.0,1.14,0.72,0.012,0.89
7,2019-10-15,1.679,1.659,1.679,1.657,266014,44266749.0,1.31,-1.13,-0.019,0.65
8,2019-10-16,1.659,1.658,1.671,1.657,190272,31681788.0,0.84,-0.06,-0.001,0.46
9,2019-10-17,1.658,1.658,1.665,1.654,139981,23235928.0,0.66,0.0,0.0,0.34
10,2019-10-18,1.661,1.65,1.675,1.647,227854,37803119.0,1.69,-0.48,-0.008,0.55
11,2019-10-21,1.64,1.645,1.658,1.631,187934,30837708.0,1.64,-0.3,-0.005,0.46
12,2019-10-22,1.65,1.668,1.668,1.648,143315,23742719.0,1.22,1.4,0.023,0.35
13,2019-10-23,1.668,1.651,1.67,1.648,152522,25364103.0,1.32,-1.02,-0.017,0.37
14,2019-10-24,1.651,1.652,1.658,1.64,181478,29981306.0,1.09,0.06,0.001,0.44
15,2019-10-25,1.652,1.673,1.677,1.65,224970,37428774.0,1.63,1.27,0.021,0.55
16,2019-10-28,1.685,1.704,1.705,1.684,469782,79670658.0,1.26,1.85,0.031,1.14
17,2019-10-29,1.703,1.687,1.707,1.687,232723,39571324.0,1.17,-1.0,-0.017,0.57
18,2019-10-30,1.68,1.682,1.689,1.672,243528,40949313.0,1.01,-0.3,-0.005,0.59
19,2019-10-31,1.685,1.671,1.693,1.67,131331,22093545.0,1.37,-0.65,-0.011,0.32
20,2019-11-01,1.663,1.688,1.688,1.661,183128,30689260.0,1.62,1.02,0.017,0.44
21,2019-11-04,1.688,1.699,1.706,1.687,808413,137593715.0,1.13,0.65,0.011,1.96
22,2019-11-05,1.699,1.711,1.717,1.694,672900,114707411.0,1.35,0.71,0.012,1.63
23,2019-11-06,1.711,1.701,1.72,1.696,466349,79889101.0,1.4,-0.58,-0.01,1.13
24,2019-11-07,1.696,1.714,1.723,1.696,397917,68197202.0,1.59,0.76,0.013,0.97
25,2019-11-08,1.715,1.71,1.73,1.709,243870,42007093.0,1.23,-0.23,-0.004,0.59
26,2019-11-11,1.71,1.673,1.71,1.671,183450,31000873.0,2.28,-2.16,-0.037,0.45
27,2019-11-12,1.675,1.672,1.678,1.654,157339,26230198.0,1.43,-0.06,-0.001,0.38
28,2019-11-13,1.67,1.68,1.689,1.669,287239,48061294.0,1.2,0.48,0.008,0.7
29,2019-11-14,1.682,1.69,1.695,1.671,174315,29418113.0,1.43,0.6,0.01,0.42
30,2019-11-15,1.69,1.676,1.694,1.675,181102,30520118.0,1.12,-0.83,-0.014,0.44
31,2019-11-18,1.676,1.682,1.684,1.666,129230,21651743.0,1.07,0.36,0.006,0.31
32,2019-11-19,1.682,1.727,1.727,1.682,467036,80122253.0,2.68,2.68,0.045,1.13
33,2019-11-20,1.727,1.719,1.744,1.716,361383,62654604.0,1.62,-0.46,-0.008,0.88
34,2019-11-21,1.718,1.711,1.725,1.702,187271,32166508.0,1.34,-0.47,-0.008,0.45
35,2019-11-22,1.713,1.68,1.735,1.672,257229,43828543.0,3.68,-1.81,-0.031,0.62
36,2019-11-25,1.676,1.662,1.682,1.653,340360,56521158.0,1.73,-1.07,-0.018,0.83
37,2019-11-26,1.665,1.675,1.68,1.66,206820,34543596.0,1.2,0.78,0.013,0.5
38,2019-11-27,1.676,1.674,1.685,1.66,133467,22312212.0,1.49,-0.06,-0.001,0.32
39,2019-11-28,1.674,1.673,1.681,1.669,164661,27610377.0,0.72,-0.06,-0.001,0.4
40,2019-11-29,1.67,1.664,1.673,1.649,247685,41117323.0,1.43,-0.54,-0.009,0.6
41,2019-12-02,1.667,1.67,1.68,1.667,227049,37947768.0,0.78,0.36,0.006,0.55
42,2019-12-03,1.669,1.675,1.675,1.648,223259,37055250.0,1.62,0.3,0.005,0.54
43,2019-12-04,1.67,1.674,1.682,1.666,221690,37149721.0,0.96,-0.06,-0.001,0.54
44,2019-12-05,1.677,1.707,1.711,1.677,280466,47544525.0,2.03,1.97,0.033,0.68
45,2019-12-06,1.707,1.723,1.723,1.705,618864,106138033.0,1.05,0.94,0.016,1.5
46,2019-12-09,1.723,1.719,1.73,1.713,122462,21072561.0,0.99,-0.23,-0.004,0.3
47,2019-12-10,1.719,1.73,1.731,1.708,222928,38403944.0,1.34,0.64,0.011,0.54
48,2019-12-11,1.73,1.716,1.732,1.712,163381,28113071.0,1.16,-0.81,-0.014,0.4
49,2019-12-12,1.712,1.719,1.73,1.712,171468,29568339.0,1.05,0.17,0.003,0.42
50,2019-12-13,1.722,1.753,1.755,1.722,292564,51012132.0,1.92,1.98,0.034,0.71
51,2019-12-16,1.753,1.777,1.777,1.75,247384,43675715.0,1.54,1.37,0.024,0.6
52,2019-12-17,1.772,1.799,1.806,1.772,176028,31604142.0,1.91,1.24,0.022,0.43
53,2019-12-18,1.799,1.79,1.802,1.786,136204,24460427.0,0.89,-0.5,-0.009,0.33
54,2019-12-19,1.79,1.79,1.795,1.78,146896,26230456.0,0.84,0.0,0.0,0.36
55,2019-12-20,1.79,1.772,1.793,1.772,155163,27627886.0,1.17,-1.01,-0.018,0.38
56,2019-12-23,1.772,1.737,1.774,1.736,147273,25857553.0,2.14,-1.98,-0.035,0.36
57,2019-12-24,1.739,1.768,1.77,1.739,196665,34507156.0,1.78,1.78,0.031,0.48
58,2019-12-25,1.768,1.781,1.785,1.764,171506,30506493.0,1.19,0.74,0.013,0.42
59,2019-12-26,1.781,1.789,1.791,1.777,202908,36164558.0,0.79,0.45,0.008,0.49
60,2019-12-27,1.79,1.768,1.803,1.765,163312,29216716.0,2.12,-1.17,-0.021,0.4
61,2019-12-30,1.768,1.788,1.788,1.749,171228,30419695.0,2.21,1.13,0.02,0.42
