,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2006-05-18,0.614,0.622,0.638,0.599,829090,247482675.0,0.0,0.0,0.0,1.4
1,2006-05-19,0.615,0.657,0.692,0.615,505586,155558157.0,12.38,5.63,0.035,0.85
2,2006-05-22,0.658,0.667,0.682,0.646,337417,105562327.0,5.48,1.52,0.01,0.57
3,2006-05-23,0.638,0.617,0.68,0.61,288740,87670805.0,10.49,-7.5,-0.05,0.49
4,2006-05-24,0.62,0.601,0.639,0.59,227895,68255865.0,7.94,-2.59,-0.016,0.38
5,2006-05-25,0.602,0.609,0.622,0.599,48851,14495469.0,3.83,1.33,0.008,0.08
6,2006-05-26,0.609,0.632,0.636,0.609,149146,45042955.0,4.43,3.78,0.023,0.25
7,2006-05-29,0.632,0.67,0.67,0.632,141337,43639320.0,6.01,6.01,0.038,0.24
8,2006-05-30,0.67,0.678,0.683,0.667,65591,20618140.0,2.39,1.19,0.008,0.11
9,2006-05-31,0.674,0.666,0.687,0.658,140223,44132756.0,4.28,-1.77,-0.012,0.24
10,2006-06-01,0.666,0.707,0.708,0.664,47602,15212181.0,6.61,6.16,0.041,0.08
11,2006-06-02,0.718,0.698,0.722,0.69,31852,10245594.0,4.53,-1.27,-0.009,0.05
12,2006-06-05,0.698,0.696,0.698,0.67,46304,14685230.0,4.01,-0.29,-0.002,0.08
13,2006-06-06,0.694,0.695,0.706,0.682,13335,4261924.0,3.45,-0.14,-0.001,0.02
14,2006-06-07,0.695,0.631,0.695,0.618,61444,19013235.0,11.08,-9.21,-0.064,0.1
15,2006-06-08,0.618,0.63,0.638,0.61,22795,6833891.0,4.44,-0.16,-0.001,0.04
16,2006-06-09,0.624,0.612,0.654,0.611,59367,17866353.0,6.83,-2.86,-0.018,0.1
17,2006-06-12,0.61,0.61,0.62,0.597,46518,13775735.0,3.76,-0.33,-0.002,0.08
18,2006-06-13,0.611,0.612,0.623,0.606,7595,2277868.0,2.79,0.33,0.002,0.01
19,2006-06-14,0.61,0.6,0.61,0.594,46303,13634662.0,2.61,-1.96,-0.012,0.08
20,2006-06-15,0.601,0.599,0.612,0.598,171748,50935922.0,2.33,-0.17,-0.001,0.29
21,2006-06-16,0.604,0.626,0.638,0.604,92972,28057030.0,5.68,4.51,0.027,0.16
22,2006-06-19,0.622,0.64,0.646,0.61,39111,11861704.0,5.75,2.24,0.014,0.07
23,2006-06-20,0.642,0.644,0.658,0.63,21648,6611164.0,4.38,0.63,0.004,0.04
24,2006-06-21,0.644,0.642,0.652,0.635,9715,2972840.0,2.64,-0.31,-0.002,0.02
25,2006-06-22,0.637,0.64,0.646,0.637,21286,6521245.0,1.4,-0.31,-0.002,0.04
26,2006-06-23,0.639,0.645,0.646,0.627,7516,2299817.0,2.97,0.78,0.005,0.01
27,2006-06-26,0.634,0.668,0.668,0.634,11559,3586939.0,5.27,3.57,0.023,0.02
28,2006-06-27,0.678,0.668,0.678,0.662,4017,1254613.0,2.4,0.0,0.0,0.01
29,2006-06-28,0.666,0.667,0.67,0.658,8264,2585151.0,1.8,-0.15,-0.001,0.01
30,2006-06-29,0.667,0.696,0.698,0.667,19560,6204070.0,4.65,4.35,0.029,0.03
31,2006-06-30,0.694,0.698,0.707,0.694,11461,3673153.0,1.87,0.29,0.002,0.02
32,2006-07-03,0.691,0.72,0.72,0.691,22226,7190178.0,4.15,3.15,0.022,0.04
33,2006-07-04,0.723,0.715,0.726,0.701,58398,18854219.0,3.47,-0.69,-0.005,0.1
34,2006-07-05,0.715,0.699,0.715,0.68,19117,6093317.0,4.9,-2.24,-0.016,0.03
35,2006-07-06,0.698,0.715,0.715,0.698,10413,3362677.0,2.43,2.29,0.016,0.02
36,2006-07-07,0.722,0.709,0.722,0.706,5913,1914056.0,2.24,-0.84,-0.006,0.01
37,2006-07-10,0.708,0.709,0.709,0.69,4646,1493465.0,2.68,0.0,0.0,0.01
38,2006-07-11,0.691,0.711,0.712,0.691,6576,2118476.0,2.96,0.28,0.002,0.01
39,2006-07-12,0.702,0.715,0.722,0.702,10608,3447261.0,2.81,0.56,0.004,0.02
40,2006-07-13,0.713,0.661,0.713,0.661,19442,6088569.0,7.27,-7.55,-0.054,0.03
41,2006-07-14,0.658,0.662,0.67,0.654,7628,2369976.0,2.42,0.15,0.001,0.01
42,2006-07-17,0.661,0.67,0.672,0.642,2035,635160.0,4.53,1.21,0.008,0.0
43,2006-07-18,0.658,0.666,0.676,0.658,3725,1161147.0,2.69,-0.6,-0.004,0.01
44,2006-07-19,0.658,0.664,0.67,0.638,35109,10837347.0,4.8,-0.3,-0.002,0.06
45,2006-07-20,0.664,0.654,0.664,0.642,883,270992.0,3.31,-1.51,-0.01,0.0
46,2006-07-21,0.65,0.653,0.658,0.65,2303,711062.0,1.22,-0.15,-0.001,0.0
47,2006-07-24,0.646,0.656,0.658,0.63,5482,1694895.0,4.29,0.46,0.003,0.01
48,2006-07-25,0.658,0.672,0.677,0.658,10909,3407996.0,2.9,2.44,0.016,0.02
49,2006-07-26,0.672,0.67,0.672,0.67,1253,392406.0,0.3,-0.3,-0.002,0.0
50,2006-07-27,0.676,0.662,0.676,0.657,2958,922013.0,2.84,-1.19,-0.008,0.0
51,2006-07-28,0.664,0.648,0.664,0.638,1032,316746.0,3.93,-2.11,-0.014,0.0
