,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2011-05-23,0.455,0.438,0.455,0.436,231862,76210673.0,0.0,0.0,0.0,0.68
1,2011-05-24,0.434,0.437,0.442,0.434,58154,18977449.0,1.83,-0.23,-0.001,0.17
2,2011-05-25,0.437,0.427,0.437,0.426,38308,12400177.0,2.52,-2.29,-0.01,0.11
3,2011-05-26,0.427,0.43,0.434,0.427,85587,27637751.0,1.64,0.7,0.003,0.25
4,2011-05-27,0.427,0.433,0.438,0.427,126763,41036387.0,2.56,0.7,0.003,0.37
5,2011-05-30,0.433,0.437,0.44,0.429,31299,10176040.0,2.54,0.92,0.004,0.09
6,2011-05-31,0.437,0.444,0.446,0.436,96399,31489932.0,2.29,1.6,0.007,0.28
7,2011-06-01,0.44,0.437,0.441,0.437,15260,4982452.0,0.9,-1.58,-0.007,0.04
8,2011-06-02,0.43,0.416,0.433,0.414,67113,21136364.0,4.35,-4.81,-0.021,0.2
9,2011-06-03,0.417,0.421,0.422,0.416,17913,5671069.0,1.44,1.2,0.005,0.05
10,2011-06-07,0.418,0.422,0.424,0.418,20203,6420166.0,1.43,0.24,0.001,0.06
11,2011-06-08,0.42,0.418,0.42,0.412,54421,17173155.0,1.9,-0.95,-0.004,0.16
12,2011-06-09,0.416,0.409,0.417,0.409,11123,3490733.0,1.91,-2.15,-0.009,0.03
13,2011-06-10,0.402,0.413,0.414,0.402,33720,10549561.0,2.93,0.98,0.004,0.1
14,2011-06-13,0.408,0.412,0.413,0.405,22165,6916238.0,1.94,-0.24,-0.001,0.06
15,2011-06-14,0.412,0.417,0.422,0.412,53841,17043412.0,2.43,1.21,0.005,0.16
16,2011-06-15,0.412,0.41,0.417,0.41,10975,3437393.0,1.68,-1.68,-0.007,0.03
17,2011-06-16,0.405,0.405,0.408,0.404,14676,4560000.0,0.98,-1.22,-0.005,0.04
18,2011-06-17,0.405,0.402,0.406,0.402,5881,1821299.0,0.99,-0.74,-0.003,0.02
19,2011-06-20,0.402,0.401,0.403,0.398,1186,364188.0,1.24,-0.25,-0.001,0.0
20,2011-06-21,0.403,0.406,0.407,0.403,12878,3984212.0,1.0,1.25,0.005,0.04
21,2011-06-22,0.402,0.407,0.409,0.402,12387,3847991.0,1.72,0.25,0.001,0.04
22,2011-06-23,0.404,0.416,0.418,0.404,44123,13749340.0,3.44,2.21,0.009,0.13
23,2011-06-24,0.416,0.435,0.44,0.413,76596,24741252.0,6.49,4.57,0.019,0.22
24,2011-06-27,0.436,0.434,0.438,0.431,20679,6729541.0,1.61,-0.23,-0.001,0.06
25,2011-06-28,0.432,0.433,0.433,0.426,13134,4240375.0,1.61,-0.23,-0.001,0.04
26,2011-06-29,0.43,0.421,0.43,0.42,20041,6380332.0,2.31,-2.77,-0.012,0.06
27,2011-06-30,0.421,0.428,0.433,0.421,24014,7727421.0,2.85,1.66,0.007,0.07
28,2011-07-01,0.428,0.424,0.43,0.423,10886,3487943.0,1.64,-0.93,-0.004,0.03
29,2011-07-04,0.428,0.44,0.44,0.428,36287,11841767.0,2.83,3.77,0.016,0.11
30,2011-07-05,0.44,0.436,0.442,0.435,62107,20211236.0,1.59,-0.91,-0.004,0.18
31,2011-07-06,0.431,0.431,0.431,0.426,24658,7923177.0,1.15,-1.15,-0.005,0.07
32,2011-07-07,0.433,0.43,0.442,0.43,28808,9338805.0,2.78,-0.23,-0.001,0.08
33,2011-07-08,0.431,0.435,0.442,0.431,53025,17209868.0,2.56,1.16,0.005,0.15
34,2011-07-11,0.43,0.431,0.433,0.428,20023,6452060.0,1.15,-0.92,-0.004,0.06
35,2011-07-12,0.423,0.419,0.425,0.419,15888,5043377.0,1.39,-2.78,-0.012,0.05
36,2011-07-13,0.419,0.427,0.43,0.419,67365,21589699.0,2.63,1.91,0.008,0.2
37,2011-07-14,0.428,0.428,0.428,0.424,16570,5300195.0,0.94,0.23,0.001,0.05
38,2011-07-15,0.424,0.429,0.431,0.423,23827,7668475.0,1.87,0.23,0.001,0.07
39,2011-07-18,0.431,0.426,0.431,0.426,8779,2819492.0,1.17,-0.7,-0.003,0.03
40,2011-07-19,0.421,0.42,0.422,0.42,654,207438.0,0.47,-1.41,-0.006,0.0
41,2011-07-20,0.422,0.419,0.422,0.418,1459,462101.0,0.95,-0.24,-0.001,0.0
42,2011-07-21,0.418,0.415,0.418,0.413,11316,3564629.0,1.19,-0.95,-0.004,0.03
43,2011-07-22,0.415,0.415,0.417,0.412,610,191420.0,1.2,0.0,0.0,0.0
44,2011-07-25,0.409,0.395,0.409,0.395,2845,874917.0,3.37,-4.82,-0.02,0.01
45,2011-07-26,0.398,0.397,0.4,0.395,2694,822796.0,1.27,0.51,0.002,0.01
46,2011-07-27,0.394,0.394,0.395,0.391,47503,14445301.0,1.01,-0.76,-0.003,0.14
47,2011-07-28,0.387,0.385,0.39,0.384,3903,1170469.0,1.52,-2.28,-0.009,0.01
48,2011-07-29,0.388,0.397,0.406,0.384,60180,18239634.0,5.71,3.12,0.012,0.18
49,2011-08-01,0.392,0.395,0.399,0.391,26463,8088805.0,2.02,-0.5,-0.002,0.08
50,2011-08-02,0.394,0.389,0.394,0.384,4333,1301698.0,2.53,-1.52,-0.006,0.01
51,2011-08-03,0.384,0.388,0.392,0.384,45233,13668187.0,2.06,-0.26,-0.001,0.13
52,2011-08-04,0.39,0.387,0.394,0.387,9808,2968215.0,1.8,-0.26,-0.001,0.03
53,2011-08-05,0.369,0.373,0.377,0.369,12635,3727365.0,2.07,-3.62,-0.014,0.04
54,2011-08-08,0.368,0.355,0.372,0.351,38330,10977858.0,5.63,-4.83,-0.018,0.11
55,2011-08-09,0.351,0.357,0.36,0.34,209137,59445639.0,5.63,0.56,0.002,0.61
56,2011-08-10,0.366,0.359,0.367,0.358,30522,8834221.0,2.52,0.56,0.002,0.09
57,2011-08-11,0.346,0.371,0.371,0.346,39881,11510028.0,6.96,3.34,0.012,0.12
58,2011-08-12,0.371,0.368,0.372,0.367,24550,7157110.0,1.35,-0.81,-0.003,0.07
59,2011-08-15,0.37,0.384,0.384,0.366,78409,23124917.0,4.89,4.35,0.016,0.23
60,2011-08-16,0.384,0.382,0.39,0.379,65105,19499559.0,2.86,-0.52,-0.002,0.19
61,2011-08-17,0.382,0.381,0.385,0.38,71551,21325482.0,1.31,-0.26,-0.001,0.21
62,2011-08-18,0.381,0.372,0.382,0.372,2919,863564.0,2.62,-2.36,-0.009,0.01
63,2011-08-19,0.364,0.366,0.368,0.363,2745,795544.0,1.34,-1.61,-0.006,0.01
64,2011-08-22,0.368,0.364,0.372,0.363,4779,1388413.0,2.46,-0.55,-0.002,0.01
65,2011-08-23,0.363,0.375,0.375,0.363,65720,19259282.0,3.3,3.02,0.011,0.19
66,2011-08-24,0.377,0.371,0.38,0.37,22627,6688285.0,2.67,-1.07,-0.004,0.07
67,2011-08-25,0.373,0.398,0.398,0.373,151093,45268060.0,6.74,7.28,0.027,0.44
68,2011-08-26,0.395,0.395,0.397,0.39,55123,16762809.0,1.76,-0.75,-0.003,0.16
69,2011-08-29,0.39,0.379,0.39,0.374,6917,2057286.0,4.05,-4.05,-0.016,0.02
70,2011-08-30,0.383,0.379,0.392,0.378,154123,46181937.0,3.69,0.0,0.0,0.45
71,2011-08-31,0.378,0.38,0.385,0.377,134590,39940179.0,2.11,0.26,0.001,0.39
72,2011-09-01,0.382,0.383,0.39,0.382,43341,12975752.0,2.11,0.79,0.003,0.13
73,2011-09-02,0.383,0.379,0.385,0.375,21007,6241187.0,2.61,-1.04,-0.004,0.06
74,2011-09-05,0.371,0.367,0.372,0.367,54666,15969188.0,1.32,-3.17,-0.012,0.16
