,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-01-26,3.802,3.844,3.867,3.802,436776,190543140.0,0.0,0.0,0.0,27.31
1,2018-01-29,3.844,3.757,3.855,3.74,397212,172038657.0,2.99,-2.26,-0.087,24.83
2,2018-01-30,3.755,3.708,3.772,3.707,507256,215974778.0,1.73,-1.3,-0.049,31.71
3,2018-01-31,3.704,3.728,3.752,3.672,512467,217743996.0,2.16,0.54,0.02,32.04
4,2018-02-01,3.73,3.705,3.749,3.681,39194,16634983.0,1.82,-0.62,-0.023,2.45
5,2018-02-02,3.682,3.723,3.727,3.645,33881,14318327.0,2.21,0.49,0.018,2.12
6,2018-02-05,3.712,3.727,3.731,3.674,37512,15892104.0,1.53,0.11,0.004,2.35
7,2018-02-06,3.626,3.611,3.667,3.602,46976,19568595.0,1.74,-3.11,-0.116,2.94
8,2018-02-07,3.642,3.53,3.673,3.521,23594,9808710.0,4.21,-2.24,-0.081,1.48
9,2018-02-08,3.53,3.485,3.541,3.448,12289,4926327.0,2.63,-1.27,-0.045,0.77
10,2018-02-09,3.422,3.302,3.422,3.19,37508,14420739.0,6.66,-5.25,-0.183,2.34
11,2018-02-12,3.31,3.358,3.375,3.309,19220,7446591.0,2.0,1.7,0.056,1.2
12,2018-02-13,3.422,3.403,3.453,3.36,9605,3783619.0,2.77,1.34,0.045,0.6
13,2018-02-14,3.442,3.434,3.442,3.396,6788,2681434.0,1.35,0.91,0.031,0.42
14,2018-02-22,3.452,3.513,3.522,3.452,42162,16994037.0,2.04,2.3,0.079,2.64
15,2018-02-23,3.513,3.527,3.54,3.497,59952,24259154.0,1.22,0.4,0.014,3.75
16,2018-02-26,3.527,3.582,3.595,3.515,58434,23970899.0,2.27,1.56,0.055,3.65
17,2018-02-27,3.582,3.516,3.583,3.512,60572,24594932.0,1.98,-1.84,-0.066,3.79
18,2018-02-28,3.516,3.487,3.518,3.457,80597,32409465.0,1.73,-0.82,-0.029,5.04
19,2018-03-01,3.472,3.511,3.528,3.452,186528,75095311.0,2.18,0.69,0.024,11.66
20,2018-03-02,3.497,3.488,3.507,3.473,71301,28632282.0,0.97,-0.66,-0.023,4.46
