,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-09-14,0.64,0.586,0.64,0.586,27254,16779251.0,0.0,0.0,0.0,0.08
1,2015-09-15,0.584,0.551,0.584,0.537,49752,27783977.0,8.02,-5.97,-0.035,0.14
2,2015-09-16,0.551,0.599,0.6,0.551,46196,26537647.0,8.89,8.71,0.048,0.13
3,2015-09-17,0.599,0.592,0.623,0.578,41022,24833898.0,7.51,-1.17,-0.007,0.11
4,2015-09-18,0.594,0.615,0.615,0.594,37627,22846089.0,3.55,3.89,0.023,0.1
5,2015-09-21,0.627,0.63,0.635,0.593,17452,10817075.0,6.83,2.44,0.015,0.05
6,2015-09-22,0.635,0.633,0.637,0.626,23695,14990397.0,1.75,0.48,0.003,0.07
7,2015-09-23,0.634,0.612,0.634,0.603,2152,1313357.0,4.9,-3.32,-0.021,0.01
8,2015-09-24,0.626,0.617,0.626,0.611,4460,2739236.0,2.45,0.82,0.005,0.01
9,2015-09-25,0.602,0.604,0.619,0.593,1037,625702.0,4.21,-2.11,-0.013,0.0
10,2015-09-28,0.592,0.61,0.61,0.592,517,311937.0,2.98,0.99,0.006,0.0
11,2015-09-29,0.604,0.613,0.618,0.602,3943,2400582.0,2.62,0.49,0.003,0.01
12,2015-09-30,0.615,0.624,0.652,0.605,1330,824628.0,7.67,1.79,0.011,0.0
13,2015-10-08,0.62,0.638,0.65,0.607,797,497317.0,6.89,2.24,0.014,0.0
14,2015-10-09,0.621,0.648,0.65,0.621,11489,7387992.0,4.55,1.57,0.01,0.03
15,2015-10-12,0.636,0.663,0.665,0.636,34159,22431572.0,4.48,2.31,0.015,0.09
16,2015-10-13,0.661,0.659,0.662,0.646,6692,4400710.0,2.41,-0.6,-0.004,0.02
17,2015-10-14,0.645,0.658,0.666,0.645,9643,6374256.0,3.19,-0.15,-0.001,0.03
18,2015-10-15,0.656,0.674,0.675,0.652,14758,9843950.0,3.5,2.43,0.016,0.04
19,2015-10-16,0.674,0.68,0.681,0.661,5317,3591910.0,2.97,0.89,0.006,0.01
20,2015-10-19,0.678,0.675,0.685,0.672,6106,4142700.0,1.91,-0.74,-0.005,0.02
21,2015-10-20,0.673,0.683,0.686,0.672,7675,5217542.0,2.07,1.19,0.008,0.02
22,2015-10-21,0.684,0.666,0.694,0.662,9573,6552646.0,4.69,-2.49,-0.017,0.03
23,2015-10-22,0.666,0.671,0.68,0.655,2890,1913761.0,3.75,0.75,0.005,0.01
24,2015-10-23,0.679,0.691,0.694,0.667,4505,3073189.0,4.02,2.98,0.02,0.01
25,2015-10-26,0.698,0.701,0.72,0.692,8246,5762996.0,4.05,1.45,0.01,0.02
26,2015-10-27,0.69,0.699,0.7,0.671,5706,3952796.0,4.14,-0.29,-0.002,0.02
27,2015-10-28,0.705,0.695,0.719,0.695,21100,14807177.0,3.43,-0.57,-0.004,0.06
28,2015-10-29,0.705,0.716,0.717,0.7,26560,18648473.0,2.45,3.02,0.021,0.07
29,2015-10-30,0.717,0.7,0.717,0.681,806,560998.0,5.03,-2.23,-0.016,0.0
30,2015-11-02,0.695,0.701,0.71,0.691,4103,2893139.0,2.71,0.14,0.001,0.01
31,2015-11-03,0.71,0.7,0.71,0.696,149,104627.0,2.0,-0.14,-0.001,0.0
32,2015-11-04,0.7,0.726,0.768,0.7,5492,3911244.0,9.71,3.71,0.026,0.02
33,2015-11-05,0.726,0.74,0.74,0.726,490,357142.0,1.93,1.93,0.014,0.0
34,2015-11-06,0.739,0.749,0.765,0.739,499,372382.0,3.51,1.22,0.009,0.0
35,2015-11-09,0.75,0.77,0.77,0.718,305,230493.0,6.94,2.8,0.021,0.0
36,2015-11-10,0.751,0.76,0.77,0.733,522,398432.0,4.81,-1.3,-0.01,0.0
37,2015-11-11,0.76,0.775,0.78,0.76,1034,797533.0,2.63,1.97,0.015,0.0
38,2015-11-12,0.76,0.778,0.8,0.76,176,135130.0,5.16,0.39,0.003,0.0
39,2015-11-13,0.77,0.778,0.787,0.77,94,72816.0,2.19,0.0,0.0,0.0
40,2015-11-16,0.751,0.76,0.8,0.751,202,153720.0,6.3,-2.31,-0.018,0.0
41,2015-11-17,0.8,0.757,0.8,0.757,172,133139.0,5.66,-0.39,-0.003,0.0
42,2015-11-18,0.757,0.75,0.762,0.735,340,256344.0,3.57,-0.92,-0.007,0.0
43,2015-11-19,0.74,0.757,0.761,0.74,340,257731.0,2.8,0.93,0.007,0.0
44,2015-11-20,0.758,0.759,0.775,0.753,232,175952.0,2.91,0.26,0.002,0.0
45,2015-11-23,0.769,0.774,0.79,0.769,90331,70639312.0,2.77,1.98,0.015,0.25
46,2015-11-24,0.774,0.776,0.777,0.755,30313,23426772.0,2.84,0.26,0.002,0.08
47,2015-11-25,0.782,0.79,0.79,0.772,18211,14380425.0,2.32,1.8,0.014,0.05
48,2015-11-26,0.79,0.791,0.795,0.785,299,235417.0,1.27,0.13,0.001,0.0
49,2015-11-27,0.768,0.753,0.787,0.753,163,124486.0,4.3,-4.8,-0.038,0.0
50,2015-11-30,0.723,0.747,0.75,0.715,653,474240.0,4.65,-0.8,-0.006,0.0
51,2015-12-01,0.716,0.746,0.746,0.716,375,279362.0,4.02,-0.13,-0.001,0.0
52,2015-12-02,0.725,0.748,0.754,0.725,124,90386.0,3.89,0.27,0.002,0.0
53,2015-12-03,0.75,0.753,0.753,0.731,128,95801.0,2.94,0.67,0.005,0.0
54,2015-12-04,0.738,0.739,0.739,0.738,106,77912.0,0.13,-1.86,-0.014,0.0
55,2015-12-07,0.745,0.745,0.755,0.734,6075,4586401.0,2.84,0.81,0.006,0.02
56,2015-12-08,0.733,0.733,0.755,0.733,131,96156.0,2.95,-1.61,-0.012,0.0
57,2015-12-09,0.722,0.74,0.74,0.721,123,88860.0,2.59,0.95,0.007,0.0
58,2015-12-10,0.739,0.727,0.739,0.727,174,126911.0,1.62,-1.76,-0.013,0.0
59,2015-12-14,0.704,0.74,0.74,0.704,572,416830.0,4.95,1.79,0.013,0.0
60,2015-12-15,0.737,0.747,0.754,0.737,490,365058.0,2.3,0.95,0.007,0.0
61,2015-12-16,0.749,0.76,0.76,0.749,353,266507.0,1.47,1.74,0.013,0.0
62,2015-12-17,0.759,0.76,0.775,0.759,289,219633.0,2.11,0.0,0.0,0.0
63,2015-12-18,0.8,0.771,0.8,0.76,430,331224.0,5.26,1.45,0.011,0.0
64,2015-12-21,0.755,0.771,0.771,0.755,559,427238.0,2.08,0.0,0.0,0.0
65,2015-12-22,0.781,0.781,0.781,0.772,988,763993.0,1.17,1.3,0.01,0.0
66,2015-12-23,0.771,0.772,0.772,0.771,35,27139.0,0.13,-1.15,-0.009,0.0
67,2015-12-24,0.77,0.779,0.78,0.77,158,121888.0,1.3,0.91,0.007,0.0
68,2015-12-25,0.771,0.771,0.771,0.771,5,3562.0,0.0,-1.03,-0.008,0.0
69,2015-12-28,0.775,0.776,0.786,0.775,588,458279.0,1.43,0.65,0.005,0.0
70,2015-12-29,0.746,0.79,0.8,0.746,717,563122.0,6.96,1.8,0.014,0.0
71,2015-12-30,0.787,0.763,0.788,0.763,4335,3414141.0,3.16,-3.42,-0.027,0.01
72,2015-12-31,0.77,0.77,0.77,0.77,223,171981.0,0.0,0.92,0.007,0.0
73,2016-01-04,0.75,0.725,0.75,0.72,155,113750.0,3.9,-5.84,-0.045,0.0
74,2016-01-05,0.658,0.756,0.758,0.658,323,231006.0,13.79,4.28,0.031,0.0
75,2016-01-06,0.756,0.744,0.756,0.7,187,133226.0,7.41,-1.59,-0.012,0.0
76,2016-01-08,0.671,0.698,0.698,0.671,146,101048.0,3.63,-6.18,-0.046,0.0
77,2016-01-11,0.645,0.695,0.695,0.645,25,16623.0,7.16,-0.43,-0.003,0.0
78,2016-01-13,0.645,0.645,0.645,0.63,115,73275.0,2.16,-7.19,-0.05,0.0
79,2016-01-14,0.59,0.67,0.67,0.59,256,163908.0,12.4,3.88,0.025,0.0
80,2016-01-15,0.63,0.635,0.645,0.63,26,16604.0,2.24,-5.22,-0.035,0.0
81,2016-01-18,0.633,0.633,0.633,0.633,3,1899.0,0.0,-0.31,-0.002,0.0
