,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-09-28,0.968,0.975,0.99,0.968,1061215,104004091.0,0.0,0.0,0.0,240.58
1,2021-09-29,0.969,0.961,0.975,0.95,173649,16741498.0,2.56,-1.44,-0.014,39.37
2,2021-09-30,0.954,0.977,0.986,0.954,196342,19168872.0,3.33,1.66,0.016,44.51
3,2021-10-08,0.978,0.978,0.989,0.97,20654,2023213.0,1.94,0.1,0.001,4.68
4,2021-10-11,0.976,0.98,0.989,0.969,22024,2157061.0,2.04,0.2,0.002,4.99
5,2021-10-12,0.979,0.955,0.979,0.955,25616,2455600.0,2.45,-2.55,-0.025,5.81
6,2021-10-13,0.955,0.977,0.979,0.951,72132,6954568.0,2.93,2.3,0.022,16.35
7,2021-10-14,0.973,0.978,0.99,0.968,36321,3584574.0,2.25,0.1,0.001,8.23
8,2021-10-15,0.974,0.985,0.992,0.969,68430,6760141.0,2.35,0.72,0.007,15.51
9,2021-10-18,0.99,0.985,0.99,0.979,24688,2432313.0,1.12,0.0,0.0,5.6
10,2021-10-19,0.98,1.002,1.008,0.98,435909,43731687.0,2.84,1.73,0.017,98.82
11,2021-10-20,1.001,1.001,1.01,0.994,130140,13083840.0,1.6,-0.1,-0.001,29.5
12,2021-10-21,1.0,0.983,1.0,0.979,13753,1358836.0,2.1,-1.8,-0.018,3.12
13,2021-10-22,0.983,0.98,0.987,0.975,12342,1213032.0,1.22,-0.31,-0.003,2.8
14,2021-10-25,0.972,0.989,0.989,0.97,20472,2001954.0,1.94,0.92,0.009,4.64
15,2021-10-26,0.97,1.001,1.007,0.97,229036,22948315.0,3.74,1.21,0.012,51.92
16,2021-10-27,1.001,0.994,1.006,0.991,8925,887324.0,1.5,-0.7,-0.007,2.02
17,2021-10-28,0.994,0.978,1.001,0.978,10141,1001681.0,2.31,-1.61,-0.016,2.3
18,2021-10-29,0.965,1.001,1.006,0.965,25432,2537678.0,4.19,2.35,0.023,5.77
19,2021-11-01,1.004,0.997,1.013,0.985,18012,1813245.0,2.8,-0.4,-0.004,4.08
20,2021-11-02,0.996,0.991,1.004,0.984,9020,896239.0,2.01,-0.6,-0.006,2.04
21,2021-11-03,0.985,0.98,0.985,0.977,2625,256983.0,0.81,-1.11,-0.011,0.6
22,2021-11-04,0.98,1.001,1.004,0.98,28749,2876269.0,2.45,2.14,0.021,6.52
23,2021-11-05,0.988,1.0,1.016,0.988,69295,7010385.0,2.8,-0.1,-0.001,15.71
24,2021-11-08,1.0,1.004,1.012,0.998,27823,2800694.0,1.4,0.4,0.004,6.31
25,2021-11-09,1.009,1.02,1.022,0.978,81252,8235150.0,4.38,1.59,0.016,18.42
26,2021-11-10,1.015,1.009,1.016,0.998,20207,2030787.0,1.76,-1.08,-0.011,4.58
27,2021-11-11,1.002,1.017,1.023,1.002,35275,3584351.0,2.08,0.79,0.008,8.0
28,2021-11-12,1.019,1.03,1.034,1.019,86149,8854396.0,1.47,1.28,0.013,19.53
29,2021-11-15,1.028,1.014,1.029,1.013,13910,1415998.0,1.55,-1.55,-0.016,3.15
30,2021-11-16,1.012,1.001,1.016,1.0,7405,746479.0,1.58,-1.28,-0.013,1.68
31,2021-11-17,1.005,1.013,1.014,1.005,8676,876747.0,0.9,1.2,0.012,1.97
32,2021-11-18,1.007,1.011,1.02,1.005,20493,2075095.0,1.48,-0.2,-0.002,4.65
33,2021-11-19,1.02,1.029,1.03,1.012,19334,1970016.0,1.78,1.78,0.018,4.38
34,2021-11-22,1.011,1.052,1.053,1.011,55689,5835917.0,4.08,2.24,0.023,12.62
35,2021-11-23,1.041,1.058,1.058,1.041,13855,1458220.0,1.62,0.57,0.006,3.14
36,2021-11-24,1.059,1.041,1.059,1.03,19545,2040828.0,2.74,-1.61,-0.017,4.43
37,2021-11-25,1.037,1.026,1.041,1.026,9055,932492.0,1.44,-1.44,-0.015,2.05
38,2021-11-26,1.028,1.036,1.039,1.026,9108,936576.0,1.27,0.97,0.01,2.06
39,2021-11-29,1.016,1.04,1.042,1.016,30609,3175915.0,2.51,0.39,0.004,6.94
40,2021-11-30,1.046,1.044,1.049,1.036,21582,2254882.0,1.25,0.38,0.004,4.89
41,2021-12-01,1.046,1.048,1.055,1.04,2493,260750.0,1.44,0.38,0.004,0.57
42,2021-12-02,1.046,1.04,1.046,1.04,1111,115843.0,0.57,-0.76,-0.008,0.25
43,2021-12-03,1.057,1.046,1.06,1.041,7147,750284.0,1.83,0.58,0.006,1.62
44,2021-12-06,1.046,1.037,1.05,1.037,5124,534931.0,1.24,-0.86,-0.009,1.16
45,2021-12-07,1.044,1.03,1.044,1.019,3701,379776.0,2.41,-0.68,-0.007,0.84
46,2021-12-08,1.025,1.035,1.035,1.025,3776,389696.0,0.97,0.49,0.005,0.86
47,2021-12-09,1.03,1.045,1.047,1.03,26250,2727955.0,1.64,0.97,0.01,5.95
48,2021-12-10,1.031,1.06,1.06,1.031,36151,3786949.0,2.78,1.44,0.015,8.2
49,2021-12-13,1.06,1.059,1.06,1.05,20454,2159775.0,0.94,-0.09,-0.001,4.64
50,2021-12-14,1.059,1.045,1.059,1.043,11515,1202912.0,1.51,-1.32,-0.014,2.61
51,2021-12-15,1.045,1.035,1.051,1.035,14613,1521544.0,1.53,-0.96,-0.01,3.31
52,2021-12-16,1.035,1.035,1.043,1.033,5768,597203.0,0.97,0.0,0.0,1.31
53,2021-12-17,1.03,1.019,1.033,1.018,11381,1166478.0,1.45,-1.55,-0.016,2.58
54,2021-12-20,1.025,1.015,1.025,0.985,43665,4359014.0,3.93,-0.39,-0.004,9.9
55,2021-12-21,0.999,1.009,1.009,0.977,38771,3848609.0,3.15,-0.59,-0.006,8.79
56,2021-12-22,0.992,0.995,1.0,0.991,4106,407972.0,0.89,-1.39,-0.014,0.93
57,2021-12-23,0.995,0.997,0.998,0.991,1519,151043.0,0.7,0.2,0.002,0.34
58,2021-12-24,0.998,0.988,0.998,0.978,2727,268493.0,2.01,-0.9,-0.009,0.62
59,2021-12-27,0.994,0.984,0.995,0.984,983,96992.0,1.11,-0.4,-0.004,0.22
60,2021-12-28,0.986,0.989,0.99,0.981,1056,103832.0,0.91,0.51,0.005,0.24
61,2021-12-29,0.999,0.993,0.999,0.989,1099,109186.0,1.01,0.4,0.004,0.25
62,2021-12-30,0.993,0.997,1.008,0.993,1732,173224.0,1.51,0.4,0.004,0.39
63,2021-12-31,1.013,1.009,1.013,1.006,3700,373232.0,0.7,1.2,0.012,0.84
64,2022-01-04,0.998,0.986,0.999,0.985,5095,506004.0,1.39,-2.28,-0.023,1.16
65,2022-01-05,0.982,1.0,1.0,0.96,4260,413026.0,4.06,1.42,0.014,0.97
66,2022-01-06,0.992,0.983,0.992,0.954,10666,1020940.0,3.8,-1.7,-0.017,2.42
67,2022-01-07,0.957,0.947,0.97,0.942,13676,1298941.0,2.85,-3.66,-0.036,3.1
68,2022-01-10,0.945,0.938,0.945,0.911,27610,2572923.0,3.59,-0.95,-0.009,6.26
69,2022-01-11,0.939,0.923,0.94,0.917,24679,2279258.0,2.45,-1.6,-0.015,5.59
70,2022-01-12,0.936,0.938,0.95,0.926,25275,2365627.0,2.6,1.63,0.015,5.73
71,2022-01-13,0.938,0.937,0.94,0.931,9974,932399.0,0.96,-0.11,-0.001,2.26
72,2022-01-14,0.923,0.936,0.954,0.923,15674,1465504.0,3.31,-0.11,-0.001,3.55
73,2022-01-17,0.936,0.945,0.951,0.926,16725,1572320.0,2.67,0.96,0.009,3.79
