,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2007-01-18,0.728,0.706,0.732,0.635,2360060,466070565.0,0.0,0.0,0.0,3.79
1,2007-01-19,0.705,0.749,0.751,0.702,986428,199196018.0,6.94,6.09,0.043,1.59
2,2007-01-22,0.76,0.837,0.837,0.76,561721,117685923.0,10.28,11.75,0.088,0.9
3,2007-01-23,0.859,0.877,0.884,0.79,717310,152652902.0,11.23,4.78,0.04,1.15
4,2007-01-24,0.879,0.948,0.964,0.871,539028,119818958.0,10.6,8.1,0.071,0.87
5,2007-01-25,0.946,0.854,0.946,0.849,792364,173112426.0,10.23,-9.92,-0.094,1.27
6,2007-01-26,0.809,0.901,0.904,0.75,774925,163586554.0,18.03,5.5,0.047,1.25
7,2007-01-29,0.913,0.967,0.967,0.909,720452,161225930.0,6.44,7.33,0.066,1.16
8,2007-01-30,0.97,0.981,1.015,0.956,688981,156778200.0,6.1,1.45,0.014,1.11
9,2007-01-31,0.978,0.825,0.978,0.817,637625,139513671.0,16.41,-15.9,-0.156,1.02
10,2007-02-01,0.809,0.803,0.832,0.729,944331,196206858.0,12.48,-2.67,-0.022,1.52
11,2007-02-02,0.797,0.716,0.819,0.71,1030616,210178463.0,13.57,-10.83,-0.087,1.66
12,2007-02-05,0.689,0.672,0.709,0.659,560316,110566528.0,6.98,-6.15,-0.044,0.9
13,2007-02-06,0.675,0.707,0.708,0.604,1081486,209717648.0,15.48,5.21,0.035,1.74
14,2007-02-07,0.718,0.753,0.772,0.706,588613,119784338.0,9.34,6.51,0.046,0.95
15,2007-02-08,0.739,0.78,0.784,0.721,388687,79712198.0,8.37,3.59,0.027,0.62
16,2007-02-09,0.78,0.749,0.781,0.734,260799,53283819.0,6.03,-3.97,-0.031,0.42
17,2007-02-12,0.747,0.828,0.829,0.74,379641,79004591.0,11.88,10.55,0.079,0.61
18,2007-02-13,0.83,0.861,0.868,0.828,282739,60488529.0,4.83,3.99,0.033,0.45
19,2007-02-14,0.861,0.917,0.929,0.847,284267,62348629.0,9.52,6.5,0.056,0.46
20,2007-02-15,0.944,1.007,1.009,0.934,519810,117922321.0,8.18,9.81,0.09,0.84
21,2007-02-16,1.049,1.03,1.068,1.007,630791,146866539.0,6.06,2.28,0.023,1.01
22,2007-02-26,1.023,1.144,1.148,1.023,1013958,241804859.0,12.14,11.07,0.114,1.63
23,2007-02-27,1.16,0.919,1.167,0.909,972519,224873343.0,22.55,-19.67,-0.225,1.56
24,2007-02-28,0.91,1.028,1.039,0.868,1049976,234850698.0,18.61,11.86,0.109,1.69
25,2007-03-01,1.028,0.968,1.03,0.879,523686,118633678.0,14.69,-5.84,-0.06,0.84
26,2007-03-02,0.959,0.984,1.006,0.939,528194,119761224.0,6.92,1.65,0.016,0.85
27,2007-03-05,0.979,0.944,1.018,0.879,556397,124321501.0,14.13,-4.07,-0.04,0.89
28,2007-03-06,0.92,0.964,0.989,0.909,447396,100517025.0,8.47,2.12,0.02,0.72
29,2007-03-07,0.972,1.013,1.029,0.972,578362,133094897.0,5.91,5.08,0.049,0.93
30,2007-03-08,1.006,1.028,1.031,0.999,636575,147294082.0,3.16,1.48,0.015,1.02
31,2007-03-09,1.031,1.027,1.049,1.005,360392,83670424.0,4.28,-0.1,-0.001,0.58
