,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-01,0.995,0.996,0.996,0.989,1702223,169210978.0,0.0,0.0,0.0,57.35
1,2023-12-04,0.996,0.995,0.999,0.994,764056,76122404.0,0.5,-0.1,-0.001,25.74
2,2023-12-05,0.99,0.977,0.991,0.977,169986,16745595.0,1.41,-1.81,-0.018,5.73
3,2023-12-06,0.975,0.975,0.981,0.972,205901,20114493.0,0.92,-0.2,-0.002,6.94
4,2023-12-07,0.977,0.976,0.979,0.969,219045,21342739.0,1.03,0.1,0.001,7.38
5,2023-12-08,0.976,0.976,0.98,0.974,141452,13831812.0,0.61,0.0,0.0,4.77
6,2023-12-11,0.977,0.98,0.984,0.919,181866,17706755.0,6.66,0.41,0.004,6.13
7,2023-12-12,0.98,0.987,0.987,0.978,216727,21318323.0,0.92,0.71,0.007,7.3
8,2023-12-13,0.985,0.977,0.985,0.976,174516,17107677.0,0.91,-1.01,-0.01,5.88
9,2023-12-14,0.977,0.974,0.981,0.973,166891,16302263.0,0.82,-0.31,-0.003,5.62
10,2023-12-15,0.974,0.971,0.98,0.969,249762,24311160.0,1.13,-0.31,-0.003,8.42
11,2023-12-18,0.971,0.968,0.973,0.962,211612,20490833.0,1.13,-0.31,-0.003,7.13
12,2023-12-19,0.968,0.966,0.969,0.961,216784,20899679.0,0.83,-0.21,-0.002,7.3
13,2023-12-20,0.966,0.96,0.968,0.958,192801,18564530.0,1.04,-0.62,-0.006,6.5
14,2023-12-21,0.956,0.962,0.965,0.952,305485,29245402.0,1.35,0.21,0.002,10.29
15,2023-12-22,0.962,0.963,0.968,0.958,254264,24484491.0,1.04,0.1,0.001,8.57
16,2023-12-25,0.963,0.964,0.964,0.959,219891,21141825.0,0.52,0.1,0.001,7.41
17,2023-12-26,0.964,0.96,0.964,0.957,160514,15395192.0,0.73,-0.41,-0.004,5.41
18,2023-12-27,0.96,0.962,0.963,0.955,205697,19753679.0,0.83,0.21,0.002,6.93
19,2023-12-28,0.962,0.975,0.978,0.96,370560,35984526.0,1.87,1.35,0.013,12.49
20,2023-12-29,0.976,0.981,0.982,0.975,262707,25724525.0,0.72,0.62,0.006,8.85
21,2024-01-02,0.981,0.978,0.983,0.978,214869,21070112.0,0.51,-0.31,-0.003,7.24
22,2024-01-03,0.976,0.981,0.983,0.975,199236,19518342.0,0.82,0.31,0.003,6.71
23,2024-01-04,0.982,0.978,0.982,0.971,133251,12989906.0,1.12,-0.31,-0.003,4.49
24,2024-01-05,0.977,0.972,0.983,0.968,193755,18922102.0,1.53,-0.61,-0.006,6.53
25,2024-01-08,0.972,0.962,0.972,0.958,223613,21543454.0,1.44,-1.03,-0.01,7.53
26,2024-01-09,0.962,0.961,0.963,0.955,168029,16108491.0,0.83,-0.1,-0.001,5.66
27,2024-01-10,0.96,0.957,0.964,0.954,164478,15760518.0,1.04,-0.42,-0.004,5.54
28,2024-01-11,0.957,0.958,0.962,0.952,163060,15603200.0,1.04,0.1,0.001,5.49
29,2024-01-12,0.958,0.959,0.964,0.955,158591,15223617.0,0.94,0.1,0.001,5.34
30,2024-01-15,0.956,0.958,0.963,0.952,135374,12970485.0,1.15,-0.1,-0.001,4.56
31,2024-01-16,0.958,0.961,0.961,0.951,216534,20674324.0,1.04,0.31,0.003,7.3
32,2024-01-17,0.959,0.942,0.959,0.941,273474,26057783.0,1.87,-1.98,-0.019,9.21
33,2024-01-18,0.935,0.946,0.95,0.92,445058,41372936.0,3.18,0.42,0.004,15.0
34,2024-01-19,0.938,0.941,0.946,0.937,271202,25536841.0,0.95,-0.53,-0.005,9.14
35,2024-01-22,0.941,0.919,0.941,0.912,475121,44053747.0,3.08,-2.34,-0.022,16.01
36,2024-01-23,0.912,0.92,0.924,0.906,381738,34972905.0,1.96,0.11,0.001,12.86
37,2024-01-24,0.921,0.934,0.939,0.911,483356,44694259.0,3.04,1.52,0.014,16.29
38,2024-01-25,0.934,0.964,0.966,0.931,715494,68022431.0,3.75,3.21,0.03,24.11
39,2024-01-26,0.964,0.965,0.97,0.958,585986,56452466.0,1.24,0.1,0.001,19.74
