,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-04-10,99.996,99.995,100.0,99.93,26874,268684352.0,0.0,0.0,0.0,10179.43
1,2017-04-11,99.993,99.998,99.999,99.991,13861,138605908.0,0.01,0.0,0.003,5250.44
2,2017-04-12,99.995,99.996,99.998,99.993,7312,73119642.0,0.01,0.0,-0.002,2769.83
3,2017-04-13,99.994,99.993,99.995,99.99,6252,62519741.0,0.01,0.0,-0.003,2368.34
4,2017-04-14,99.99,99.997,100.0,99.99,3126,31257533.0,0.01,0.0,0.004,1184.05
5,2017-04-17,99.99,99.995,99.995,99.99,5877,58769135.0,0.01,0.0,-0.002,2226.28
6,2017-04-18,99.991,99.988,99.994,99.936,6608,66068285.0,0.06,-0.01,-0.007,2502.88
7,2017-04-19,99.986,99.989,99.992,99.985,4915,49145420.0,0.01,0.0,0.001,1861.78
8,2017-04-20,99.989,99.992,99.995,99.988,3208,32078025.0,0.01,0.0,0.003,1215.17
9,2017-04-21,99.992,99.999,100.0,99.991,3777,37769296.0,0.01,0.01,0.007,1430.69
10,2017-04-24,99.991,99.992,99.997,99.988,5274,52736633.0,0.01,-0.01,-0.007,1997.79
11,2017-04-25,99.987,99.99,99.993,99.973,3002,30018979.0,0.02,0.0,-0.002,1137.25
12,2017-04-26,99.99,99.992,99.997,99.989,1590,15897380.0,0.01,0.0,0.002,602.22
13,2017-04-27,99.988,99.991,99.994,99.95,5041,50402628.0,0.04,0.0,-0.001,1909.42
14,2017-04-28,100.0,100.019,100.019,99.997,2705,27052045.0,0.02,0.03,0.028,1024.64
15,2017-05-02,99.99,99.996,99.996,99.99,3776,37758304.0,0.01,-0.02,-0.023,1430.33
16,2017-05-03,99.995,99.995,99.997,99.991,1972,19722044.0,0.01,0.0,-0.001,747.09
17,2017-05-04,99.993,99.994,99.996,99.993,1558,15583287.0,0.0,0.0,-0.001,590.31
18,2017-05-05,99.998,100.011,100.013,99.998,4793,47936071.0,0.02,0.02,0.017,1815.64
19,2017-05-08,99.992,99.997,99.998,99.992,3073,30729990.0,0.01,-0.01,-0.014,1164.06
20,2017-05-09,99.995,100.0,100.0,99.995,2048,20476493.0,0.01,0.0,0.003,775.64
21,2017-05-10,99.998,100.0,100.002,99.997,1370,13702558.0,0.01,0.0,0.0,519.04
22,2017-05-11,99.986,99.996,100.003,99.986,981,9810893.0,0.02,0.0,-0.004,371.63
23,2017-05-12,100.001,100.004,100.01,99.998,1789,17886622.0,0.01,0.01,0.008,677.51
24,2017-05-15,99.989,99.998,99.999,99.989,711,7112530.0,0.01,-0.01,-0.006,269.42
25,2017-05-16,99.996,99.995,99.998,99.992,1106,11056395.0,0.01,0.0,-0.003,418.82
26,2017-05-17,99.987,99.995,99.996,99.987,837,8365449.0,0.01,0.0,0.0,316.89
27,2017-05-18,99.995,99.997,99.997,99.99,2769,27684592.0,0.01,0.0,0.002,1048.73
28,2017-05-19,100.0,100.005,100.005,99.995,3711,37109243.0,0.01,0.01,0.008,1405.66
29,2017-05-22,99.995,99.996,99.998,99.99,2605,26048874.0,0.01,-0.01,-0.009,986.75
30,2017-05-23,99.995,99.997,99.998,99.995,1319,13189631.0,0.0,0.0,0.001,499.63
31,2017-05-24,99.995,99.995,100.009,99.995,2547,25466399.0,0.01,0.0,-0.002,964.67
32,2017-05-25,99.996,99.999,100.002,99.995,4721,47211451.0,0.01,0.0,0.004,1788.38
33,2017-05-26,100.01,100.016,100.048,100.006,3142,31421731.0,0.04,0.02,0.017,1190.07
34,2017-05-31,99.993,99.978,100.043,99.976,2475,24750285.0,0.07,-0.04,-0.038,937.56
35,2017-06-01,99.98,99.993,99.995,99.978,1703,17030237.0,0.02,0.02,0.015,645.16
36,2017-06-02,100.006,100.007,100.007,99.991,2712,27122649.0,0.02,0.01,0.014,1027.34
37,2017-06-05,99.99,99.995,99.999,99.988,2976,29758605.0,0.01,-0.01,-0.012,1127.28
38,2017-06-06,99.992,100.0,100.0,99.992,2247,22467345.0,0.01,0.01,0.005,851.06
39,2017-06-07,99.995,100.0,100.0,99.995,1943,19434156.0,0.01,0.0,0.0,736.16
40,2017-06-08,99.993,99.988,99.994,99.985,22308,223054802.0,0.01,-0.01,-0.012,8450.03
41,2017-06-09,99.998,100.0,100.001,99.996,18942,189418657.0,0.01,0.01,0.012,7175.04
42,2017-06-12,99.991,99.994,99.996,99.991,14354,143533913.0,0.01,-0.01,-0.006,5437.2
43,2017-06-13,99.993,99.99,99.995,99.01,11224,112220118.0,0.99,0.0,-0.004,4251.45
44,2017-06-14,99.992,99.975,99.996,99.968,4983,49822273.0,0.03,-0.02,-0.015,1887.32
45,2017-06-15,99.994,99.992,99.994,99.981,2228,22275372.0,0.01,0.02,0.017,843.87
46,2017-06-16,100.0,100.0,100.048,99.996,8408,84084305.0,0.05,0.01,0.008,3184.99
47,2017-06-19,99.99,99.992,99.994,99.988,10571,105702277.0,0.01,-0.01,-0.008,4004.23
48,2017-06-20,99.988,99.966,99.989,99.9,13930,139281684.0,0.09,-0.03,-0.026,5276.69
49,2017-06-21,99.966,99.98,99.984,99.966,12729,127263228.0,0.02,0.01,0.014,4821.69
50,2017-06-22,99.978,99.99,99.99,99.977,2440,24393593.0,0.01,0.01,0.01,924.16
51,2017-06-23,100.0,100.001,100.004,99.998,4004,40044822.0,0.01,0.01,0.011,1516.84
52,2017-06-26,99.989,99.987,99.989,99.979,1986,19855822.0,0.01,-0.01,-0.014,752.23
53,2017-06-27,99.983,99.985,99.987,99.982,1371,13710916.0,0.01,0.0,-0.002,519.44
54,2017-06-28,99.98,99.985,99.985,99.954,1751,17508442.0,0.03,0.0,0.0,663.34
