,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2013-04-18,69.592,69.533,69.593,69.526,118753,1189105648.0,0.0,0.0,0.0,1.17
1,2013-04-19,69.53,69.573,69.585,69.491,34053,340882160.0,0.14,0.06,0.04,0.33
2,2013-04-22,69.441,69.524,69.546,69.441,14584,145960763.0,0.15,-0.07,-0.049,0.14
3,2013-04-23,69.525,69.469,69.535,69.441,13426,134312419.0,0.14,-0.08,-0.055,0.13
4,2013-04-24,69.48,69.528,69.532,69.48,9105,91107794.0,0.07,0.08,0.059,0.09
5,2013-04-25,69.528,69.539,69.544,69.45,6414,64174871.0,0.14,0.02,0.011,0.06
6,2013-04-26,69.616,69.601,69.62,69.57,11983,120024710.0,0.07,0.09,0.062,0.12
7,2013-05-02,69.608,69.658,69.659,69.608,6808,68212749.0,0.07,0.08,0.057,0.07
8,2013-05-03,69.65,69.694,69.695,69.644,5576,55894937.0,0.07,0.05,0.036,0.05
9,2013-05-06,69.666,69.702,69.703,69.653,13929,139653534.0,0.07,0.01,0.008,0.14
10,2013-05-07,69.691,69.703,69.703,69.691,6431,64483119.0,0.02,0.0,0.001,0.06
11,2013-05-08,69.703,69.706,69.706,69.7,2394,24002191.0,0.01,0.0,0.003,0.02
12,2013-05-09,69.7,69.709,69.71,69.7,5991,60072553.0,0.01,0.0,0.003,0.06
13,2013-05-10,69.713,69.726,69.726,69.713,3035,30432354.0,0.02,0.02,0.017,0.03
14,2013-05-13,69.739,69.739,69.741,69.736,3992,40040306.0,0.01,0.02,0.013,0.04
15,2013-05-14,69.739,69.745,69.745,69.739,5604,56214916.0,0.01,0.01,0.006,0.06
16,2013-05-15,69.746,69.751,69.752,69.745,5140,51561790.0,0.01,0.01,0.006,0.05
17,2013-05-16,69.751,69.757,69.757,69.751,2322,23295258.0,0.01,0.01,0.006,0.02
18,2013-05-17,69.757,69.764,69.765,69.757,3716,37282129.0,0.01,0.01,0.007,0.04
19,2013-05-20,69.765,69.764,69.785,69.69,3276,32869693.0,0.14,0.0,0.0,0.03
20,2013-05-21,69.778,69.739,69.778,69.702,1887,18927084.0,0.11,-0.04,-0.025,0.02
21,2013-05-22,69.74,69.761,69.768,69.739,1398,14021753.0,0.04,0.03,0.022,0.01
22,2013-05-23,69.762,69.81,69.81,69.762,2214,22213242.0,0.07,0.07,0.049,0.02
23,2013-05-24,69.81,69.817,69.818,69.792,3840,38544787.0,0.04,0.01,0.007,0.04
24,2013-05-27,69.83,69.841,69.841,69.82,1587,15934869.0,0.03,0.03,0.024,0.02
25,2013-05-28,69.842,69.845,69.85,69.837,2051,20591222.0,0.02,0.01,0.004,0.02
26,2013-05-29,69.845,69.853,69.853,69.836,1244,12488855.0,0.02,0.01,0.008,0.01
27,2013-05-30,69.853,69.853,69.853,69.85,238,2384884.0,0.0,0.0,0.0,0.0
28,2013-05-31,69.855,69.871,69.871,69.853,806,8095651.0,0.03,0.03,0.018,0.01
29,2013-06-03,69.84,69.89,69.89,69.84,452,4543623.0,0.07,0.03,0.019,0.0
30,2013-06-04,69.89,69.895,69.895,69.886,818,8216320.0,0.01,0.01,0.005,0.01
31,2013-06-05,69.895,69.903,69.903,69.895,9573,96174182.0,0.01,0.01,0.008,0.09
32,2013-06-06,69.905,69.913,69.913,69.901,6665,66967113.0,0.02,0.01,0.01,0.07
33,2013-06-07,69.925,69.93,69.931,69.925,1805,18142423.0,0.01,0.02,0.017,0.02
34,2013-06-13,69.931,69.926,69.957,69.861,5778,58062938.0,0.14,-0.01,-0.004,0.06
35,2013-06-14,69.927,69.951,69.961,69.92,1994,20039668.0,0.06,0.04,0.025,0.02
36,2013-06-17,69.955,70.01,70.01,69.941,533,5356861.0,0.1,0.08,0.059,0.01
37,2013-06-18,69.968,70.015,70.017,69.968,298,2999903.0,0.07,0.01,0.005,0.0
38,2013-06-19,70.01,70.016,70.018,69.995,453,4552792.0,0.03,0.0,0.001,0.0
39,2013-06-20,70.002,70.003,70.025,70.0,316,3174236.0,0.04,-0.02,-0.013,0.0
40,2013-06-21,70.003,70.03,70.036,69.84,294,2952515.0,0.28,0.04,0.027,0.0
41,2013-06-24,70.029,69.963,70.029,69.64,828,8322490.0,0.56,-0.1,-0.067,0.01
42,2013-06-25,69.964,69.982,70.03,69.94,1110,11154836.0,0.13,0.03,0.019,0.01
43,2013-06-26,69.98,70.009,70.02,69.971,585,5886102.0,0.07,0.04,0.027,0.01
44,2013-06-27,69.953,70.03,70.039,69.953,381,3832998.0,0.12,0.03,0.021,0.0
45,2013-06-28,70.032,70.124,70.124,70.032,269,2702571.0,0.13,0.13,0.094,0.0
46,2013-07-01,70.13,70.176,70.176,70.13,510,5140735.0,0.07,0.07,0.052,0.01
47,2013-07-02,70.166,70.193,70.193,70.166,377,3794096.0,0.04,0.02,0.017,0.0
48,2013-07-03,70.142,70.215,70.215,70.142,527,5305263.0,0.1,0.03,0.022,0.01
49,2013-07-04,70.215,70.23,70.23,70.2,745,7506773.0,0.04,0.02,0.015,0.01
50,2013-07-05,70.242,70.26,70.26,70.24,1718,17323940.0,0.03,0.04,0.03,0.02
51,2013-07-08,70.281,70.308,70.339,70.26,1352,13636043.0,0.11,0.07,0.048,0.01
52,2013-07-09,70.312,70.324,70.326,70.304,1497,15102931.0,0.03,0.02,0.016,0.01
53,2013-07-10,70.327,70.344,70.344,70.326,512,5169004.0,0.03,0.03,0.02,0.01
54,2013-07-11,70.343,70.334,70.353,70.32,1053,10619674.0,0.05,-0.01,-0.01,0.01
55,2013-07-12,70.342,70.401,70.401,70.342,1370,13830177.0,0.08,0.1,0.067,0.01
56,2013-07-15,70.412,70.432,70.432,70.412,1078,10890813.0,0.03,0.04,0.031,0.01
57,2013-07-16,70.39,70.452,70.452,70.39,884,8922840.0,0.09,0.03,0.02,0.01
58,2013-07-17,70.456,70.471,70.475,70.456,492,4972952.0,0.03,0.03,0.019,0.0
59,2013-07-18,70.481,70.49,70.83,70.479,1529,15458419.0,0.5,0.03,0.019,0.02
60,2013-07-19,70.507,70.547,70.567,70.507,2489,25168472.0,0.09,0.08,0.057,0.02
61,2013-07-22,70.549,70.565,70.57,70.549,1785,18049996.0,0.03,0.03,0.018,0.02
62,2013-07-23,70.58,70.577,70.584,70.567,1118,11304617.0,0.02,0.02,0.012,0.01
