,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-04-27,0.696,0.697,0.704,0.684,926818,91247324.0,0.0,0.0,0.0,30.92
1,2018-05-02,0.699,0.698,0.705,0.693,245869,24297356.0,1.72,0.14,0.001,8.2
2,2018-05-03,0.699,0.707,0.708,0.692,333483,33113980.0,2.29,1.29,0.009,11.12
3,2018-05-04,0.706,0.701,0.709,0.701,175068,17416297.0,1.13,-0.85,-0.006,5.84
4,2018-05-07,0.703,0.717,0.718,0.701,1169731,117366314.0,2.43,2.28,0.016,39.02
5,2018-05-08,0.718,0.731,0.735,0.717,1595726,162322401.0,2.51,1.95,0.014,53.23
6,2018-05-09,0.73,0.73,0.732,0.725,529555,53943530.0,0.96,-0.14,-0.001,17.66
7,2018-05-10,0.731,0.735,0.736,0.728,579322,59208971.0,1.1,0.68,0.005,19.33
8,2018-05-11,0.736,0.729,0.738,0.729,522953,53515138.0,1.22,-0.82,-0.006,17.44
9,2018-05-14,0.733,0.74,0.744,0.733,799075,82262633.0,1.51,1.51,0.011,26.66
10,2018-05-15,0.744,0.745,0.746,0.738,997739,102918318.0,1.08,0.68,0.005,33.28
11,2018-05-16,0.741,0.737,0.745,0.736,622613,64216787.0,1.21,-1.07,-0.008,20.77
12,2018-05-17,0.737,0.729,0.739,0.728,543045,55566968.0,1.49,-1.09,-0.008,18.11
13,2018-05-18,0.728,0.74,0.74,0.724,616047,62917784.0,2.19,1.51,0.011,20.55
14,2018-05-21,0.746,0.743,0.75,0.741,626595,64885745.0,1.22,0.41,0.003,20.9
15,2018-05-22,0.742,0.741,0.743,0.735,464174,47742143.0,1.08,-0.27,-0.002,15.48
16,2018-05-23,0.74,0.729,0.74,0.728,495321,50691679.0,1.62,-1.62,-0.012,16.52
17,2018-05-24,0.727,0.722,0.73,0.719,417051,42285710.0,1.51,-0.96,-0.007,13.91
18,2018-05-25,0.721,0.719,0.725,0.715,443316,44783516.0,1.39,-0.42,-0.003,14.79
19,2018-05-28,0.721,0.723,0.727,0.715,354697,35895627.0,1.67,0.56,0.004,11.83
20,2018-05-29,0.723,0.718,0.726,0.717,472542,47733623.0,1.24,-0.69,-0.005,15.76
21,2018-05-30,0.711,0.698,0.712,0.697,706230,70103720.0,2.09,-2.79,-0.02,23.56
22,2018-05-31,0.703,0.717,0.718,0.702,471360,47185110.0,2.29,2.72,0.019,15.72
23,2018-06-01,0.713,0.708,0.718,0.705,412552,41297128.0,1.81,-1.26,-0.009,13.76
24,2018-06-04,0.712,0.718,0.72,0.71,472019,47494138.0,1.41,1.41,0.01,15.75
