,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-05-21,1.006,1.004,1.01,1.003,4097908,412422464.0,0.0,0.0,0.0,455.08
1,2018-05-22,1.004,1.002,1.006,0.996,671218,67156981.0,1.0,-0.2,-0.002,74.54
2,2018-05-23,1.0,0.991,1.0,0.99,689969,68675642.0,1.0,-1.1,-0.011,76.62
3,2018-05-24,0.99,0.984,0.993,0.982,715996,70738235.0,1.11,-0.71,-0.007,79.51
4,2018-05-25,0.983,0.983,0.989,0.979,691315,68068571.0,1.02,-0.1,-0.001,76.77
5,2018-05-28,0.982,0.985,0.991,0.978,674788,66509878.0,1.32,0.2,0.002,74.94
6,2018-05-29,0.985,0.98,0.989,0.979,661955,65116393.0,1.02,-0.51,-0.005,73.51
7,2018-05-30,0.975,0.963,0.975,0.961,788304,76238145.0,1.43,-1.73,-0.017,87.54
8,2018-05-31,0.967,0.982,0.984,0.967,553880,54087473.0,1.77,1.97,0.019,61.51
9,2018-06-01,0.979,0.975,0.983,0.97,615637,60113984.0,1.32,-0.71,-0.007,68.37
10,2018-06-04,0.977,0.983,0.985,0.974,601077,58975511.0,1.13,0.82,0.008,66.75
11,2018-06-05,0.981,0.99,0.99,0.98,1022016,100763097.0,1.02,0.71,0.007,113.5
12,2018-06-06,0.988,0.987,0.992,0.986,603351,59626175.0,0.61,-0.3,-0.003,67.0
13,2018-06-07,0.99,0.988,0.995,0.987,623299,61815654.0,0.81,0.1,0.001,69.22
14,2018-06-08,0.988,0.976,0.988,0.971,785590,76972217.0,1.72,-1.21,-0.012,87.24
15,2018-06-11,0.971,0.975,0.979,0.97,583408,56848524.0,0.92,-0.1,-0.001,64.79
16,2018-06-12,0.974,0.988,0.989,0.972,707443,69501142.0,1.74,1.33,0.013,78.56
17,2018-06-13,0.986,0.978,0.986,0.977,619673,60874890.0,0.91,-1.01,-0.01,68.82
18,2018-06-14,0.976,0.975,0.985,0.973,510329,49835979.0,1.23,-0.31,-0.003,56.67
19,2018-06-15,0.975,0.975,0.98,0.969,458562,44691857.0,1.13,0.0,0.0,50.92
20,2018-06-19,0.969,0.942,0.969,0.932,735446,70000548.0,3.79,-3.38,-0.033,81.67
21,2018-06-20,0.937,0.95,0.951,0.936,567056,53584210.0,1.59,0.85,0.008,62.97
22,2018-06-21,0.95,0.938,0.959,0.938,536887,51110476.0,2.21,-1.26,-0.012,59.62
23,2018-06-22,0.938,0.944,0.944,0.928,677905,63546264.0,1.71,0.64,0.006,75.28
24,2018-06-25,0.943,0.932,0.949,0.932,582227,54936437.0,1.8,-1.27,-0.012,64.66
25,2018-06-26,0.923,0.921,0.927,0.91,594753,54749050.0,1.82,-1.18,-0.011,66.05
26,2018-06-27,0.922,0.903,0.925,0.899,756137,69048971.0,2.82,-1.95,-0.018,83.97
27,2018-06-28,0.901,0.893,0.91,0.893,532325,47945389.0,1.88,-1.11,-0.01,59.12
28,2018-06-29,0.896,0.918,0.921,0.896,650739,58958901.0,2.8,2.8,0.025,72.27
29,2018-07-02,0.917,0.894,0.918,0.885,792727,72005390.0,3.59,-2.61,-0.024,88.03
30,2018-07-03,0.893,0.891,0.896,0.869,593938,52642976.0,3.02,-0.34,-0.003,65.96
