,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-09-09,1.029,1.036,1.037,1.029,736987,76108118.0,0.0,0.0,0.0,170.13
1,2019-09-10,1.04,1.04,1.044,1.032,167190,17363930.0,1.16,0.39,0.004,38.6
2,2019-09-11,1.04,1.043,1.05,1.033,97790,10197772.0,1.63,0.29,0.003,22.57
3,2019-09-12,1.045,1.041,1.052,1.037,120661,12588575.0,1.44,-0.19,-0.002,27.85
4,2019-09-16,1.045,1.039,1.05,1.038,43624,4544574.0,1.15,-0.19,-0.002,10.07
5,2019-09-17,1.037,1.019,1.037,1.008,40231,4131750.0,2.79,-1.92,-0.02,9.29
6,2019-09-18,1.023,1.026,1.034,1.013,30993,3172366.0,2.06,0.69,0.007,7.15
7,2019-09-19,1.023,1.033,1.033,1.021,22333,2293042.0,1.17,0.68,0.007,5.16
8,2019-09-20,1.034,1.036,1.037,1.032,30275,3131352.0,0.48,0.29,0.003,6.99
9,2019-09-23,1.03,1.025,1.03,1.016,15118,1543158.0,1.35,-1.06,-0.011,3.49
10,2019-09-24,1.025,1.027,1.033,1.02,28608,2935757.0,1.27,0.2,0.002,6.6
11,2019-09-25,1.02,1.014,1.02,1.013,7428,754219.0,0.68,-1.27,-0.013,1.71
12,2019-09-26,1.014,1.011,1.018,1.008,22092,2235586.0,0.99,-0.3,-0.003,5.1
13,2019-09-27,1.01,1.009,1.016,1.005,6116,617342.0,1.09,-0.2,-0.002,1.41
14,2019-09-30,1.005,1.008,1.015,1.005,1179,118843.0,0.99,-0.1,-0.001,0.27
15,2019-10-08,1.006,1.009,1.017,1.006,14345,1450142.0,1.09,0.1,0.001,3.31
16,2019-10-09,1.01,1.024,1.024,1.003,29582,3006797.0,2.08,1.49,0.015,6.83
17,2019-10-10,1.019,1.029,1.029,1.016,38642,3957602.0,1.27,0.49,0.005,8.92
18,2019-10-11,1.03,1.033,1.038,1.025,65068,6725037.0,1.26,0.39,0.004,15.02
19,2019-10-14,1.039,1.046,1.057,1.036,220907,23193965.0,2.03,1.26,0.013,51.0
20,2019-10-15,1.041,1.035,1.043,1.035,7072,734460.0,0.76,-1.05,-0.011,1.63
21,2019-10-16,1.036,1.036,1.044,1.034,8563,888241.0,0.97,0.1,0.001,1.98
