,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-07-20,1.02,1.068,1.088,1.02,1229204,129990080.0,0.0,0.0,0.0,22.16
1,2015-07-21,1.059,1.063,1.077,1.035,157358,16694063.0,3.93,-0.47,-0.005,2.84
2,2015-07-22,1.06,1.076,1.085,1.055,175044,18803457.0,2.82,1.22,0.013,3.16
3,2015-07-23,1.068,1.099,1.107,1.068,95631,10422084.0,3.62,2.14,0.023,1.72
4,2015-07-24,1.099,1.087,1.127,1.082,88957,9863576.0,4.09,-1.09,-0.012,1.6
5,2015-07-27,1.086,0.979,1.096,0.978,83143,8755489.0,10.86,-9.94,-0.108,1.5
6,2015-07-28,0.92,0.976,1.019,0.92,74887,7217507.0,10.11,-0.31,-0.003,1.35
7,2015-07-29,0.98,1.012,1.069,0.95,72288,7055548.0,12.19,3.69,0.036,1.3
8,2015-07-30,1.013,1.001,1.046,1.0,45544,4681102.0,4.55,-1.09,-0.011,0.82
9,2015-07-31,1.001,0.98,1.008,0.967,26355,2591091.0,4.1,-2.1,-0.021,0.48
10,2015-08-03,0.958,0.933,0.962,0.923,24346,2277578.0,3.98,-4.8,-0.047,0.44
11,2015-08-04,0.934,0.996,0.996,0.934,19367,1853627.0,6.65,6.75,0.063,0.35
12,2015-08-05,0.999,0.97,1.004,0.967,29653,2926860.0,3.71,-2.61,-0.026,0.53
13,2015-08-06,0.93,0.975,0.99,0.93,36753,3542307.0,6.19,0.52,0.005,0.66
14,2015-08-07,0.997,1.007,1.015,0.983,40905,4109189.0,3.28,3.28,0.032,0.74
15,2015-08-10,1.053,1.059,1.065,1.018,67477,7050754.0,4.67,5.16,0.052,1.22
16,2015-08-11,1.059,1.05,1.068,1.043,40442,4273758.0,2.36,-0.85,-0.009,0.73
17,2015-08-12,1.049,1.03,1.06,1.03,30977,3236258.0,2.86,-1.9,-0.02,0.56
18,2015-08-13,1.011,1.06,1.06,1.011,34456,3584914.0,4.76,2.91,0.03,0.62
19,2015-08-14,1.06,1.061,1.075,1.041,45824,4882159.0,3.21,0.09,0.001,0.83
20,2015-08-17,1.041,1.071,1.073,1.041,43901,4664392.0,3.02,0.94,0.01,0.79
21,2015-08-18,1.079,0.999,1.08,0.998,100130,10488695.0,7.66,-6.72,-0.072,1.81
22,2015-08-19,0.97,1.023,1.033,0.932,59603,5828815.0,10.11,2.4,0.024,1.07
23,2015-08-20,1.018,1.007,1.044,1.007,38196,3900107.0,3.62,-1.56,-0.016,0.69
24,2015-08-21,0.971,0.953,0.996,0.949,49672,4813400.0,4.67,-5.36,-0.054,0.9
25,2015-08-24,0.95,0.86,0.95,0.86,26509,2346234.0,9.44,-9.76,-0.093,0.48
26,2015-08-25,0.821,0.774,0.821,0.774,12373,984606.0,5.47,-10.0,-0.086,0.22
27,2015-08-26,0.8,0.767,0.809,0.767,32698,2563967.0,5.43,-0.9,-0.007,0.59
28,2015-08-27,0.785,0.787,0.791,0.737,17446,1333548.0,7.04,2.61,0.02,0.31
29,2015-08-28,0.798,0.834,0.836,0.787,18795,1510899.0,6.23,5.97,0.047,0.34
30,2015-08-31,0.839,0.794,0.871,0.794,6173,498325.0,9.23,-4.8,-0.04,0.11
31,2015-09-01,0.774,0.745,0.774,0.738,19337,1457108.0,4.53,-6.17,-0.049,0.35
32,2015-09-02,0.72,0.73,0.763,0.707,7523,559883.0,7.52,-2.01,-0.015,0.14
33,2015-09-07,0.735,0.737,0.762,0.733,5381,401162.0,3.97,0.96,0.007,0.1
34,2015-09-08,0.74,0.767,0.773,0.724,4026,301615.0,6.65,4.07,0.03,0.07
35,2015-09-09,0.771,0.797,0.803,0.768,11453,908530.0,4.56,3.91,0.03,0.21
36,2015-09-10,0.783,0.777,0.797,0.776,1794,140884.0,2.63,-2.51,-0.02,0.03
37,2015-09-11,0.79,0.79,0.798,0.783,3375,266198.0,1.93,1.67,0.013,0.06
38,2015-09-14,0.792,0.741,0.792,0.734,5166,389513.0,7.34,-6.2,-0.049,0.09
39,2015-09-15,0.73,0.695,0.73,0.69,13687,962404.0,5.4,-6.21,-0.046,0.25
40,2015-09-16,0.721,0.735,0.745,0.7,11328,823694.0,6.47,5.76,0.04,0.2
41,2015-09-17,0.722,0.73,0.76,0.722,15156,1124563.0,5.17,-0.68,-0.005,0.27
42,2015-09-18,0.73,0.74,0.743,0.726,6228,456272.0,2.33,1.37,0.01,0.11
43,2015-09-21,0.722,0.755,0.782,0.718,17959,1353705.0,8.65,2.03,0.015,0.32
44,2015-09-22,0.758,0.77,0.787,0.758,8314,641625.0,3.84,1.99,0.015,0.15
45,2015-09-23,0.758,0.768,0.785,0.758,7105,548079.0,3.51,-0.26,-0.002,0.13
46,2015-09-24,0.768,0.772,0.785,0.762,2037,157387.0,2.99,0.52,0.004,0.04
47,2015-09-25,0.78,0.755,0.786,0.755,5640,432982.0,4.02,-2.2,-0.017,0.1
48,2015-09-28,0.732,0.767,0.767,0.732,910,68823.0,4.64,1.59,0.012,0.02
49,2015-09-29,0.721,0.76,0.774,0.715,1180,87552.0,7.69,-0.91,-0.007,0.02
50,2015-09-30,0.743,0.766,0.773,0.743,914,68932.0,3.95,0.79,0.006,0.02
51,2015-10-08,0.778,0.783,0.806,0.76,21798,1743792.0,6.01,2.22,0.017,0.39
52,2015-10-09,0.788,0.815,0.817,0.783,26808,2165100.0,4.34,4.09,0.032,0.48
53,2015-10-12,0.813,0.846,0.847,0.813,14298,1192809.0,4.17,3.8,0.031,0.26
54,2015-10-13,0.842,0.856,0.862,0.842,10980,938285.0,2.36,1.18,0.01,0.2
55,2015-10-14,0.863,0.867,0.878,0.852,8788,763394.0,3.04,1.29,0.011,0.16
56,2015-10-15,0.866,0.898,0.898,0.858,9133,803355.0,4.61,3.58,0.031,0.16
57,2015-10-16,0.901,0.91,0.912,0.892,6941,627046.0,2.23,1.34,0.012,0.13
58,2015-10-19,0.917,0.912,0.921,0.901,15152,1388595.0,2.2,0.22,0.002,0.27
59,2015-10-20,0.911,0.941,0.946,0.91,49978,4610920.0,3.95,3.18,0.029,0.9
60,2015-10-21,0.94,0.88,0.94,0.875,3703,337053.0,6.91,-6.48,-0.061,0.07
61,2015-10-22,0.889,0.911,0.915,0.881,10699,961874.0,3.86,3.52,0.031,0.19
