,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-08-07,0.985,0.996,0.999,0.985,939711,93295582.0,0.0,0.0,0.0,43.12
1,2017-08-08,0.991,0.992,0.995,0.99,120082,11923454.0,0.5,-0.4,-0.004,5.51
2,2017-08-09,0.992,0.988,0.994,0.988,95333,9447699.0,0.6,-0.4,-0.004,4.37
3,2017-08-10,0.988,0.986,0.995,0.98,92088,9088275.0,1.52,-0.2,-0.002,4.23
4,2017-08-11,0.984,0.975,0.984,0.971,55380,5396973.0,1.32,-1.12,-0.011,2.54
5,2017-08-14,0.975,0.982,0.983,0.974,47119,4612334.0,0.92,0.72,0.007,2.16
6,2017-08-15,0.982,0.99,0.993,0.982,84067,8299176.0,1.12,0.81,0.008,3.86
7,2017-08-16,0.988,0.982,0.988,0.981,18421,1810290.0,0.71,-0.81,-0.008,0.85
8,2017-08-17,0.982,0.984,0.988,0.98,23016,2260628.0,0.81,0.2,0.002,1.06
9,2017-08-18,0.97,0.988,0.993,0.97,37573,3714511.0,2.34,0.41,0.004,1.72
10,2017-08-21,0.989,0.99,1.0,0.987,78030,7740837.0,1.32,0.2,0.002,3.58
11,2017-08-22,0.99,0.996,0.998,0.99,38619,3841067.0,0.81,0.61,0.006,1.77
12,2017-08-23,0.996,1.004,1.01,0.996,426654,42816919.0,1.41,0.8,0.008,19.58
13,2017-08-24,1.005,1.002,1.012,1.002,77294,7787345.0,1.0,-0.2,-0.002,3.55
14,2017-08-25,1.003,1.024,1.024,1.003,388752,39504401.0,2.1,2.2,0.022,17.84
15,2017-08-28,1.024,1.032,1.043,1.021,178081,18441228.0,2.15,0.78,0.008,8.17
16,2017-08-29,1.029,1.032,1.037,1.029,51252,5295626.0,0.78,0.0,0.0,2.35
17,2017-08-30,1.032,1.029,1.041,1.026,58329,6029591.0,1.45,-0.29,-0.003,2.68
18,2017-08-31,1.026,1.024,1.03,1.0,39919,4079004.0,2.92,-0.49,-0.005,1.83
19,2017-09-01,1.024,1.019,1.028,1.017,33872,3463242.0,1.07,-0.49,-0.005,1.55
20,2017-09-04,1.023,1.023,1.025,1.015,16663,1701859.0,0.98,0.39,0.004,0.76
21,2017-09-05,1.02,1.032,1.034,1.02,70126,7219700.0,1.37,0.88,0.009,3.22
22,2017-09-06,1.026,1.026,1.028,1.021,32683,3351621.0,0.68,-0.58,-0.006,1.5
23,2017-09-07,1.023,1.018,1.031,1.018,9590,980604.0,1.27,-0.78,-0.008,0.44
24,2017-09-08,1.018,1.017,1.022,1.015,12378,1259881.0,0.69,-0.1,-0.001,0.57
25,2017-09-11,1.016,1.013,1.025,1.012,7646,777564.0,1.28,-0.39,-0.004,0.35
26,2017-09-12,1.013,1.017,1.017,1.01,27678,2802043.0,0.69,0.39,0.004,1.27
27,2017-09-13,1.015,1.016,1.019,1.013,9158,930624.0,0.59,-0.1,-0.001,0.42
28,2017-09-14,1.017,1.01,1.019,1.008,6007,607999.0,1.08,-0.59,-0.006,0.28
29,2017-09-15,1.008,1.008,1.011,1.005,9723,980266.0,0.59,-0.2,-0.002,0.45
30,2017-09-18,1.008,1.01,1.016,1.008,24927,2523555.0,0.79,0.2,0.002,1.14
31,2017-09-19,1.013,1.009,1.014,1.007,7019,709303.0,0.69,-0.1,-0.001,0.32
32,2017-09-20,1.0,1.01,1.013,1.0,10949,1106567.0,1.29,0.1,0.001,0.5
33,2017-09-21,1.008,1.013,1.019,1.006,40240,4081824.0,1.29,0.3,0.003,1.85
34,2017-09-22,1.006,1.014,1.019,1.006,21451,2177231.0,1.28,0.1,0.001,0.98
35,2017-09-25,1.01,1.011,1.012,1.009,15131,1529601.0,0.3,-0.3,-0.003,0.69
36,2017-09-26,1.01,1.011,1.015,1.01,10258,1038923.0,0.49,0.0,0.0,0.47
37,2017-09-27,1.009,1.013,1.013,1.009,7441,751415.0,0.4,0.2,0.002,0.34
38,2017-09-28,1.01,1.009,1.01,1.006,7332,739463.0,0.39,-0.39,-0.004,0.34
39,2017-09-29,1.013,1.011,1.016,1.011,9861,998034.0,0.5,0.2,0.002,0.45
40,2017-10-09,1.012,1.022,1.037,1.012,50519,5220756.0,2.47,1.09,0.011,2.32
41,2017-10-10,1.024,1.025,1.028,1.017,9502,972483.0,1.08,0.29,0.003,0.44
42,2017-10-11,1.024,1.031,1.037,1.024,39794,4101912.0,1.27,0.59,0.006,1.83
43,2017-10-12,1.034,1.036,1.04,1.031,42267,4376318.0,0.87,0.48,0.005,1.94
44,2017-10-13,1.036,1.036,1.04,1.036,27266,2829455.0,0.39,0.0,0.0,1.25
45,2017-10-16,1.038,1.045,1.048,1.038,110035,11481971.0,0.97,0.87,0.009,5.05
46,2017-10-17,1.044,1.043,1.047,1.041,112786,11788881.0,0.57,-0.19,-0.002,5.18
47,2017-10-18,1.047,1.05,1.052,1.043,55652,5822366.0,0.86,0.67,0.007,2.55
48,2017-10-19,1.052,1.052,1.055,1.051,32896,3464462.0,0.38,0.19,0.002,1.51
49,2017-10-20,1.044,1.047,1.051,1.044,44178,4624679.0,0.67,-0.48,-0.005,2.03
50,2017-10-23,1.05,1.046,1.05,1.044,42545,4452641.0,0.57,-0.1,-0.001,1.95
51,2017-10-24,1.044,1.052,1.057,1.044,60296,6341739.0,1.24,0.57,0.006,2.77
52,2017-10-25,1.053,1.056,1.058,1.053,78855,8328415.0,0.48,0.38,0.004,3.62
53,2017-10-26,1.06,1.063,1.073,1.058,73638,7843341.0,1.42,0.66,0.007,3.38
54,2017-10-27,1.064,1.084,1.084,1.064,159782,17172476.0,1.88,1.98,0.021,7.33
55,2017-10-30,1.084,1.085,1.092,1.074,83676,9040890.0,1.66,0.09,0.001,3.84
