,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2016-10-14,0.999,1.0,1.002,0.992,2257021,225367724.0,0.0,0.0,0.0,6.28
1,2016-10-17,1.006,0.989,1.009,0.988,789525,79185957.0,2.1,-1.1,-0.011,2.2
2,2016-10-18,0.988,1.004,1.005,0.987,431101,43127627.0,1.82,1.52,0.015,1.2
3,2016-10-19,1.002,1.005,1.011,1.0,386903,38925375.0,1.1,0.1,0.001,1.08
4,2016-10-20,1.006,1.005,1.012,1.004,234906,23688008.0,0.8,0.0,0.0,0.65
5,2016-10-21,1.003,1.004,1.007,0.997,129232,12943773.0,1.0,-0.1,-0.001,0.36
6,2016-10-24,1.004,1.01,1.012,1.0,460890,46500238.0,1.2,0.6,0.006,1.28
7,2016-10-25,1.009,1.006,1.012,1.005,131363,13238533.0,0.69,-0.4,-0.004,0.37
8,2016-10-26,1.006,1.0,1.009,0.999,91892,9213786.0,0.99,-0.6,-0.006,0.26
9,2016-10-27,1.0,1.002,1.006,1.0,79751,7997315.0,0.6,0.2,0.002,0.22
10,2016-10-28,1.002,0.996,1.007,0.995,127359,12741291.0,1.2,-0.6,-0.006,0.35
11,2016-10-31,0.995,0.992,0.995,0.988,92038,9120135.0,0.7,-0.4,-0.004,0.26
12,2016-11-01,0.991,0.997,0.998,0.991,63252,6292566.0,0.71,0.5,0.005,0.18
13,2016-11-02,0.995,0.991,1.001,0.991,60608,6041253.0,1.0,-0.6,-0.006,0.17
14,2016-11-03,0.989,0.996,0.998,0.986,211512,21015981.0,1.21,0.5,0.005,0.59
15,2016-11-04,0.994,0.988,0.996,0.986,93699,9274708.0,1.0,-0.8,-0.008,0.26
16,2016-11-07,0.986,0.981,0.987,0.98,101361,9970768.0,0.71,-0.71,-0.007,0.28
17,2016-11-08,0.981,0.986,0.989,0.981,86216,8501989.0,0.82,0.51,0.005,0.24
18,2016-11-09,0.986,0.978,0.987,0.97,115447,11305064.0,1.72,-0.81,-0.008,0.32
19,2016-11-10,0.979,0.988,0.99,0.979,89815,8870448.0,1.12,1.02,0.01,0.25
20,2016-11-11,0.986,0.994,0.995,0.984,113113,11191117.0,1.11,0.61,0.006,0.31
21,2016-11-14,0.992,0.998,1.001,0.99,115487,11538594.0,1.11,0.4,0.004,0.32
22,2016-11-15,0.997,0.999,1.0,0.994,71843,7159675.0,0.6,0.1,0.001,0.2
23,2016-11-16,1.0,0.998,1.003,0.997,132118,13214484.0,0.6,-0.1,-0.001,0.37
24,2016-11-17,0.997,1.001,1.003,0.995,108005,10800312.0,0.8,0.3,0.003,0.3
25,2016-11-18,0.998,0.996,1.005,0.996,109901,11008529.0,0.9,-0.5,-0.005,0.31
26,2016-11-21,0.995,0.996,1.001,0.994,40065,4003998.0,0.7,0.0,0.0,0.11
27,2016-11-22,0.997,1.001,1.001,0.995,59079,5903801.0,0.6,0.5,0.005,0.16
28,2016-11-23,1.001,1.003,1.012,1.0,252780,25420081.0,1.2,0.2,0.002,0.7
29,2016-11-24,1.0,0.992,1.001,0.992,75893,7561164.0,0.9,-1.1,-0.011,0.21
30,2016-11-25,0.991,1.0,1.0,0.984,57904,5743405.0,1.61,0.81,0.008,0.16
31,2016-11-28,0.999,0.999,1.003,0.998,83023,8306254.0,0.5,-0.1,-0.001,0.23
32,2016-11-29,1.0,1.004,1.01,1.0,224843,22629196.0,1.0,0.5,0.005,0.63
33,2016-11-30,1.001,0.998,1.003,0.996,43232,4313999.0,0.7,-0.6,-0.006,0.12
34,2016-12-01,0.999,1.007,1.013,0.999,182771,18430870.0,1.4,0.9,0.009,0.51
35,2016-12-02,1.007,0.993,1.013,0.992,122481,12245013.0,2.09,-1.39,-0.014,0.34
36,2016-12-05,0.991,0.995,1.012,0.984,137780,13805887.0,2.82,0.2,0.002,0.38
37,2016-12-06,0.994,0.995,1.0,0.994,47994,4783659.0,0.6,0.0,0.0,0.13
38,2016-12-07,0.995,1.004,1.004,0.995,79248,7922710.0,0.9,0.9,0.009,0.22
39,2016-12-08,1.005,0.995,1.007,0.994,70986,7091426.0,1.29,-0.9,-0.009,0.2
40,2016-12-09,0.996,0.989,0.996,0.985,89120,8803104.0,1.11,-0.6,-0.006,0.25
41,2016-12-12,0.99,0.948,0.993,0.945,140772,13639859.0,4.85,-4.15,-0.041,0.39
42,2016-12-13,0.948,0.963,0.966,0.943,73367,7000582.0,2.43,1.58,0.015,0.2
43,2016-12-14,0.963,0.963,0.977,0.949,63904,6171765.0,2.91,0.0,0.0,0.18
44,2016-12-15,0.961,0.976,0.988,0.961,146798,14355060.0,2.8,1.35,0.013,0.41
45,2016-12-16,0.972,0.969,0.975,0.968,18852,1830203.0,0.72,-0.72,-0.007,0.05
46,2016-12-19,0.971,0.966,0.975,0.963,31438,3049040.0,1.24,-0.31,-0.003,0.09
47,2016-12-20,0.966,0.963,0.967,0.957,31064,2982734.0,1.04,-0.31,-0.003,0.09
48,2016-12-21,0.963,0.977,0.981,0.963,63570,6169294.0,1.87,1.45,0.014,0.18
49,2016-12-22,0.977,0.977,0.983,0.973,44717,4382308.0,1.02,0.0,0.0,0.12
50,2016-12-23,0.978,0.974,0.985,0.973,89778,8805881.0,1.23,-0.31,-0.003,0.25
51,2016-12-26,0.972,0.978,0.978,0.961,38117,3689639.0,1.75,0.41,0.004,0.11
52,2016-12-27,0.976,0.973,0.978,0.971,36710,3579032.0,0.72,-0.51,-0.005,0.1
53,2016-12-28,0.971,0.969,0.977,0.968,114238,11101246.0,0.92,-0.41,-0.004,0.32
54,2016-12-29,0.967,0.966,0.972,0.964,34084,3298853.0,0.83,-0.31,-0.003,0.09
55,2016-12-30,0.965,0.963,0.968,0.961,29536,2850694.0,0.72,-0.31,-0.003,0.08
56,2017-01-03,0.964,0.986,0.989,0.964,94613,9285796.0,2.6,2.39,0.023,0.26
57,2017-01-04,0.99,0.992,0.994,0.984,68933,6826646.0,1.01,0.61,0.006,0.19
58,2017-01-05,0.991,1.003,1.01,0.991,202709,20331043.0,1.92,1.11,0.011,0.56
59,2017-01-06,1.003,1.001,1.014,1.0,134130,13531353.0,1.4,-0.2,-0.002,0.37
60,2017-01-09,1.0,1.031,1.033,1.0,371464,37961567.0,3.3,3.0,0.03,1.03
61,2017-01-10,1.03,1.017,1.033,1.017,143950,14756483.0,1.55,-1.36,-0.014,0.4
62,2017-01-11,1.019,1.018,1.029,1.015,117162,11967270.0,1.38,0.1,0.001,0.33
63,2017-01-12,1.016,1.005,1.016,1.005,51963,5259068.0,1.08,-1.28,-0.013,0.14
64,2017-01-13,1.003,0.993,1.01,0.99,72552,7249754.0,1.99,-1.19,-0.012,0.2
65,2017-01-16,0.99,0.965,0.99,0.94,263957,25508186.0,5.04,-2.82,-0.028,0.73
66,2017-01-17,0.963,0.98,0.98,0.94,144451,14047829.0,4.15,1.55,0.015,0.4
67,2017-01-18,0.978,0.976,0.984,0.975,56909,5584823.0,0.92,-0.41,-0.004,0.16
68,2017-01-19,0.974,0.967,0.974,0.965,143323,13881315.0,0.92,-0.92,-0.009,0.4
69,2017-01-20,0.965,0.978,0.981,0.965,69958,6817749.0,1.65,1.14,0.011,0.19
70,2017-01-23,0.978,0.994,1.002,0.978,129407,12913072.0,2.45,1.64,0.016,0.36
71,2017-01-24,0.992,0.991,0.995,0.988,58431,5787173.0,0.7,-0.3,-0.003,0.16
72,2017-01-25,0.987,0.994,0.994,0.985,49263,4879217.0,0.91,0.3,0.003,0.14
73,2017-01-26,0.994,1.0,1.002,0.994,69646,6943717.0,0.8,0.6,0.006,0.19
74,2017-02-03,0.998,1.003,1.01,0.997,106434,10700379.0,1.3,0.3,0.003,0.3
75,2017-02-06,1.001,1.011,1.011,1.001,45240,4559495.0,1.0,0.8,0.008,0.13
76,2017-02-07,1.008,1.003,1.013,0.999,98817,9941372.0,1.38,-0.79,-0.008,0.27
77,2017-02-08,1.001,1.019,1.02,1.0,124521,12604225.0,1.99,1.6,0.016,0.35
78,2017-02-09,1.019,1.023,1.023,1.016,72159,7363691.0,0.69,0.39,0.004,0.2
79,2017-02-10,1.023,1.015,1.024,1.014,63131,6437041.0,0.98,-0.78,-0.008,0.18
80,2017-02-13,1.016,1.016,1.02,1.011,61551,6250010.0,0.89,0.1,0.001,0.17
81,2017-02-14,1.013,1.011,1.025,1.01,50614,5155349.0,1.48,-0.49,-0.005,0.14
82,2017-02-15,1.013,0.998,1.025,0.996,63248,6347544.0,2.87,-1.29,-0.013,0.18
83,2017-02-16,1.0,1.003,1.007,0.998,33167,3325789.0,0.9,0.5,0.005,0.09
84,2017-02-17,1.004,1.011,1.014,0.998,99907,10062312.0,1.6,0.8,0.008,0.28
85,2017-02-20,1.011,1.014,1.015,1.007,61435,6207610.0,0.79,0.3,0.003,0.17
86,2017-02-21,1.011,1.018,1.018,1.01,78301,7942685.0,0.79,0.39,0.004,0.22
87,2017-02-22,1.017,1.015,1.019,1.011,50719,5146583.0,0.79,-0.29,-0.003,0.14
88,2017-02-23,1.016,1.008,1.016,1.002,40654,4093030.0,1.38,-0.69,-0.007,0.11
89,2017-02-24,1.006,1.019,1.02,1.006,140543,14270228.0,1.39,1.09,0.011,0.39
90,2017-02-27,1.016,1.007,1.018,1.006,29559,2992010.0,1.18,-1.18,-0.012,0.08
91,2017-02-28,1.007,1.013,1.013,1.007,23283,2354192.0,0.6,0.6,0.006,0.06
92,2017-03-01,1.014,1.019,1.026,1.013,88614,9059323.0,1.28,0.59,0.006,0.25
93,2017-03-02,1.021,1.011,1.021,1.011,35839,3638117.0,0.98,-0.79,-0.008,0.1
94,2017-03-03,1.022,1.018,1.024,1.01,83372,8498186.0,1.38,0.69,0.007,0.23
95,2017-03-06,1.016,1.031,1.032,1.016,98517,10112888.0,1.57,1.28,0.013,0.27
96,2017-03-07,1.031,1.028,1.031,1.021,48307,4957556.0,0.97,-0.29,-0.003,0.13
97,2017-03-08,1.026,1.029,1.041,1.026,141322,14634123.0,1.46,0.1,0.001,0.39
98,2017-03-09,1.029,1.019,1.029,1.016,52793,5386595.0,1.26,-0.97,-0.01,0.15
99,2017-03-10,1.021,1.013,1.021,1.012,58702,5961922.0,0.88,-0.59,-0.006,0.16
100,2017-03-13,1.013,1.022,1.022,1.012,45594,4643260.0,0.99,0.89,0.009,0.13
101,2017-03-14,1.023,1.019,1.025,1.018,41734,4261562.0,0.68,-0.29,-0.003,0.12
