,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-08-16,0.987,0.991,0.999,0.985,1537770,152592545.0,0.0,0.0,0.0,81.03
1,2018-08-17,0.991,0.978,1.0,0.974,152384,15018841.0,2.62,-1.31,-0.013,8.03
2,2018-08-20,0.978,0.981,0.983,0.956,97207,9497352.0,2.76,0.31,0.003,5.12
3,2018-08-21,0.981,1.004,1.005,0.98,159872,15950678.0,2.55,2.34,0.023,8.42
4,2018-08-22,0.996,0.991,1.0,0.987,13779,1367368.0,1.29,-1.29,-0.013,0.73
5,2018-08-23,0.993,1.0,1.003,0.987,10625,1059751.0,1.61,0.91,0.009,0.56
6,2018-08-24,0.995,0.992,1.0,0.989,5329,529985.0,1.1,-0.8,-0.008,0.28
7,2018-08-27,0.992,1.024,1.027,0.992,120132,12194651.0,3.53,3.23,0.032,6.33
8,2018-08-28,1.024,1.03,1.031,1.023,105275,10820839.0,0.78,0.59,0.006,5.55
9,2018-08-29,1.022,1.018,1.025,1.016,57366,5853342.0,0.87,-1.17,-0.012,3.02
10,2018-08-30,1.009,1.003,1.02,1.001,18447,1865138.0,1.87,-1.47,-0.015,0.97
11,2018-08-31,0.993,0.993,1.0,0.988,17822,1772395.0,1.2,-1.0,-0.01,0.94
12,2018-09-03,0.985,0.989,0.99,0.978,4103,403394.0,1.21,-0.4,-0.004,0.22
13,2018-09-04,0.989,0.997,1.0,0.983,6954,690138.0,1.72,0.81,0.008,0.37
14,2018-09-05,0.99,0.983,0.994,0.983,1953,192760.0,1.1,-1.4,-0.014,0.1
15,2018-09-06,0.98,0.973,0.984,0.97,3817,373093.0,1.42,-1.02,-0.01,0.2
16,2018-09-07,0.976,0.968,0.989,0.964,7660,745858.0,2.57,-0.51,-0.005,0.4
17,2018-09-10,0.965,0.95,0.971,0.95,1464,140014.0,2.17,-1.86,-0.018,0.08
18,2018-09-11,0.952,0.947,0.952,0.942,2990,282920.0,1.05,-0.32,-0.003,0.16
19,2018-09-12,0.942,0.931,0.942,0.931,1243,116157.0,1.16,-1.69,-0.016,0.07
20,2018-09-13,0.95,0.933,0.95,0.921,4869,456177.0,3.11,0.21,0.002,0.26
21,2018-09-14,0.934,0.935,0.938,0.928,23240,2166640.0,1.07,0.21,0.002,1.22
22,2018-09-17,0.93,0.919,0.93,0.918,3506,323123.0,1.28,-1.71,-0.016,0.18
23,2018-09-18,0.918,0.937,0.937,0.913,4224,391560.0,2.61,1.96,0.018,0.22
24,2018-09-19,0.931,0.942,0.951,0.931,5649,532523.0,2.13,0.53,0.005,0.3
25,2018-09-20,0.949,0.944,0.952,0.942,908,86066.0,1.06,0.21,0.002,0.05
26,2018-09-21,0.944,0.964,0.967,0.942,2074,197667.0,2.65,2.12,0.02,0.11
27,2018-09-25,0.962,0.96,0.962,0.959,468,44980.0,0.31,-0.41,-0.004,0.02
28,2018-09-26,0.962,0.976,0.982,0.962,16674,1616515.0,2.08,1.67,0.016,0.88
29,2018-09-27,0.973,0.961,0.974,0.961,3016,292372.0,1.33,-1.54,-0.015,0.16
30,2018-09-28,0.965,0.97,0.97,0.964,1091,105427.0,0.62,0.94,0.009,0.06
31,2018-10-08,0.96,0.928,0.96,0.926,3397,316880.0,3.51,-4.33,-0.042,0.18
32,2018-10-09,0.928,0.922,0.933,0.92,1376,126999.0,1.4,-0.65,-0.006,0.07
33,2018-10-10,0.923,0.914,0.923,0.907,4040,369647.0,1.74,-0.87,-0.008,0.21
34,2018-10-11,0.91,0.862,0.91,0.858,4822,422769.0,5.69,-5.69,-0.052,0.25
35,2018-10-12,0.863,0.87,0.871,0.85,8430,727571.0,2.44,0.93,0.008,0.44
36,2018-10-15,0.871,0.868,0.882,0.868,16100,1412243.0,1.61,-0.23,-0.002,0.85
37,2018-10-16,0.865,0.818,0.868,0.818,11916,1020870.0,5.76,-5.76,-0.05,0.63
38,2018-10-17,0.855,0.85,0.855,0.826,3199,268934.0,3.55,3.91,0.032,0.17
39,2018-10-18,0.84,0.826,0.84,0.817,1584,130981.0,2.71,-2.82,-0.024,0.08
40,2018-10-19,0.815,0.837,0.837,0.81,1746,142138.0,3.27,1.33,0.011,0.09
41,2018-10-22,0.828,0.884,0.889,0.828,13711,1195467.0,7.29,5.62,0.047,0.72
42,2018-10-23,0.877,0.864,0.883,0.857,2549,221256.0,2.94,-2.26,-0.02,0.13
43,2018-10-24,0.86,0.851,0.865,0.851,1201,103050.0,1.62,-1.5,-0.013,0.06
44,2018-10-25,0.83,0.847,0.847,0.828,2643,222081.0,2.23,-0.47,-0.004,0.14
45,2018-10-26,0.854,0.839,0.855,0.839,76,6460.0,1.89,-0.94,-0.008,0.0
46,2018-10-29,0.83,0.817,0.83,0.816,1084,88773.0,1.67,-2.62,-0.022,0.06
47,2018-10-30,0.817,0.826,0.828,0.802,2057,168181.0,3.18,1.1,0.009,0.11
48,2018-10-31,0.836,0.842,0.843,0.836,2543,213455.0,0.85,1.94,0.016,0.13
49,2018-11-01,0.842,0.859,0.872,0.842,4037,347310.0,3.56,2.02,0.017,0.21
50,2018-11-02,0.87,0.89,0.89,0.847,5056,447154.0,5.01,3.61,0.031,0.27
51,2018-11-05,0.891,0.899,0.899,0.885,2907,259165.0,1.57,1.01,0.009,0.15
52,2018-11-06,0.901,0.89,0.901,0.866,1468,129104.0,3.89,-1.0,-0.009,0.08
53,2018-11-07,0.891,0.893,0.908,0.89,14131,1272854.0,2.02,0.34,0.003,0.74
54,2018-11-08,0.896,0.884,0.899,0.881,4701,419615.0,2.02,-1.01,-0.009,0.25
55,2018-11-09,0.884,0.88,0.886,0.877,1697,149598.0,1.02,-0.45,-0.004,0.09
56,2018-11-12,0.88,0.9,0.9,0.874,4607,408351.0,2.95,2.27,0.02,0.24
57,2018-11-13,0.898,0.908,0.916,0.882,2797,253649.0,3.78,0.89,0.008,0.15
58,2018-11-14,0.905,0.9,0.91,0.899,1357,122831.0,1.21,-0.88,-0.008,0.07
59,2018-11-15,0.9,0.908,0.909,0.9,1580,143154.0,1.0,0.89,0.008,0.08
60,2018-11-16,0.912,0.914,0.919,0.902,3307,300648.0,1.87,0.66,0.006,0.17
61,2018-11-19,0.907,0.914,0.914,0.907,1166,106151.0,0.77,0.0,0.0,0.06
62,2018-11-20,0.902,0.89,0.905,0.89,879,78973.0,1.64,-2.63,-0.024,0.05
63,2018-11-21,0.885,0.889,0.89,0.885,617,54746.0,0.56,-0.11,-0.001,0.03
64,2018-11-22,0.894,0.894,0.894,0.893,1600,142989.0,0.11,0.56,0.005,0.08
65,2018-11-23,0.883,0.864,0.883,0.86,2601,226703.0,2.57,-3.36,-0.03,0.14
66,2018-11-26,0.865,0.853,0.865,0.852,317,27215.0,1.5,-1.27,-0.011,0.02
67,2018-11-27,0.865,0.862,0.865,0.85,598,50935.0,1.76,1.06,0.009,0.03
68,2018-11-28,0.836,0.869,0.869,0.836,1250,105115.0,3.83,0.81,0.007,0.07
69,2018-11-29,0.877,0.862,0.879,0.861,6436,564006.0,2.07,-0.81,-0.007,0.34
70,2018-11-30,0.861,0.873,0.873,0.86,2913,251853.0,1.51,1.28,0.011,0.15
71,2018-12-03,0.9,0.908,0.909,0.893,6180,559144.0,1.83,4.01,0.035,0.33
