,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-01-18,0.898,0.904,0.915,0.892,2424002,226962979.0,0.0,0.0,0.0,5.59
1,2019-01-21,0.904,0.906,0.91,0.903,1346611,127183325.0,0.77,0.22,0.002,3.11
2,2019-01-22,0.904,0.893,0.904,0.891,1576247,147463467.0,1.43,-1.43,-0.013,3.64
3,2019-01-23,0.891,0.89,0.895,0.888,2367811,220275752.0,0.78,-0.34,-0.003,5.46
4,2019-01-24,0.89,0.888,0.89,0.879,1625791,150396849.0,1.24,-0.22,-0.002,3.75
5,2019-01-25,0.888,0.89,0.893,0.888,896148,83250849.0,0.56,0.23,0.002,2.07
6,2019-01-28,0.89,0.889,0.899,0.888,891724,83309755.0,1.24,-0.11,-0.001,2.06
7,2019-01-29,0.886,0.887,0.89,0.878,818906,75667414.0,1.35,-0.22,-0.002,1.89
8,2019-01-30,0.885,0.883,0.891,0.883,501582,46465232.0,0.9,-0.45,-0.004,1.16
9,2019-01-31,0.884,0.884,0.889,0.881,671052,62067649.0,0.91,0.11,0.001,1.55
10,2019-02-01,0.884,0.895,0.895,0.884,523954,48598459.0,1.24,1.24,0.011,1.21
11,2019-02-11,0.894,0.907,0.907,0.894,901151,84675912.0,1.45,1.34,0.012,2.08
12,2019-02-12,0.905,0.916,0.916,0.905,1094513,104004189.0,1.21,0.99,0.009,2.53
13,2019-02-13,0.915,0.934,0.937,0.914,800581,77152940.0,2.51,1.97,0.018,1.85
14,2019-02-14,0.934,0.931,0.934,0.928,888888,86194545.0,0.64,-0.32,-0.003,2.05
15,2019-02-15,0.93,0.921,0.932,0.921,691765,66683543.0,1.18,-1.07,-0.01,1.6
16,2019-02-18,0.922,0.944,0.944,0.922,932539,91207595.0,2.39,2.5,0.023,2.15
17,2019-02-19,0.945,0.944,0.948,0.934,644513,63204187.0,1.48,0.0,0.0,1.49
18,2019-02-20,0.944,0.946,0.947,0.94,807145,79346196.0,0.74,0.21,0.002,1.86
19,2019-02-21,0.944,0.941,0.954,0.939,1501858,148301666.0,1.59,-0.53,-0.005,3.47
20,2019-02-22,0.939,0.954,0.954,0.936,466098,45911263.0,1.91,1.38,0.013,1.08
21,2019-02-25,0.954,1.0,1.001,0.954,689443,70067767.0,4.93,4.82,0.046,1.59
22,2019-02-26,0.998,0.998,1.018,0.99,467698,48909208.0,2.8,-0.2,-0.002,1.08
23,2019-02-27,1.0,0.998,1.015,0.991,539875,56242943.0,2.4,0.0,0.0,1.25
24,2019-02-28,0.995,0.993,1.003,0.989,359948,37254418.0,1.4,-0.5,-0.005,0.83
25,2019-03-01,0.994,1.003,1.003,0.987,457847,47279866.0,1.61,1.01,0.01,1.06
26,2019-03-04,1.003,1.012,1.03,1.003,3956312,419119184.0,2.69,0.9,0.009,9.13
27,2019-03-05,1.012,1.025,1.025,1.008,3998777,421919328.0,1.68,1.28,0.013,9.23
28,2019-03-06,1.026,1.033,1.033,1.019,4405391,469054672.0,1.37,0.78,0.008,10.17
29,2019-03-07,1.033,1.029,1.036,1.021,3929784,419786752.0,1.45,-0.39,-0.004,9.07
30,2019-03-08,1.026,0.988,1.026,0.988,2514293,265472109.0,3.69,-3.98,-0.041,5.8
31,2019-03-11,0.988,1.011,1.012,0.988,893368,93503997.0,2.43,2.33,0.023,2.06
32,2019-03-12,1.016,1.03,1.035,1.016,3934358,419690416.0,1.88,1.88,0.019,9.08
33,2019-03-13,1.031,1.014,1.031,1.006,3853325,408271088.0,2.43,-1.55,-0.016,8.89
34,2019-03-14,1.014,1.001,1.016,0.994,513318,53896916.0,2.17,-1.28,-0.013,1.18
35,2019-03-15,1.006,1.007,1.014,1.001,886929,93166494.0,1.3,0.6,0.006,2.05
36,2019-03-18,1.009,1.032,1.033,1.004,3899066,412890192.0,2.88,2.48,0.025,9.0
37,2019-03-19,1.032,1.034,1.043,1.03,2123449,228279860.0,1.26,0.19,0.002,4.9
38,2019-03-20,1.032,1.029,1.034,1.018,3860796,411130784.0,1.55,-0.48,-0.005,8.91
39,2019-03-21,1.032,1.033,1.039,1.031,1590184,170728399.0,0.78,0.39,0.004,3.67
40,2019-03-22,1.033,1.033,1.034,1.019,263091,28042405.0,1.45,0.0,0.0,0.61
