,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-11-11,0.992,0.975,0.999,0.974,387091,37991712.0,0.0,0.0,0.0,61.46
1,2019-11-12,0.975,0.973,0.978,0.965,91339,8880852.0,1.33,-0.21,-0.002,14.5
2,2019-11-13,0.973,0.976,0.977,0.965,1951536,189403293.0,1.23,0.31,0.003,309.83
3,2019-11-14,0.975,0.982,0.989,0.971,360991,35235679.0,1.84,0.61,0.006,57.31
4,2019-11-15,0.982,0.974,0.982,0.972,92388,9013597.0,1.02,-0.81,-0.008,14.67
5,2019-11-18,0.979,0.978,0.979,0.965,36374,3546600.0,1.44,0.41,0.004,5.77
6,2019-11-19,0.978,0.993,0.993,0.973,60247,5929582.0,2.04,1.53,0.015,9.56
7,2019-11-20,0.99,0.981,0.99,0.98,5455,535910.0,1.01,-1.21,-0.012,0.87
8,2019-11-21,0.977,0.972,0.977,0.969,11959,1161506.0,0.82,-0.92,-0.009,1.9
9,2019-11-22,0.972,0.966,0.98,0.963,15112,1464580.0,1.75,-0.62,-0.006,2.4
10,2019-11-25,0.959,0.961,0.965,0.937,17167,1637719.0,2.9,-0.52,-0.005,2.73
11,2019-11-26,0.96,0.96,0.967,0.958,7975,765690.0,0.94,-0.1,-0.001,1.27
12,2019-11-27,0.951,0.961,0.962,0.951,139849,13433534.0,1.15,0.1,0.001,22.2
13,2019-11-28,0.956,0.961,0.968,0.956,294290,28222806.0,1.25,0.0,0.0,46.72
14,2019-11-29,0.959,0.953,0.965,0.949,22430,2146775.0,1.66,-0.83,-0.008,3.56
15,2019-12-02,0.955,0.96,0.964,0.955,327154,31309876.0,0.94,0.73,0.007,51.94
16,2019-12-03,0.957,0.967,0.968,0.954,27621,2644220.0,1.46,0.73,0.007,4.39
17,2019-12-04,0.972,0.972,0.972,0.956,50191,4862851.0,1.65,0.52,0.005,7.97
18,2019-12-05,0.973,0.981,0.984,0.972,30603,2995088.0,1.23,0.93,0.009,4.86
19,2019-12-06,0.956,0.986,0.988,0.956,29649,2922175.0,3.26,0.51,0.005,4.71
20,2019-12-09,0.99,0.985,0.995,0.983,3066360,302440448.0,1.22,-0.1,-0.001,486.82
21,2019-12-10,0.982,0.991,0.998,0.982,3100850,305809184.0,1.62,0.61,0.006,492.3
22,2019-12-11,0.993,0.987,0.994,0.986,25407,2516879.0,0.81,-0.4,-0.004,4.03
23,2019-12-12,0.989,0.986,0.993,0.986,15834,1565383.0,0.71,-0.1,-0.001,2.51
24,2019-12-13,0.993,1.009,1.01,0.993,147410,14805787.0,1.72,2.33,0.023,23.4
25,2019-12-16,1.01,1.019,1.02,1.007,74880,7582759.0,1.29,0.99,0.01,11.89
26,2019-12-17,1.017,1.027,1.033,1.015,108440,11126490.0,1.77,0.79,0.008,17.22
27,2019-12-18,1.031,1.027,1.041,1.025,69236,7146470.0,1.56,0.0,0.0,10.99
28,2019-12-19,1.032,1.026,1.032,1.022,69878,7174981.0,0.97,-0.1,-0.001,11.09
29,2019-12-20,1.026,1.024,1.035,1.022,33584,3452711.0,1.27,-0.19,-0.002,5.33
30,2019-12-23,1.023,1.005,1.023,1.005,14929,1515189.0,1.76,-1.86,-0.019,2.37
31,2019-12-24,1.011,1.016,1.019,1.007,12698,1283375.0,1.19,1.09,0.011,2.02
32,2019-12-25,1.008,1.019,1.022,1.008,26241,2667978.0,1.38,0.3,0.003,4.17
33,2019-12-26,1.019,1.022,1.03,1.016,17854,1830250.0,1.37,0.29,0.003,2.83
34,2019-12-27,1.022,1.016,1.03,1.016,13866,1419703.0,1.37,-0.59,-0.006,2.2
35,2019-12-30,1.007,1.029,1.04,1.006,56284,5748732.0,3.35,1.28,0.013,8.94
36,2019-12-31,1.024,1.029,1.031,1.022,11102,1141995.0,0.87,0.0,0.0,1.76
37,2020-01-02,1.033,1.052,1.063,1.033,78053,8197969.0,2.92,2.24,0.023,12.39
38,2020-01-03,1.054,1.054,1.062,1.045,40761,4285992.0,1.62,0.19,0.002,6.47
39,2020-01-06,1.051,1.046,1.058,1.043,34315,3602213.0,1.42,-0.76,-0.008,5.45
40,2020-01-07,1.051,1.054,1.058,1.047,29670,3120419.0,1.05,0.76,0.008,4.71
41,2020-01-08,1.054,1.046,1.054,1.038,21117,2210629.0,1.52,-0.76,-0.008,3.35
42,2020-01-09,1.045,1.068,1.068,1.045,79495,8444997.0,2.2,2.1,0.022,12.62
43,2020-01-10,1.062,1.069,1.074,1.062,35702,3807451.0,1.12,0.09,0.001,5.67
44,2020-01-13,1.066,1.086,1.088,1.066,37571,4037840.0,2.06,1.59,0.017,5.96
45,2020-01-14,1.088,1.085,1.11,1.082,933784,101230887.0,2.58,-0.09,-0.001,148.25
46,2020-01-15,1.084,1.079,1.084,1.071,1419574,152441704.0,1.2,-0.55,-0.006,225.37
47,2020-01-16,1.076,1.074,1.079,1.071,1433214,154085403.0,0.74,-0.46,-0.005,227.54
48,2020-01-17,1.073,1.076,1.084,1.073,1447362,156046608.0,1.02,0.19,0.002,229.79
49,2020-01-20,1.082,1.098,1.099,1.08,670628,73243077.0,1.77,2.04,0.022,106.47
50,2020-01-21,1.098,1.086,1.108,1.08,28132,3072914.0,2.55,-1.09,-0.012,4.47
51,2020-01-22,1.084,1.092,1.095,1.075,7620,825606.0,1.84,0.55,0.006,1.21
