,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-01-19,1.001,1.001,1.005,0.997,1242152,124239783.0,0.0,0.0,0.0,2.29
1,2018-01-22,1.001,1.023,1.034,0.995,486046,49247432.0,3.9,2.2,0.022,0.9
2,2018-01-23,1.024,1.029,1.031,1.02,188954,19398992.0,1.08,0.59,0.006,0.35
3,2018-01-24,1.03,1.065,1.07,1.025,449287,47196797.0,4.37,3.5,0.036,0.83
4,2018-01-25,1.065,1.065,1.095,1.063,393758,42452069.0,3.0,0.0,0.0,0.73
5,2018-01-26,1.069,1.069,1.076,1.06,183199,19581493.0,1.5,0.38,0.004,0.34
6,2018-01-29,1.069,1.056,1.073,1.048,209045,22136946.0,2.34,-1.22,-0.013,0.39
7,2018-01-30,1.05,1.046,1.057,1.042,71731,7520583.0,1.42,-0.95,-0.01,0.13
8,2018-01-31,1.042,1.02,1.042,1.017,183847,18840935.0,2.39,-2.49,-0.026,0.34
9,2018-02-01,1.025,0.994,1.025,0.993,178989,18004345.0,3.14,-2.55,-0.026,0.33
10,2018-02-02,0.995,0.999,1.009,0.983,137490,13701636.0,2.62,0.5,0.005,0.25
11,2018-02-05,0.985,0.989,0.996,0.983,148085,14632963.0,1.3,-1.0,-0.01,0.27
12,2018-02-06,0.983,0.943,0.983,0.941,205575,19786815.0,4.25,-4.65,-0.046,0.38
13,2018-02-07,0.958,0.95,0.965,0.931,119618,11351763.0,3.61,0.74,0.007,0.22
14,2018-02-08,0.948,0.953,0.96,0.946,53029,5060059.0,1.47,0.32,0.003,0.1
15,2018-02-09,0.933,0.918,0.934,0.909,132317,12182801.0,2.62,-3.67,-0.035,0.24
16,2018-02-12,0.925,0.943,0.945,0.921,63911,5975677.0,2.61,2.72,0.025,0.12
17,2018-02-13,0.949,0.94,0.953,0.935,42894,4054177.0,1.91,-0.32,-0.003,0.08
18,2018-02-14,0.942,0.935,0.942,0.931,82366,7690116.0,1.17,-0.53,-0.005,0.15
19,2018-02-22,0.953,0.953,0.957,0.943,94910,9013718.0,1.5,1.93,0.018,0.18
20,2018-02-23,0.951,0.945,0.957,0.94,47865,4535507.0,1.78,-0.84,-0.008,0.09
21,2018-02-26,0.946,0.968,0.975,0.946,113224,10890154.0,3.07,2.43,0.023,0.21
22,2018-02-27,0.97,0.989,0.992,0.97,172013,16891931.0,2.27,2.17,0.021,0.32
23,2018-02-28,0.985,0.989,1.0,0.973,82322,8152005.0,2.73,0.0,0.0,0.15
24,2018-03-01,0.981,1.004,1.005,0.981,66596,6630826.0,2.43,1.52,0.015,0.12
