,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-06-25,0.99,0.985,0.993,0.983,1301461,128419716.0,0.0,0.0,0.0,37.25
1,2019-06-26,0.989,0.991,0.991,0.988,495620,49062281.0,0.3,0.61,0.006,14.18
2,2019-06-27,0.998,0.996,0.998,0.992,284277,28303490.0,0.61,0.5,0.005,8.14
3,2019-06-28,0.995,0.994,0.995,0.992,108120,10733581.0,0.3,-0.2,-0.002,3.09
4,2019-07-01,0.999,1.005,1.006,0.999,610038,61098437.0,0.7,1.11,0.011,17.46
5,2019-07-02,1.003,1.007,1.008,1.003,131829,13266914.0,0.5,0.2,0.002,3.77
6,2019-07-03,1.006,1.004,1.006,1.003,123587,12416705.0,0.3,-0.3,-0.003,3.54
7,2019-07-04,1.008,1.013,1.013,1.008,132476,13389174.0,0.5,0.9,0.009,3.79
8,2019-07-05,1.013,1.013,1.015,1.012,44396,4499391.0,0.3,0.0,0.0,1.27
9,2019-07-08,1.012,1.003,1.012,1.001,46343,4651613.0,1.09,-0.99,-0.01,1.33
10,2019-07-09,1.004,1.001,1.005,1.0,14746,1477147.0,0.5,-0.2,-0.002,0.42
11,2019-07-10,1.001,0.999,1.001,0.997,7899,788751.0,0.4,-0.2,-0.002,0.23
12,2019-07-11,1.015,1.005,1.015,0.999,28204,2835569.0,1.6,0.6,0.006,0.81
13,2019-07-12,1.005,1.005,1.005,1.003,14291,1434773.0,0.2,0.0,0.0,0.41
14,2019-07-15,1.008,1.006,1.009,1.005,23757,2392286.0,0.4,0.1,0.001,0.68
15,2019-07-16,1.006,1.0,1.006,0.998,24557,2452481.0,0.8,-0.6,-0.006,0.7
16,2019-07-17,1.0,1.0,1.001,0.996,17799,1777808.0,0.5,0.0,0.0,0.51
17,2019-07-18,0.993,0.99,0.993,0.988,27412,2714200.0,0.5,-1.0,-0.01,0.78
18,2019-07-19,0.995,1.002,1.005,0.995,29040,2907762.0,1.01,1.21,0.012,0.83
19,2019-07-22,1.0,0.998,1.006,0.998,16689,1667039.0,0.8,-0.4,-0.004,0.48
20,2019-07-23,1.007,1.007,1.01,1.005,39587,3984484.0,0.5,0.9,0.009,1.13
21,2019-07-24,1.009,1.009,1.012,1.008,21810,2202736.0,0.4,0.2,0.002,0.62
22,2019-07-25,1.01,1.012,1.013,1.01,23520,2379815.0,0.3,0.3,0.003,0.67
