,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-06-12,1.012,1.01,1.015,1.0,1504390,151796555.0,0.0,0.0,0.0,260.09
1,2023-06-13,1.008,1.038,1.041,1.008,501170,51377087.0,3.27,2.77,0.028,86.65
2,2023-06-14,1.04,1.03,1.052,1.029,224039,23351529.0,2.22,-0.77,-0.008,38.73
3,2023-06-15,1.046,1.056,1.057,1.042,216828,22783382.0,1.46,2.52,0.026,37.49
4,2023-06-16,1.066,1.072,1.08,1.06,102361,10942947.0,1.89,1.52,0.016,17.7
5,2023-06-19,1.07,1.048,1.07,1.036,98818,10348517.0,3.17,-2.24,-0.024,17.08
6,2023-06-20,1.054,1.036,1.063,1.031,61731,6434712.0,3.05,-1.15,-0.012,10.67
7,2023-06-21,1.025,1.003,1.025,1.002,77693,7836387.0,2.22,-3.19,-0.033,13.43
8,2023-06-26,1.0,0.99,1.0,0.903,192502,18979826.0,9.67,-1.3,-0.013,33.28
9,2023-06-27,0.999,1.012,1.018,0.995,282941,28629558.0,2.32,2.22,0.022,48.92
10,2023-06-28,1.022,1.015,1.022,0.996,62640,6314938.0,2.57,0.3,0.003,10.83
11,2023-06-29,1.015,1.008,1.017,1.005,67958,6855031.0,1.18,-0.69,-0.007,11.75
12,2023-06-30,1.008,0.994,1.008,0.991,53507,5336489.0,1.69,-1.39,-0.014,9.25
13,2023-07-03,0.998,1.018,1.019,0.994,51890,5241968.0,2.52,2.41,0.024,8.97
14,2023-07-04,1.018,1.018,1.027,1.009,52636,5368879.0,1.77,0.0,0.0,9.1
15,2023-07-05,1.018,1.006,1.028,1.006,69569,7072519.0,2.16,-1.18,-0.012,12.03
16,2023-07-06,1.004,0.992,1.017,0.988,109929,11016163.0,2.88,-1.39,-0.014,19.01
17,2023-07-07,0.986,0.978,0.992,0.968,107554,10531282.0,2.42,-1.41,-0.014,18.59
18,2023-07-10,0.999,0.986,0.999,0.985,159423,15820496.0,1.43,0.82,0.008,27.56
19,2023-07-11,0.997,0.993,1.0,0.99,22210,2207265.0,1.01,0.71,0.007,3.84
20,2023-07-12,0.997,1.001,1.012,0.995,86300,8666630.0,1.71,0.81,0.008,14.92
21,2023-07-13,1.025,1.052,1.052,1.025,116189,12120867.0,2.7,5.09,0.051,20.09
22,2023-07-14,1.07,1.049,1.075,1.045,87603,9254983.0,2.85,-0.29,-0.003,15.15
23,2023-07-17,1.049,1.036,1.051,1.032,159079,16543012.0,1.81,-1.24,-0.013,27.5
24,2023-07-18,1.041,1.022,1.042,1.022,18184,1867197.0,1.93,-1.35,-0.014,3.14
25,2023-07-19,1.022,1.027,1.03,1.006,40612,4125636.0,2.35,0.49,0.005,7.02
26,2023-07-20,1.033,1.015,1.045,1.012,69637,7186784.0,3.21,-1.17,-0.012,12.04
27,2023-07-21,1.014,1.019,1.03,1.01,78763,8034269.0,1.97,0.39,0.004,13.62
28,2023-07-24,1.011,1.006,1.027,1.002,45074,4557999.0,2.45,-1.28,-0.013,7.79
29,2023-07-25,1.039,1.049,1.05,1.033,71177,7420384.0,1.69,4.27,0.043,12.31
30,2023-07-26,1.047,1.052,1.054,0.96,54099,5664876.0,8.96,0.29,0.003,9.35
31,2023-07-27,1.058,1.062,1.072,1.056,33000,3513287.0,1.52,0.95,0.01,5.71
32,2023-07-28,1.061,1.102,1.104,1.057,98940,10777181.0,4.43,3.77,0.04,17.11
33,2023-07-31,1.125,1.128,1.152,1.121,94549,10767119.0,2.81,2.36,0.026,16.35
34,2023-08-01,1.133,1.112,1.151,1.109,107269,12153853.0,3.72,-1.42,-0.016,18.55
35,2023-08-02,1.122,1.085,1.122,1.082,115362,12714336.0,3.6,-2.43,-0.027,19.94
36,2023-08-03,1.083,1.103,1.105,1.081,68848,7540453.0,2.21,1.66,0.018,11.9
37,2023-08-04,1.113,1.112,1.14,1.103,96467,10751128.0,3.35,0.82,0.009,16.68
38,2023-08-07,1.112,1.107,1.112,1.095,57997,6404064.0,1.53,-0.45,-0.005,10.03
39,2023-08-08,1.097,1.087,1.101,1.082,68416,7476249.0,1.72,-1.81,-0.02,11.83
40,2023-08-09,1.077,1.088,1.12,1.077,31756,3451225.0,3.96,0.09,0.001,5.49
41,2023-08-10,1.085,1.092,1.093,1.078,128144,13920287.0,1.38,0.37,0.004,22.15
42,2023-08-11,1.095,1.072,1.095,1.069,56065,6043640.0,2.38,-1.83,-0.02,9.69
43,2023-08-14,1.059,1.06,1.061,1.047,60885,6411748.0,1.31,-1.12,-0.012,10.53
44,2023-08-15,1.061,1.064,1.072,1.055,76186,8093507.0,1.6,0.38,0.004,13.17
45,2023-08-16,1.056,1.051,1.065,1.05,119038,12588179.0,1.41,-1.22,-0.013,20.58
46,2023-08-17,1.04,1.066,1.066,1.031,144640,15188865.0,3.33,1.43,0.015,25.01
47,2023-08-18,1.06,1.033,1.07,1.03,155901,16299309.0,3.75,-3.1,-0.033,26.95
48,2023-08-21,1.028,1.009,1.03,1.007,117513,11981230.0,2.23,-2.32,-0.024,20.32
49,2023-08-22,1.012,1.023,1.032,0.998,126507,12852290.0,3.37,1.39,0.014,21.87
50,2023-08-23,1.018,1.022,1.036,1.009,104135,10677713.0,2.64,-0.1,-0.001,18.0
51,2023-08-24,1.034,1.067,1.071,1.034,104689,11046422.0,3.62,4.4,0.045,18.1
52,2023-08-25,1.067,1.05,1.067,1.047,62059,6530169.0,1.87,-1.59,-0.017,10.73
53,2023-08-28,1.113,1.062,1.154,1.055,259048,27649816.0,9.43,1.14,0.012,44.79
54,2023-08-29,1.066,1.075,1.08,1.05,73636,7885543.0,2.82,1.22,0.013,12.73
55,2023-08-30,1.088,1.062,1.104,1.061,67861,7298783.0,4.0,-1.21,-0.013,11.73
56,2023-08-31,1.067,1.044,1.07,1.042,48081,5072387.0,2.64,-1.69,-0.018,8.31
57,2023-09-01,1.039,1.047,1.052,1.039,91444,9571322.0,1.25,0.29,0.003,15.81
58,2023-09-04,1.056,1.064,1.071,1.056,96843,10309922.0,1.43,1.62,0.017,16.74
59,2023-09-05,1.067,1.046,1.067,1.045,50300,5305487.0,2.07,-1.69,-0.018,8.7
