,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-03-20,1.0,0.997,1.002,0.995,2461612,246215842.0,0.0,0.0,0.0,51.34
1,2023-03-21,1.002,1.005,1.006,1.001,845932,84928318.0,0.5,0.8,0.008,17.64
2,2023-03-22,1.016,1.02,1.02,1.016,1398789,142429225.0,0.4,1.49,0.015,29.18
3,2023-03-23,1.004,1.007,1.007,1.003,338379,34001110.0,0.39,-1.27,-0.013,7.06
4,2023-03-24,1.012,1.018,1.02,1.011,388511,39436260.0,0.89,1.09,0.011,8.1
5,2023-03-27,1.023,1.027,1.029,1.023,437628,44893781.0,0.59,0.88,0.009,9.13
6,2023-03-28,1.019,1.018,1.019,1.014,178438,18124225.0,0.49,-0.88,-0.009,3.72
7,2023-03-29,1.014,1.019,1.02,1.014,171249,17419424.0,0.59,0.1,0.001,3.57
8,2023-03-30,1.03,1.031,1.033,1.03,215720,22243888.0,0.29,1.18,0.012,4.5
9,2023-03-31,1.041,1.039,1.042,1.038,275145,28590020.0,0.39,0.78,0.008,5.74
10,2023-04-03,1.05,1.052,1.054,1.05,386421,40641543.0,0.38,1.25,0.013,8.06
11,2023-04-04,1.052,1.054,1.054,1.051,237797,25019946.0,0.29,0.19,0.002,4.96
12,2023-04-06,1.04,1.038,1.04,1.033,253344,26247952.0,0.66,-1.52,-0.016,5.28
13,2023-04-07,1.044,1.047,1.047,1.044,132004,13800203.0,0.29,0.87,0.009,2.75
14,2023-04-10,1.048,1.042,1.048,1.041,207237,21628139.0,0.67,-0.48,-0.005,4.32
15,2023-04-11,1.045,1.047,1.048,1.044,467573,48979855.0,0.38,0.48,0.005,9.75
16,2023-04-12,1.043,1.041,1.043,1.039,177762,18497460.0,0.38,-0.57,-0.006,3.71
17,2023-04-13,1.033,1.035,1.036,1.03,426981,44087201.0,0.58,-0.58,-0.006,8.91
18,2023-04-14,1.049,1.044,1.049,1.043,435174,45471554.0,0.58,0.87,0.009,9.08
19,2023-04-17,1.045,1.049,1.049,1.045,561476,58859170.0,0.38,0.48,0.005,11.71
20,2023-04-18,1.047,1.049,1.051,1.046,286828,30067659.0,0.48,0.0,0.0,5.98
21,2023-04-19,1.049,1.046,1.049,1.046,833998,87379380.0,0.29,-0.29,-0.003,17.4
22,2023-04-20,1.046,1.046,1.05,1.046,1237077,129583902.0,0.38,0.0,0.0,25.8
23,2023-04-21,1.048,1.044,1.048,1.041,436099,45542444.0,0.67,-0.19,-0.002,9.1
24,2023-04-24,1.043,1.042,1.045,1.04,555557,57949438.0,0.48,-0.19,-0.002,11.59
25,2023-04-25,1.04,1.044,1.044,1.04,423559,44121426.0,0.38,0.19,0.002,8.83
26,2023-04-26,1.041,1.04,1.043,1.04,1275561,132876099.0,0.29,-0.38,-0.004,26.61
27,2023-04-27,1.04,1.042,1.042,1.039,2651697,275940164.0,0.29,0.19,0.002,55.31
